t_s,j_A_m2,T_model_C,T_MEA_C,T_min_C,T_max_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,s_ice_pore_max,s_liquid_pore_max,gas_porosity_min,ice_max_x_um,ice_max_layer,water_produced_kg_m2,water_stored_kg_m2,water_initial_kg_m2,water_vapor_kg_m2,water_liquid_pore_kg_m2,water_unfrozen_mem_kg_m2,water_ice_kg_m2,water_out_kg_m2,water_balance_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_integral_J_m2,energy_balance_J_m2,H2_balance_mol_m2,O2_balance_mol_m2,model_valid,thermal_iterations_max,ever_invalid,min_gas_porosity_all_steps,min_kappa_all_steps,max_j_over_jlim_all_steps,V_model_V,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,j_lim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min_S_m,cO2_cCL_mol_m3,active_area_factor,phase_cond_kg_m2,rate_cond_kg_m2_s,phase_evap_kg_m2,rate_evap_kg_m2_s,phase_dep_kg_m2,rate_dep_kg_m2_s,phase_sub_kg_m2,rate_sub_kg_m2_s,phase_frz_kg_m2,rate_frz_kg_m2_s,phase_mlt_kg_m2,rate_mlt_kg_m2_s,phase_frz_pore_kg_m2,rate_frz_pore_kg_m2_s,phase_frz_mem_kg_m2,rate_frz_mem_kg_m2_s,phase_mlt_pore_kg_m2,rate_mlt_pore_kg_m2_s,phase_mlt_mem_kg_m2,rate_mlt_mem_kg_m2_s,heat_adsorption_J_m2,phase_heat_balance_J_m2,ice_balance_kg_m2,ice_to_produced_water_ratio,I_exp_A,I_consistent_25cm2_A,V_exp_V,T_exp_C,V_rel_error_pct,T_rel_error_pct,T_rel_error_K_pct
0.0,60.0,-20.000000000000057,-19.999999999999943,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.3916,4.6875,aGDL,0.0,0.0013931999999999998,0.0013931999999999998,0.0,0.0,0.0013931999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3916,0.5321551728569524,0.0,0.769731108516351,1.2587389137358707,0.48759369401438396,0.0014129888211639012,1.1223839719215878e-06,291556.4439571423,0.00020579205585598298,2.999999999999999,3.0,0.5321551728569524,10.109491615449995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,0.799,-19.9953547791121,3.663190423485492,0.023231500212295177,0.0018349340909409161
0.2,60.0,-19.99819103778387,-19.990730276568343,-19.99907075466072,-19.986745396582876,2.2632602250459876e-06,8.318454406364422e-07,2.2632602250459876e-06,1.9772889009661093e-06,0.00023578569668727926,0.3916,164.89999999999992,PEM,1.11934497590299e-06,0.0013940605340477686,0.0013931999999999998,6.243038833594859e-10,1.0817233136456034e-06,0.0013929649056405667,1.3280789673161065e-08,2.5881092813601274e-07,1.8007920458626425e-18,8.522902374174866,-0.6441576086134537,0.008756980107859295,7.869987779522203,-5.9313491965196086e-09,1.845738324549387e-13,-9.504726107729955e-16,1,2,0,0.3916,0.5304373010358754,0.0002058289286439612,0.7697634904454306,1.2587273248683926,0.4875497545692377,0.0014129572135273135,1.1226401969525304e-06,291504.2136947951,0.0002058289286439612,2.9994937675292133,2.9918012718966964,0.5304373010358754,10.107394864339271,0.999993206789717,0.0,0.0,1.0024202872076452e-09,5.012101436038226e-09,0.0,0.0,7.697527535752145e-14,3.8487637678760723e-13,1.3280866648436421e-08,6.64043332421821e-08,0.0,0.0,8.488887756132056e-09,4.244443878066028e-08,4.7919788923043664e-09,2.395989446152183e-08,0.0,0.0,0.0,0.0,-0.6460818368922127,-1.1102230246251565e-16,1.6543612251060553e-24,0.011864786959397643,2.1,0.15,0.799,-19.9953547791121,3.65913761634161,0.014184587886049269,0.0011203660392230827
0.4,70.0,-19.996687564748584,-19.987869524503736,-19.997946256528905,-19.983208861922833,7.0901390009308495e-06,3.261275352065371e-06,7.0901390009308495e-06,7.752021278976399e-06,0.0004878620934606926,0.3916,164.89999999999992,PEM,2.3319686997978965e-06,0.0013950148425226382,0.0013931999999999998,6.249543682513129e-10,2.2000268408637784e-06,0.0013927643736557293,4.9817071676745154e-08,5.171261771607545e-07,1.2581615640278564e-18,17.803451352304826,-1.2777588537111308,0.03830368292703746,16.487388810762127,-4.904530885585512e-09,3.628180655218527e-13,-2.180073070852384e-15,1,2,0,0.3916,0.5294835094440761,0.00023907483874260774,0.7628103724196396,1.2587241741839015,0.4942638515957017,0.0016486403093850703,1.3098591752262878e-06,291488.2233802396,0.00024014692322127412,2.999061958776333,2.9874030216611405,0.5294835094440761,10.107017843206542,0.9999737129147189,0.0,0.0,2.007083381883513e-09,5.023315473379338e-09,0.0,0.0,1.590907974603702e-13,4.105776105142437e-13,4.981723076754262e-08,1.82681820595531e-07,0.0,0.0,3.284879044934096e-08,1.217995134660445e-07,1.6968440318201653e-08,6.088230712948642e-08,0.0,0.0,0.0,0.0,-1.289359722640791,2.220446049250313e-16,-6.617444900424222e-24,0.021362667381025578,2.0,0.17500000000000002,0.8,-19.9939052077991,4.648703447545061,0.01391602551161239,0.0010990677320128414
0.6,70.0,-19.995139613700843,-19.986059103984815,-19.996698688065806,-19.981296389790316,1.3851673114059115e-05,7.4381395164768505e-06,1.3851673114059115e-05,1.7680388677149632e-05,0.0007558982228987506,0.3916,164.89999999999992,PEM,3.6378711716847178e-06,0.0013960624633802782,0.0013931999999999998,6.268609975239209e-10,3.363296642988068e-06,0.0013925897036635689,1.0883621272371747e-07,7.754077914060961e-07,-2.8597949881673315e-19,27.84407288336228,-1.9037788704443879,0.09144212293037522,25.84885188563772,-4.349795648672661e-09,5.047798659098268e-13,-3.899387323452741e-15,1,2,0,0.3916,0.5288061261601462,0.0002401550333898257,0.7628141124761858,1.2587224037211273,0.49425814292422654,0.0016488384068282522,1.3099138867271265e-06,291478.37966141745,0.0002401550333898257,2.998685839068839,2.9842982117940147,0.5288061261601462,10.106954790061218,0.9999406761494862,0.0,0.0,3.0261681631763386e-09,5.09542390646413e-09,0.0,0.0,2.412080522709307e-13,4.1058627405280256e-13,1.0883645393176976e-07,2.950961158211358e-07,0.0,0.0,7.413286842910543e-08,2.064203898988224e-07,3.470358550266431e-08,8.867572592231332e-08,0.0,0.0,0.0,0.0,-1.932520607580949,4.440892098500626e-16,-2.6469779601696886e-23,0.029917555511817323,2.0,0.17500000000000002,0.8,-19.992502715072,4.648235940476781,0.013189437392724655,0.0010416040042754006
0.8,60.0,-19.993822434324215,-19.985968932874982,-19.99551772939762,-19.98190876962485,2.1612018726716825e-05,1.3328717729063668e-05,2.1612018726716825e-05,3.168223848125426e-05,0.0010003292112579808,0.3916,164.89999999999992,PEM,4.850494895579624e-06,0.0013970168004013152,0.0013931999999999998,6.31135540338742e-10,4.397643820622329e-06,0.001392431320835847,1.8720460930543735e-07,1.0336944942642867e-06,3.3881317890172014e-21,37.124536066461694,-2.5233626168472334,0.1684803150411122,34.43269312879853,-5.774815153847257e-09,6.759442723429376e-13,-4.862890689086297e-15,1,2,0,0.3916,0.5285063739553055,0.0002401550333898257,0.7697722759322777,1.258722856868422,0.48753595717772163,0.0014135009871715839,1.1227712509658335e-06,291476.0438240728,0.0002058488210997347,2.9983447907748646,2.98298170081226,0.5285063739553055,10.107238573695538,0.9998946586882593,0.0,0.0,4.0908704469636475e-09,5.323511418936543e-09,0.0,0.0,3.2331133010401454e-13,4.105163891654191e-13,1.8720493261676744e-07,3.918423934249883e-07,0.0,0.0,1.3163979070350857e-07,2.8753461137201563e-07,5.556514191325892e-08,1.0430778205297302e-07,0.0,0.0,0.0,0.0,-2.5755860901157925,-4.440892098500626e-16,2.6469779601696886e-23,0.038594950275288725,2.1,0.15,0.8,-19.991066017965,3.7784655084652923,0.013788240990941905,0.0010888086451694857
1.0,60.0,-19.99255569940368,-19.98484979199378,-19.994441245252887,-19.98091591022478,2.9500870917815874e-05,2.0734800872597754e-05,2.9500870917815874e-05,4.9286429457089975e-05,0.0012215929935659449,0.3916,164.89999999999992,PEM,5.969839871482612e-06,0.0013978778055093372,0.0013931999999999998,6.388126435087409e-10,5.317711019956877e-06,0.001392279324600737,2.801310759996251e-07,1.2920343621479934e-06,2.804737846595802e-18,45.64727232151957,-3.1382312100252294,0.26683286795174416,42.24220823536905,-8.173550780643524e-09,8.152489100465843e-13,-7.304026090546034e-15,1,2,0,0.3916,0.528372133441405,0.0002401550333898257,0.7697722806302548,1.2587219596759225,0.4875348910195002,0.0014136652175387831,1.1228086286627855e-06,291467.4939316955,0.00020585485945839575,2.9980174948336287,2.9823378686661957,0.528372133441405,10.107207730393165,0.9998374346697765,0.0,0.0,5.246002555690821e-09,5.7756605436358685e-09,0.0,0.0,4.0539605544676417e-13,4.1042362671374824e-13,2.801314813956804e-07,4.6463274389456494e-07,0.0,0.0,2.0315401462530115e-07,3.57571119608963e-07,7.697746677037939e-08,1.0706162428560235e-07,0.0,0.0,0.0,0.0,-3.2185669170993383,-4.440892098500626e-16,1.0587911840678754e-22,0.04692438692330527,2.0,0.15,0.8,-19.9896333486865,3.7784649212181525,0.014619331261388107,0.001154347639734004
1.2,70.0,-19.99106477408995,-19.982026110345572,-19.993281521474728,-19.977415118671217,3.7565694582769126e-05,2.9641889670019942e-05,3.7565694582769126e-05,7.045849695749926e-05,0.0014593608288492861,0.3916,164.89999999999992,PEM,7.182463595377517e-06,0.0013988319653200588,0.0013931999999999998,6.533503757724435e-10,6.312015846544291e-06,0.0013921323449538731,3.8695116926555723e-07,1.5504982753211881e-06,2.6668832344301646e-18,54.92772486570986,-3.7487921541753533,0.38610756392401496,50.79282512901732,-1.8593177719683496e-08,9.557665531408077e-13,-8.633366374230511e-15,1,2,0,0.3916,0.5281262614422856,0.0002401550333898257,0.7628166746917627,1.2587188587311053,0.4942514859104697,0.0016493880729115153,1.31005596153109e-06,291451.3794799614,0.00024017728145566322,2.997701001192664,2.981089233438027,0.5281262614422856,10.106829447398109,0.9997691647360264,0.0,0.0,6.566639611384758e-09,6.603185278469689e-09,0.0,0.0,4.87478045555331e-13,4.1040995054283434e-13,3.8695165674360274e-07,5.341008767396118e-07,0.0,0.0,2.884766045220388e-07,4.2661294948368835e-07,9.8475052221564e-08,1.0748792725592307e-07,0.0,0.0,0.0,0.0,-3.861461246518765,-2.220446049250313e-15,5.293955920339377e-23,0.05387443516102064,2.0,0.17500000000000002,0.8,-19.9882428989544,4.647915663529664,0.014117674824216258,0.0011146530059919643
1.4,70.0,-19.98952900511057,-19.980240377207082,-19.992001355055322,-19.975526621762214,4.611304690370628e-05,4.020086878745248e-05,4.611304690370628e-05,9.555709243511405e-05,0.0017132993410234282,0.3916,164.89999999999992,PEM,8.488366067264345e-06,0.0013998791466159027,0.0013931999999999998,6.789246229123066e-10,7.375090682051082e-06,0.00139199341393915,5.09963070078358e-07,1.809219451363089e-06,1.6423968847260884e-18,64.9682739153004,-4.3546222597867965,0.5287996479447069,60.08485197736766,-3.020123451324963e-08,1.0936962056493083e-12,-8.961418846570313e-15,1,2,0,0.3916,0.5278809139495373,0.00024018547546530725,0.7628183025733968,1.258717118701228,0.4942479737229807,0.0016495322939000248,1.3101109505060182e-06,291441.4365164679,0.00024018547546530725,2.997401838800926,2.9799064517929685,0.5278809139495373,10.106765196857896,0.9996886615856956,0.0,0.0,8.194777829755345e-09,8.140691091852933e-09,0.0,0.0,5.695614285119083e-13,4.1041691478288674e-13,5.099636396397866e-07,6.150599144809192e-07,0.0,0.0,3.89093724216981e-07,5.030855984747111e-07,1.2086991542280558e-07,1.1197431600620795e-07,0.0,0.0,0.0,0.0,-4.504257571486977,0.0,0.0,0.060077883780842924,2.1,0.17500000000000002,0.8,-19.9868180776747,4.647712178325408,0.013563576880180414,0.001070822153238287
1.6,70.0,-19.988009861740807,-19.97867012721764,-19.990710465133446,-19.973969469193634,5.491977898109478e-05,5.2427408648729145e-05,5.491977898109478e-05,0.00012461946434211824,0.0019635545183608596,0.3916,164.89999999999992,PEM,9.794268539151173e-06,0.001400925892856644,0.0013931999999999998,7.178022818139448e-10,8.415153983527526e-06,0.0013918611191312382,6.489019395965397e-07,2.068375682507051e-06,5.844527336054672e-20,75.00881644468306,-4.956260024922685,0.6957388500102875,69.35681754362125,-2.6128843977346605e-08,1.20548980953733e-12,-9.644195164693059e-15,1,2,0,0.3916,0.527717486246791,0.00024019370152036871,0.7628183817782662,1.2587156959416195,0.49424632638076704,0.0016496776184167954,1.3101641694191402e-06,291431.45535006427,0.00024019370152036871,2.9971169662602026,2.979104922878399,0.527717486246791,10.10671314357266,0.9995958768858116,0.0,0.0,1.0314920788761719e-08,1.060071479503186e-08,0.0,0.0,6.516349145275878e-13,4.103674300783971e-13,6.489025912314544e-07,6.946947579583387e-07,0.0,0.0,5.050686413769934e-07,5.798745858000616e-07,1.438339498544609e-07,1.1482017215827656e-07,0.0,0.0,0.0,0.0,-5.146944780912901,8.881784197001252e-16,-2.117582368135751e-22,0.06625323136716621,1.8,0.17500000000000002,0.8,-19.985473550325,4.6477022777167285,0.012690774674012565,0.0010018431299893442
1.8,60.0,-19.98670859432997,-19.97860933242501,-19.98949204462332,-19.974580826446328,6.624989405337522e-05,6.624989405337522e-05,6.365314627038149e-05,0.00015747538401087526,0.0021904647197863443,0.3916,170.34374999999986,cCL,1.1006892263046078e-05,0.0014018789243160825,0.0013931999999999998,7.290679142346494e-10,9.3434409856602e-06,0.0013917325904805487,8.021637819594897e-07,2.327967946964188e-06,7.957874539454152e-19,84.28923983997913,-5.5541406995342895,0.886353351581592,77.84874575869192,-3.0171331211192864e-08,1.3504499168232043e-12,-1.2095738907008657e-14,1,2,0,0.3916,0.5276929957750918,0.00024019370152036871,0.7697742471044378,1.2587161843327057,0.48752663335188845,0.0014141808903909512,1.1229859886387464e-06,291429.01736683503,0.0002058820379045346,2.9968402034464874,2.9791918778196225,0.5277331100316309,10.10699557406771,0.9994914566525657,0.0,0.0,1.2886338056108146e-08,1.2857086336732141e-08,0.0,0.0,8.193718330447267e-13,8.386845925856945e-13,8.02164601331323e-07,7.663100504993432e-07,0.0,0.0,6.3559815982414e-07,6.526475922357329e-07,1.6656644150718305e-07,1.136624582636107e-07,0.0,0.0,0.0,0.0,-5.789524643626123,8.881784197001252e-16,-2.117582368135751e-22,0.07287831685721403,2.2,0.15,0.8,-19.9840946143707,3.778219111945286,0.013080302158837749,0.001032516584445296
