evaluation,stage,j0_A_m2,kf_s_inv,mean_squared_relative_objective,dt_s,grid_scale,valid_samples
1,coarse_grid,1e-05,1.0,3.768504416096219,0.05,1,176
2,coarse_grid,0.0001,1.0,2.9414192913014716,0.05,1,176
3,coarse_grid,0.001,1.0,2.259722751759116,0.05,1,176
4,coarse_grid,0.01,1.0,1.7147827146574919,0.05,1,176
5,coarse_grid,0.1,1.0,1.2985099468349153,0.05,1,176
6,coarse_grid,1.0,1.0,1.0049730431872879,0.05,1,176
7,coarse_grid,10.0,1.0,0.8268904432633106,0.05,1,176
8,coarse_grid,100.0,1.0,0.7543723628669905,0.05,1,176
9,coarse_grid,1000.0,1.0,0.782281319996524,0.05,1,176
10,coarse_fit,58.06735210785115,1.0,0.7623383039113591,0.05,1,176
11,coarse_fit,172.21381097981777,1.0,0.7520767240899796,0.05,1,176
12,coarse_fit,337.1817380817165,1.0,0.7574141173092925,0.05,1,176
13,coarse_fit,161.21689292240654,1.0,0.7520104932836366,0.05,1,176
14,coarse_fit,157.9671938136758,1.0,0.7520151662800543,0.05,1,176
15,coarse_fit,160.87108032616163,1.0,0.7520105728364489,0.05,1,176
16,coarse_fit,161.3406911224776,1.0,0.7520104937980133,0.05,1,176
17,coarse_fit,161.09318971383598,1.0,0.7520105097966785,0.05,1,176
18,fine_fit,146.19021706249632,1.0,0.7526410867025267,0.0125,2,176
19,fine_fit,177.78813853490362,1.0,0.7526528954427014,0.0125,2,176
20,fine_fit,129.53735313945822,1.0,0.7530698424941588,0.0125,2,176
21,fine_fit,160.79028994660015,1.0,0.7525226133247916,0.0125,2,176
22,fine_fit,160.84272005588136,1.0,0.7525225641566351,0.0125,2,176
23,fine_fit,161.87900817389712,1.0,0.7525220945565635,0.0125,2,176
24,fine_fit,161.86657176480273,1.0,0.75252209504456,0.0125,2,176
25,fine_fit,161.92165320605096,1.0,0.7525220940201165,0.0125,2,176
26,fine_fit,167.80771721468685,1.0,0.7525389820403554,0.0125,2,176
27,fine_fit,161.90921352010508,1.0,0.7525220939517587,0.0125,2,176
28,fine_fit,161.89677479002688,1.0,0.7525220941063101,0.0125,2,176
