t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
0.0,4.6875,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,14.0625,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,23.4375,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,32.8125,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,42.18749999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,51.56249999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,60.9375,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,70.3125,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,79.68749999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,89.06249999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,98.43749999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,107.81249999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,117.18749999999999,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,126.5625,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,135.9375,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,145.3125,9.375,aGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,150.28333333333333,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,150.85,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,151.41666666666663,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,151.9833333333333,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,152.54999999999995,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,153.11666666666662,0.5666666666666668,aCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.3916
0.0,153.89999999999995,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,154.89999999999995,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,155.89999999999995,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,156.89999999999995,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,157.89999999999995,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,158.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,159.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,160.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,161.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,162.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,163.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,164.89999999999992,1.0,PEM,-25.0,3.0,0.0,116.1,0.0,0.0,0.0
0.0,166.1062499999999,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,167.5187499999999,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,168.9312499999999,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,170.34374999999986,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,171.75624999999985,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,173.16874999999985,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,174.58124999999984,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,175.9937499999998,1.4125,cCL,-25.0,0.0,0.0,0.0,0.0,0.0,0.4207
0.0,181.38749999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,190.76249999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,200.13749999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,209.51249999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,218.88749999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,228.26249999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,237.63749999999982,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,247.0124999999998,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
0.0,256.3874999999998,9.375,cGDL,-25.0,0.0,0.0,0.0,0.0,0.0,0.8
