t_s,j_A_m2,T_model_C,T_MEA_C,T_min_C,T_max_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,s_ice_pore_max,s_liquid_pore_max,gas_porosity_min,ice_max_x_um,ice_max_layer,water_produced_kg_m2,water_stored_kg_m2,water_initial_kg_m2,water_vapor_kg_m2,water_liquid_pore_kg_m2,water_unfrozen_mem_kg_m2,water_ice_kg_m2,water_out_kg_m2,water_balance_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_integral_J_m2,energy_balance_J_m2,H2_balance_mol_m2,O2_balance_mol_m2,model_valid,thermal_iterations_max,ever_invalid,min_gas_porosity_all_steps,min_kappa_all_steps,max_j_over_jlim_all_steps,V_model_V,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,j_lim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min_S_m,cO2_cCL_mol_m3,active_area_factor,phase_cond_kg_m2,rate_cond_kg_m2_s,phase_evap_kg_m2,rate_evap_kg_m2_s,phase_dep_kg_m2,rate_dep_kg_m2_s,phase_sub_kg_m2,rate_sub_kg_m2_s,phase_frz_kg_m2,rate_frz_kg_m2_s,phase_mlt_kg_m2,rate_mlt_kg_m2_s,phase_frz_pore_kg_m2,rate_frz_pore_kg_m2_s,phase_frz_mem_kg_m2,rate_frz_mem_kg_m2_s,phase_mlt_pore_kg_m2,rate_mlt_pore_kg_m2_s,phase_mlt_mem_kg_m2,rate_mlt_mem_kg_m2_s,heat_adsorption_J_m2,phase_heat_balance_J_m2,ice_balance_kg_m2,ice_to_produced_water_ratio,I_exp_A,I_consistent_25cm2_A,V_exp_V,T_exp_C,V_rel_error_pct,T_rel_error_pct,T_rel_error_K_pct
0.0,60.0,-19.999999999999943,-19.999999999999943,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.3916,4.6875,aGDL,0.0,0.0013931999999999998,0.0013931999999999998,0.0,0.0,0.0013931999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3916,0.5321551728569524,0.0,1.0909967561932785,1.2587389137358707,0.16632804633745626,0.0014129888211639012,1.1223839719215878e-06,291556.4439571423,0.00020579205585598298,2.999999999999999,3.0,0.5321551728569524,10.109491615449995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,0.799,-19.9953547791121,36.545276119308944,0.02323150021172661,0.0018349340908960083
0.2,60.0,-19.93086406726144,-19.93086406726144,-19.93348055840343,-19.92826817410338,2.259049965615123e-06,8.305128329485251e-07,2.259049965615123e-06,1.974121304845555e-06,0.00023578823185457649,0.3916,164.89999999999992,PEM,1.11934497590299e-06,0.0013940605157570281,0.0013931999999999998,6.244829287231724e-10,1.0817348653755118e-06,0.0013929648973912236,1.3259017500580863e-08,2.588292188759992e-07,1.3372532654777267e-18,4.666296745504616,-0.6442110462735989,0.6596810479744855,3.362404648341817,-2.9147150248931553e-09,1.739333639139487e-13,-1.5271258650001451e-15,1,3,0,0.3916,0.5310108114668597,0.00020582531815190164,1.0912598480806168,1.2586787052969635,0.16600623188563887,0.0014115025582119602,1.1227724958654522e-06,291532.43704183656,0.0002058090022805581,2.9994937497657697,2.991806128346633,0.5310108114668597,10.104779115967442,0.9999932176605416,0.0,0.0,1.0043497433497068e-09,5.021748716748533e-09,0.0,0.0,7.71527652749278e-14,3.8576382637463897e-13,1.3259094653346137e-08,6.629547326673068e-08,0.0,0.0,8.475303693957956e-09,4.237651846978978e-08,4.783790959388183e-09,2.3918954796940914e-08,0.0,0.0,0.0,0.0,-0.6461231872715051,-2.220446049250313e-16,1.6543612251060553e-24,0.01184533614392171,2.1,0.15,0.799,-19.9953547791121,36.578203764783076,0.3225284700525989,0.025474828555639838
0.4,70.0,-19.87407041680396,-19.87407041680396,-19.876109865528434,-19.871987186384672,7.060312425341697e-06,3.2499462379620565e-06,7.060312425341697e-06,7.725092079776697e-06,0.0004878852985898386,0.3916,164.89999999999992,PEM,2.3319686997978965e-06,0.0013950147669185694,0.0013931999999999998,6.25344524088349e-10,2.2001302785569617e-06,0.001392764375517767,4.963577772167199e-08,5.172017812285213e-07,2.295459287059154e-19,9.7658165652156,-1.27800931893355,2.2475788912123735,6.240228351474521,-3.5951557286750813e-09,3.370656889451623e-13,-2.5015932251029604e-15,1,3,0,0.3916,0.530624804783973,0.00023902648622416134,1.0845283196720141,1.2586279002857732,0.17245300815702522,0.0016452623025552523,1.3101541783787114e-06,291547.1883506935,0.00024009835387539072,2.999061962785889,2.9874220490313217,0.530624804783973,10.102256454937383,0.9999738039535218,0.0,0.0,2.0156528635103627e-09,5.056515600803279e-09,0.0,0.0,1.5987925038415327e-13,4.1363242554612733e-13,4.963593760092237e-08,1.8188421473788116e-07,0.0,0.0,3.273502707313459e-08,1.2129861689588318e-07,1.690091052778779e-08,6.058559784199803e-08,0.0,0.0,0.0,0.0,-1.2895282825245977,-2.220446049250313e-16,6.617444900424222e-24,0.02128492450433565,2.0,0.17500000000000002,0.8,-19.9939052077991,35.56603995900176,0.5993566026730701,0.04733632468675233
0.6,70.0,-19.82558074971402,-19.82558074971402,-19.82737606037253,-19.82404209547883,1.3760786425012848e-05,7.399279172999185e-06,1.3760786425012848e-05,1.758801800094886e-05,0.0007559799105766545,0.3916,164.89999999999992,PEM,3.6378711716847178e-06,0.0013960622951627274,0.0013931999999999998,6.2744216986409e-10,3.3636549251621826e-06,0.0013925897822395926,1.0823055580267702e-07,7.75576008956115e-07,-1.0501090963585188e-18,15.300909963678146,-1.9044029143991403,4.673502788128924,8.723004258099413,-3.050668162529746e-09,4.3715400223354184e-13,-4.773918348306705e-15,1,3,0,0.3916,0.5304490115426593,0.00024009750049636797,1.0847221559384554,1.258584186413583,0.17221674000189505,0.0016439801401145376,1.3103331179149922e-06,291564.3868791522,0.00024008419117734582,2.9986860082678564,2.984339363347878,0.5304490115426593,10.100356407712411,0.9999409849131391,0.0,0.0,3.0457174258127725e-09,5.15032281151205e-09,0.0,0.0,2.4300664229718077e-13,4.156369595651376e-13,1.082307988093193e-07,2.9297430604198473e-07,0.0,0.0,7.374702287437686e-08,2.0505997900621136e-07,3.4483775934942484e-08,8.79143270357735e-08,0.0,0.0,0.0,0.0,-1.932893726733776,2.220446049250313e-16,1.3234889800848443e-23,0.029751068879262942,2.0,0.17500000000000002,0.8,-19.992502715072,35.59026949230692,0.834922809499679,0.06593601498995252
0.8,60.0,-19.79779886479909,-19.79779886479909,-19.80171858346469,-19.796531264093687,2.1424824805659414e-05,1.3239963004970908e-05,2.1424824805659414e-05,3.147126932486548e-05,0.001000518067736949,0.3916,164.89999999999992,PEM,4.850494895579624e-06,0.001397016512973184,0.0013931999999999998,6.318454641420531e-10,4.3984612388185495e-06,0.0013924315597974729,1.858600914282895e-07,1.0339819223950911e-06,-4.012818587617248e-19,20.395692912746807,-2.524531493147561,7.69333373791401,10.177827683122503,1.4372680823271367e-09,6.219723087258489e-13,-6.371503801991252e-15,1,3,0,0.3916,0.5304354371804181,0.00024009750049636797,1.0917944975575782,1.2585587210743223,0.1653545511631712,0.0014085491580674969,1.1231955055644543e-06,291579.1439751161,0.0002057760345339395,2.998345305334783,2.9830458829317585,0.5304623578738309,10.099591594178253,0.9998953572399106,0.0,0.0,4.124779125684678e-09,5.395308499359526e-09,0.0,0.0,3.264284922482157e-13,4.1710924975517463e-13,1.858604178567817e-07,3.881480952373118e-07,0.0,0.0,1.3076681739365729e-07,2.8509897259640205e-07,5.5093600463124444e-08,1.0304912264090976e-07,0.0,0.0,0.0,0.0,-2.576221655762597,8.881784197001252e-16,5.293955920339377e-23,0.03831775837918485,2.1,0.15,0.8,-19.991066017965,36.47431219469727,0.9667676200570251,0.07634222112012204
1.0,60.0,-19.78352579188723,-19.78352579188723,-19.788124130527308,-19.78215745268878,2.9196303412174145e-05,2.05764901720598e-05,2.9196303412174145e-05,4.891012638949322e-05,0.0012219320728266616,0.3916,164.89999999999992,PEM,5.969839871482612e-06,0.0013978773854094032,0.0013931999999999998,6.395878520125786e-10,5.319162610291509e-06,0.0013922797851674239,2.7779804383576043e-07,1.292454462081046e-06,1.8507669897506462e-18,25.05378840399447,-3.1400616974089823,11.003265052511033,10.910461646164602,-7.909854105037084e-09,7.857581772741096e-13,-7.286868591166451e-15,1,3,0,0.3916,0.5304354371804181,0.00024009750049636797,1.0918498508194212,1.2585458352920558,0.16528651167940592,0.0014083495306817851,1.1232625466884756e-06,291578.564714505,0.00020577644333611474,2.9980184865792934,2.9824208515574946,0.5304744677461469,10.099052800565847,0.9998386707468694,0.0,0.0,5.296101092155877e-09,5.856609832355995e-09,0.0,0.0,4.0999076704480523e-13,4.178113739829476e-13,2.777984538265275e-07,4.596901798487292e-07,0.0,0.0,2.0160923459165047e-07,3.54212085989966e-07,7.618921923487707e-08,1.0547809385876316e-07,0.0,0.0,0.0,0.0,-3.219493847125285,4.440892098500626e-16,-5.293955920339377e-23,0.046533583783842626,2.0,0.15,0.8,-19.9896333486865,36.48123135242764,1.0310722223067392,0.08141383247526657
1.2,70.0,-19.764781902655955,-19.764781902655955,-19.769333821832873,-19.76331248895457,3.712670633130215e-05,2.9394891110360333e-05,3.712670633130215e-05,6.987138367093019e-05,0.0014598921572666077,0.3916,164.89999999999992,PEM,7.182463595377517e-06,0.0013988314032956175,0.0013931999999999998,6.542031384936586e-10,6.314271635258535e-06,0.001392133071772592,3.834056846284529e-07,1.5510602997623855e-06,2.555074885392597e-18,30.146811938078155,-3.751382120860079,14.555928044420899,11.839501761382373,-1.1414805101139791e-08,9.024379008827632e-13,-7.542198202786787e-15,1,3,0,0.3916,0.5303896019042287,0.00024009750049636797,1.0849595154656604,1.2585293425599386,0.1719257988945596,0.0016427175739476701,1.3106257709146618e-06,291570.83013447386,0.00024007888569551236,2.997702566263118,2.9811899321906794,0.5303896019042287,10.098010456873514,0.9997710807924195,0.0,0.0,6.634286632070267e-09,6.690927699571952e-09,0.0,0.0,4.936511985050314e-13,4.1830215730113096e-13,3.8340617827965144e-07,5.280386222656198e-07,0.0,0.0,2.8608190142550186e-07,4.2236333416925704e-07,9.732427685414955e-08,1.0567528809636241e-07,0.0,0.0,0.0,0.0,-3.862699306543959,4.440892098500626e-16,-5.293955920339377e-23,0.05338080444643044,2.0,0.17500000000000002,0.8,-19.9882428989544,35.61993943320754,1.1179621812087102,0.08826806973426668
1.4,70.0,-19.744469836894012,-19.744469836894012,-19.74988662091863,-19.7428580317264,4.551667422983806e-05,3.9840128362230504e-05,4.551667422983806e-05,9.469961578852032e-05,0.0017140779555813225,0.3916,164.89999999999992,PEM,8.488366067264345e-06,0.0013998784294666122,0.0013931999999999998,6.799052382154557e-10,7.378376565207256e-06,0.0013919944598772224,5.049131189444528e-07,1.8099366006528964e-06,9.766289881842083e-19,35.676768711948284,-4.358102248247834,18.439593787304485,12.879072663268811,-1.3127152698189093e-08,1.0309465412437768e-12,-9.208047735756453e-15,1,3,0,0.3916,0.5303436743057878,0.00024009750049636797,1.0850376652430367,1.2585110391067666,0.1718297848406921,0.0016422782924335759,1.3107306040523888e-06,291571.36702806904,0.0002400784436191268,2.997404091036224,2.980025559557595,0.5303436743057878,10.09720609315143,0.9996914453492476,0.0,0.0,8.282094964555723e-09,8.239041662427281e-09,0.0,0.0,5.774526312252611e-13,4.1900716360114837e-13,5.04913696397084e-07,6.07537590587163e-07,0.0,0.0,3.8561434214114205e-07,4.976622035782011e-07,1.1929935425594189e-07,1.0987538700896172e-07,0.0,0.0,0.0,0.0,-4.505834583684735,-8.881784197001252e-16,0.0,0.05948295760849268,2.1,0.17500000000000002,0.8,-19.9868180776747,35.62970815537958,1.212540384561726,0.09572807504649153
1.6,70.0,-19.729405847645097,-19.729405847645097,-19.73549542130101,-19.727639825575125,5.414614689347747e-05,5.192608869752406e-05,5.414614689347747e-05,0.00012342783146547198,0.001964639376281295,0.3916,164.89999999999992,PEM,9.794268539151173e-06,0.001400925008138106,0.0013931999999999998,7.18940681246173e-10,8.419709575084637e-06,0.0013918625357251207,6.420438972191455e-07,2.0692604010447272e-06,-2.786738396466648e-19,41.20579899390323,-4.960762510202544,22.593929383877626,13.65110708918452,-1.063854071503556e-08,1.1587946314312036e-12,-1.0501094351716977e-14,1,3,0,0.3916,0.5303275977317745,0.00024009750049636797,1.0850942481240016,1.2584974539516798,0.1717599007669645,0.0016419942408417404,1.3108198719590198e-06,291569.22776346776,0.00024008020509210494,2.997120016634627,2.9792409438704297,0.5303275977317745,10.096621236809321,0.9995997281195483,0.0,0.0,1.0424502841245493e-08,1.0712039383448842e-08,0.0,0.0,6.613716401610489e-13,4.1959504467893884e-13,6.420445585907859e-07,6.856543109685088e-07,0.0,0.0,5.002547067687759e-07,5.732018231381688e-07,1.4178985182200968e-07,1.1245248783033885e-07,0.0,0.0,0.0,0.0,-5.1488854437826355,-1.7763568394002505e-15,-3.1763735522036263e-22,0.06555302161184041,1.8,0.17500000000000002,0.8,-19.985473550325,35.63678101550019,1.2812691279749,0.10114675474915147
1.8,60.0,-19.72634508571761,-19.72634508571761,-19.733454865608223,-19.724162710090326,6.558398626478235e-05,6.558398626478235e-05,6.269080648336064e-05,0.0001558925273705309,0.002191908672854656,0.3916,170.34374999999986,cCL,1.1006892263046078e-05,0.001401877843452454,0.0013931999999999998,7.322130006369755e-10,9.349454189636725e-06,0.0013917344151148257,7.932419349908976e-07,2.32904881059153e-06,-2.7994438906754626e-19,46.29645521738813,-5.559827049467357,26.89719854106532,13.839429611469045,-1.5386408591666623e-08,1.2674847066004857e-12,-1.1358156169066769e-14,1,3,0,0.3916,0.5303275511521546,0.00024009750049636797,1.092066031813484,1.2584942824366925,0.16501964687259638,0.0014074801936228816,1.123556989147691e-06,291569.3699600485,0.00020578293257697588,2.996844132460865,2.97933944030299,0.5303902362129999,10.096816923730145,0.9994965520969784,0.0,0.0,1.304318987609479e-08,1.3093435174246491e-08,0.0,0.0,8.275515979844728e-13,8.308997891171198e-13,7.932427625424959e-07,7.559910197585502e-07,0.0,0.0,6.292283436340563e-07,6.448681843264021e-07,1.640144189084391e-07,1.1112283543214707e-07,0.0,0.0,0.0,0.0,-5.791842515411089,8.881784197001252e-16,-3.1763735522036263e-22,0.07206774773785,2.2,0.15,0.8,-19.9840946143707,36.5082539766855,1.289773360399026,0.10181052154731442
