工况初温_摄氏度,时间_s,电流密度_A每m2,实验电压_V,模型电压_V,电压相对误差_pct,实验温度_摄氏度,模型温度_摄氏度,温度相对误差_pct_摄氏口径,温度相对误差_pct_开尔文口径,模型最大冰体积分数,孔隙最大冰体积分数,膜最大冰体积分数,孔隙最大冰饱和度,膜平均未冻含水量_lambda,活化损失_V,欧姆损失_V,浓差损失_V,极限电流密度_A每m2,累计产水_kg每m2,累计排水_kg每m2,累计反应热_J每m2,累计相变热_J每m2,累计散热_J每m2,水质量守恒残差_kg每m2,离散能量守恒残差_J每m2,物理状态有效
-20.0,0.0,60.0,0.799,1.0924939308241368,36.7326571744852,-19.9953547791121,-19.999999999999943,0.02323150021172661,0.0018349340908960083,0.0,0.0,0.0,0.0,2.999999999999999,0.16483087170659802,0.0014129888211639012,1.1223839719215878e-06,291556.4439571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,0.2,60.0,0.799,1.092756455017997,36.765513769461435,-19.9953547791121,-19.931182964188906,0.32093361499255973,0.025348859337421776,2.273369041942431e-10,8.352393402619931e-11,2.273369041942431e-10,1.9853561689136988e-10,2.9995072805911094,0.16450989990605305,0.0014115025669327165,1.1227719008373423e-06,291532.2321333402,1.11934497590299e-06,2.572878011421665e-07,4.648334520627639,-0.6447401401093618,0.6568615830000742,2.4925003264141855e-18,-4.346787041420441e-09,1
-20.0,0.4,70.0,0.8,1.0860250014647606,35.753125183095065,-19.9939052077991,-19.874769360029802,0.5958608212407888,0.04706023288401856,7.128301423397649e-10,3.284003096065974e-10,7.128301423397649e-10,7.806044915773649e-10,2.999106131211291,0.17095695252852633,0.0016452523261076344,1.3101524867540304e-06,291546.75932529743,2.3319686997978965e-06,5.140344006636102e-07,9.728398153723795,-1.2866076549646435,2.236621003779388,1.4787077676691948e-18,-2.659010789329841e-10,1
-20.0,0.6,70.0,0.8,1.0862188470412648,35.7773558801581,-19.992502715072,-19.8267071370187,0.8292887609729236,0.0654910795972581,1.3935376020474596e-09,7.511423021522726e-10,1.3935376020474596e-09,1.7854582889286251e-09,2.998774198059214,0.17072107907557957,0.0016439521399062807,1.3103302241439138e-06,291563.7210785253,3.6378711716847178e-06,7.70796610475674e-07,15.24253849069918,-1.9285168695388426,4.647987588110757,-1.2694906296973826e-19,-6.723581691403524e-10,1
-20.0,0.8,60.0,0.8,1.09329130197819,36.661412747273744,-19.991066017965,-19.799319952479948,0.95915878279197,0.07574137814099785,2.176394630997565e-09,1.3503952842434523e-09,2.176394630997565e-09,3.209877072126105e-09,2.998485709699096,0.1638591527791495,0.0014085038335354568,1.1231919969172305e-06,291578.27688243357,4.850494895579624e-06,1.0276064121997802e-06,20.31786396894517,-2.570551198928923,7.646793823840657,2.0117032497289633e-20,-2.9508591126159445e-09,1
-20.0,1.0,60.0,0.8,1.0933478136280408,36.66847670350509,-19.9896333486865,-19.785397607455195,1.0217082908362831,0.08067445308791381,2.9753749606281047e-09,2.10890244049524e-09,2.9753749606281047e-09,5.012841550975136e-09,2.9982135583666922,0.1637902957716616,0.0014082801061192946,1.1232580859477428e-06,291577.5311005763,5.969839871482612e-06,1.2845039707721728e-06,24.957990938510854,-3.2128148354991466,10.930002648267266,2.770433012232003e-18,-8.180478516806033e-09,1
-20.0,1.2,70.0,0.8,1.0864595831498205,35.807447893727556,-19.9882428989544,-19.767019734992886,1.1067664380498754,0.0873841161851381,3.7950703565027426e-09,3.0273847577693744e-09,3.7950703565027426e-09,7.196065504562335e-09,2.9979534682761635,0.1704278465753629,0.0016426080872006244,1.3106193958964475e-06,291569.6281160124,7.182463595377517e-06,1.541572136732805e-06,30.031526489434526,-3.8555260495398427,14.450434267783594,2.97223861191534e-18,-9.549724566682016e-09,1
-20.0,1.4,70.0,0.8,1.0865398067242868,35.81747584053585,-19.9868180776747,-19.747092984036726,1.1994159986163517,0.09469192629737418,4.665440947291856e-09,4.122574329020646e-09,4.665440947291856e-09,9.799320962730319e-09,2.997713614710789,0.17033013635685568,0.0016421390405689871,1.3107229310964312e-06,291569.99953049625,8.488366067264345e-06,1.7989843057072356e-06,35.540467505124276,-4.499132618809267,18.295933115650474,1.2809255744853157e-18,-1.5512068074485796e-08,1
-20.0,1.6,70.0,0.8,1.086599013886424,35.82487673580301,-19.985473550325,-19.732401698407216,1.2662789864875088,0.09996339355549134,5.564475486149042e-09,5.3982216363667955e-09,5.564475486149042e-09,1.2831522786705004e-08,2.9974903378101754,0.17025799628546268,0.0016418232816205692,1.310810868981369e-06,291567.7167471262,9.794268539151173e-06,2.0568822427682186e-06,41.04844899984112,-5.143927088797671,22.4061849252875,1.2705494208814505e-20,-2.4636058526539273e-08,1
-20.0,1.8,60.0,0.8,1.093573550287126,36.696693785890744,-19.9840946143707,-19.729651444022295,1.2732284111857335,0.10050451697310148,6.849784375125856e-09,6.849784375125856e-09,6.4596051063961496e-09,1.6281873960365713e-08,2.9972758697437465,0.16351527699660467,0.0014073044540347899,1.1235482014166968e-06,291567.7680405059,1.1006892263046078e-05,2.3148576617353564e-06,46.11952496139492,-5.7888601613276665,26.660034794168197,-1.5797164466292701e-19,-2.8600144474921763e-08,1
