model,condition,kf_s_inv,j0_A_m2,training_objective,t_s,j_A_m2,T_model_C,T_MEA_C,T_min_C,T_max_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,s_ice_pore_max,s_liquid_pore_max,gas_porosity_min,ice_max_x_um,ice_max_layer,water_produced_kg_m2,water_stored_kg_m2,water_initial_kg_m2,water_vapor_kg_m2,water_liquid_pore_kg_m2,water_unfrozen_mem_kg_m2,water_ice_kg_m2,water_out_kg_m2,water_balance_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_integral_J_m2,energy_balance_J_m2,H2_balance_mol_m2,O2_balance_mol_m2,model_valid,thermal_iterations_max,ever_invalid,min_gas_porosity_all_steps,min_kappa_all_steps,max_j_over_jlim_all_steps,V_model_V,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,j_lim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min_S_m,cO2_cCL_mol_m3,active_area_factor,phase_cond_kg_m2,rate_cond_kg_m2_s,phase_evap_kg_m2,rate_evap_kg_m2_s,phase_dep_kg_m2,rate_dep_kg_m2_s,phase_sub_kg_m2,rate_sub_kg_m2_s,phase_frz_kg_m2,rate_frz_kg_m2_s,phase_mlt_kg_m2,rate_mlt_kg_m2_s,phase_frz_pore_kg_m2,rate_frz_pore_kg_m2_s,phase_frz_mem_kg_m2,rate_frz_mem_kg_m2_s,phase_mlt_pore_kg_m2,rate_mlt_pore_kg_m2_s,phase_mlt_mem_kg_m2,rate_mlt_mem_kg_m2_s,heat_adsorption_J_m2,phase_heat_balance_J_m2,ice_balance_kg_m2,ice_to_produced_water_ratio,I_exp_A,I_consistent_25cm2_A,V_exp_V,T_exp_C,V_rel_error_pct,T_rel_error_pct,T_rel_error_K_pct
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.0,60.0,-20.0,-20.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.3916,9.375,aGDL,0.0,0.0013931999999999998,0.0013931999999999998,0.0,0.0,0.0013931999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3916,0.5321551728569524,0.0,1.0925090086888396,1.2587389137358707,0.16481579384189526,0.0014129888211639012,1.1223839719215878e-06,291556.44395714183,0.0002057920558559833,3.0000000000000004,3.0,0.5321551728569524,10.109491615449995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,0.799,-19.9953547791121,36.73454426643799,0.023231500212010894,0.0018349340909184623
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.2,60.0,-19.932119403675728,-19.932119403675728,-19.934768999265543,-19.929515453195023,1.9981667830311669e-10,9.260587219302023e-11,1.9981667830311669e-10,2.2012329972194016e-10,0.00023763009107049068,0.3916,164.39999999999992,PEM,1.11934497590299e-06,0.0013940753104247955,0.0013931999999999998,7.214552156707046e-10,1.082444441416515e-06,0.0013929921430422352,1.4859283741078055e-12,2.440345511076679e-07,3.6321831569448466e-19,4.647889412003619,-0.6118895201026384,0.7380417484933273,3.297958143222108,-1.855453568566645e-10,6.587581229209466e-14,-9.869153562956645e-16,1,3,0,0.3916,0.5313260271491724,0.00020580858376878863,1.0927683841654665,1.2586805253394147,0.16449951583527458,0.0014115026145813706,1.1227240922161827e-06,291543.5252496022,0.0002058011747941635,2.9995524182649342,2.993266162357069,0.5313260271491724,10.105237641027013,0.9999999992508831,0.0,0.0,9.686981401803572e-10,4.843490700901786e-09,0.0,0.0,5.912149913257134e-14,2.956074956628567e-13,1.5450498732403771e-12,7.725249366201885e-12,0.0,0.0,9.952173600186362e-13,4.976086800093181e-12,5.498325132217406e-13,2.7491625661087025e-12,0.0,0.0,0.0,0.0,-0.6094681226541452,-1.1102230246251565e-16,-2.0194839173657902e-28,1.3274981405165891e-06,2.1,0.15,0.799,-19.9953547791121,36.76700677915725,0.3162503298137458,0.02497895125771645
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.4,70.0,-19.87596206010835,-19.87596206010835,-19.877978651123527,-19.873919135184792,6.390275421307229e-10,3.459679494180162e-10,6.390275421307229e-10,8.223626085524512e-10,0.0004950783399548684,0.3916,164.39999999999992,PEM,2.331968699797896e-06,0.0013950530540210676,0.0013931999999999998,7.234669067771829e-10,2.2071697070575607e-06,0.0013928451555594878,5.287615504803188e-12,4.789146787299616e-07,-1.3954867806014598e-19,9.727496468854103,-1.1990936001433115,2.3822064410802697,6.146196425068926,-2.561595824346341e-09,1.1662686875274497e-13,-1.6490579518232962e-15,1,3,0,0.3916,0.5309947643940442,0.00023580180211916886,1.0860362295381119,1.258630233128139,0.17094749164031792,0.0016452018556706565,1.3100940383852345e-06,291558.4163570358,0.00024008910761224466,2.9992359077508355,2.989150174390589,0.5309947643940442,10.102758574575745,0.9999999972438429,0.0,0.0,1.9439093985292e-09,4.876056291744214e-09,0.0,0.0,1.3831784687796037e-13,3.959817387269451e-13,5.4259333516811485e-12,1.9404417392203858e-11,0.0,0.0,3.5824094879262924e-12,1.293596063953828e-11,1.8435238637548556e-12,6.468456752665575e-12,0.0,0.0,0.0,0.0,-1.1942352448009037,0.0,-8.077935669463161e-28,2.26744703102638e-06,2.0,0.17500000000000002,0.8,-19.9939052077991,35.754528692263975,0.5898955029792896,0.046589100605126894
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.6,70.0,-19.827775731860186,-19.827775731860186,-19.829125735152672,-19.82622512847732,1.2701990512158706e-09,7.782263588088819e-10,1.2701990512158706e-09,1.8498368405250342e-09,0.000772345020033892,0.3916,164.39999999999992,PEM,3.6378711716847174e-06,0.001396124078803957,0.0013931999999999998,7.281994058871807e-10,3.3783068230507023e-06,0.0013927450323987071,1.1382793217285671e-11,7.137923677280634e-07,4.813264722772562e-19,15.241229908714717,-1.786297620535055,4.8446022024214255,8.610330079022042,-6.7361947131416855e-09,1.5632864469074248e-13,-1.883421803933194e-15,1,3,0,0.3916,0.5308406438123269,0.00024008629666166366,1.0862302027480326,1.2585866692382872,0.17071133337545744,0.0016438228255525242,1.3102892447046468e-06,291571.55798334477,0.00024007828638758573,2.999020310936062,2.9861794035310116,0.5308406438123269,10.10073314065592,0.9999999938839844,0.0,0.0,2.9322325583711426e-09,4.941615799209714e-09,0.0,0.0,2.1790075775608276e-13,3.9791455439061206e-13,1.1600693975041751e-11,3.0873803116803024e-11,0.0,0.0,7.860468895660166e-12,2.1390297038669372e-11,3.740225079381587e-12,9.483506078133657e-12,0.0,0.0,0.0,0.0,-1.7789702916870498,-2.220446049250313e-16,3.2311742677852644e-27,3.128970950341334e-06,2.0,0.17500000000000002,0.8,-19.992502715072,35.77877534350407,0.8239437831244074,0.06506897286411961
main,minus20,0.0001,167.62575178920932,0.7417074167995229,0.8,60.0,-19.79978698042214,-19.79978698042214,-19.803116838377974,-19.7985404920542,2.0174524988175394e-09,1.3855396717206373e-09,2.0174524988175394e-09,3.293414955361629e-09,0.0010297909466210162,0.3916,164.39999999999992,PEM,4.850494895579623e-06,0.001397101811081917,0.0013931999999999998,7.381815751916397e-10,4.4199698960350325e-06,0.001392681083553667,1.9450639375887804e-11,9.486838136629125e-07,3.612595520039591e-19,20.316225002830585,-2.373548499361957,7.869894278958623,10.072782217341778,-7.168226012765899e-09,2.0151810992477537e-13,-2.5761998870971192e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.0933045784178945,1.2585607652452508,0.16384677054428506,0.001408293101799415,1.1231812719932764e-06,291580.41575242206,0.00020577513700695653,2.9988826088580263,2.98477734313797,0.530831252484904,10.099748680539056,0.9999999892501259,0.0,0.0,3.951502800786516e-09,5.096351212076867e-09,0.0,0.0,2.977800986702446e-13,3.9939670457080903e-13,1.9748419474558046e-11,4.073862749758146e-11,0.0,0.0,1.3730814198076794e-11,2.935172651208313e-11,6.017605276481253e-12,1.1386900985498328e-11,0.0,0.0,0.0,0.0,-2.36367548664304,0.0,3.2311742677852644e-27,4.010031923466955e-06,2.1,0.15,0.8,-19.991066017965,36.66307230223681,0.9568225995100315,0.07555689800638561
main,minus20,0.0001,167.62575178920932,0.7417074167995229,1.0,60.0,-19.78521682468042,-19.78521682468042,-19.78929122084986,-19.783853895364274,2.8086699749085407e-09,2.1509153698044927e-09,2.8086699749085407e-09,5.11270589447229e-09,0.001267416412474468,0.3916,164.39999999999992,PEM,5.969839871482614e-06,0.001397986228552096,0.0013931999999999998,7.560679335461108e-10,5.345409202335141e-06,0.001392640034237647,2.9044180629937085e-11,1.1836113193871793e-06,7.636002019497518e-19,24.956107546884446,-2.960908779163146,11.171494103575872,10.823704654744468,-9.400960010452764e-09,2.440233887353316e-13,-2.527112633737838e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.0933640427029552,1.2585475036116176,0.16377439185202536,0.0014079458066294764,1.1232500077301483e-06,291579.8218502484,0.00020577555613850133,2.998794216704667,2.9841801596130604,0.5308537066355236,10.099191870914595,0.9999999835154371,0.0,0.0,5.028339794612641e-09,5.3841849691306236e-09,0.0,0.0,3.7780882074451745e-13,4.001436103713644e-13,2.94219894506816e-11,4.836784988061778e-11,0.0,0.0,2.097690551145025e-11,3.6230456566867286e-11,8.445083939231349e-12,1.2137393313750482e-11,0.0,0.0,0.0,0.0,-2.94834667429322,-8.881784197001252e-16,3.2311742677852644e-27,4.865152375137985e-06,2.0,0.15,0.8,-19.9896333486865,36.67050533786939,1.022612673481144,0.08074586346591578
main,minus20,0.0001,167.62575178920932,0.7417074167995229,1.2,70.0,-19.76648457613902,-19.76648457613902,-19.770561382109776,-19.7650483349978,3.645770963693609e-09,3.0775662657113223e-09,3.645770963693609e-09,7.315346483744526e-09,0.0015248605466362593,0.3916,164.39999999999992,PEM,7.18246359537752e-06,0.001398963837460737,0.0013931999999999998,7.905436142636053e-10,6.344347688753023e-06,0.0013926186590824782,4.014589138582802e-11,1.4186261346414028e-06,1.1343888746103217e-18,30.029288794512443,-3.548528302969788,14.725583041583521,11.755177441173704,-8.785429272961665e-09,2.7489946083369965e-13,-2.9610916583294733e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.0864778285163097,1.2585310992048324,0.1704098969404638,0.0016420631501780295,1.3105978809103272e-06,291575.0976217358,0.000240075371905772,2.998748189238756,2.9832243369638025,0.5308317496661252,10.098254234875213,0.9999999766762283,0.0,0.0,6.21262352628427e-09,5.921418658358148e-09,0.0,0.0,4.57933374622938e-13,4.0062276939210283e-13,4.060382476045096e-11,5.590917654884682e-11,0.0,0.0,2.9603300043957623e-11,4.3131972662536876e-11,1.1000524716493332e-11,1.2777203886309918e-11,0.0,0.0,0.0,0.0,-3.5330089919900067,-4.440892098500626e-16,0.0,5.589431934143748e-06,2.0,0.17500000000000002,0.8,-19.9882428989544,35.80972856453871,1.1094438062236054,0.08759550627027282
main,minus20,0.0001,167.62575178920932,0.7417074167995229,1.4,70.0,-19.746204214581326,-19.746204214581326,-19.751012011578922,-19.744598838186675,4.552823305171265e-09,4.181968749955303e-09,4.552823305171265e-09,9.940500950690047e-09,0.0018021220210484696,0.3916,164.39999999999992,PEM,8.488366067264342e-06,0.0014000345465472559,0.0013931999999999998,8.529857286028201e-10,7.414485890789856e-06,0.0013926191546968047,5.2973932499201736e-11,1.6538195200101056e-06,1.834461605516001e-18,35.53786040877632,-4.1366635922428765,18.61115478127052,12.790042027139092,-8.12382694448388e-09,2.9227645694310245e-13,-3.852956365416049e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.086559292488125,1.2585128043039153,0.17031077521292373,0.001641425891592487,1.3107112739310952e-06,291573.6137001474,0.00024007659373453315,2.998749256453069,2.9822596590583355,0.5308300814151593,10.097377741301795,0.9999999686195763,0.0,0.0,7.600037364333026e-09,6.937069190243783e-09,0.0,0.0,5.38192885227922e-13,4.0129755302491995e-13,5.351212538442966e-11,6.454150311989351e-11,0.0,0.0,3.97511457876722e-11,5.073922871857289e-11,1.3760979596757448e-11,1.3802274401320585e-11,0.0,0.0,0.0,0.0,-4.1176798254537115,-8.881784197001252e-16,0.0,6.240769080812551e-06,2.1,0.17500000000000002,0.8,-19.9868180776747,35.81991156101563,1.2038627767475505,0.09504299213903879
main,minus20,0.0001,167.62575178920932,0.7417074167995229,1.6,70.0,-19.731167713462412,-19.731167713462412,-19.736613146579145,-19.72942680137362,5.512633458320224e-09,5.466729903635734e-09,5.512633458320224e-09,1.2994366302913556e-08,0.0020793777710899903,0.3916,164.39999999999992,PEM,9.794268539151163e-06,0.0014011049615924001,0.0013931999999999998,9.513390387425107e-10,8.46569990526511e-06,0.001392638242853842,6.749425453213658e-11,1.8893069467533982e-06,2.5430046658942232e-18,41.045479457503184,-4.725623198397024,22.759166802541646,13.560689449748937,-6.815579212116063e-09,3.313946339567053e-13,-4.668954025482952e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.0866200140272915,1.2584991881098626,0.17023693892433914,0.0016409243536033063,1.3108046286292219e-06,291570.5318830958,0.00024007913127540014,2.9987903592890657,2.981679759935891,0.5308601732970297,10.096759326172469,0.9999999593469108,0.0,0.0,9.319416950768713e-09,8.596897932178422e-09,0.0,0.0,6.185714120021756e-13,4.018926338712677e-13,6.811282594413876e-11,7.300350279854544e-11,0.0,0.0,5.1418640053333167e-11,5.833747132830479e-11,1.6694185890805566e-11,1.4666031470240578e-11,0.0,0.0,0.0,0.0,-4.702345625674883,-8.881784197001252e-16,-1.2924697071141057e-26,6.891199098976929e-06,1.8,0.17500000000000002,0.8,-19.985473550325,35.827501753411426,1.2724533958238538,0.10045081766743512
main,minus20,0.0001,167.62575178920932,0.7417074167995229,1.8,60.0,-19.727827917722095,-19.727827917722095,-19.734208322915435,-19.72572355850022,6.925913901167377e-09,6.925913901167377e-09,6.495860584187537e-09,1.6462833138025616e-08,0.002336800271732739,0.3916,172.46249999999995,cCL,1.1006892263046068e-05,0.0014020816590485708,0.0013931999999999998,1.0848705556056512e-09,9.410352761912254e-06,0.0013926701378731159,8.35429870395948e-11,2.125233214477592e-06,2.529240380501341e-18,46.1162190157303,-5.3157673426425,27.040101351091494,13.760350318069644,-3.9266581097763265e-09,3.6676304354665845e-13,-5.0891907875383335e-15,1,3,0,0.3916,0.5308207401604975,0.00024008629666166366,1.0935965374425243,1.2584956042521727,0.16349158426221821,0.0014063589863782524,1.1235610519992587e-06,291566.4823056243,0.00020578497063701277,2.998859039347795,2.981836693641686,0.5309383748578533,10.096788871332873,0.9999999489258454,0.0,0.0,1.1519269104148375e-08,1.0999260766898317e-08,0.0,0.0,6.99021613810763e-13,4.0225100904293727e-13,8.424200865340557e-11,8.064591354633407e-11,0.0,0.0,6.452124545287125e-11,6.551302699769046e-11,1.9720763200534296e-11,1.513288654864365e-11,0.0,0.0,0.0,0.0,-5.28699529226857,-8.881784197001252e-16,-1.2924697071141057e-26,7.590061303686728e-06,2.2,0.15,0.8,-19.9840946143707,36.699567180315526,1.2823532994300497,0.10122480602522407
