condition,t_s,I_exp_A,j_A_m2,V_exp_V,T_exp_C,implied_area_cm2,I_from_25cm2_A
minus20,0.0,2.0,60.0,0.799,-19.9953547791121,333.3333333333333,0.15
minus20,0.2,2.1,60.0,0.799,-19.9953547791121,350.00000000000006,0.15
minus20,0.4,2.0,70.0,0.8,-19.9939052077991,285.7142857142857,0.17500000000000002
minus20,0.6,2.0,70.0,0.8,-19.992502715072,285.7142857142857,0.17500000000000002
minus20,0.8,2.1,60.0,0.8,-19.991066017965,350.00000000000006,0.15
minus20,1.0,2.0,60.0,0.8,-19.9896333486865,333.3333333333333,0.15
minus20,1.2,2.0,70.0,0.8,-19.9882428989544,285.7142857142857,0.17500000000000002
minus20,1.4,2.1,70.0,0.8,-19.9868180776747,300.0,0.17500000000000002
minus20,1.6,1.8,70.0,0.8,-19.985473550325,257.1428571428571,0.17500000000000002
minus20,1.8,2.2,60.0,0.8,-19.9840946143707,366.6666666666667,0.15
minus20,2.0,2.0,70.0,0.8,-19.9826430118958,285.7142857142857,0.17500000000000002
minus20,2.2,2.1,60.0,0.8,-19.9812337391118,350.00000000000006,0.15
minus20,2.4,2.0,60.0,0.8,-19.9798283691447,333.3333333333333,0.15
minus20,2.6,2.0,60.0,0.8,-19.9784650696349,333.3333333333333,0.15
minus20,2.8,2.0,60.0,0.8,-19.9771055344316,333.3333333333333,0.15
minus20,3.0,2.2,60.0,0.8,-19.9756733431688,366.6666666666667,0.15
minus20,3.2,2.1,60.0,0.8,-19.9742068055476,350.00000000000006,0.15
minus20,3.4,2.0,60.0,0.8,-19.9728209222263,333.3333333333333,0.15
minus20,3.6,2.1,60.0,0.8,-19.9714388687345,350.00000000000006,0.15
minus20,3.8,2.1,70.0,0.8,-19.9700224187202,300.0,0.17500000000000002
minus20,4.0,2.0,60.0,0.8,-19.9686481269663,333.3333333333333,0.15
minus20,4.2,1.9,60.0,0.8,-19.9673537812431,316.66666666666663,0.15
minus20,4.4,2.0,60.0,0.801,-19.9660629951806,333.3333333333333,0.15
minus20,4.6,2.0,70.0,0.801,-19.964737756968,285.7142857142857,0.17500000000000002
minus20,4.8,2.0,60.0,0.801,-19.9634161918419,333.3333333333333,0.15
minus20,5.0,2.0,70.0,0.801,-19.9620982843207,285.7142857142857,0.17500000000000002
minus20,5.2,2.2,70.0,0.801,-19.9607077658005,314.28571428571433,0.17500000000000002
minus20,5.4,2.0,70.0,0.801,-19.9593211229018,285.7142857142857,0.17500000000000002
minus20,5.6,1.9,70.0,0.801,-19.9580525390336,271.42857142857144,0.17500000000000002
minus20,5.8,2.0,60.0,0.801,-19.9567874395764,333.3333333333333,0.15
minus20,6.0,2.0,60.0,0.802,-19.9554878688332,333.3333333333333,0.15
minus20,6.2,2.2,50.0,0.797,-19.9541157140788,440.00000000000006,0.125
minus20,6.4,3.7,100.0,0.765,-19.9520861857361,370.00000000000006,0.25
minus20,6.6,5.3,150.0,0.739,-19.9488011654811,353.33333333333337,0.375
minus20,6.8,6.8,200.0,0.718,-19.9442018461222,340.0,0.5
minus20,7.0,9.3,250.0,0.699,-19.93782503582,372.00000000000006,0.625
minus20,7.2,11.0,320.0,0.682,-19.9294963225799,343.75,0.8
minus20,7.4,11.7,380.0,0.667,-19.9200346948561,307.8947368421052,0.9500000000000001
minus20,7.6,13.3,400.0,0.653,-19.9094720256139,332.5,1.0
minus20,7.8,14.9,460.0,0.64,-19.897330862705,323.9130434782609,1.1500000000000001
minus20,8.0,16.4,500.0,0.628,-19.8836350928311,327.99999999999994,1.25
minus20,8.2,18.2,560.0,0.616,-19.8682541508126,325.0,1.4000000000000001
minus20,8.4,19.6,610.0,0.606,-19.8512215782306,321.31147540983613,1.5250000000000001
minus20,8.6,21.4,660.0,0.595,-19.8325221554474,324.24242424242425,1.6500000000000001
minus20,8.8,23.8,740.0,0.586,-19.8115715300036,321.6216216216216,1.85
minus20,9.0,25.1,780.0,0.576,-19.7886399100623,321.7948717948718,1.95
minus20,9.2,26.7,830.0,0.568,-19.7641935453112,321.68674698795184,2.075
minus20,9.4,27.8,900.0,0.559,-19.7383556279195,308.8888888888889,2.25
minus20,9.6,29.4,920.0,0.551,-19.7111325575219,319.5652173913043,2.3000000000000003
minus20,9.8,30.9,970.0,0.544,-19.6822898265502,318.5567010309278,2.4250000000000003
minus20,10.0,32.7,1020.0,0.538,-19.6517115275147,320.5882352941176,2.5500000000000003
minus20,10.2,34.1,1060.0,0.531,-19.6194645915181,321.69811320754724,2.65
minus20,10.4,35.9,1130.0,0.525,-19.5855556675234,317.6991150442478,2.825
minus20,10.6,37.4,1170.0,0.52,-19.5499304519921,319.65811965811963,2.9250000000000003
minus20,10.8,39.6,1260.0,0.513,-19.5123469549534,314.28571428571433,3.15
minus20,11.0,40.5,1310.0,0.511,-19.4731881161943,309.1603053435114,3.275
minus20,11.2,41.9,1340.0,0.507,-19.4329621612014,312.6865671641791,3.35
minus20,11.4,43.8,1430.0,0.504,-19.3910488519049,306.2937062937063,3.575
