parameter,value,condition,V_RMSE,T_RMSE,ice_peak_bulk,ice_pore_at35,ice_mem_at35,valid_samples
kf,1.000209870495746e-05,minus20,0.05471226708657302,0.08109456462711384,1.3320065334998858e-06,3.7690748387964894e-07,1.3320065334998858e-06,176
kf,1.000209870495746e-05,minus25,0.05415878961267657,0.15388788659355523,1.9258125396960965e-06,5.035663786165517e-07,1.9258125396960965e-06,176
kf,0.00010002098704957458,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
kf,0.00010002098704957458,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
kf,0.0010002098704957457,minus20,0.054719181827732076,0.08113313199490371,0.00013314547202987673,3.768547711668153e-05,0.00013314547202987673,176
kf,0.0010002098704957457,minus25,0.05416931826133482,0.15403390710609857,0.00019247981365182786,5.0347458840722745e-05,0.00019247981365182786,176
km,0.1,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
km,0.1,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
km,1.0,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
km,1.0,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
km,10.0,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
km,10.0,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
kvl,0.5,minus20,0.05471387886441749,0.08118886231963454,1.3305886693568013e-05,3.7692187732246565e-06,1.3305886693568013e-05,176
kvl,0.5,minus25,0.05416239213497529,0.15389692111646538,1.9239472434183787e-05,5.035710279255135e-06,1.9239472434183787e-05,176
kvl,1.0,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
kvl,1.0,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
kvl,2.0,minus20,0.054711238937990965,0.08092779053768098,1.3343942679483292e-05,3.768656676101367e-06,1.3343942679483292e-05,176
kvl,2.0,minus25,0.05415509687720287,0.15389231626191432,1.9288947275171317e-05,5.035323316066659e-06,1.9288947275171317e-05,176
kvi,1e-05,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
kvi,1e-05,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
kvi,0.0001,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
kvi,0.0001,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
kvi,0.001,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
kvi,0.001,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
lambda_nf,2.5,minus20,0.05471295434414476,0.08109823889746036,1.7884411585758497e-05,3.769021683491435e-06,1.7884411585758497e-05,176
lambda_nf,2.5,minus25,0.05415991697496419,0.1539053887541528,2.5129767808391075e-05,5.035571755946115e-06,2.5129767808391075e-05,176
lambda_nf,3.0,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
lambda_nf,3.0,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
lambda_nf,3.5,minus20,0.054712792988789234,0.08109767721798786,1.007815463760276e-05,3.7690289370965237e-06,1.007815463760276e-05,176
lambda_nf,3.5,minus25,0.0541595781998096,0.15389916727902087,1.4956055063969025e-05,5.035583716954827e-06,1.4956055063969025e-05,176
exchange_factor,0.5,minus20,0.057135980171624315,0.09011707958373823,8.84849587856628e-06,4.021783296650029e-06,8.84849587856628e-06,176
exchange_factor,0.5,minus25,0.05722921955467837,0.17785026443237897,1.2986839694771366e-05,5.3624066277542745e-06,1.2986839694771366e-05,176
exchange_factor,1.0,minus20,0.05471289568338891,0.08109806626336742,1.331956351403537e-05,3.7690269062091953e-06,1.331956351403537e-05,176
exchange_factor,1.0,minus25,0.05415974674869575,0.15390116525929248,1.925720280470295e-05,5.035580311477415e-06,1.925720280470295e-05,176
exchange_factor,2.0,minus20,0.05309406379062187,0.08034059465530492,1.923410406274661e-05,3.4026326071137765e-06,1.923410406274661e-05,176
exchange_factor,2.0,minus25,0.052019181202417795,0.1276008752577963,2.753206334441324e-05,4.5671928530742334e-06,2.753206334441324e-05,176
