工况初温_摄氏度,时间_s,电流密度_A每m2,实验电压_V,模型电压_V,电压相对误差_pct,实验温度_摄氏度,模型温度_摄氏度,温度相对误差_pct_摄氏口径,温度相对误差_pct_开尔文口径,模型最大冰体积分数,孔隙最大冰体积分数,膜最大冰体积分数,孔隙最大冰饱和度,膜平均未冻含水量_lambda,活化损失_V,欧姆损失_V,浓差损失_V,极限电流密度_A每m2,累计产水_kg每m2,累计排水_kg每m2,累计反应热_J每m2,累计相变热_J每m2,累计散热_J每m2,水质量守恒残差_kg每m2,离散能量守恒残差_J每m2,物理状态有效
-25.0,0.0,66.006600660066,0.799,0.74358706206587,6.935286349703384,-24.9954164846888,-25.000000000000085,0.018337423239549153,0.0018470403594228278,0.0,0.0,0.0,0.0,2.999999999999999,0.5178562277461082,0.0017125050383697451,1.2225051974459396e-06,288662.7990634451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-25.0,0.2,69.3069306930693,0.799,0.7414540741875335,7.202243530972032,-24.9954164846888,-24.997837867347727,0.009687306712452728,0.0009757557666781418,3.544174270916783e-10,1.1708058792331873e-10,3.544174270916783e-10,2.782994721257873e-10,2.999525040648487,0.5198896615312323,0.0017979555216832116,1.2839776153623206e-06,288604.0470924247,1.2621876790985312e-06,2.5213422751616065e-07,9.979159862665202,-0.631809016065861,0.010268621583905568,5.579829540037703e-20,4.3903769508801815e-13,1
-25.0,0.4,66.006600660066,0.799,0.7436291834312143,6.930014589334885,-24.9939652961073,-24.996336282839366,0.009486236793460341,0.0009554418996472012,1.106430161178679e-09,4.580060678704759e-10,1.106430161178679e-09,1.088676177491029e-09,2.999150798495512,0.5177990387165787,0.0017125702043301301,1.2228645003265818e-06,288596.9401572338,2.5243753581970623e-06,5.033794955862227e-07,19.958198930186168,-1.2599224834316594,0.04476905293247436,-1.5881867761018131e-21,-4.5592417549644715e-09,1
-25.0,0.6,66.006600660066,0.799,0.7436328147230682,6.929560109753672,-24.9925613010652,-24.994860246008074,0.009198516771364688,0.0009264058151652544,2.0949847140794904e-09,1.0171859294612678e-09,2.0949847140794904e-09,2.4178415247474866e-09,2.99883634616651,0.5177939417470567,0.0017127489695283394,1.2229105279476881e-06,288587.7678550668,3.7557779719517236e-06,7.545984679596799e-07,29.679241861694763,-1.887972798213447,0.10320748523885621,1.0587911840678754e-20,-1.3478922908372049e-08,1
-25.0,0.8,69.3069306930693,0.799,0.7414661995085647,7.200725968890525,-24.9911229816268,-24.99331103494282,0.008755322110297939,0.0008817147072518874,3.2491789082929383e-09,1.7949164749776373e-09,3.2491789082929383e-09,4.2664998216725395e-09,2.9985608815230282,0.5198727008213425,0.0017985162806325133,1.284126898837136e-06,288576.1322223357,5.017965651050254e-06,1.0058364648920283e-06,39.65817793700822,-2.516078541044081,0.18540705249683923,5.761941623697378e-19,-1.2448022362887556e-08,1
-25.0,1.0,66.006600660066,0.8,0.7436413289784066,7.044833877699178,-24.9896887304606,-24.991822658437627,0.008539233921814646,0.0008598989766375724,4.523664588116309e-09,2.796402596957053e-09,4.523664588116309e-09,6.647023049577022e-09,2.9983134562877254,0.5177822186157567,0.0017130140023696558,1.223006723103883e-06,288568.9552431093,6.280153330148784e-06,1.2571670572910554e-06,49.63705307005375,-3.144430251814445,0.29198944835502233,9.357596484791883e-19,-1.1578676406553967e-08,1
-25.0,1.2,66.006600660066,0.799,0.743644948822143,6.928041449043429,-24.9882968823982,-24.9903590947184,0.008252712579437979,0.0008309953930416569,5.856311772483057e-09,4.016067185189066e-09,5.856311772483057e-09,9.546154469191979e-09,2.9980814099968853,0.5177772190589855,0.001713130958591907,1.223052809790757e-06,288559.73892913363,7.5115559439034455e-06,1.5086983441218764e-06,59.357935718008775,-3.773305222059345,0.42232255789567386,5.960994366302139e-19,-1.0629469859857466e-08,1
-25.0,1.4,69.3069306930693,0.8,0.7414782489088586,7.31521888639268,-24.9868705327381,-24.988822380590477,0.007811493839619606,0.0007865180684047,7.231001578591575e-09,5.454193225850751e-09,7.231001578591575e-09,1.2964566736036964e-08,2.9978604176089796,0.5198561105217686,0.0017988735534109558,1.284276336589231e-06,288548.06640974584,8.773743623001975e-06,1.7605139594466526e-06,69.33670819540212,-4.402870508627795,0.5762275865363812,1.0202511849678048e-18,-6.252136031115185e-09,1
-25.0,1.6,59.4059405940594,0.8,0.7483274666032861,6.459066674589245,-24.985524800531,-24.987491514159956,0.007871412126250346,0.0007925040952680616,8.625719454058173e-09,7.11206676729956e-09,8.625719454058173e-09,1.6905316775135632e-08,2.9976480746596756,0.513264304679481,0.0015420340881857073,1.100796602772277e-06,288545.78411198006,9.974361171412772e-06,2.0123561030004816e-06,78.80056501494242,-5.032469182235878,0.7539675514011005,1.5267768874258764e-18,-2.388388375962336e-10,1
-25.0,1.8,72.6072607260726,0.8,0.7394115661771654,7.573554227854329,-24.9841445358099,-24.985926600061646,0.007132780748972254,0.0007180940538384423,1.0003258705288619e-08,8.977581663715954e-09,1.0003258705288619e-08,2.13396283901021e-08,2.997436909537938,0.5218338124898463,0.0018847339096378383,1.3455540496006535e-06,288527.6000758205,1.1205763785167437e-05,2.2641808813261613e-06,88.52231491090122,-5.662024113548899,0.9539015489684836,1.9138709443210916e-18,1.4872355569295337e-09,1
