工况初温_摄氏度,时间_s,电流密度_A每m2,实验电压_V,模型电压_V,电压相对误差_pct,实验温度_摄氏度,模型温度_摄氏度,温度相对误差_pct_摄氏口径,温度相对误差_pct_开尔文口径,模型最大冰体积分数,孔隙最大冰体积分数,膜最大冰体积分数,孔隙最大冰饱和度,膜平均未冻含水量_lambda,活化损失_V,欧姆损失_V,浓差损失_V,极限电流密度_A每m2,累计产水_kg每m2,累计排水_kg每m2,累计反应热_J每m2,累计相变热_J每m2,累计散热_J每m2,水质量守恒残差_kg每m2,离散能量守恒残差_J每m2,物理状态有效
-20.0,0.0,60.0,0.799,0.7611801386208039,4.733399421676611,-19.9953547791121,-20.000000000000057,0.023231500212295177,0.0018349340909409161,0.0,0.0,0.0,0.0,2.999999999999999,0.49614466390993095,0.0014129888211639012,1.1223839719215878e-06,291556.4439571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,0.2,60.0,0.799,0.7612128492040039,4.729305481351207,-19.9953547791121,-19.998167660685226,0.014067675238582463,0.0011111317237230676,2.2780059700682913e-10,8.367263725585548e-11,2.2780059700682913e-10,1.988890830897444e-10,2.9995073261340868,0.4961002731046815,0.001412944591837425,1.122640149371285e-06,291504.4136969805,1.11934497590299e-06,2.572650991243926e-07,8.625512136366133,-0.6446829189358293,0.008870833641990315,2.2847654961000684e-18,-6.969206158349839e-09,1
-20.0,0.4,70.0,0.8,0.754260531547617,5.717433556547885,-19.9939052077991,-19.99664704598308,0.013713369926918892,0.001083062284648365,7.159723083749832e-10,3.2960646674385284e-10,7.159723083749832e-10,7.834715159112261e-10,2.9991063195806347,0.5028135789085205,0.0016486028183176251,1.30985905554663e-06,291488.4581326196,2.3319686997978965e-06,5.139396509325634e-07,18.01721441112768,-1.2863697652869468,0.03879243776297573,1.2795491459460274e-18,-1.0168830964774056e-08,1
-20.0,0.6,70.0,0.8,0.7542656776817516,5.716790289781059,-19.992502715072,-19.995082684141124,0.012904682849833475,0.0010191162010977858,1.4030157508364044e-09,7.552450419349379e-10,1.4030157508364044e-09,1.79521046335854e-09,2.998774616926563,0.5028064945387403,0.001648768838880284,1.3099136710246864e-06,291478.6366619975,3.6378711716847178e-06,7.70585253046248e-07,28.177523965957572,-1.927986957630729,0.09257923705424685,-1.648537873593682e-19,-1.3727790917905658e-08,1
-20.0,0.8,60.0,0.8,0.7612258247576114,4.846771905298586,-19.991066017965,-19.99375263501878,0.013439088497657101,0.001061237307141617,2.1958825187344188e-09,1.3597784833455406e-09,2.1958825187344188e-09,3.232180849407037e-09,2.998486424826857,0.4960823659433194,0.001413409272122551,1.1227709484205675e-06,291476.30410483363,4.850494895579624e-06,1.0272449406742086e-06,37.5691040092083,-2.5696456576592026,0.17052359810428314,-9.656175598699024e-20,-1.804427990359514e-08,1
-20.0,1.0,60.0,0.8,0.7612283125330939,4.846460933363272,-19.9896333486865,-19.992474292999646,0.014212088153845654,0.0011221915779016016,3.007131498262288e-09,2.12573371654102e-09,3.007131498262288e-09,5.052849338105586e-09,2.998214602752865,0.4960788542383043,0.0014135393081380506,1.122808151618553e-06,291467.79379815457,5.969839871482612e-06,1.2839756553910243e-06,46.19438231342446,-3.2114920126978403,0.26999544389302527,1.997938964336081e-18,-1.775314867336064e-08,1
-20.0,1.2,70.0,0.8,0.7542756820320197,5.715539745997547,-19.9882428989544,-19.9909700554131,0.013643802871952408,0.001077238714855286,3.84094799858917e-09,3.0538296922225107e-09,3.84094799858917e-09,7.25892486860592e-09,2.99795486410964,0.5027925188507697,0.0016491996352107784,1.3100551428287627e-06,291451.76080871973,7.182463595377517e-06,1.5408659125612887e-06,55.58588594977169,-3.853758281010649,0.39058561433767286,2.612884884042703e-18,-1.5083678805982714e-08,1
-20.0,1.4,70.0,0.8,0.754280800772855,5.714899903393134,-19.9868180776747,-19.98942146568254,0.013025525112203727,0.0010283438484497939,4.727901344121845e-09,4.161469252197522e-09,4.727901344121845e-09,9.891773834555554e-09,2.9977153931243388,0.5027855572583112,0.0016493007922102783,1.3101098327005702e-06,291441.8854830984,8.488366067264345e-06,1.7980845284517434e-06,65.7459835693617,-4.496880732710709,0.5348041519856528,1.0960606337470646e-18,-2.0113197329862942e-08,1
-20.0,1.6,70.0,0.8,0.7542849151946,5.714385600675012,-19.985473550325,-19.98789046850453,0.012093374587521452,0.0009546827959766587,5.645683332575416e-09,5.452662757377466e-09,5.645683332575416e-09,1.2960928826663813e-08,2.9974925255172096,0.5027799197382548,0.001649401469942286,1.3101626899247131e-06,291431.98314918927,9.794268539151173e-06,2.055760943966999e-06,75.90602175320036,-5.141116327807666,0.7034753655366904,-4.349514184150832e-19,-1.2882224509347395e-08,1
-20.0,1.8,60.0,0.8,0.7612452949646603,4.8443381294174666,-19.9840946143707,-19.986580342985576,0.012438535059214873,0.000981857573233979,6.922648919433756e-09,6.922648919433756e-09,6.560878700489653e-09,1.645507230671204e-08,2.997278481696528,0.49605572898523015,0.0014139060263844987,1.1229843747073438e-06,291429.6089054465,1.1006892263046078e-05,2.3134917956543833e-06,85.29735026536676,-5.785437751900731,0.8960086550009196,3.477070248478903e-19,-1.645482572421031e-08,1
