model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
main,minus20,kf,0.1,phase_one_at_a_time,0.0,1.0909967561932785,-19.999999999999943,0.0,0.0,0.0,0.0,1,0
main,minus20,kf,0.1,phase_one_at_a_time,0.2,1.091259081771252,-19.931180538338907,2.306294621911874e-07,8.837336629926578e-08,2.306294621911874e-07,1.4069548757253802e-09,1,0
main,minus20,kf,0.1,phase_one_at_a_time,0.4,1.0845275316415275,-19.8746126750151,7.203374119281101e-07,3.3824288872446356e-07,7.203374119281101e-07,5.156665415628863e-09,1,0
main,minus20,kf,0.1,phase_one_at_a_time,0.6,1.08472183274303,-19.826297031684675,1.4071272690882714e-06,7.658177765164033e-07,1.4071272690882714e-06,1.119160397342313e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,0.8,1.0917955612262797,-19.7985668744449,2.1967861387156715e-06,1.3686530467247301e-06,2.1967861387156715e-06,1.9206315566863927e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,1.0,1.0918530833406301,-19.7843335746567,3.0040516079302608e-06,2.12929954034222e-06,3.0040516079302608e-06,2.8745500535425938e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,1.2,1.0849650423674975,-19.76573249199984,3.834776207574037e-06,3.0490826179729797e-06,3.834776207574037e-06,3.978008743221524e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,1.4,1.0850455734770204,-19.74558327231125,4.71787138156608e-06,4.144440733187907e-06,4.71787138156608e-06,5.254645462304407e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,1.6,1.0851050560892583,-19.730695667084063,5.630697623686926e-06,5.418470270457709e-06,5.630697623686926e-06,6.702911380107299e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,1.8,1.0920803693824999,-19.727707503597088,6.865925970304984e-06,6.865925970304984e-06,6.539662211133434e-06,8.30844254448606e-08,1,0
main,minus20,kf,0.1,phase_one_at_a_time,2.0,1.0851318259277292,-19.723796974715043,8.475170715905668e-06,8.475170715905668e-06,7.41899343965225e-06,1.0049748516140818e-07,1,0
main,minus20,kf,0.1,phase_one_at_a_time,2.2,1.0920999815600405,-19.72254084386836,1.0254043009508114e-05,1.0254043009508114e-05,8.29883730319868e-06,1.1941617924224992e-07,1,0
