dataset,check,observed,tolerance,passed
main_minus20,176_samples,0.0,0,True
main_minus20,sample_times,7.105427357601002e-15,1e-10,True
main_minus20,all_steps_valid,0.0,0,True
main_minus20,cond_monotonic_cumulative,0.0,1e-15,True
main_minus20,cond_interval_rate_integral,0.0,1e-14,True
main_minus20,evap_monotonic_cumulative,0.0,1e-15,True
main_minus20,evap_interval_rate_integral,1.3234889800848443e-23,1e-14,True
main_minus20,dep_monotonic_cumulative,0.0,1e-15,True
main_minus20,dep_interval_rate_integral,0.0,1e-14,True
main_minus20,sub_monotonic_cumulative,0.0,1e-15,True
main_minus20,sub_interval_rate_integral,8.077935669463161e-28,1e-14,True
main_minus20,frz_monotonic_cumulative,0.0,1e-15,True
main_minus20,frz_interval_rate_integral,8.470329472543003e-22,1e-14,True
main_minus20,mlt_monotonic_cumulative,0.0,1e-15,True
main_minus20,mlt_interval_rate_integral,3.308722450212111e-24,1e-14,True
main_minus20,frz_pore_monotonic_cumulative,0.0,1e-15,True
main_minus20,frz_pore_interval_rate_integral,8.470329472543003e-22,1e-14,True
main_minus20,frz_mem_monotonic_cumulative,0.0,1e-15,True
main_minus20,frz_mem_interval_rate_integral,2.117582368135751e-22,1e-14,True
main_minus20,mlt_pore_monotonic_cumulative,0.0,1e-15,True
main_minus20,mlt_pore_interval_rate_integral,1.6543612251060553e-24,1e-14,True
main_minus20,mlt_mem_monotonic_cumulative,0.0,1e-15,True
main_minus20,mlt_mem_interval_rate_integral,1.0339757656912846e-25,1e-14,True
main_minus20,ice_from_phase_accounting,1.5178830414797062e-18,1e-12,True
main_minus20,phase_heat_from_mass,6.394884621840902e-13,1e-07,True
main_minus20,faraday_production_from_inputs,6.071532165918825e-17,1e-12,True
main_minus20,water_inventory_closure,5.93871739978935e-17,1e-12,True
main_minus25,176_samples,0.0,0,True
main_minus25,sample_times,1.0658141036401503e-13,1e-10,True
main_minus25,all_steps_valid,0.0,0,True
main_minus25,cond_monotonic_cumulative,0.0,1e-15,True
main_minus25,cond_interval_rate_integral,0.0,1e-14,True
main_minus25,evap_monotonic_cumulative,0.0,1e-15,True
main_minus25,evap_interval_rate_integral,6.617444900424222e-24,1e-14,True
main_minus25,dep_monotonic_cumulative,0.0,1e-15,True
main_minus25,dep_interval_rate_integral,0.0,1e-14,True
main_minus25,sub_monotonic_cumulative,0.0,1e-15,True
main_minus25,sub_interval_rate_integral,8.077935669463161e-28,1e-14,True
main_minus25,frz_monotonic_cumulative,0.0,1e-15,True
main_minus25,frz_interval_rate_integral,1.6940658945086007e-21,1e-14,True
main_minus25,mlt_monotonic_cumulative,0.0,1e-15,True
main_minus25,mlt_interval_rate_integral,0.0,1e-14,True
main_minus25,frz_pore_monotonic_cumulative,0.0,1e-15,True
main_minus25,frz_pore_interval_rate_integral,8.470329472543003e-22,1e-14,True
main_minus25,frz_mem_monotonic_cumulative,0.0,1e-15,True
main_minus25,frz_mem_interval_rate_integral,4.235164736271502e-22,1e-14,True
main_minus25,mlt_pore_monotonic_cumulative,0.0,1e-15,True
main_minus25,mlt_pore_interval_rate_integral,0.0,1e-14,True
main_minus25,mlt_mem_monotonic_cumulative,0.0,1e-15,True
main_minus25,mlt_mem_interval_rate_integral,0.0,1e-14,True
main_minus25,ice_from_phase_accounting,2.6020852139652106e-18,1e-12,True
main_minus25,phase_heat_from_mass,8.810729923425242e-13,1e-07,True
main_minus25,faraday_production_from_inputs,3.0357660829594124e-17,1e-12,True
main_minus25,water_inventory_closure,1.0243000024556803e-16,1e-12,True
bp_minus20,176_samples,0.0,0,True
bp_minus20,sample_times,7.105427357601002e-15,1e-10,True
bp_minus20,all_steps_valid,0.0,0,True
bp_minus20,cond_monotonic_cumulative,0.0,1e-15,True
bp_minus20,cond_interval_rate_integral,0.0,1e-14,True
bp_minus20,evap_monotonic_cumulative,0.0,1e-15,True
bp_minus20,evap_interval_rate_integral,3.308722450212111e-24,1e-14,True
bp_minus20,dep_monotonic_cumulative,0.0,1e-15,True
bp_minus20,dep_interval_rate_integral,0.0,1e-14,True
bp_minus20,sub_monotonic_cumulative,0.0,1e-15,True
bp_minus20,sub_interval_rate_integral,4.0389678347315804e-28,1e-14,True
bp_minus20,frz_monotonic_cumulative,0.0,1e-15,True
bp_minus20,frz_interval_rate_integral,3.3881317890172014e-21,1e-14,True
bp_minus20,mlt_monotonic_cumulative,0.0,1e-15,True
bp_minus20,mlt_interval_rate_integral,0.0,1e-14,True
bp_minus20,frz_pore_monotonic_cumulative,0.0,1e-15,True
bp_minus20,frz_pore_interval_rate_integral,1.6940658945086007e-21,1e-14,True
bp_minus20,frz_mem_monotonic_cumulative,0.0,1e-15,True
bp_minus20,frz_mem_interval_rate_integral,8.470329472543003e-22,1e-14,True
bp_minus20,mlt_pore_monotonic_cumulative,0.0,1e-15,True
bp_minus20,mlt_pore_interval_rate_integral,0.0,1e-14,True
bp_minus20,mlt_mem_monotonic_cumulative,0.0,1e-15,True
bp_minus20,mlt_mem_interval_rate_integral,0.0,1e-14,True
bp_minus20,ice_from_phase_accounting,2.3852447794681098e-18,1e-12,True
bp_minus20,phase_heat_from_mass,1.0231815394945443e-12,1e-07,True
bp_minus20,faraday_production_from_inputs,6.071532165918825e-17,1e-12,True
bp_minus20,water_inventory_closure,7.81370953183147e-17,1e-12,True
bp_minus20,all_samples_subfreezing,0.0,0,True
bp_minus20,subfreezing_no_melting,0.0,0,True
bp_minus25,176_samples,0.0,0,True
bp_minus25,sample_times,1.0658141036401503e-13,1e-10,True
bp_minus25,all_steps_valid,0.0,0,True
bp_minus25,cond_monotonic_cumulative,0.0,1e-15,True
bp_minus25,cond_interval_rate_integral,0.0,1e-14,True
bp_minus25,evap_monotonic_cumulative,0.0,1e-15,True
bp_minus25,evap_interval_rate_integral,3.308722450212111e-24,1e-14,True
bp_minus25,dep_monotonic_cumulative,0.0,1e-15,True
bp_minus25,dep_interval_rate_integral,0.0,1e-14,True
bp_minus25,sub_monotonic_cumulative,0.0,1e-15,True
bp_minus25,sub_interval_rate_integral,2.0194839173657902e-28,1e-14,True
bp_minus25,frz_monotonic_cumulative,0.0,1e-15,True
bp_minus25,frz_interval_rate_integral,3.3881317890172014e-21,1e-14,True
bp_minus25,mlt_monotonic_cumulative,0.0,1e-15,True
bp_minus25,mlt_interval_rate_integral,0.0,1e-14,True
bp_minus25,frz_pore_monotonic_cumulative,0.0,1e-15,True
bp_minus25,frz_pore_interval_rate_integral,3.3881317890172014e-21,1e-14,True
bp_minus25,frz_mem_monotonic_cumulative,0.0,1e-15,True
bp_minus25,frz_mem_interval_rate_integral,8.470329472543003e-22,1e-14,True
bp_minus25,mlt_pore_monotonic_cumulative,0.0,1e-15,True
bp_minus25,mlt_pore_interval_rate_integral,0.0,1e-14,True
bp_minus25,mlt_mem_monotonic_cumulative,0.0,1e-15,True
bp_minus25,mlt_mem_interval_rate_integral,0.0,1e-14,True
bp_minus25,ice_from_phase_accounting,1.734723475976807e-18,1e-12,True
bp_minus25,phase_heat_from_mass,1.1368683772161603e-12,1e-07,True
bp_minus25,faraday_production_from_inputs,3.0357660829594124e-17,1e-12,True
bp_minus25,water_inventory_closure,7.201812930734963e-17,1e-12,True
bp_minus25,all_samples_subfreezing,0.0,0,True
bp_minus25,subfreezing_no_melting,0.0,0,True
含双极板修订_两工况352行工作数据.csv,352_unique_samples,0.0,0,True
五层基线_两工况352行工作数据.csv,352_unique_samples,0.0,0,True
相变敏感性全时序.csv,scenario_count,0.0,0,True
相变敏感性全时序.csv,176_samples_per_scenario,0.0,0,True
相变敏感性全时序.csv,all_scenarios_valid,0.0,0,True
冻结系数情景全时序.csv,scenario_count,0.0,0,True
冻结系数情景全时序.csv,176_samples_per_scenario,0.0,0,True
冻结系数情景全时序.csv,all_scenarios_valid,0.0,0,True
main,only_j0_calibrated,0.0,0,True
main,all_phase_references_fixed,0.0,0,True
bp,only_j0_calibrated,0.0,0,True
bp,all_phase_references_fixed,0.0,0,True
