model,condition,check,grid_scale,dt_s,max_difference_V_model_V,max_difference_T_model_C,max_difference_ice_max_bulk,max_difference_ice_pore_max_bulk,max_difference_ice_mem_max_bulk,valid_samples
main,minus20,time_half,2,0.00625,1.4685407597414546e-05,0.005432403761119531,2.30755839839989e-08,7.906894148681154e-10,2.30755839839989e-08,176
main,minus20,grid_double,4,0.0125,3.114777069068708e-05,0.0008860071095568856,1.027646672424178e-07,9.672153280659055e-09,1.027646672424178e-07,176
main,minus20,grid_double_time_half,4,0.00625,3.053025833832379e-05,0.005950988082247477,6.063373194521419e-08,8.770561763426205e-09,6.063373194521419e-08,176
main,minus25,time_half,2,0.00625,1.6370117151276453e-05,0.005820972926471768,3.991818137610298e-08,8.774142308917398e-10,3.991818137610298e-08,176
main,minus25,grid_double,4,0.0125,4.0407057392166656e-05,0.0011512979698409254,2.2682450677138597e-07,1.528370501832276e-08,2.2682450677138597e-07,176
main,minus25,grid_double_time_half,4,0.00625,4.716439610530365e-05,0.006196916030148714,1.526612633560266e-07,1.405262384912743e-08,1.526612633560266e-07,176
bp,minus20,time_half,2,0.00625,7.399235597893572e-06,0.0001346658868897066,6.120327440853771e-08,3.861255339746433e-10,6.120327440853771e-08,176
bp,minus20,grid_double,4,0.0125,8.496027699067543e-05,0.00027873408788536835,4.7666846308646393e-07,2.2167294319653423e-08,4.7666846308646393e-07,176
bp,minus20,grid_double_time_half,4,0.00625,9.04913243581218e-05,0.0004406210876481964,3.6052142305189313e-07,2.1327676668168103e-08,3.6052142305189313e-07,176
bp,minus25,time_half,2,0.00625,7.385886409583264e-06,0.000167396955419008,7.910971615660443e-08,4.5373887590484727e-10,7.910971615660443e-08,176
bp,minus25,grid_double,4,0.0125,0.00014795420498614487,0.0005780164519819664,7.605280717312601e-07,2.987932418980429e-08,7.605280717312601e-07,176
bp,minus25,grid_double_time_half,4,0.00625,0.00015341286525427655,0.0007737562796137354,6.103333606728734e-07,2.8837545646980468e-08,6.103333606728734e-07,176
