model,condition,t_s,n_scenarios,objective_tolerance_fraction,V_model_V_min,V_model_V_max,T_model_C_min,T_model_C_max,ice_max_bulk_min,ice_max_bulk_max,ice_pore_max_bulk_min,ice_pore_max_bulk_max,ice_mem_max_bulk_min,ice_mem_max_bulk_max,water_ice_kg_m2_min,water_ice_kg_m2_max
main,minus20,0.0,8,0.05,1.090809988459632,1.0938864724469688,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,minus20,0.2,8,0.05,1.091070277560681,1.0941451235398025,-19.93214171645016,-19.93169238203552,1.9981667830311669e-10,5.875301934269702e-06,9.260587219302023e-11,2.8853041983490385e-06,1.9981667830311669e-10,5.875301934269702e-06,1.4859283741078055e-12,4.535872480612363e-08
main,minus20,0.4,8,0.05,1.0843382416377039,1.0874123589149554,-19.87596206010835,-19.87507225243823,6.390275421307229e-10,1.8582463717522995e-05,3.459679494180162e-10,1.0399540205023277e-05,6.390275421307229e-10,1.8582463717522995e-05,5.287615504803188e-12,1.57106896761795e-07
main,minus20,0.6,8,0.05,1.0845323901786101,1.0876045877933442,-19.827775731860186,-19.826394985348458,1.2701990512158706e-09,3.6558369067611e-05,7.782263588088819e-10,2.2821040180889212e-05,1.2701990512158706e-09,3.6558369067611e-05,1.1382793217285671e-11,3.31457940237167e-07
main,minus20,0.8,8,0.05,1.0916068531975407,1.0946759272911948,-19.79978698042214,-19.797968869182796,2.0174524988175394e-09,5.746483413467779e-05,1.3855396717206373e-09,3.9828471159646595e-05,2.0174524988175394e-09,5.746483413467779e-05,1.9450639375887804e-11,5.566775305939154e-07
main,minus20,1.0,8,0.05,1.0916652829690283,1.0947315951794694,-19.78521682468042,-19.782859573122153,2.8086699749085407e-09,7.915172253726368e-05,2.1509153698044927e-09,6.0731731219325824e-05,2.8086699749085407e-09,7.915172253726368e-05,2.9044180629937085e-11,8.178800201213569e-07
main,minus20,1.2,8,0.05,1.0847770327944708,1.0878406199944561,-19.76648457613902,-19.763396009591474,3.645770963693609e-09,0.0001016945401552398,3.0775662657113223e-09,8.546295495886066e-05,3.645770963693609e-09,0.0001016945401552398,4.014589138582802e-11,1.1133265626710877e-06
main,minus20,1.4,8,0.05,1.0848565643660402,1.0879158297536977,-19.746204214581326,-19.742369260975238,4.552823305171265e-09,0.00012579821684694133,4.181968749955303e-09,0.00011434342125615036,4.552823305171265e-09,0.00012579821684694133,5.2973932499201736e-11,1.4481543684843195e-06
main,minus20,1.6,8,0.05,1.0849148357073222,1.0879691424058864,-19.731167713462412,-19.726565926141916,5.512633458320224e-09,0.00015093379973033644,5.466729903635734e-09,0.00014727468110949988,5.512633458320224e-09,0.00015093379973033644,6.749425453213658e-11,1.8198928516397372e-06
main,minus20,1.8,8,0.05,1.091888955429715,1.0949370023762024,-19.727827917722095,-19.722450769443725,6.925913901167377e-09,0.000183910883047614,6.925913901167377e-09,0.000183910883047614,6.495860584187537e-09,0.00017622662023615318,8.35429870395948e-11,2.2223478553594e-06
