strategy,grid_scale,dt_s,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
constant,1,0.1,success,27.152595043182487,13.576297521591243,0.5,0.49748589018460027,0.037869530112467756,0.031193427149243367,1.0096927305233563e-07,7.710467625780192,-2.2519088815897703e-09,-9.345822726825048e-17,0.3478520708523796,0.019432461455719238,0.48279132537018565,2.4378454810403127e-10,629336.0574896176,531.356866730881,13204.088175175943,616663.3261811703,0.5744529577952505,7.710467726749465,0.0,0.013123074801686686,0.037869530112467756
constant,1,0.05,success,27.14225412607218,13.57112706303609,0.5,0.49728147324421157,0.03706957525595077,0.03114355994791357,1.0097029263452811e-07,7.714072341611946,-1.0932126315310597e-09,2.782604875684047e-15,0.3477832835190443,0.019431179736753276,0.48156198801300476,9.201244210998993e-10,629141.1900483507,478.6784580062695,13182.87971690191,616436.988789454,0.5744012942281731,7.714072442582238,0.0,0.013102095670087239,0.03706957525595077
constant,1,0.025,success,27.137328791617875,13.568664395808938,0.5,0.4971662130644477,0.036675471138076475,0.03112854046641765,1.0106784811837043e-07,7.715885413667276,7.34871719032526e-10,-6.326319676452918e-17,0.347798150233784,0.01942997991219133,0.48090277382286895,1.1513101583204843e-10,629049.1192117864,447.008842790437,13172.372751697407,616323.7553028802,0.5743738957918326,7.715885514735124,0.0,0.013095776974221908,0.036675471138076475
constant,2,0.05,success,27.127229249477637,13.563614624738818,0.5,0.49706157510677723,0.040504156140014805,0.03145192718378541,1.0207317294863949e-07,7.712389200917152,2.242813934572041e-09,1.0463418326223106e-14,0.34749440806607373,0.019440029519607074,0.4626063592165437,9.224887520531411e-10,629021.3490090634,477.37588930021485,13175.477313409901,616323.247584956,0.573896276569828,7.712389302990325,0.0,0.013231825766218524,0.040504156140014805
constant,2,0.025,success,27.122025191783433,13.561012595891716,0.5,0.4969489210214935,0.03968876652952348,0.03139260904074834,1.0012844775252288e-07,7.71421989426708,1.9099388737231493e-10,7.628988586694252e-16,0.3474652309005482,0.019439492529655555,0.46198796110540946,1.1542233835371007e-10,628933.4643630623,447.7995058373002,13164.938072955698,616216.3257959441,0.5738723116943386,7.714219994395528,0.0,0.013206870623442826,0.03968876652952348
constant,2,0.0125,success,27.119494053720423,13.559747026860212,0.5,0.49688882001801316,0.03928370178412523,0.03136570441153429,1.0061788761406024e-07,7.7151388651896475,-8.05084710009396e-09,1.120322367861859e-14,0.3474813534731148,0.019438943078033333,0.4616483435741978,1.4436452033805836e-11,628891.1594761978,431.4046226716938,13159.696830810763,616162.8672680507,0.5738599317369445,7.715138965807535,0.0,0.013195551845932477,0.03928370178412523
constant,4,0.0125,success,27.11179411113162,13.55589705556581,0.5,0.4967958904486416,0.04107170834751892,0.031487232740676455,1.0017233492010725e-07,7.714277657776079,2.582964953035116e-10,4.723933917649692e-14,0.3473079575743191,0.019444304139758662,0.4522360365624542,1.4452439245360438e-11,628836.6400616668,431.0508820751442,13155.857428096073,616111.8335156462,0.5735925135103269,7.714277757948414,0.0,0.013246678814002585,0.04107170834751892
constant,4,0.00625,success,27.110481135549044,13.555240567774522,0.5,0.49676472867162597,0.040677283220665716,0.03146769071060147,1.001034876040702e-07,7.714739695939416,-6.057234713807702e-10,2.7265516233665466e-15,0.3473220008417326,0.019444044605402323,0.45208038574979814,1.808331262509455e-12,628815.8054927181,423.32045925902366,13153.227971237526,616085.897980739,0.5735870775452127,7.714739796042903,0.0,0.013238457481950043,0.040677283220665716
ramp,1,0.1,success,27.26004362106335,13.580021810531676,0.5,0.49751614619518325,0.03790499016879049,0.031223253677758675,1.0003493636094536e-07,7.710461644739969,-7.09405867382884e-10,-7.513521055324546e-17,0.34780631081696173,0.019433436116307344,0.4829464023974784,3.62569529954726e-10,629353.9023874593,531.0392446015144,13204.570115362061,616680.371516698,0.5744517942537636,7.710461744774906,0.0,0.013135622822233075,0.03790499016879049
ramp,1,0.05,success,27.249067783355965,13.574533891677984,0.5,0.49729660578521595,0.037098991710426625,0.031169663854000523,1.0030668971781367e-07,7.714068585284441,1.8480932340025902e-09,2.7505667014871005e-15,0.34774515245205107,0.01943205661685345,0.4816654771137671,9.199094819223319e-10,629157.7616973704,478.1087408327948,13183.303135308211,616452.5673028969,0.5744000773617038,7.714068685591131,0.0,0.013113077583378022,0.037098991710426625
ramp,1,0.025,success,27.24396772384596,13.57198386192298,0.5,0.49718046303501984,0.036703000900640666,0.031153657445659805,1.0047132585078254e-07,7.715884063166838,-7.023118087090552e-09,-2.342960894741175e-16,0.34777128413794767,0.019430890897416998,0.4809926488228891,1.1510792319313623e-10,629065.379127873,446.2987341862662,13172.776230876927,616338.9016311753,0.5743729602318031,7.715884163638163,0.0,0.013106343687389083,0.036703000900640666
ramp,2,0.05,success,27.234028518200173,13.567014259100088,0.5,0.4970780557063771,0.04053490231576718,0.03147789367739444,1.0081201686723376e-07,7.712386728539755,-2.371962182223797e-09,1.1360812464389358e-14,0.34745654948143995,0.019440936547564527,0.46271008583905626,9.223004582281646e-10,629037.9186749132,476.8004153779441,13175.893718966818,616338.825371322,0.5738950613721346,7.712386829351772,0.0,0.013242749870079841,0.04053490231576718
ramp,2,0.025,success,27.22864912748289,13.564324563741446,0.5,0.4969623365540492,0.03971729919325831,0.03141761765049776,1.007826111933118e-07,7.714218869225551,-1.1586962500587106e-09,5.088702896560715e-16,0.347442782032155,0.01943992905961681,0.4620660192830284,1.1539924571479787e-10,628949.7188999357,447.0965384070411,13165.336302969272,616231.4791353723,0.5738710924954279,7.7142189700081625,0.0,0.013217391745564409,0.03971729919325831
