cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,39.999999999997854,1.171875,aGDL,-1.1515894181063506,2.22105175348499e-08,0.0,0.0,0.0
1,39.999999999997854,3.515625,aGDL,-1.1515894181063506,6.663155263384141e-08,0.0,0.0,0.0
1,39.999999999997854,5.859375,aGDL,-1.1515894181063506,1.1105258782070806e-07,0.0,0.0,0.0
1,39.999999999997854,8.203125,aGDL,-1.1515894181063506,1.5547362315403325e-07,0.0,0.0,0.0
1,39.999999999997854,10.546874999999998,aGDL,-1.1515894181063506,1.998946586924004e-07,0.0,0.0,0.0
1,39.999999999997854,12.890624999999998,aGDL,-1.1515894181063506,2.4431569449439286e-07,0.0,0.0,0.0
1,39.999999999997854,15.234375,aGDL,-1.1515894181063506,2.887367306185942e-07,0.0,0.0,0.0
1,39.999999999997854,17.578125,aGDL,-1.1515894181063506,3.331577671235879e-07,0.0,0.0,0.0
1,39.999999999997854,19.921874999999996,aGDL,-1.1515894181063506,3.775788040679571e-07,0.0,0.0,0.0
1,39.999999999997854,22.265624999999996,aGDL,-1.1515894181063506,4.2199984151028536e-07,0.0,0.0,0.0
1,39.999999999997854,24.609374999999996,aGDL,-1.1515894181063506,4.664208795091562e-07,0.0,0.0,0.0
1,39.999999999997854,26.953124999999996,aGDL,-1.1515894181063506,5.108419181231529e-07,0.0,0.0,0.0
1,39.999999999997854,29.296874999999996,aGDL,-1.1515894181063506,5.552629574108589e-07,0.0,0.0,0.0
1,39.999999999997854,31.640625,aGDL,-1.1515894181063506,5.996839974308578e-07,0.0,0.0,0.0
1,39.999999999997854,33.984375,aGDL,-1.1515894181063506,6.441050382417328e-07,0.0,0.0,0.0
1,39.999999999997854,36.328125,aGDL,-1.1515894181063506,6.885260799020675e-07,0.0,0.0,0.0
1,39.999999999997854,38.67187499999999,aGDL,-1.1515894181063506,7.329471224704453e-07,0.0,0.0,0.0
1,39.999999999997854,41.01562499999999,aGDL,-1.1515894181063506,7.773681660054493e-07,0.0,0.0,0.0
1,39.999999999997854,43.35937499999999,aGDL,-1.1515894181063506,8.217892105656632e-07,0.0,0.0,0.0
1,39.999999999997854,45.70312499999999,aGDL,-1.1515894181063506,8.662102562096704e-07,0.0,0.0,0.0
1,39.999999999997854,48.04687499999999,aGDL,-1.1515894181063506,9.106313029960544e-07,0.0,0.0,0.0
1,39.999999999997854,50.39062499999999,aGDL,-1.1515894181063506,9.550523509833986e-07,0.0,0.0,0.0
1,39.999999999997854,52.73437499999999,aGDL,-1.1515894181063506,9.994734002302862e-07,0.0,0.0,0.0
1,39.999999999997854,55.07812499999999,aGDL,-1.1515894181063506,1.0438944507953011e-06,0.0,0.0,0.0
1,39.999999999997854,57.42187499999999,aGDL,-1.1515894181063506,1.0883155027370262e-06,0.0,0.0,0.0
1,39.999999999997854,59.76562499999999,aGDL,-1.1515894181063506,1.1327365561140452e-06,0.0,0.0,0.0
1,39.999999999997854,62.10937499999999,aGDL,-1.1515894181063506,1.1771576109849415e-06,0.0,0.0,0.0
1,39.999999999997854,64.45312499999999,aGDL,-1.1515894181063506,1.2215786674082986e-06,0.0,0.0,0.0
1,39.999999999997854,66.79687499999999,aGDL,-1.1515894181063506,1.2659997254426999e-06,0.0,0.0,0.0
1,39.999999999997854,69.14062499999999,aGDL,-1.1515894181063506,1.3104207851467287e-06,0.0,0.0,0.0
1,39.999999999997854,71.48437499999999,aGDL,-1.1515894181063506,1.3548418465789683e-06,0.0,0.0,0.0
1,39.999999999997854,73.82812499999999,aGDL,-1.1515894181063506,1.3992629097980026e-06,0.0,0.0,0.0
1,39.999999999997854,76.17187499999999,aGDL,-1.1515894181063506,1.4436839748624148e-06,0.0,0.0,0.0
1,39.999999999997854,78.51562499999999,aGDL,-1.1515894181063506,1.4881050418307885e-06,0.0,0.0,0.0
1,39.999999999997854,80.85937499999999,aGDL,-1.1515894181063506,1.5325261107617069e-06,0.0,0.0,0.0
1,39.999999999997854,83.20312499999999,aGDL,-1.1515894181063506,1.5769471817137536e-06,0.0,0.0,0.0
1,39.999999999997854,85.54687499999999,aGDL,-1.1515894181063506,1.621368254745512e-06,0.0,0.0,0.0
1,39.999999999997854,87.89062499999999,aGDL,-1.1515894181063506,1.6657893299155653e-06,0.0,0.0,0.0
1,39.999999999997854,90.23437499999999,aGDL,-1.1515894181063506,1.710210407282497e-06,0.0,0.0,0.0
1,39.999999999997854,92.57812499999999,aGDL,-1.1515894181063506,1.7546314869048906e-06,0.0,0.0,0.0
1,39.999999999997854,94.92187499999999,aGDL,-1.1515894181063506,1.7990525688413294e-06,0.0,0.0,0.0
1,39.999999999997854,97.26562499999999,aGDL,-1.1515894181063506,1.8434736531503977e-06,0.0,0.0,0.0
1,39.999999999997854,99.60937499999999,aGDL,-1.1515894181063506,1.8878947398906778e-06,0.0,0.0,0.0
1,39.999999999997854,101.95312499999999,aGDL,-1.1515894181063506,1.9323158291207537e-06,0.0,0.0,0.0
1,39.999999999997854,104.29687499999999,aGDL,-1.1515894181063506,1.9767369208992086e-06,0.0,0.0,0.0
1,39.999999999997854,106.64062499999997,aGDL,-1.1515894181063506,2.021158015284626e-06,0.0,0.0,0.0
1,39.999999999997854,108.98437499999997,aGDL,-1.1515894181063506,2.065579112335589e-06,0.0,0.0,0.0
1,39.999999999997854,111.32812499999997,aGDL,-1.1515894181063506,2.110000212110682e-06,0.0,0.0,0.0
1,39.999999999997854,113.67187499999997,aGDL,-1.1515894181063506,2.1544213146684865e-06,0.0,0.0,0.0
1,39.999999999997854,116.01562499999997,aGDL,-1.1515894181063506,2.1988424200675875e-06,0.0,0.0,0.0
1,39.999999999997854,118.35937499999997,aGDL,-1.1515894181063506,2.2432635283665688e-06,0.0,0.0,0.0
1,39.999999999997854,120.70312499999997,aGDL,-1.1515894181063506,2.287684639624013e-06,0.0,0.0,0.0
1,39.999999999997854,123.04687499999997,aGDL,-1.1515894181063506,2.3321057538985043e-06,0.0,0.0,0.0
1,39.999999999997854,125.39062499999999,aGDL,-1.1515894181063506,2.376526871248625e-06,0.0,0.0,0.0
1,39.999999999997854,127.734375,aGDL,-1.1515894181063506,2.4209479917329597e-06,0.0,0.0,0.0
1,39.999999999997854,130.078125,aGDL,-1.1515894181063506,2.465369115410091e-06,0.0,0.0,0.0
1,39.999999999997854,132.42187500000003,aGDL,-1.1515894181063506,2.509790242338603e-06,0.0,0.0,0.0
1,39.999999999997854,134.76562500000003,aGDL,-1.1515894181063506,2.5542113725770783e-06,0.0,0.0,0.0
1,39.999999999997854,137.10937500000006,aGDL,-1.1515894181063506,2.5986325061841013e-06,0.0,0.0,0.0
1,39.999999999997854,139.45312500000006,aGDL,-1.1515894181063506,2.643053643218255e-06,0.0,0.0,0.0
1,39.999999999997854,141.79687500000009,aGDL,-1.1515894181063506,2.6874747837381225e-06,0.0,0.0,0.0
1,39.999999999997854,144.14062500000009,aGDL,-1.1515894181063506,2.7318959278022874e-06,0.0,0.0,0.0
1,39.999999999997854,146.4843750000001,aGDL,-1.1515894181063506,2.776317075469333e-06,0.0,0.0,0.0
1,39.999999999997854,148.8281250000001,aGDL,-1.1515894181063506,2.820738226797843e-06,0.0,0.0,0.0
1,39.999999999997854,150.07083333333344,aCL,-1.1515894181063506,1.393542284709879e-06,0.0,0.0,0.0
1,39.999999999997854,150.21250000000012,aCL,-1.1515894181063506,1.3973799747078762e-06,0.0,0.0,0.0
1,39.999999999997854,150.35416666666677,aCL,-1.1515894181063506,1.401217664715497e-06,0.0,0.0,0.0
1,39.999999999997854,150.49583333333345,aCL,-1.1515894181063506,1.405055354732768e-06,0.0,0.0,0.0
1,39.999999999997854,150.6375000000001,aCL,-1.1515894181063506,1.4088930447597154e-06,0.0,0.0,0.0
1,39.999999999997854,150.77916666666678,aCL,-1.1515894181063506,1.412730734796366e-06,0.0,0.0,0.0
1,39.999999999997854,150.92083333333343,aCL,-1.1515894181063506,1.4165684248427456e-06,0.0,0.0,0.0
1,39.999999999997854,151.0625000000001,aCL,-1.1515894181063506,1.4204061148988812e-06,0.0,0.0,0.0
