cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,16.395649705083763,1.171875,aGDL,1.0011698954510604e-07,1.5957491625230567e-08,0.0,0.0,0.0
1,16.395649705083763,3.515625,aGDL,1.0011698954510604e-07,4.787247490275228e-08,0.0,0.0,0.0
1,16.395649705083763,5.859375,aGDL,1.0011698954510604e-07,7.978745826145529e-08,0.0,0.0,0.0
1,16.395649705083763,8.203125,aGDL,1.0011698954510604e-07,1.1170244175545893e-07,0.0,0.0,0.0
1,16.395649705083763,10.546874999999998,aGDL,1.0011698954510604e-07,1.4361742543888037e-07,0.0,0.0,0.0
1,16.395649705083763,12.890624999999998,aGDL,1.0011698954510604e-07,1.7553240936583352e-07,0.0,0.0,0.0
1,16.395649705083763,15.234375,aGDL,1.0011698954510604e-07,2.0744739359042833e-07,0.0,0.0,0.0
1,16.395649705083763,17.578125,aGDL,1.0011698954510604e-07,2.393623781667698e-07,0.0,0.0,0.0
1,16.395649705083763,19.921874999999996,aGDL,1.0011698954510604e-07,2.712773631489572e-07,0.0,0.0,0.0
1,16.395649705083763,22.265624999999996,aGDL,1.0011698954510604e-07,3.031923485910828e-07,0.0,0.0,0.0
1,16.395649705083763,24.609374999999996,aGDL,1.0011698954510604e-07,3.351073345472315e-07,0.0,0.0,0.0
1,16.395649705083763,26.953124999999996,aGDL,1.0011698954510604e-07,3.670223210714796e-07,0.0,0.0,0.0
1,16.395649705083763,29.296874999999996,aGDL,1.0011698954510604e-07,3.9893730821789385e-07,0.0,0.0,0.0
1,16.395649705083763,31.640625,aGDL,1.0011698954510604e-07,4.308522960405308e-07,0.0,0.0,0.0
1,16.395649705083763,33.984375,aGDL,1.0011698954510604e-07,4.627672845934357e-07,0.0,0.0,0.0
1,16.395649705083763,36.328125,aGDL,1.0011698954510604e-07,4.946822739306416e-07,0.0,0.0,0.0
1,16.395649705083763,38.67187499999999,aGDL,1.0011698954510604e-07,5.265972641061687e-07,0.0,0.0,0.0
1,16.395649705083763,41.01562499999999,aGDL,1.0011698954510604e-07,5.585122551740231e-07,0.0,0.0,0.0
1,16.395649705083763,43.35937499999999,aGDL,1.0011698954510604e-07,5.904272471881964e-07,0.0,0.0,0.0
1,16.395649705083763,45.70312499999999,aGDL,1.0011698954510604e-07,6.223422402026636e-07,0.0,0.0,0.0
1,16.395649705083763,48.04687499999999,aGDL,1.0011698954510604e-07,6.542572342713842e-07,0.0,0.0,0.0
1,16.395649705083763,50.39062499999999,aGDL,1.0011698954510604e-07,6.861722294482994e-07,0.0,0.0,0.0
1,16.395649705083763,52.73437499999999,aGDL,1.0011698954510604e-07,7.180872257873323e-07,0.0,0.0,0.0
1,16.395649705083763,55.07812499999999,aGDL,1.0011698954510604e-07,7.500022233423861e-07,0.0,0.0,0.0
1,16.395649705083763,57.42187499999999,aGDL,1.0011698954510604e-07,7.819172221673446e-07,0.0,0.0,0.0
1,16.395649705083763,59.76562499999999,aGDL,1.0011698954510604e-07,8.138322223160694e-07,0.0,0.0,0.0
1,16.395649705083763,62.10937499999999,aGDL,1.0011698954510604e-07,8.457472238424012e-07,0.0,0.0,0.0
1,16.395649705083763,64.45312499999999,aGDL,1.0011698954510604e-07,8.776622268001564e-07,0.0,0.0,0.0
1,16.395649705083763,66.79687499999999,aGDL,1.0011698954510604e-07,9.095772312431285e-07,0.0,0.0,0.0
1,16.395649705083763,69.14062499999999,aGDL,1.0011698954510604e-07,9.414922372250859e-07,0.0,0.0,0.0
1,16.395649705083763,71.48437499999999,aGDL,1.0011698954510604e-07,9.734072447997711e-07,0.0,0.0,0.0
1,16.395649705083763,73.82812499999999,aGDL,1.0011698954510604e-07,1.0053222540209e-06,0.0,0.0,0.0
1,16.395649705083763,76.17187499999999,aGDL,1.0011698954510604e-07,1.0372372649421614e-06,0.0,0.0,0.0
1,16.395649705083763,78.51562499999999,aGDL,1.0011698954510604e-07,1.0691522776172148e-06,0.0,0.0,0.0
1,16.395649705083763,80.85937499999999,aGDL,1.0011698954510604e-07,1.101067292099691e-06,0.0,0.0,0.0
1,16.395649705083763,83.20312499999999,aGDL,1.0011698954510604e-07,1.13298230844319e-06,0.0,0.0,0.0
1,16.395649705083763,85.54687499999999,aGDL,1.0011698954510604e-07,1.1648973267012815e-06,0.0,0.0,0.0
1,16.395649705083763,87.89062499999999,aGDL,1.0011698954510604e-07,1.1968123469275017e-06,0.0,0.0,0.0
1,16.395649705083763,90.23437499999999,aGDL,1.0011698954510604e-07,1.2287273691753545e-06,0.0,0.0,0.0
1,16.395649705083763,92.57812499999999,aGDL,1.0011698954510604e-07,1.2606423934983101e-06,0.0,0.0,0.0
1,16.395649705083763,94.92187499999999,aGDL,1.0011698954510604e-07,1.2925574199498032e-06,0.0,0.0,0.0
1,16.395649705083763,97.26562499999999,aGDL,1.0011698954510604e-07,1.3244724485832328e-06,0.0,0.0,0.0
1,16.395649705083763,99.60937499999999,aGDL,1.0011698954510604e-07,1.3563874794519614e-06,0.0,0.0,0.0
1,16.395649705083763,101.95312499999999,aGDL,1.0011698954510604e-07,1.3883025126093133e-06,0.0,0.0,0.0
1,16.395649705083763,104.29687499999999,aGDL,1.0011698954510604e-07,1.4202175481085747e-06,0.0,0.0,0.0
1,16.395649705083763,106.64062499999997,aGDL,1.0011698954510604e-07,1.4521325860029918e-06,0.0,0.0,0.0
1,16.395649705083763,108.98437499999997,aGDL,1.0011698954510604e-07,1.4840476263457701e-06,0.0,0.0,0.0
1,16.395649705083763,111.32812499999997,aGDL,1.0011698954510604e-07,1.5159626691900746e-06,0.0,0.0,0.0
1,16.395649705083763,113.67187499999997,aGDL,1.0011698954510604e-07,1.547877714589027e-06,0.0,0.0,0.0
