cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,39.999999999997854,1.171875,aGDL,-0.001375394538267546,2.330774882852023e-08,0.0,0.0,0.0
1,39.999999999997854,3.515625,aGDL,-0.001375394538267546,6.992324651781157e-08,0.0,0.0,0.0
1,39.999999999997854,5.859375,aGDL,-0.001375394538267546,1.1653874430385563e-07,0.0,0.0,0.0
1,39.999999999997854,8.203125,aGDL,-0.001375394538267546,1.6315424225115417e-07,0.0,0.0,0.0
1,39.999999999997854,10.546874999999998,aGDL,-0.001375394538267546,2.0976974042420894e-07,0.0,0.0,0.0
1,39.999999999997854,12.890624999999998,aGDL,-0.001375394538267546,2.563852388875218e-07,0.0,0.0,0.0
1,39.999999999997854,15.234375,aGDL,-0.001375394538267546,3.030007377055945e-07,0.0,0.0,0.0
1,39.999999999997854,17.578125,aGDL,-0.001375394538267546,3.4961623694292897e-07,0.0,0.0,0.0
1,39.999999999997854,19.921874999999996,aGDL,-0.001375394538267546,3.9623173666402687e-07,0.0,0.0,0.0
1,39.999999999997854,22.265624999999996,aGDL,-0.001375394538267546,4.428472369333901e-07,0.0,0.0,0.0
1,39.999999999997854,24.609374999999996,aGDL,-0.001375394538267546,4.894627378155203e-07,0.0,0.0,0.0
1,39.999999999997854,26.953124999999996,aGDL,-0.001375394538267546,5.360782393749195e-07,0.0,0.0,0.0
1,39.999999999997854,29.296874999999996,aGDL,-0.001375394538267546,5.826937416760893e-07,0.0,0.0,0.0
1,39.999999999997854,31.640625,aGDL,-0.001375394538267546,6.293092447835314e-07,0.0,0.0,0.0
1,39.999999999997854,33.984375,aGDL,-0.001375394538267546,6.759247487617479e-07,0.0,0.0,0.0
1,39.999999999997854,36.328125,aGDL,-0.001375394538267546,7.225402536752405e-07,0.0,0.0,0.0
1,39.999999999997854,38.67187499999999,aGDL,-0.001375394538267546,7.691557595885109e-07,0.0,0.0,0.0
1,39.999999999997854,41.01562499999999,aGDL,-0.001375394538267546,8.157712665660609e-07,0.0,0.0,0.0
1,39.999999999997854,43.35937499999999,aGDL,-0.001375394538267546,8.623867746723925e-07,0.0,0.0,0.0
1,39.999999999997854,45.70312499999999,aGDL,-0.001375394538267546,9.090022839720072e-07,0.0,0.0,0.0
