cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,16.502071453632535,1.171875,aGDL,1.002508756469369e-07,1.5959497494172396e-08,0.0,0.0,0.0
1,16.502071453632535,3.515625,aGDL,1.002508756469369e-07,4.7878492511965194e-08,0.0,0.0,0.0
1,16.502071453632535,5.859375,aGDL,1.002508756469369e-07,7.979748761810169e-08,0.0,0.0,0.0
1,16.502071453632535,8.203125,aGDL,1.002508756469369e-07,1.117164828714766e-07,0.0,0.0,0.0
1,16.502071453632535,10.546874999999998,aGDL,1.002508756469369e-07,1.436354783309831e-07,0.0,0.0,0.0
1,16.502071453632535,12.890624999999998,aGDL,1.002508756469369e-07,1.7555447405551204e-07,0.0,0.0,0.0
1,16.502071453632535,15.234375,aGDL,1.002508756469369e-07,2.074734701039515e-07,0.0,0.0,0.0
1,16.502071453632535,17.578125,aGDL,1.002508756469369e-07,2.3939246653518594e-07,0.0,0.0,0.0
1,16.502071453632535,19.921874999999996,aGDL,1.002508756469369e-07,2.7131146340809584e-07,0.0,0.0,0.0
1,16.502071453632535,22.265624999999996,aGDL,1.002508756469369e-07,3.032304607815568e-07,0.0,0.0,0.0
1,16.502071453632535,24.609374999999996,aGDL,1.002508756469369e-07,3.3514945871443896e-07,0.0,0.0,0.0
1,16.502071453632535,26.953124999999996,aGDL,1.002508756469369e-07,3.670684572656065e-07,0.0,0.0,0.0
1,16.502071453632535,29.296874999999996,aGDL,1.002508756469369e-07,3.9898745649391675e-07,0.0,0.0,0.0
1,16.502071453632535,31.640625,aGDL,1.002508756469369e-07,4.309064564582199e-07,0.0,0.0,0.0
1,16.502071453632535,33.984375,aGDL,1.002508756469369e-07,4.628254572173579e-07,0.0,0.0,0.0
1,16.502071453632535,36.328125,aGDL,1.002508756469369e-07,4.947444588301644e-07,0.0,0.0,0.0
1,16.502071453632535,38.67187499999999,aGDL,1.002508756469369e-07,5.266634613554637e-07,0.0,0.0,0.0
1,16.502071453632535,41.01562499999999,aGDL,1.002508756469369e-07,5.585824648520701e-07,0.0,0.0,0.0
1,16.502071453632535,43.35937499999999,aGDL,1.002508756469369e-07,5.905014693787875e-07,0.0,0.0,0.0
1,16.502071453632535,45.70312499999999,aGDL,1.002508756469369e-07,6.224204749944083e-07,0.0,0.0,0.0
1,16.502071453632535,48.04687499999999,aGDL,1.002508756469369e-07,6.543394817577132e-07,0.0,0.0,0.0
1,16.502071453632535,50.39062499999999,aGDL,1.002508756469369e-07,6.862584897274708e-07,0.0,0.0,0.0
1,16.502071453632535,52.73437499999999,aGDL,1.002508756469369e-07,7.181774989624364e-07,0.0,0.0,0.0
1,16.502071453632535,55.07812499999999,aGDL,1.002508756469369e-07,7.500965095213513e-07,0.0,0.0,0.0
1,16.502071453632535,57.42187499999999,aGDL,1.002508756469369e-07,7.820155214629429e-07,0.0,0.0,0.0
1,16.502071453632535,59.76562499999999,aGDL,1.002508756469369e-07,8.13934534845923e-07,0.0,0.0,0.0
1,16.502071453632535,62.10937499999999,aGDL,1.002508756469369e-07,8.458535497289881e-07,0.0,0.0,0.0
1,16.502071453632535,64.45312499999999,aGDL,1.002508756469369e-07,8.777725661708184e-07,0.0,0.0,0.0
1,16.502071453632535,66.79687499999999,aGDL,1.002508756469369e-07,9.096915842300769e-07,0.0,0.0,0.0
1,16.502071453632535,69.14062499999999,aGDL,1.002508756469369e-07,9.416106039654091e-07,0.0,0.0,0.0
1,16.502071453632535,71.48437499999999,aGDL,1.002508756469369e-07,9.735296254354424e-07,0.0,0.0,0.0
