cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,27.105922802540203,1.171875,aGDL,1.0004901401287492e-07,1.9929960338488826e-08,0.0,0.0,0.0
1,27.105922802540203,3.515625,aGDL,1.0004901401287492e-07,5.978988105062705e-08,0.0,0.0,0.0
1,27.105922802540203,5.859375,aGDL,1.0004901401287492e-07,9.964980186824694e-08,0.0,0.0,0.0
1,27.105922802540203,8.203125,aGDL,1.0004901401287492e-07,1.3950972286166945e-07,0.0,0.0,0.0
1,27.105922802540203,10.546874999999998,aGDL,1.0004901401287492e-07,1.7936964410121512e-07,0.0,0.0,0.0
1,27.105922802540203,12.890624999999998,aGDL,1.0004901401287492e-07,2.1922956565720418e-07,0.0,0.0,0.0
1,27.105922802540203,15.234375,aGDL,1.0004901401287492e-07,2.5908948759995626e-07,0.0,0.0,0.0
1,27.105922802540203,17.578125,aGDL,1.0004901401287492e-07,2.989494099997904e-07,0.0,0.0,0.0
1,27.105922802540203,19.921874999999996,aGDL,1.0004901401287492e-07,3.3880933292702463e-07,0.0,0.0,0.0
1,27.105922802540203,22.265624999999996,aGDL,1.0004901401287492e-07,3.786692564519763e-07,0.0,0.0,0.0
1,27.105922802540203,24.609374999999996,aGDL,1.0004901401287492e-07,4.185291806449615e-07,0.0,0.0,0.0
1,27.105922802540203,26.953124999999996,aGDL,1.0004901401287492e-07,4.583891055762954e-07,0.0,0.0,0.0
1,27.105922802540203,29.296874999999996,aGDL,1.0004901401287492e-07,4.982490313162919e-07,0.0,0.0,0.0
1,27.105922802540203,31.640625,aGDL,1.0004901401287492e-07,5.38108957935263e-07,0.0,0.0,0.0
1,27.105922802540203,33.984375,aGDL,1.0004901401287492e-07,5.779688855035201e-07,0.0,0.0,0.0
1,27.105922802540203,36.328125,aGDL,1.0004901401287492e-07,6.17828814091372e-07,0.0,0.0,0.0
1,27.105922802540203,38.67187499999999,aGDL,1.0004901401287492e-07,6.576887437691262e-07,0.0,0.0,0.0
1,27.105922802540203,41.01562499999999,aGDL,1.0004901401287492e-07,6.975486746070886e-07,0.0,0.0,0.0
1,27.105922802540203,43.35937499999999,aGDL,1.0004901401287492e-07,7.374086066755624e-07,0.0,0.0,0.0
1,27.105922802540203,45.70312499999999,aGDL,1.0004901401287492e-07,7.772685400448491e-07,0.0,0.0,0.0
1,27.105922802540203,48.04687499999999,aGDL,1.0004901401287492e-07,8.171284747852478e-07,0.0,0.0,0.0
1,27.105922802540203,50.39062499999999,aGDL,1.0004901401287492e-07,8.569884109670555e-07,0.0,0.0,0.0
1,27.105922802540203,52.73437499999999,aGDL,1.0004901401287492e-07,8.968483486605663e-07,0.0,0.0,0.0
1,27.105922802540203,55.07812499999999,aGDL,1.0004901401287492e-07,9.367082879360718e-07,0.0,0.0,0.0
1,27.105922802540203,57.42187499999999,aGDL,1.0004901401287492e-07,9.765682288638612e-07,0.0,0.0,0.0
1,27.105922802540203,59.76562499999999,aGDL,1.0004901401287492e-07,1.01642817151422e-06,0.0,0.0,0.0
1,27.105922802540203,62.10937499999999,aGDL,1.0004901401287492e-07,1.0562881159574318e-06,0.0,0.0,0.0
1,27.105922802540203,64.45312499999999,aGDL,1.0004901401287492e-07,1.096148062263776e-06,0.0,0.0,0.0
1,27.105922802540203,66.79687499999999,aGDL,1.0004901401287492e-07,1.1360080105035298e-06,0.0,0.0,0.0
1,27.105922802540203,69.14062499999999,aGDL,1.0004901401287492e-07,1.1758679607469665e-06,0.0,0.0,0.0
1,27.105922802540203,71.48437499999999,aGDL,1.0004901401287492e-07,1.2157279130643557e-06,0.0,0.0,0.0
1,27.105922802540203,73.82812499999999,aGDL,1.0004901401287492e-07,1.2555878675259637e-06,0.0,0.0,0.0
1,27.105922802540203,76.17187499999999,aGDL,1.0004901401287492e-07,1.2954478242020531e-06,0.0,0.0,0.0
1,27.105922802540203,78.51562499999999,aGDL,1.0004901401287492e-07,1.3353077831628822e-06,0.0,0.0,0.0
1,27.105922802540203,80.85937499999999,aGDL,1.0004901401287492e-07,1.375167744478706e-06,0.0,0.0,0.0
1,27.105922802540203,83.20312499999999,aGDL,1.0004901401287492e-07,1.415027708219775e-06,0.0,0.0,0.0
1,27.105922802540203,85.54687499999999,aGDL,1.0004901401287492e-07,1.4548876744563354e-06,0.0,0.0,0.0
1,27.105922802540203,87.89062499999999,aGDL,1.0004901401287492e-07,1.4947476432586292e-06,0.0,0.0,0.0
