case,critical_cold_C,critical_warm_C,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
baseline,-12.802734375,-12.7978515625,success,27.122025191783433,13.561012595891716,0.5,0.4969489210214935,0.03968876652952348,0.03139260904074834,1.0012844775252288e-07,7.71421989426708,1.9099388737231493e-10,7.628988586694252e-16,0.3474652309005482,0.019439492529655555,0.46198796110540946,1.1542233835371007e-10,628933.4643630623,447.7995058373002,13164.938072955698,616216.3257959441,0.5738723116943386,7.714219994395528,0.0,0.013206870623442826,0.03968876652952348
intercell_conductance_0.8,-12.3583984375,-12.353515625,success,28.6320215582842,14.3160107791421,0.5,0.49694886670134125,0.042420386026525383,0.03303829871619816,1.0015563389307395e-07,8.963528829768993,7.003109203651547e-10,3.1136117989438716e-15,0.34384612880613996,0.019606772008822135,0.4619868391177716,1.1542411471054947e-10,662544.9659264092,422.4224355025757,14071.698611645666,648895.6897502668,0.5745466728858827,8.963528929924626,0.0,0.013899212269904567,0.042420386026525383
intercell_conductance_1.2,-13.14453125,-13.1396484375,success,26.013585329055378,13.006792664527689,0.5,0.4969489750266965,0.03769609316485871,0.030183691690101124,1.0015920135360897e-07,6.782445834062166,-2.28283170145005e-09,2.0982564644111967e-15,0.3501300278687443,0.019318147796305786,0.4619890717315942,1.1542056199687067e-10,604201.3334905219,466.6787178694441,12507.321321919717,592160.6908864693,0.5733230310125127,6.782445934221367,0.0,0.012698279094025544,0.03769609316485871
endplate_coupling_0.8,-14.0234375,-14.0185546875,success,23.493932598829005,11.746966299414503,0.5,0.496954614940514,0.03253791476131548,0.02694907900102655,1.0107872005690366e-07,6.177349110565531,-5.105903255753219e-09,4.452709902180718e-15,0.35616790493278294,0.019047489926434038,0.4620527964008981,1.1542233835371007e-10,547205.6576548092,438.57891569344326,11159.09989142582,536485.1366790717,0.5720333060512539,6.177349211644251,0.0,0.011337477535731872,0.03253791476131548
endplate_coupling_1.2,-11.9091796875,-11.904296875,success,30.63095668554239,15.315478342771195,0.5,0.4969432670264152,0.047935807016218863,0.03643167026082533,1.0036260940696322e-07,8.92470823254231,3.3105607144534588e-09,7.19975294660724e-15,0.3388421292635755,0.01983626407695381,0.4619212991921996,1.1542056199687067e-10,707748.0793332863,481.7826194815152,15014.910648813364,693214.9513039577,0.5749758210355018,8.924708332904919,0.0,0.015326803678729217,0.047935807016218863
endplate_capacity_0.8,-13.369140625,-13.3642578125,success,26.11729270815808,13.05864635407904,0.5,0.49694893815723595,0.038235262510167886,0.030518832767620605,1.003580296006674e-07,7.289078735978436,-2.6575435185804963e-09,2.380799550560919e-15,0.34985591977589997,0.019329968674374372,0.46198831080009745,1.1542233835371007e-10,606402.3215846879,461.8585553222703,12520.565373171481,594343.614766836,0.5733058662471184,7.289078836336466,0.0,0.012839272945337989,0.038235262510167886
endplate_capacity_1.2,-12.412109375,-12.4072265625,success,27.928414547442873,13.964207273721437,0.5,0.4969489095887324,0.0408319648794503,0.03207761560941687,1.0012068539998215e-07,8.042612931981656,-3.5288394428789616e-10,1.2769733187534271e-15,0.3455517002004472,0.019527975771196752,0.46198772765599594,1.1542233835371007e-10,646993.0469182674,435.079856889245,13688.164904578041,633739.9618705782,0.5743027467165309,8.042613032102341,0.0,0.013495052886881678,0.0408319648794503
convection_on_endplate,-13.3349609375,-13.330078125,success,25.614130991696925,12.807065495848462,0.5,0.49695092706898525,0.036736305712020585,0.029574154880654478,1.0020667703278974e-07,7.104098439823558,4.6820787247270346e-09,2.132571463170363e-15,0.351113705134513,0.01927448746138213,0.4620108027745867,1.1542233835371007e-10,595020.6048833843,446.4034014864515,1672.4164211814236,593794.591863694,0.5731627486648004,7.104098540030234,0.0,0.01244184695829134,0.036736305712020585
end_beta_1,-12.7978515625,-12.79296875,success,27.14794416427565,13.573972082137825,0.5,0.49783268898376926,0.03975457275755059,0.03143434225117814,1.0125128117972461e-07,7.723623013709322,-1.3842509360983968e-09,1.0554708149146386e-15,0.34739734322597204,0.01944239459891633,0.4619804908815318,1.1542233835371007e-10,629257.1490610384,448.23640382673847,13177.013687555107,616528.3717773086,0.574920598218793,7.723623114960603,0.0,0.013224427785070644,0.03975457275755059
fixed_dry_conductance,-13.76953125,-13.7646484375,success,25.148025858401894,12.574012929200947,0.5,0.49694895638861036,0.0363418125298718,0.029363778560068225,1.0104943318061169e-07,7.3170983084514365,-5.638139555230737e-08,2.200767779819701e-15,0.35214255920608917,0.019225104565684378,0.4619889633532229,1.1542056199687067e-10,584471.5259241766,451.15223855933044,11970.405273359935,572952.2728893196,0.5728207577899148,7.317098409500869,0.0,0.012353341640220703,0.0363418125298718
