strategy,T0_C,dt_s,grid_scale,parameters,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
constant,-15.0,0.003125,8,[0.5],charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.476689098025964,0.1529558130004557,0.09859232818203656,-2.105000538482574,9.848284337467275,-1.136140781454742e-08,-1.27863214807733e-14,0.30836905314039836,0.021205822871594174,0.37857307007346275,2.682298827494378e-13,935219.3000867722,3459.6462123550004,25366.61578229028,913312.3305168255,0.5576844753871556,7.743283798984701,0.0,0.041477792466182786,0.1529558130004557
constant,-10.0,0.003125,8,[0.5],success,27.1059228025417,13.55296140127085,0.5,0.49670680135513534,0.04139495262015562,0.03151639631102094,1.0004934034331455e-07,7.714533650360161,-1.0550138540565968e-09,2.0108301959295694e-13,0.3472365509347616,0.019446765185943037,0.4473151436193402,2.291500322826323e-13,628779.5604923132,419.25081210039565,13149.950131341026,616048.8611730715,0.5734463770484222,7.714533750409501,0.0,0.013258947928046511,0.04139495262015562
constant,-12.5,0.003125,8,[0.5],success,38.51960331574003,19.259801657870014,0.5,0.48695648571227373,0.09010002832427867,0.06161662357197806,1.0008021335808298e-07,9.7070276675137,-6.271875463426113e-09,-1.1479326603863749e-13,0.31628714417153664,0.020849816802859338,0.41259201455053746,4.2814640721644537e-10,891316.7917917105,1341.9122569456763,23610.380078899394,869048.3239697505,0.5724248632757817,9.707027767593912,0.0,0.02592211353673117,0.09010002832427867
constant,-13.75,0.003125,8,[0.5],charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.4818935286207086,0.12221091458749282,0.08074223862830805,-0.911689163037096,9.864829620841423,2.163869794458151e-08,3.989972414963905e-15,0.31057553595222764,0.02111642680151641,0.39549298174456105,2.575717417130363e-13,929622.0520240963,2339.4010556503417,25229.97904679052,906731.4740329777,0.56574084792847,8.953140457804327,0.0,0.033968259790929205,0.12221091458749282
constant,-13.125,0.003125,8,[0.5],charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.48444187180681847,0.10624438356410709,0.07129282713689533,-0.3090519047535237,9.869973718798605,2.9602233553305268e-08,5.997155896886319e-15,0.31163475294361415,0.02107223791435108,0.4040204139472579,2.5224267119483557e-13,926887.7938582242,1782.7586003711162,25167.209218889082,903503.3432397358,0.5698117843380162,9.56092181404508,0.0,0.02999289237649187,0.10624438356410709
constant,-12.8125,0.003125,8,[0.5],charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.48570328996626877,0.09809545799078503,0.06642264413955934,-0.006117605691545968,9.871669294320842,8.254573913291097e-09,1.8178817826064453e-15,0.31215370176870094,0.021050271379820667,0.4083006752388957,2.504663143554353e-13,925536.4196055968,1503.9604685534955,25137.324855251132,901903.0552189074,0.5718599715087982,9.865551688629296,0.0,0.027944006389512617,0.09809545799078503
constant,-12.65625,0.003125,8,[0.5],success,39.27311059608907,19.636555298044534,0.5,0.48633091879415535,0.09404213723117003,0.0639891887614354,1.000497237852579e-07,9.7932477285098,-1.2569216778501868e-08,-5.3390777042527926e-14,0.31419320625924485,0.020951036824150053,0.41044499109619964,8.751452895694456e-10,908714.9372334582,1420.4452730412654,24382.536759898543,885752.8457465883,0.5721682710259214,9.793247828559522,0.0,0.026920251711935874,0.09404213723117003
constant,-12.734375,0.003125,8,[0.5],success,39.65137102454718,19.82568551227359,0.5,0.4860173568994611,0.09605490683354038,0.06519831406057555,1.0005739921997059e-07,9.834643369066137,-2.5240296963602304e-08,-2.555984937591127e-14,0.31313983022507264,0.021002285283202245,0.4093725524817461,2.4868995751603507e-13,917453.0659650144,1460.7151413658794,24773.867477176493,894139.9136291785,0.572031721325187,9.834643469123536,0.0,0.02742893072528414,0.09605490683354038
constant,-12.7734375,0.003125,8,[0.5],success,39.8408705458025,19.92043527290125,0.5,0.4858603976936588,0.09707175295431894,0.06580860542581575,1.0014875463014483e-07,9.854914176768778,1.8189894035458565e-08,-1.6998121660227739e-15,0.31260867358908967,0.021028091242157616,0.408836464163151,3.391065206415078e-11,921831.7632530727,1481.102789332585,24970.845014117996,898342.0210283055,0.5719613859478495,9.854914276917533,0.0,0.027685680302640688,0.09707175295431894
constant,-12.79296875,0.003125,8,[0.5],success,39.93571169227153,19.967855846135766,0.5,0.4857818562563017,0.09758279472995453,0.06611518512736105,1.0001282581157293e-07,9.864943064093284,1.593070919625461e-08,2.1575623232461538e-16,0.3123467638616137,0.021040999112336804,0.40856853053308984,2.4868995751603507e-13,924023.503416672,1491.3600309375756,25069.6616571898,900445.2017904357,0.571925710874235,9.86494316410611,0.0,0.027814658383080795,0.09758279472995453
