strategy,T0_C,parameters,dt_s,grid_scale,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
constant,-10.0,[0.5],0.0125,2,success,27.119494053720423,13.559747026860212,0.5,0.49688882001801316,0.03928370178412523,0.03136570441153429,1.0061788761406024e-07,7.7151388651896475,-8.05084710009396e-09,1.120322367861859e-14,0.3474813534731148,0.019438943078033333,0.4616483435741978,1.4436452033805836e-11,628891.1594761978,431.4046226716938,13159.696830810763,616162.8672680507,0.5738599317369445,7.715138965807535,0.0,0.013195551845932477,0.03928370178412523
ramp,-10.0,"[2.5, 0.5]",0.0125,2,success,27.22606960236925,13.563034801184626,0.5,0.49690148575308996,0.03931143732867321,0.03139047092700516,1.0024846583866321e-07,7.7151378738289935,1.889929990284145e-09,1.0789925810467116e-14,0.3474475600811894,0.01943970776386382,0.46172806115095855,1.893791790053001e-10,628907.3489823261,430.6354496525883,13160.090103054243,616177.8943289263,0.5738587295158354,7.715137974077459,0.0,0.01320597111899107,0.03931143732867321
step,-10.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,success,27.11949405372034,13.55974702686017,0.5,0.49688882001801316,0.039283701784125304,0.03136570441153433,1.006178670253567e-07,7.715138865189637,-6.959453457966447e-09,1.0730294690980413e-14,0.34748135347311554,0.019438943078033302,0.4616483435741978,1.4436452033805836e-11,628891.1594761962,431.40462267169875,13159.696830810693,616162.8672680502,0.5738599317369443,7.715138965807504,0.0,0.013195551845932492,0.039283701784125304
constant,-11.0,[0.5],0.0125,2,success,31.530647465585407,15.765323732792703,0.5,0.4930652503927291,0.0549643280770126,0.04166861101940539,1.0050525012242521e-07,8.646321148069608,7.621565600857139e-09,1.031574999033058e-14,0.3357798461448567,0.019950506468126145,0.4478307300430793,1.4876988529977098e-11,730129.3123225434,731.4329377127825,16921.926956535397,713938.8183037284,0.5741954481098974,8.646321248574859,0.0,0.017529984655863848,0.0549643280770126
ramp,-11.0,"[2.5, 0.5]",0.0125,2,success,31.63725347816818,15.768626739084091,0.5,0.49307670023583,0.05499769193603437,0.041696972463222674,1.0039887072586845e-07,8.646208534618685,-2.6266206987202168e-09,9.867107131356079e-15,0.3357464898131786,0.019951474724093053,0.4479038768191417,1.9017321051251201e-10,730146.1259713897,730.8553019276875,16922.32908948484,713954.6521838299,0.5741927111915043,8.646208635017556,0.0,0.01754191631527778,0.05499769193603437
step,-11.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,success,31.530647465585325,15.765323732792663,0.5,0.4930652503927291,0.05496432807701279,0.041668611019405416,1.0050523277779545e-07,8.6463211480696,7.315975381061435e-09,9.453700842987356e-15,0.3357798461448577,0.019950506468126128,0.4478307300430793,1.4876988529977098e-11,730129.3123225416,731.4329377127905,16921.92695653533,713938.8183037264,0.5741954481098973,8.646321248574832,0.0,0.017529984655863858,0.05496432807701279
constant,-12.0,[0.5],0.0125,2,success,36.1570334911343,18.07851674556715,0.5,0.48917018791100375,0.074617143681305,0.05420768731940974,1.0020064326494215e-07,9.40058964156363,-5.944457370787859e-09,6.737232299824925e-16,0.32324901475053924,0.020522898834038128,0.43412565547187826,1.5340617665060563e-11,836504.4122641089,1124.1915682234744,21249.12212614325,816379.4817061832,0.573581143291263,9.400589741764273,0.0,0.02280517405527568,0.074617143681305
ramp,-12.0,"[2.5, 0.5]",0.0125,2,success,36.26364178359477,18.081820891797385,0.5,0.48918034486748996,0.07465633967854451,0.054239734219079544,1.0041145071791772e-07,9.400361277198204,1.0077201295644045e-08,1.2173421992667244e-15,0.3232131229571328,0.020523763000421857,0.43418786988719715,8.300808929107006e-10,836521.445830928,1123.8083814740953,21249.51021865842,816395.7439937538,0.5735768420733635,9.400361377609656,0.0,0.022818656185966766,0.07465633967854451
step,-12.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,success,36.15703349113422,18.07851674556711,0.5,0.48917018791100375,0.07461714368130513,0.05420768731940974,1.0020062833674537e-07,9.400589641563627,-5.555193638429046e-09,5.891554605286231e-16,0.323249014750538,0.02052289883403897,0.43412565547187826,1.5340617665060563e-11,836504.4122641074,1124.1915682234774,21249.122126143175,816379.4817061821,0.5735811432912645,9.400589741764255,0.0,0.02280517405527568,0.07461714368130513
constant,-12.5,[0.5],0.0125,2,success,38.54185535311719,19.270927676558596,0.5,0.48719412733543016,0.08603427577498475,0.061372387343784585,1.0039635621462116e-07,9.707428955740074,-2.2992026060819626e-09,-1.3668536788524754e-15,0.3166899688498397,0.020833449264798538,0.4273129372208249,1.5582202195218997e-11,891462.2793748731,1358.6579518270892,23627.604212856808,869193.3331138411,0.5729255900749838,9.70742905613643,0.0,0.025819363355530176,0.08603427577498475
