sheet,excel_row,time_s,current_A,provided_j_A_cm2,provided_j_A_m2,I_over_area25_A_cm2,implied_area_cm2,j_unit_conversion_error,provided_I_minus_25j_A,used_in_inherited_calibration,treatment
-20℃,3,0,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,4,0.2,2.1,0.006,60,0.084,350.0,0.0,1.9500000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,5,0.4,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,6,0.6,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,7,0.8,2.1,0.006,60,0.084,350.0,0.0,1.9500000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,8,1,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,9,1.2,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,10,1.4,2.1,0.007,70,0.084,300.0,0.0,1.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,11,1.6,1.8,0.007,70,0.07200000000000001,257.14285714285717,0.0,1.625,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,12,1.8,2.2,0.006,60,0.08800000000000001,366.6666666666667,0.0,2.0500000000000003,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,13,2,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,14,2.2,2.1,0.006,60,0.084,350.0,0.0,1.9500000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,15,2.4,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,16,2.6,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,17,2.8,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,18,3,2.2,0.006,60,0.08800000000000001,366.6666666666667,0.0,2.0500000000000003,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,19,3.2,2.1,0.006,60,0.084,350.0,0.0,1.9500000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,20,3.4,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,21,3.6,2.1,0.006,60,0.084,350.0,0.0,1.9500000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,22,3.8,2.1,0.007,70,0.084,300.0,0.0,1.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,23,4,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,24,4.2,1.9,0.006,60,0.076,316.66666666666663,0.0,1.75,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,25,4.4,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,26,4.6,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,27,4.8,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,28,5,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,29,5.2,2.2,0.007,70,0.08800000000000001,314.2857142857143,0.0,2.0250000000000004,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,30,5.4,2,0.007,70,0.08,285.7142857142857,0.0,1.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,31,5.6,1.9,0.007,70,0.076,271.4285714285714,0.0,1.7249999999999999,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,32,5.8,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,33,6,2,0.006,60,0.08,333.3333333333333,0.0,1.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,34,6.2,2.2,0.005,50,0.08800000000000001,440.0,0.0,2.075,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,35,6.4,3.7,0.01,100,0.14800000000000002,370.0,0.0,3.45,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
