strategy,scale,dt_s,elapsed_s,charge_C_cm2,first_success_s,best_min_T_C,switch_min_T_C,post_switch_min_T_C,min_voltage_V,max_ice_bulk,max_end_ice_bulk,max_pore_ice_saturation,max_end_pore_ice_saturation,max_pore_ice_bulk,max_mem_ice_bulk,min_porosity,max_j_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,energy_residual_J,water_residual_kg,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,final_min_T_C,final_max_T_C,final_left_EP_C,max_mirror_error_K,ice_at_switch,post_subzero_duration_s,min_V_before_success_V,post_min_T1_C,post_min_T2_C,post_min_T3_C,post_min_T4_C,post_min_T5_C,feasible
P,1,0.1,25.713581802940332,0.0,-1.0,-0.017576592167554167,-0.017576592167554167,-0.017576592167554167,1.213199088161058,1.6780642272869197e-19,1.6780642272869197e-19,0.0,0.0,0.0,1.6780642272869197e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.5536905923218e-11,1.5165277887640993e-19,3214.1977253675295,0.0,-1.0734219629225055,90.24844475807608,3122.8758586465565,-0.017576592167554167,31.539507393055512,-24.306491397722375,6.750155989720952e-14,1.6780642272869197e-19,0.0,1.213199088161058,-0.017576592167552807,24.11885480558712,31.539507393055512,24.118854805587098,-0.017576592167554167,False
P,2,0.05,25.713581802940332,0.0,-1.0,-0.008153439869862162,-0.008153439869862162,-0.008153439869862162,1.213171201995536,0.0,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.43308551681194474,0.0,0.0,7.071321306284517e-11,1.9386890096756426e-19,3214.1977253675127,0.0,-1.0731633856743854,90.15040030339496,3122.974161678514,-0.008153439869862162,31.57095349190002,-24.310307845210232,1.8829382497642655e-13,0.0,0.0,1.213171201995536,-0.008153439869754071,24.144331731066814,31.57095349190002,24.144331731066732,-0.008153439869862162,False
P,4,0.025,25.713581802940332,0.0,-1.0,-0.0034383941872754026,-0.0034383941872754026,-0.0034383941872754026,1.2131572392029926,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,3.0020430585864233e-10,-2.534187052913306e-18,3214.1977253675905,0.0,-1.0730316233338049,90.10135439964934,3123.0233393449075,-0.0034383941872754026,31.586698956813205,-24.312218485203406,7.815970093361102e-14,1.6918489827137013e-19,0.0,1.2131572392029926,-0.003438394187257435,24.1570864493861,31.586698956813205,24.157086449386135,-0.0034383941872754026,False
P,8,0.025,25.713581802940332,0.0,-1.0,-0.0034380295115836617,-0.0034380295115836617,-0.0034380295115836617,1.2131572386689549,0.0,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.43308551681194474,0.0,0.0,3.048086227863678e-10,1.0396346869327722e-17,3214.1977253675905,0.0,-1.0729834294734955,90.1013562749809,3123.023385663441,-0.0034380295115836617,31.58669956096434,-24.31221837084966,1.7053025658242404e-13,0.0,0.0,1.2131572386689549,-0.003438029511537775,24.1570869965633,31.58669956096434,24.15708699656334,-0.0034380295115836617,False
P,8,0.0125,25.713581802940332,0.0,-1.0,-0.001079803563775737,-0.001079803563775737,-0.001079803563775737,1.2131492266391628,2.3294816744438856e-19,2.3294816744438856e-19,0.0,0.0,0.0,2.3294816744438856e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,-7.914451316537452e-10,-1.001186167391005e-17,3214.1977253676573,0.0,-1.072965118149341,90.07682345291873,3123.047936795798,-0.001079803563775737,31.59457796648374,-24.31317449087793,4.760636329592671e-13,2.3294816744438856e-19,0.0,1.2131492266391628,-0.001079803563775737,24.163468417173025,31.59457796648374,24.163468417173107,-0.0010798035637247531,False
P,8,0.00625,25.713581802940332,0.0,25.713581802940332,0.00010000000020316565,0.00010000000020316565,0.00010000000020316565,1.2131456248796153,4.2383265776309767e-20,4.2383265776309767e-20,0.0,0.0,0.0,4.2383265776309767e-20,0.3916,0.0,0.43308551681194474,0.0,0.0,9.745377838044078e-10,-1.0286774687270905e-17,3214.197725367346,0.0,-1.072955958145592,90.06455061911437,3123.0602187910604,0.00010000000020316565,31.598520156459358,-24.313652894949353,1.3073986337985843e-12,4.2383265776309767e-20,0.0,1.2131456248796153,0.00010000000108159425,24.16666142779789,31.598520156459358,24.1666614277974,0.00010000000020316565,True
P,16,0.00625,25.713581802940332,0.0,25.713581802940332,0.00010018351638238306,0.00010018351638238306,0.00010018351638238306,1.2131456246113779,0.0,0.0,0.0,0.0,0.0,0.0,0.3916,0.0,0.4330491532279616,0.0,0.0,9.58650048232812e-10,4.0755634002180576e-17,3214.197725367346,0.0,-1.072931705539526,90.06455156251995,3123.060242100245,0.00010018351638238306,31.59852046063573,-24.313652837416328,1.20614629395277e-12,0.0,0.0,1.2131456246113779,0.00010018351693494343,24.166661703266623,31.59852046063573,24.1666617032662,0.00010018351638238306,True
C,1,0.1,25.73467806466081,1.6556841377293356,-1.0,-0.020841573254776414,-0.020841573254776414,-0.020841573254776414,0.6621036382471943,0.012523934705693107,0.012523934705693107,0.017381371460129004,0.017381371460129004,0.007312342973276272,0.012523934705693107,0.3916,0.004335703010288042,0.43308551681194474,0.0,9.996181660199e-10,4.263256414560601e-12,2.8121493848842774e-20,2975.257904282456,162.39522063687517,-0.7557423871299266,89.90356087783486,3046.9938216543705,-0.020841573254776414,25.12540916170911,-24.27040592726602,7.460698725481052e-14,0.012523934705693107,0.0,0.6621036382471943,-0.020841573254776414,21.886330689509183,25.12540916170911,21.886330689509194,-0.020841573254745414,False
C,2,0.05,25.73467806466081,1.6556841377293356,-1.0,-0.010044563065465773,-0.010044563065465773,-0.010044563065465773,0.6620673464380108,0.012646848910525518,0.012646848910525518,0.017573426485033364,0.017573426485033364,0.007393140522253537,0.012646848910525518,0.3916,0.004335943673923845,0.43308551681194474,0.0,1.851248043749365e-10,1.3343992577574681e-11,6.750513776437872e-19,2975.2579042824573,162.4164106399198,-0.8283187163963692,89.80749058633987,3047.038505619654,-0.010044563065465773,25.15631880552866,-24.274700567073605,1.0302869668521453e-13,0.012646848910525518,0.0,0.6620673464380108,-0.010044563065465773,21.91298157603437,25.15631880552866,21.912981576034365,-0.010044563065435731,False
C,4,0.025,25.73467806466081,1.6556841377293356,-1.0,-0.004200705527285935,-0.004200705527285935,-0.004200705527285935,0.6620328048840664,0.012733608390569615,0.012733608390569615,0.01773829739693684,0.01773829739693684,0.00746250171489133,0.012733608390569615,0.3916,0.004336287911543916,0.43308551681194474,0.0,2.3216983890961274e-11,2.6220448035019217e-10,-2.8736778581728294e-18,2975.25790428256,162.427754249427,-0.8755848201595392,89.76032934493634,3047.0497443671534,-0.004200705527285935,25.172461549922662,-24.27704262144569,9.947598300641403e-14,0.012733608390569615,0.0,0.6620328048840664,-0.0042007055272836645,21.927096144764526,25.172461549922662,21.9270961447645,-0.004200705527285935,False
