cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,1.171875e-06,2.34375e-06,0.8,1.4975391602740935e-08,0.0,0.0
1,3.515625e-06,2.34375e-06,0.8,4.4926174816876844e-08,0.0,0.0
1,5.859375e-06,2.34375e-06,0.8,7.487695805697458e-08,0.0,0.0
1,8.203125e-06,2.34375e-06,0.8,1.0482774134034102e-07,0.0,0.0
1,1.0546874999999999e-05,2.34375e-06,0.8,1.3477852468428146e-07,0.0,0.0
1,1.2890624999999998e-05,2.34375e-06,0.8,1.6472930810609903e-07,0.0,0.0
1,1.5234375e-05,2.34375e-06,0.8,1.9468009162309417e-07,0.0,0.0
1,1.7578125e-05,2.34375e-06,0.8,2.2463087525256383e-07,0.0,0.0
1,1.9921874999999998e-05,2.34375e-06,0.8,2.5458165901180105e-07,0.0,0.0
1,2.2265624999999997e-05,2.34375e-06,0.8,2.8453244291809423e-07,0.0,0.0
1,2.4609374999999997e-05,2.34375e-06,0.8,3.144832269887265e-07,0.0,0.0
1,2.6953124999999996e-05,2.34375e-06,0.8,3.444340112409751e-07,0.0,0.0
1,2.9296874999999996e-05,2.34375e-06,0.8,3.743847956921108e-07,0.0,0.0
1,3.1640625e-05,2.34375e-06,0.8,4.0433558035939744e-07,0.0,0.0
1,3.3984375e-05,2.34375e-06,0.8,4.34286365260091e-07,0.0,0.0
1,3.6328125e-05,2.34375e-06,0.8,4.6423715041143907e-07,0.0,0.0
1,3.8671874999999996e-05,2.34375e-06,0.8,4.941879358306806e-07,0.0,0.0
1,4.1015624999999996e-05,2.34375e-06,0.8,5.241387215350445e-07,0.0,0.0
1,4.3359374999999995e-05,2.34375e-06,0.8,5.540895075417502e-07,0.0,0.0
1,4.5703124999999995e-05,2.34375e-06,0.8,5.840402938680056e-07,0.0,0.0
1,4.8046874999999994e-05,2.34375e-06,0.8,6.139910805310074e-07,0.0,0.0
1,5.039062499999999e-05,2.34375e-06,0.8,6.439418675479408e-07,0.0,0.0
1,5.273437499999999e-05,2.34375e-06,0.8,6.738926549359777e-07,0.0,0.0
1,5.507812499999999e-05,2.34375e-06,0.8,7.03843442712277e-07,0.0,0.0
1,5.742187499999999e-05,2.34375e-06,0.8,7.337942308939838e-07,0.0,0.0
1,5.976562499999999e-05,2.34375e-06,0.8,7.637450194982283e-07,0.0,0.0
1,6.210937499999999e-05,2.34375e-06,0.8,7.936958085421259e-07,0.0,0.0
1,6.445312499999999e-05,2.34375e-06,0.8,8.236465980427763e-07,0.0,0.0
1,6.679687499999999e-05,2.34375e-06,0.8,8.535973880172626e-07,0.0,0.0
1,6.914062499999999e-05,2.34375e-06,0.8,8.835481784826511e-07,0.0,0.0
1,7.148437499999999e-05,2.34375e-06,0.8,9.134989694559905e-07,0.0,0.0
1,7.382812499999999e-05,2.34375e-06,0.8,9.434497609543112e-07,0.0,0.0
1,7.617187499999999e-05,2.34375e-06,0.8,9.734005529946242e-07,0.0,0.0
1,7.851562499999999e-05,2.34375e-06,0.8,1.0033513455939221e-06,0.0,0.0
1,8.085937499999999e-05,2.34375e-06,0.8,1.033302138769177e-06,0.0,0.0
1,8.320312499999998e-05,2.34375e-06,0.8,1.0632529325373397e-06,0.0,0.0
1,8.554687499999998e-05,2.34375e-06,0.8,1.0932037269153402e-06,0.0,0.0
1,8.789062499999998e-05,2.34375e-06,0.8,1.1231545219200861e-06,0.0,0.0
1,9.023437499999998e-05,2.34375e-06,0.8,1.1531053175684632e-06,0.0,0.0
1,9.257812499999998e-05,2.34375e-06,0.8,1.183056113877333e-06,0.0,0.0
1,9.492187499999998e-05,2.34375e-06,0.8,1.2130069108635341e-06,0.0,0.0
1,9.726562499999998e-05,2.34375e-06,0.8,1.2429577085438802e-06,0.0,0.0
1,9.960937499999998e-05,2.34375e-06,0.8,1.2729085069351596e-06,0.0,0.0
1,0.00010195312499999998,2.34375e-06,0.8,1.3028593060541352e-06,0.0,0.0
1,0.00010429687499999998,2.34375e-06,0.8,1.3328101059175432e-06,0.0,0.0
1,0.00010664062499999998,2.34375e-06,0.8,1.3627609065420934e-06,0.0,0.0
1,0.00010898437499999998,2.34375e-06,0.8,1.3927117079444678e-06,0.0,0.0
1,0.00011132812499999998,2.34375e-06,0.8,1.42266251014132e-06,0.0,0.0
1,0.00011367187499999998,2.34375e-06,0.8,1.4526133131492745e-06,0.0,0.0
1,0.00011601562499999998,2.34375e-06,0.8,1.4825641169849264e-06,0.0,0.0
1,0.00011835937499999998,2.34375e-06,0.8,1.5125149216648405e-06,0.0,0.0
1,0.00012070312499999997,2.34375e-06,0.8,1.542465727205552e-06,0.0,0.0
1,0.00012304687499999997,2.34375e-06,0.8,1.5724165336235627e-06,0.0,0.0
1,0.000125390625,2.34375e-06,0.8,1.602367340935344e-06,0.0,0.0
1,0.000127734375,2.34375e-06,0.8,1.6323181491573337e-06,0.0,0.0
1,0.000130078125,2.34375e-06,0.8,1.6622689583059364e-06,0.0,0.0
1,0.00013242187500000003,2.34375e-06,0.8,1.6922197683975234e-06,0.0,0.0
1,0.00013476562500000004,2.34375e-06,0.8,1.7221705794484306e-06,0.0,0.0
1,0.00013710937500000005,2.34375e-06,0.8,1.7521213914749586e-06,0.0,0.0
