cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,1.171875e-06,2.34375e-06,0.8,1.1480880744710386e-08,0.0,0.0
1,3.515625e-06,2.34375e-06,0.8,3.444264216166088e-08,0.0,0.0
1,5.859375e-06,2.34375e-06,0.8,5.7404403361195504e-08,0.0,0.0
1,8.203125e-06,2.34375e-06,0.8,8.03661641983535e-08,0.0,0.0
1,1.0546874999999999e-05,2.34375e-06,0.8,1.0332792452814885e-07,0.0,0.0
1,1.2890624999999998e-05,2.34375e-06,0.8,1.2628968420556017e-07,0.0,0.0
1,1.5234375e-05,2.34375e-06,0.8,1.492514430855206e-07,0.0,0.0
1,1.7578125e-05,2.34375e-06,0.8,1.7221320102290776e-07,0.0,0.0
1,1.9921874999999998e-05,2.34375e-06,0.8,1.9517495787253346e-07,0.0,0.0
1,2.2265624999999997e-05,2.34375e-06,0.8,2.1813671348913374e-07,0.0,0.0
1,2.4609374999999997e-05,2.34375e-06,0.8,2.410984677273587e-07,0.0,0.0
1,2.6953124999999996e-05,2.34375e-06,0.8,2.640602204417623e-07,0.0,0.0
1,2.9296874999999996e-05,2.34375e-06,0.8,2.870219714867924e-07,0.0,0.0
1,3.1640625e-05,2.34375e-06,0.8,3.099837207167803e-07,0.0,0.0
1,3.3984375e-05,2.34375e-06,0.8,3.32945467985931e-07,0.0,0.0
1,3.6328125e-05,2.34375e-06,0.8,3.559072131483125e-07,0.0,0.0
1,3.8671874999999996e-05,2.34375e-06,0.8,3.788689560578463e-07,0.0,0.0
1,4.1015624999999996e-05,2.34375e-06,0.8,4.018306965682966e-07,0.0,0.0
1,4.3359374999999995e-05,2.34375e-06,0.8,4.247924345332604e-07,0.0,0.0
1,4.5703124999999995e-05,2.34375e-06,0.8,4.477541698061572e-07,0.0,0.0
1,4.8046874999999994e-05,2.34375e-06,0.8,4.7071590224021895e-07,0.0,0.0
1,5.039062499999999e-05,2.34375e-06,0.8,4.936776316884793e-07,0.0,0.0
1,5.273437499999999e-05,2.34375e-06,0.8,5.166393580037642e-07,0.0,0.0
1,5.507812499999999e-05,2.34375e-06,0.8,5.396010810386806e-07,0.0,0.0
1,5.742187499999999e-05,2.34375e-06,0.8,5.625628006456073e-07,0.0,0.0
1,5.976562499999999e-05,2.34375e-06,0.8,5.855245166766837e-07,0.0,0.0
1,6.210937499999999e-05,2.34375e-06,0.8,6.084862289837998e-07,0.0,0.0
1,6.445312499999999e-05,2.34375e-06,0.8,6.31447937418586e-07,0.0,0.0
1,6.679687499999999e-05,2.34375e-06,0.8,6.544096418324027e-07,0.0,0.0
1,6.914062499999999e-05,2.34375e-06,0.8,6.7737134207633e-07,0.0,0.0
1,7.148437499999999e-05,2.34375e-06,0.8,7.003330380011567e-07,0.0,0.0
1,7.382812499999999e-05,2.34375e-06,0.8,7.232947294573703e-07,0.0,0.0
1,7.617187499999999e-05,2.34375e-06,0.8,7.462564162951474e-07,0.0,0.0
1,7.851562499999999e-05,2.34375e-06,0.8,7.692180983643417e-07,0.0,0.0
1,8.085937499999999e-05,2.34375e-06,0.8,7.921797755144743e-07,0.0,0.0
1,8.320312499999998e-05,2.34375e-06,0.8,8.151414475947236e-07,0.0,0.0
1,8.554687499999998e-05,2.34375e-06,0.8,8.381031144539136e-07,0.0,0.0
1,8.789062499999998e-05,2.34375e-06,0.8,8.610647759405046e-07,0.0,0.0
1,9.023437499999998e-05,2.34375e-06,0.8,8.840264319025821e-07,0.0,0.0
1,9.257812499999998e-05,2.34375e-06,0.8,9.069880821878454e-07,0.0,0.0
1,9.492187499999998e-05,2.34375e-06,0.8,9.29949726643598e-07,0.0,0.0
1,9.726562499999998e-05,2.34375e-06,0.8,9.529113651167369e-07,0.0,0.0
1,9.960937499999998e-05,2.34375e-06,0.8,9.75872997453741e-07,0.0,0.0
1,0.00010195312499999998,2.34375e-06,0.8,9.98834623500661e-07,0.0,0.0
1,0.00010429687499999998,2.34375e-06,0.8,1.0217962431031092e-06,0.0,0.0
