cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,1.171875e-06,2.34375e-06,0.8,1.0258242394648207e-08,0.0,0.0
1,3.515625e-06,2.34375e-06,0.8,3.07747270333769e-08,0.0,0.0
1,5.859375e-06,2.34375e-06,0.8,5.129121122037468e-08,0.0,0.0
1,8.203125e-06,2.34375e-06,0.8,7.1807694654395e-08,0.0,0.0
1,1.0546874999999999e-05,2.34375e-06,0.8,9.232417703405243e-08,0.0,0.0
1,1.2890624999999998e-05,2.34375e-06,0.8,1.12840658057767e-07,0.0,0.0
1,1.5234375e-05,2.34375e-06,0.8,1.3335713742370866e-07,0.0,0.0
1,1.7578125e-05,2.34375e-06,0.8,1.5387361482974153e-07,0.0,0.0
1,1.9921874999999998e-05,2.34375e-06,0.8,1.743900899733682e-07,0.0,0.0
1,2.2265624999999997e-05,2.34375e-06,0.8,1.9490656255167384e-07,0.0,0.0
1,2.4609374999999997e-05,2.34375e-06,0.8,2.1542303226127048e-07,0.0,0.0
1,2.6953124999999996e-05,2.34375e-06,0.8,2.3593949879824087e-07,0.0,0.0
1,2.9296874999999996e-05,2.34375e-06,0.8,2.5645596185808246e-07,0.0,0.0
1,3.1640625e-05,2.34375e-06,0.8,2.7697242113565123e-07,0.0,0.0
1,3.3984375e-05,2.34375e-06,0.8,2.9748887632510543e-07,0.0,0.0
1,3.6328125e-05,2.34375e-06,0.8,3.1800532711984914e-07,0.0,0.0
1,3.8671874999999996e-05,2.34375e-06,0.8,3.385217732124756e-07,0.0,0.0
1,4.1015624999999996e-05,2.34375e-06,0.8,3.590382142947104e-07,0.0,0.0
1,4.3359374999999995e-05,2.34375e-06,0.8,3.7955465005735494e-07,0.0,0.0
1,4.5703124999999995e-05,2.34375e-06,0.8,4.0007108019022905e-07,0.0,0.0
1,4.8046874999999994e-05,2.34375e-06,0.8,4.2058750438211396e-07,0.0,0.0
1,5.039062499999999e-05,2.34375e-06,0.8,4.4110392232069444e-07,0.0,0.0
1,5.273437499999999e-05,2.34375e-06,0.8,4.616203336925018e-07,0.0,0.0
1,5.507812499999999e-05,2.34375e-06,0.8,4.821367381828554e-07,0.0,0.0
1,5.742187499999999e-05,2.34375e-06,0.8,5.02653135475805e-07,0.0,0.0
1,5.976562499999999e-05,2.34375e-06,0.8,5.231695252540719e-07,0.0,0.0
1,6.210937499999999e-05,2.34375e-06,0.8,5.436859071989911e-07,0.0,0.0
1,6.445312499999999e-05,2.34375e-06,0.8,5.642022809904519e-07,0.0,0.0
1,6.679687499999999e-05,2.34375e-06,0.8,5.847186463068387e-07,0.0,0.0
1,6.914062499999999e-05,2.34375e-06,0.8,6.05235002824972e-07,0.0,0.0
1,7.148437499999999e-05,2.34375e-06,0.8,6.257513502200489e-07,0.0,0.0
1,7.382812499999999e-05,2.34375e-06,0.8,6.462676881655822e-07,0.0,0.0
1,7.617187499999999e-05,2.34375e-06,0.8,6.667840163333409e-07,0.0,0.0
1,7.851562499999999e-05,2.34375e-06,0.8,6.873003343932887e-07,0.0,0.0
1,8.085937499999999e-05,2.34375e-06,0.8,7.078166420135247e-07,0.0,0.0
1,8.320312499999998e-05,2.34375e-06,0.8,7.2833293886022e-07,0.0,0.0
1,8.554687499999998e-05,2.34375e-06,0.8,7.48849224597557e-07,0.0,0.0
1,8.789062499999998e-05,2.34375e-06,0.8,7.693654988876682e-07,0.0,0.0
1,9.023437499999998e-05,2.34375e-06,0.8,7.898817613905717e-07,0.0,0.0
1,9.257812499999998e-05,2.34375e-06,0.8,8.103980117641101e-07,0.0,0.0
1,9.492187499999998e-05,2.34375e-06,0.8,8.309142496638863e-07,0.0,0.0
1,9.726562499999998e-05,2.34375e-06,0.8,8.514304747432004e-07,0.0,0.0
1,9.960937499999998e-05,2.34375e-06,0.8,8.719466866529849e-07,0.0,0.0
1,0.00010195312499999998,2.34375e-06,0.8,8.924628850417412e-07,0.0,0.0
1,0.00010429687499999998,2.34375e-06,0.8,9.129790695554735e-07,0.0,0.0
1,0.00010664062499999998,2.34375e-06,0.8,9.334952398376236e-07,0.0,0.0
1,0.00010898437499999998,2.34375e-06,0.8,9.540113955290054e-07,0.0,0.0
1,0.00011132812499999998,2.34375e-06,0.8,9.74527536267738e-07,0.0,0.0
1,0.00011367187499999998,2.34375e-06,0.8,9.950436616891785e-07,0.0,0.0
1,0.00011601562499999998,2.34375e-06,0.8,1.015559771425855e-06,0.0,0.0
1,0.00011835937499999998,2.34375e-06,0.8,1.0360758651073988e-06,0.0,0.0
1,0.00012070312499999997,2.34375e-06,0.8,1.056591942360475e-06,0.0,0.0
1,0.00012304687499999997,2.34375e-06,0.8,1.0771080028087139e-06,0.0,0.0
1,0.000125390625,2.34375e-06,0.8,1.0976240460726412e-06,0.0,0.0
1,0.000127734375,2.34375e-06,0.8,1.1181400717696081e-06,0.0,0.0
1,0.000130078125,2.34375e-06,0.8,1.1386560795137196e-06,0.0,0.0
1,0.00013242187500000003,2.34375e-06,0.8,1.1591720689157635e-06,0.0,0.0
1,0.00013476562500000004,2.34375e-06,0.8,1.1796880395831384e-06,0.0,0.0
1,0.00013710937500000005,2.34375e-06,0.8,1.200203991119781e-06,0.0,0.0
1,0.00013945312500000006,2.34375e-06,0.8,1.2207199231260918e-06,0.0,0.0
1,0.00014179687500000008,2.34375e-06,0.8,1.241235835198863e-06,0.0,0.0
1,0.0001441406250000001,2.34375e-06,0.8,1.2617517269312013e-06,0.0,0.0
1,0.0001464843750000001,2.34375e-06,0.8,1.2822675979124543e-06,0.0,0.0
1,0.00014882812500000012,2.34375e-06,0.8,1.3027834477281335e-06,0.0,0.0
1,0.00015007083333333344,1.4166666666666668e-07,0.3916,6.43619961631251e-07,0.0,0.0
1,0.0001502125000000001,1.4166666666666668e-07,0.3916,6.45392391592684e-07,0.0,0.0
1,0.00015035416666666677,1.4166666666666668e-07,0.3916,6.471648214981189e-07,0.0,0.0
1,0.00015049583333333344,1.4166666666666668e-07,0.3916,6.48937251347365e-07,0.0,0.0
1,0.0001506375000000001,1.4166666666666668e-07,0.3916,6.507096811402317e-07,0.0,0.0
1,0.00015077916666666677,1.4166666666666668e-07,0.3916,6.524821108765281e-07,0.0,0.0
1,0.00015092083333333344,1.4166666666666668e-07,0.3916,6.542545405560637e-07,0.0,0.0
1,0.0001510625000000001,1.4166666666666668e-07,0.3916,6.560269701786472e-07,0.0,0.0
1,0.00015120416666666677,1.4166666666666668e-07,0.3916,6.57799399744088e-07,0.0,0.0
1,0.00015134583333333343,1.4166666666666668e-07,0.3916,6.595718292521948e-07,0.0,0.0
1,0.0001514875000000001,1.4166666666666668e-07,0.3916,6.613442587027768e-07,0.0,0.0
1,0.00015162916666666676,1.4166666666666668e-07,0.3916,6.631166880956429e-07,0.0,0.0
1,0.00015177083333333343,1.4166666666666668e-07,0.3916,6.648891174306017e-07,0.0,0.0
