strategy,parameter,value,interpretation,elapsed_s,charge_C_cm2,first_success_s,best_min_T_C,switch_min_T_C,post_switch_min_T_C,min_voltage_V,max_ice_bulk,max_end_ice_bulk,max_pore_ice_saturation,max_end_pore_ice_saturation,max_pore_ice_bulk,max_mem_ice_bulk,min_porosity,max_j_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,energy_residual_J,water_residual_kg,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,final_min_T_C,final_max_T_C,final_left_EP_C,max_mirror_error_K,ice_at_switch,post_subzero_duration_s,min_V_before_success_V,post_min_T1_C,post_min_T2_C,post_min_T3_C,post_min_T4_C,post_min_T5_C,feasible
P,baseline,1.0,fixed_power_recomputed_heating_duration,25.718214528966737,0.0,25.718214528966737,9.999999999982538e-05,9.999999999982538e-05,9.999999999982538e-05,1.2131513867324142,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,3.001332515850663e-10,-2.537710709973884e-18,3214.776816120891,0.0,-1.0732248546011014,90.1291604600168,3123.574430806573,9.999999999982538e-05,31.593829763549827,-24.31059772657018,7.815970093361102e-14,1.6918489827137013e-19,0.0,1.2131513867324142,0.00010000000001777938,24.16322489629321,31.593829763549827,24.163224896293244,9.999999999982538e-05,True
C,baseline,1.0,fixed_power_recomputed_heating_duration,25.73995148539504,1.6563627561762257,25.73995148539504,1.0112467108752313e-07,-30.0,1.0112467108752313e-07,0.6620322168625723,0.012733622433950108,0.012733622433950108,0.01773830763603291,0.01773830763603291,0.0074625060224790445,0.012733622433950108,0.3916,0.004337110271751372,0.43308551681194474,0.0,2.3216983890961274e-11,2.62403432316205e-10,-2.8876369611435803e-18,2975.8675791610526,162.49424048032193,-0.8760184504459434,89.79197800058405,3047.693823190607,1.0112467108752313e-07,25.18075982537995,-24.27515562105673,9.947598300641403e-14,0.0,0.0,0.6620322168625723,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,kf,0.1,fixed_power_recomputed_heating_duration,25.718214528966737,0.0,25.718214528966737,9.999999999982538e-05,9.999999999982538e-05,9.999999999982538e-05,1.2131513867324142,1.6960286809965517e-20,1.6960286809965517e-20,0.0,0.0,0.0,1.6960286809965517e-20,0.3916,0.0,0.43308551681194474,0.0,0.0,3.001332515850663e-10,-2.537710709973884e-18,3214.776816120891,0.0,-1.0732248546011014,90.1291604600168,3123.574430806573,9.999999999982538e-05,31.593829763549827,-24.31059772657018,7.815970093361102e-14,1.6960286809965517e-20,0.0,1.2131513867324142,0.00010000000001777938,24.16322489629321,31.593829763549827,24.163224896293244,9.999999999982538e-05,True
C,kf,0.1,fixed_power_recomputed_heating_duration,25.6969547122713,1.6508337037113054,25.6969547122713,1.0035372949064113e-07,-30.0,1.0035372949064113e-07,0.665512867587618,0.0015020566039186994,0.0015020566039186994,0.001890787048787305,0.001890787048787305,0.0007954541114248193,0.0015020566039186994,0.3916,0.004321235572139138,0.43308551681194474,0.0,2.3234747459355276e-11,2.4797941478027496e-10,-2.7901942908914456e-18,2970.896602303537,161.676857339852,-1.251300325096224,89.5697165703971,3041.7524427481435,1.0035372949064113e-07,25.142793201325045,-24.303030209449652,2.6290081223123707e-13,0.0,0.0,0.665512867587618,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,kf,10.0,fixed_power_recomputed_heating_duration,25.718214528966737,0.0,25.718214528966737,9.999999999982538e-05,9.999999999982538e-05,9.999999999982538e-05,1.2131513867324142,1.6511577992705605e-18,1.6511577992705605e-18,0.0,0.0,0.0,1.6511577992705605e-18,0.3916,0.0,0.43308551681194474,0.0,0.0,3.001332515850663e-10,-2.537710709973884e-18,3214.776816120891,0.0,-1.0732248546011014,90.1291604600168,3123.574430806573,9.999999999982538e-05,31.593829763549827,-24.31059772657018,7.815970093361102e-14,1.6511577992705605e-18,0.0,1.2131513867324142,0.00010000000001777938,24.16322489629321,31.593829763549827,24.163224896293244,9.999999999982538e-05,True
C,kf,10.0,fixed_power_recomputed_heating_duration,25.742348231374823,1.6566712311634164,25.742348231374823,1.0016042583520286e-07,-30.0,1.0016042583520286e-07,0.6429432809675505,0.05253206311976584,0.05253206311976584,0.11496424586434481,0.11496424586434481,0.04836545823512987,0.05253206311976584,0.35690362715685137,0.00439620101322798,0.43308551681194474,0.0,2.3099744339560857e-11,2.6562929633655585e-10,-3.2130331381607926e-18,2976.1446736482267,163.99595733312438,0.3716300668939896,89.8299466278906,3050.68231442062,1.0016042583520286e-07,25.16674332485439,-24.25663135988223,1.1368683772161603e-13,0.0,0.0,0.6429432809675505,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,gE,0.8,fixed_power_recomputed_heating_duration,22.210314949302578,0.0,22.210314949302578,9.999999999921488e-05,9.999999999921488e-05,9.999999999921488e-05,1.2172688742872446,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.091837814077735e-10,-2.0596453145435566e-18,2776.2893686628463,0.0,-0.9272783188357415,75.87806778104688,2699.484022563173,9.999999999921488e-05,26.933407558654622,-26.00773010388444,2.2737367544323206e-13,1.6918489827137013e-19,0.0,1.2172688742872446,0.00010000000006282906,20.726640171147917,26.933407558654622,20.726640171147896,9.999999999921488e-05,True
C,gE,0.8,fixed_power_recomputed_heating_duration,22.3414092540739,1.247846418645047,22.3414092540739,1.0028594193107696e-07,-30.0,1.0028594193107696e-07,0.6704646109552194,0.008967218563568975,0.008967218563568975,0.014070170112267183,0.014070170112267183,0.005919320566230805,0.008967218563568975,0.3916,0.0037488248817124656,0.43308551681194474,0.0,2.0726531602122122e-11,1.5438672562595457e-10,-1.878312501195356e-18,2582.9526333680396,121.97146364291015,-0.7414678657236876,76.2113291621355,2627.971299983245,1.0028594193107696e-07,20.655344999087397,-25.962531447413138,1.4210854715202004e-13,0.0,0.0,0.6704646109552194,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,gE,1.2,fixed_power_recomputed_heating_duration,29.35975955848115,0.0,29.35975955848115,9.999999999979085e-05,9.999999999979085e-05,9.999999999979085e-05,1.2097222770870415,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,4.672671138905571e-10,-3.25192889109871e-18,3669.9699448102187,0.0,-1.2241829037892658,104.5853536780445,3564.1604082288522,9.999999999979085e-05,35.47347694610963,-22.452488852160748,1.5987211554602254e-13,1.6918489827137013e-19,0.0,1.2097222770870415,9.999999999979085e-05,26.99802325281082,35.47347694610963,26.99802325281085,0.00010000000005889423,True
C,gE,1.2,fixed_power_recomputed_heating_duration,29.19352365732134,2.130654558826452,29.19352365732134,1.003413955233371e-07,-30.0,1.003413955233371e-07,0.6543469951707485,0.017576859084281138,0.017576859084281138,0.022023074059565793,0.022023074059565793,0.00926510725685933,0.017576859084281138,0.3916,0.0049427574297795495,0.43308551681194474,0.0,2.5274005110986764e-11,4.4991566028329544e-10,-3.520268928788872e-18,3375.144689864244,209.7798245298786,-1.0146515507753782,103.18771038554512,3480.722152458252,1.003413955233371e-07,28.968278578244703,-22.44662102849872,1.8474111129762605e-13,0.0,0.0,0.6543469951707485,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,EP_capacity,0.8,fixed_power_recomputed_heating_duration,24.94481160680362,0.0,24.94481160680362,0.00010000000000055064,0.00010000000000055064,0.00010000000000055064,1.2140666727532605,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,1.524114168205415e-10,-2.4143149502178775e-18,3118.101450850496,0.0,-1.0410245630154455,86.48314088955946,3030.5772853980734,0.00010000000000055064,30.558258671160353,-23.35069131816845,1.1723955140041653e-13,1.6918489827137013e-19,0.0,1.2140666727532605,0.00010000000001276409,23.388224700436968,30.558258671160353,23.388224700436922,0.00010000000000055064,True
C,EP_capacity,0.8,fixed_power_recomputed_heating_duration,24.989209957420474,1.5611515357401065,24.989209957420474,1.0031462446490721e-07,-30.0,1.0031462446490721e-07,0.6637570095073431,0.012031034218940235,0.012031034218940235,0.017116959029043373,0.017116959029043373,0.007201104663518547,0.012031034218940235,0.3916,0.004206662491641064,0.43308551681194474,0.0,2.275513111271721e-11,1.0361134172853781e-10,-2.5876517725439974e-18,2889.0722573168337,153.0781758311433,-0.8393748199224255,86.28825761526191,2955.0228007128962,1.0031462446490721e-07,24.16072698372337,-23.30606740193321,2.0250467969162855e-13,0.0,0.0,0.6637570095073431,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,EP_capacity,1.2,fixed_power_recomputed_heating_duration,26.316330957214248,0.0,26.316330957214248,0.00010000000000080977,0.00010000000000080977,0.00010000000000080977,1.2124659996652742,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.984279490192421e-10,-2.7143679014532406e-18,3289.5413696518344,0.0,-1.0981138732001365,92.9800010469034,3195.4632547320293,0.00010000000000080977,32.36922475846881,-25.01841974012422,7.105427357601002e-14,1.6918489827137013e-19,0.0,1.2124659996652742,0.00010000000000297932,24.742719583886014,32.36922475846881,24.742719583885968,0.00010000000000080977,True
C,EP_capacity,1.2,fixed_power_recomputed_heating_duration,26.317618629335932,1.7315426257979243,26.317618629335932,1.0093820186364156e-07,-30.0,1.0093820186364156e-07,0.6607403063241958,0.013277057942944237,0.013277057942944237,0.018208435342033362,0.018208435342033362,0.007660288748393436,0.013277057942944237,0.3916,0.004437697200844192,0.43308551681194474,0.0,2.355093897676852e-11,2.544311428209767e-10,-2.9787777062681433e-18,3042.653288767994,169.93116460591045,-0.9056956428934303,92.51696532999891,3119.1617924012667,1.0093820186364156e-07,25.944174784319852,-24.989750717248793,2.3803181647963356e-13,0.0,0.0,0.6607403063241958,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,h,0.8,fixed_power_recomputed_heating_duration,25.366701535184777,0.0,25.366701535184777,9.999999999904053e-05,9.999999999904053e-05,9.999999999904053e-05,1.213536216002649,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.8333602131169755e-10,-2.4024564889563173e-18,3170.8376918981435,0.0,-1.0586142180470175,70.91349262972548,3098.8655850506543,9.999999999904053e-05,31.15818179896208,-24.3935952988203,1.4210854715202004e-13,1.6918489827137013e-19,0.0,1.213536216002649,9.999999999904053e-05,23.841589771634744,31.15818179896208,23.841589771634816,0.00010000000003763249,True
C,h,0.8,fixed_power_recomputed_heating_duration,25.406846989690884,1.6137696848939118,25.406846989690884,1.0059461593843704e-07,-30.0,1.0059461593843704e-07,0.662808653862974,0.012349941234837007,0.012349941234837007,0.01738549675872716,0.01738549675872716,0.007314078486396518,0.012349941234837007,0.3916,0.004279238646099814,0.43308551681194474,0.0,2.3014479211269645e-11,2.6923885343421716e-10,-2.8307841097238717e-18,2937.3564393944807,158.26599906282095,-0.8619455930286662,70.72776806078845,3024.032724803754,1.0059461593843704e-07,24.762730282946013,-24.3545157745909,1.6342482922482304e-13,0.0,0.0,0.662808653862974,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,h,1.2,fixed_power_recomputed_heating_duration,26.0776126484038,0.0,26.0776126484038,0.00010000000000611495,0.00010000000000611495,0.00010000000000611495,1.2127640654118397,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.9690738756471546e-10,-2.614756826856135e-18,3259.701581050527,0.0,-1.0881585235148346,109.982840717966,3148.630581809343,0.00010000000000611495,32.0306177890637,-24.225934369250304,1.1723955140041653e-13,1.6918489827137013e-19,0.0,1.2127640654118397,0.00010000000001241806,24.48547834318427,32.0306177890637,24.485478343184255,0.00010000000000611495,True
C,h,1.2,fixed_power_recomputed_heating_duration,26.07926961034495,1.7003207585226543,26.07926961034495,1.0110230412864818e-07,-30.0,1.0110230412864818e-07,0.6612495591306078,0.013131158536822275,0.013131158536822275,0.01810023346020764,0.01810023346020764,0.0076147682167093545,0.013131158536822275,0.3916,0.004396344465560194,0.43308551681194474,0.0,2.3440804852725705e-11,2.538627086323686e-10,-2.9541798694798785e-18,3015.0970939343483,166.85954346437,-0.8907710856287614,109.44160868887806,3071.6242576244654,1.0110230412864818e-07,25.599438723699677,-24.194473050246057,1.0302869668521453e-13,0.0,0.0,0.6612495591306078,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,True
P,convection_on_EP,1.0,fixed_power_recomputed_heating_duration,24.056410704466423,0.0,24.056410704466423,0.00010000000000046238,0.00010000000000046238,0.00010000000000046238,1.2150347638460601,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3916,0.0,0.43308551681194474,0.0,0.0,2.014299838037914e-10,-2.3727764544845266e-18,3007.05133805834,0.0,-1.0041141607563224,9.329982321955283,2996.71724157583,0.00010000000000046238,29.46121290910627,-24.74664633566657,7.105427357601002e-14,1.6918489827137013e-19,0.0,1.2150347638460601,0.00010000000001081462,22.587151643851335,29.46121290910627,22.58715164385132,0.00010000000000046238,True
