time_s,j_A_cm2,charge_C_cm2,heater_on,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_V,cell2_V,cell3_V,cell4_V,cell5_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_lambda_mean,cell2_lambda_mean,cell3_lambda_mean,cell4_lambda_mean,cell5_lambda_mean,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg
0,0,0,1,-30,-30,-30,-30,-30,-30,-30,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0
0.00625,0,0,1,-29.9864265079,-29.9797431395,-29.9797383657,-29.9797431395,-29.9864265079,-29.9999987796,-29.9999987796,1.26756400439,1.26755853078,1.26755852687,1.26755853078,1.26756400439,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99998151875,2.99998151875,2.99998151875,2.99998151875,2.99998151875,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0.78125,0,-0.000268209140625,1.69668651804e-05,0.780964823994,-4.41119366647e-13,3.08018899058e-21
0.0125,0,0,1,-29.9728606842,-29.9594905626,-29.9594762489,-29.9594905626,-29.9728606842,-29.9999963395,-29.9999963395,1.26755206681,1.26754070947,1.26754069745,1.26754070947,1.26755206681,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.9999643554,2.99996435463,2.99996435463,2.99996435463,2.9999643554,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,1.5625,0,-0.000517298976222,5.08910099275e-05,1.56193181001,-1.50412166988e-13,-6.24302986796e-21
0.01875,0,0,1,-29.9593028658,-29.939242784,-29.9392141723,-29.939242784,-29.9593028658,-29.9999926806,-29.9999926806,1.26754009018,1.26752282358,1.26752279925,1.26752282358,1.26754009018,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99994713951,2.9999471373,2.9999471373,2.9999471373,2.99994713951,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,2.34375,0,-0.00076715708628,0.000101762427668,2.34288108049,-2.64804481511e-13,6.73391193067e-22
0.025,0,0,1,-29.9457530296,-29.9189997819,-29.9189521221,-29.9189997819,-29.9457530296,-29.9999878037,-29.9999878037,1.26752811707,1.26750493664,1.26750489581,1.26750493664,1.26752811707,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99992992641,2.99992992202,2.99992992202,2.99992992202,2.99992992641,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,3.125,0,-0.00101698120363,0.000169571140622,3.12381344766,-5.17624354837e-13,2.6713301574e-21
0.03125,0,0,1,-29.9322111676,-29.8987615567,-29.8986901064,-29.8987615567,-29.9322111676,-29.9999817097,-29.9999817097,1.26751615068,1.26748705344,1.26748699191,1.26748705344,1.26751615068,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99991271211,2.99991270484,2.99991270483,2.99991270484,2.99991271211,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,3.90625,0,-0.00126682878044,0.000254307181086,3.90472886404,-5.09721605202e-13,6.9848454413e-21
0.0375,0,0,1,-29.9186772707,-29.8785281072,-29.878428132,-29.8785281072,-29.9186772707,-29.9999743993,-29.9999743993,1.2675041913,1.26746917441,1.26746908801,1.26746917441,1.2675041913,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99989549679,2.99989548592,2.9998954859,2.99989548592,2.99989549679,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,4.6875,0,-0.0015166975869,0.000355960592723,4.68562734182,1.37465613979e-13,7.77986527163e-21
0.04375,0,0,1,-29.9051513298,-29.8582994323,-29.8581662057,-29.8582994323,-29.9051513298,-29.9999658734,-29.9999658734,1.26749223895,1.2674512996,1.26745118414,1.2674512996,1.26749223895,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99987828037,2.99987826519,2.99987826517,2.99987826519,2.99987828037,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,5.46875,0,-0.00176658833339,0.000474521430478,5.46650889024,8.06532358261e-13,5.54700701333e-21
0.05,0,0,1,-29.8916333359,-29.8380755309,-29.8379043342,-29.8380755309,-29.8916333359,-29.9999561329,-29.9999561329,1.26748029362,1.267433429,1.26743328031,1.267433429,1.26748029362,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.99986106285,2.99986104265,2.99986104261,2.99986104265,2.99986106285,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,6.25,0,-0.00201650138748,0.000609979760574,6.24737351885,9.25928713043e-13,6.60963631544e-21
0.05625,0,0,1,-29.8781232801,-29.8178564019,-29.8176425242,-29.8178564019,-29.8781232801,-29.9999451785,-29.9999451785,1.26746835531,1.26741556262,1.26741537654,1.26741556262,1.26746835531,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,0,0,0,0,0,0,0,0,0,0,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,4.23832657763e-20,2.9998438442,2.99984381827,2.99984381821,2.99984381827,2.9998438442,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,7.03125,0,-0.00226643704068,0.000762325660498,7.0282212373,1.01981845278e-12,8.9649173044e-21
