cooling_min,mean_capacity_C,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
10,3.81240550811,0,0,0,0,0,0,0,0,0,0,1.23731972697,0,0.225444908195,4.01480453929,4.24024944749,3.74231809084,0.3916,0,0.821332234134,0,0,0,0,4.01480453929,1.23731972697,0,0,0,0,1.23731972697,0,0.225444908195,0,1,0,0,0,0,96.6666666667,True,ideal,0
15,-3.48809140879,1.85423415899,1.85423415899,1.85423415899,214.373182523,0.702754526888,-0.0748435582953,10.5305295925,204.470563899,3.11928260999e-12,3.24201860562e-20,0.802625559032,1.45357059805e-06,2.38858518668,1.07956661536e-07,2.38858529464,-3.49181638561,0.3916,0.000306271981203,0.7251688046,0,2.83328915884e-13,1,0.00859546079094,1.07956661536e-07,0.802625559032,1.45357059805e-06,0,214.373182523,3.37542629481e-20,0.802625559032,1.45357059805e-06,2.38858518668,0.00859546079094,1,0,0,0,0,96.6666666667,True,ideal,0
20,-9.21232498587,5.60608956814,5.60608956814,5.60608956814,648.135650184,6.96222528985,-0.227268912663,28.8937428891,625.976863672,2.09112727134e-11,7.23874356724e-20,0.7473794167,9.52752847762e-05,6.29774785598,1.03082217677e-07,6.29774795907,-8.86126928451,0.3916,0.000927947028208,0.654533343384,0,2.07567296684e-12,1,0.078570600615,1.03082217677e-07,0.7473794167,9.52752847762e-05,0,648.135650184,8.93958572532e-20,0.7473794167,9.52752847762e-05,6.29774785598,0.078570600615,1,0,0,0,0,96.6666666667,True,ideal,0
25,-13.7006290586,9.11242207289,9.11242207289,9.11242207289,1053.51253011,19.0238865274,-0.367810065379,43.4871992859,1028.68140729,4.42526015831e-11,1.17585113738e-19,0.721724150244,0.000462731517469,9.67394303281,1.05039573706e-07,9.67394313785,-12.7824987101,0.3916,0.00151113346697,0.602077972564,0,4.98978636188e-12,1,0.207590590086,1.05039573706e-07,0.721724150244,0.000462731517469,0,1053.51253011,1.31408691437e-19,0.721724150244,0.000462731517469,9.67394303281,0.207590590086,1,0,0,0,0,96.6666666667,True,ideal,0
30,-17.2198553756,12.2156716943,12.2156716943,12.2156716943,1412.28787371,34.8649415143,-0.48754074832,54.8001281017,1391.86514637,8.01705368758e-11,2.02542518347e-19,0.705668297106,0.00106591514337,12.4596478425,1.05785047499e-07,12.4596479482,-15.6449022406,0.3916,0.00202988685031,0.56274506786,0,8.13216161077e-12,1,0.373056587356,1.05785047499e-07,0.705668297106,0.00106591514337,0,1412.28787371,2.08539511614e-19,0.705668297106,0.00106591514337,12.4596478425,0.373056587356,1,0,0,0,0,96.6666666667,True,ideal,0
35,-19.9792392474,14.8528345644,14.8528345644,14.8528345644,1717.1776281,52.2086842982,-0.583854771486,63.3726731971,1705.42978443,1.1100098618e-10,2.55092442395e-19,0.694689461957,0.00180524918291,15.1737665113,1.02569013378e-07,15.1737666138,-17.747788031,0.3916,0.00247320404341,0.533005766779,0,1.10436104706e-11,1,0.551516736497,1.02569013378e-07,0.694689461957,0.00180524918291,0,1717.1776281,2.55803950071e-19,0.694689461957,0.00180524918291,15.1737665113,0.551516736497,1,0,0,0,0,96.6666666667,True,ideal,0
40,-22.1428396148,17.0368783891,17.0368783891,17.0368783891,1969.6810259,69.3061885875,-0.659696142562,69.7961234719,1968.53139487,1.26604504658e-10,2.47536908506e-19,0.686835744721,0.00281760782854,17.4686355894,1.02573699305e-07,17.468635692,-19.3063402658,0.3916,0.00284224602174,0.510362262906,0,1.34967592658e-11,1,0.725638063114,1.02573699305e-07,0.686835744721,0.00281760782854,0,1969.6810259,2.61970349927e-19,0.686835744721,0.00281760782854,17.4686355894,0.725638063114,1,0,0,0,0,96.6666666667,True,ideal,0
45,-23.8392931592,18.8166335642,18.8166335642,18.8166335642,2175.44348537,85.0873260581,-0.716072694114,74.5971150522,2185.21762369,1.61236357599e-10,2.70440679399e-19,0.681054303475,0.00404364647456,19.2320491908,1.04267043872e-07,19.232049295,-20.4717420877,0.3916,0.00314450749635,0.493021259892,0,1.5518253349e-11,1,0.885164246727,1.04267043872e-07,0.681054303475,0.00404364647456,0,2175.44348537,2.70440679399e-19,0.681054303475,0.00404364647456,19.2320491908,0.885164246727,1,0,0,0,0,96.6666666667,True,ideal,0
50,-25.1694623862,20.2517423809,20.2517423809,20.2517423809,2341.36041814,99.0300895672,-0.759790073864,78.1940223128,2361.43669532,1.43387524076e-10,3.01882542401e-19,0.676715626824,0.00526198274896,20.5829621915,1.04333108617e-07,20.5829622958,-21.3502264916,0.3916,0.00338950362018,0.479677876968,0,1.71631597823e-11,1,1.02533267365,1.04333108617e-07,0.676715626824,0.00526198274896,0,2341.36041814,3.17671236538e-19,0.676715626824,0.00526198274896,20.5829621915,1.02533267365,1,0,0,0,0,96.6666666667,True,ideal,0
55,-26.2124323975,21.4006284416,21.4006284416,21.4006284416,2474.18633983,110.97995882,-0.791473211441,80.9012950366,2503.4735304,1.82069470611e-10,3.21398181506e-19,0.673418824688,0.00639804611838,21.6191076414,1.00306352393e-07,21.6191077417,-22.0171235993,0.3916,0.00358628829882,0.469370950048,0,5.69890801216e-10,1,1.14496724424,1.00306352393e-07,0.673418824688,0.00639804611838,0,2474.18633983,3.3000403625e-19,0.673418824688,0.00639804611838,21.6191076414,1.14496724424,1,0,0,0,0,96.6666666667,True,ideal,0
60,-27.0302128893,22.3156775415,22.3156775415,22.3156775415,2579.97771831,121.001092571,-0.815640363384,82.9500284752,2617.21314204,1.97772465071e-10,2.96258243632e-19,0.670891176386,0.00741136455038,22.4158441401,1.04357387535e-07,22.4158442445,-22.5264567806,0.3916,0.00374357883992,0.461384789419,0,1.94617655325e-11,1,1.24497366034,1.04357387535e-07,0.670891176386,0.00741136455038,0,2579.97771831,2.96258243632e-19,0.670891176386,0.00741136455038,22.4158441401,1.24497366034,1,0,0,0,0,96.6666666667,True,ideal,0
65,-27.6714249332,23.0417890429,23.0417890429,23.0417890429,2663.9254941,129.271862192,-0.83411622082,84.5090128254,2707.85422724,2.05545802601e-10,2.8744910098e-19,0.668940735397,0.00828689124923,23.0303474354,1.00178487683e-07,23.0303475356,-22.9174153552,0.3916,0.00386876079902,0.455181473166,0,2.02717842512e-11,1,1.32731010575,1.00178487683e-07,0.668940735397,0.00828689124923,0,2663.9254941,2.98765461156e-19,0.668940735397,0.00828689124923,23.0303474354,1.32731010575,1,0,0,0,0,96.6666666667,True,ideal,0
70,-28.1741917385,23.616376543,23.616376543,23.616376543,2730.35515749,136.01718135,-0.847789961811,85.7013155983,2779.82323328,2.22357243729e-10,2.71999220022e-19,0.667429384537,0.00902593957457,23.5056769055,1.01363439926e-07,23.5056770068,-23.2187688514,0.3916,0.00396806708737,0.450353464608,0,2.09041672861e-11,1,1.39433310256,1.01363439926e-07,0.667429384537,0.00902593957457,0,2730.35515749,2.73422235374e-19,0.667429384537,0.00902593957457,23.5056769055,1.39433310256,1,0,0,0,0,96.6666666667,True,ideal,0
75,-28.5684052641,24.0701055765,24.0701055765,24.0701055765,2782.81203649,141.469127925,-0.857932075963,86.6172500905,2836.80598225,2.00216732082e-10,2.64680855358e-19,0.666254943517,0.00963908474435,23.874271303,1.02315200178e-07,23.8742714053,-23.4518521254,0.3916,0.0040465938118,0.446589949866,0,2.14015472011e-11,1,1.44842495616,1.02315200178e-07,0.666254943517,0.00963908474435,0,2782.81203649,2.80334024223e-19,0.666254943517,0.00963908474435,23.874271303,1.44842495616,1,0,0,0,0,96.6666666667,True,ideal,0
80,-28.8775034427,24.4278248549,24.4278248549,24.4278248549,2824.16895992,145.845607143,-0.865564449374,87.3235669541,2881.82543566,2.34308572544e-10,2.2226144536e-19,0.665339177929,0.0101411971634,24.1607059832,1.02846985869e-07,24.1607060861,-23.6326343342,0.3916,0.0041087980532,0.443652578426,0,2.18101092742e-11,1,1.49179656785,1.02846985869e-07,0.665339177929,0.0101411971634,0,2824.16895992,2.38185664768e-19,0.665339177929,0.0101411971634,24.1607059832,1.49179656785,1,0,0,0,0,96.6666666667,True,ideal,0
85,-29.1198636809,24.7095036149,24.7095036149,24.7095036149,2856.73462697,149.340350532,-0.87150092675,87.8699754809,2917.33350109,2.56775933849e-10,2.41573796557e-19,0.664625642414,0.0105483336435,24.3836845841,1.01836474983e-07,24.383684686,-23.7731669909,0.3916,0.00415765471614,0.441357748279,0,2.21049845095e-11,1,1.52639892224,1.01836474983e-07,0.664625642414,0.0105483336435,0,2856.73462697,2.42454710822e-19,0.664625642414,0.0105483336435,24.3836845841,1.52639892224,1,0,0,0,0,96.6666666667,True,ideal,0
90,-29.3098954869,24.9310994565,24.9310994565,24.9310994565,2882.35394024,152.119759733,-0.876317917249,88.293836825,2945.30354523,2.26734186981e-10,2.42861286637e-19,0.664067888528,0.0108759928285,24.5575086168,1.00647105683e-07,24.5575087175,-23.8826061506,0.3916,0.00419620723297,0.439563516174,0,2.23501217533e-11,1,1.55389930028,1.00647105683e-07,0.664067888528,0.0108759928285,0,2882.35394024,2.46927044784e-19,0.664067888528,0.0108759928285,24.5575086168,1.55389930028,1,0,0,0,0,96.6666666667,True,ideal,0
95,-29.458897186,25.1053000271,25.1053000271,25.1053000271,2902.49375405,154.323334468,-0.88007288631,88.623338733,2967.3136769,2.31182184507e-10,2.24836425519e-19,0.663631921178,0.0111381568536,24.6931804094,1.01142193587e-07,24.6931805105,-23.9679543116,0.3916,0.00422651652105,0.438159824496,0,2.25455210057e-11,1,1.57569022363,1.01142193587e-07,0.663631921178,0.0111381568536,0,2902.49375405,2.34865295615e-19,0.663631921178,0.0111381568536,24.6931804094,1.57569022363,1,0,0,0,0,96.6666666667,True,ideal,0
100,-29.5757276619,25.2421643555,25.2421643555,25.2421643555,2918.31702076,156.066131372,-0.882958214686,88.8799347361,2984.62025918,2.56918042396e-10,2.12164812628e-19,0.66329145509,0.0113469779513,24.7991784188,1.03817183832e-07,24.7991785226,-24.0345907636,0.3916,0.00425020867235,0.437061138959,0,2.26769714118e-11,1,1.59291715338,1.03817183832e-07,0.66329145509,0.0113469779513,0,2918.31702076,2.46046130518e-19,0.66329145509,0.0113469779513,24.7991784188,1.59291715338,1,0,0,0,0,96.6666666667,True,ideal,0
