deadline_s,optimality_claim,case,stage,search_deadline_s,dt_s,mesh_scale,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C,candidate_id
30,finite_search_best_found,case1,fine_deadline_30,30,0.025,2,0.997588127302,0.975031349666,0.127561245432,0.975031349666,0.997588127302,29.4155884743,31.8,31.8,3237.8761585,252.017128639,-1.13072346144,119.994874875,3368.7676888,4.70961936117e-10,2.09657595104e-19,0.65373409285,0.0166040694048,19.5898975101,1.56914878422,21.1590462943,-22.5550000185,0.391078243843,0.00538751131369,0.433085516812,0,2.63966626335e-11,0.997588127302,2.16319211322,1.56914878422,0.65373409285,0.0164914823725,0,2995.09536506,2.41302746014e-19,0.654038748855,0.0166040694048,18.6511115888,2.5281,1,2.38441152573,0,0,0,98.6666666667,True,sensor,0.2,263
60,finite_search_best_found,case1,fine_deadline_30,30,0.025,2,0.997588127302,0.975031349666,0.127561245432,0.975031349666,0.997588127302,29.4155884743,31.8,31.8,3237.8761585,252.017128639,-1.13072346144,119.994874875,3368.7676888,4.70961936117e-10,2.09657595104e-19,0.65373409285,0.0166040694048,19.5898975101,1.56914878422,21.1590462943,-22.5550000185,0.391078243843,0.00538751131369,0.433085516812,0,2.63966626335e-11,0.997588127302,2.16319211322,1.56914878422,0.65373409285,0.0164914823725,0,2995.09536506,2.41302746014e-19,0.654038748855,0.0166040694048,18.6511115888,2.5281,1,2.38441152573,0,0,0,98.6666666667,True,sensor,0.2,263
90,finite_search_best_found,case1,fine_deadline_30,30,0.025,2,0.997588127302,0.975031349666,0.127561245432,0.975031349666,0.997588127302,29.4155884743,31.8,31.8,3237.8761585,252.017128639,-1.13072346144,119.994874875,3368.7676888,4.70961936117e-10,2.09657595104e-19,0.65373409285,0.0166040694048,19.5898975101,1.56914878422,21.1590462943,-22.5550000185,0.391078243843,0.00538751131369,0.433085516812,0,2.63966626335e-11,0.997588127302,2.16319211322,1.56914878422,0.65373409285,0.0164914823725,0,2995.09536506,2.41302746014e-19,0.654038748855,0.0166040694048,18.6511115888,2.5281,1,2.38441152573,0,0,0,98.6666666667,True,sensor,0.2,263
96.6666666667,finite_search_best_found,case1,fine_deadline_30,30,0.025,2,0.997588127302,0.975031349666,0.127561245432,0.975031349666,0.997588127302,29.4155884743,31.8,31.8,3237.8761585,252.017128639,-1.13072346144,119.994874875,3368.7676888,4.70961936117e-10,2.09657595104e-19,0.65373409285,0.0166040694048,19.5898975101,1.56914878422,21.1590462943,-22.5550000185,0.391078243843,0.00538751131369,0.433085516812,0,2.63966626335e-11,0.997588127302,2.16319211322,1.56914878422,0.65373409285,0.0164914823725,0,2995.09536506,2.41302746014e-19,0.654038748855,0.0166040694048,18.6511115888,2.5281,1,2.38441152573,0,0,0,98.6666666667,True,sensor,0.2,263
30,finite_search_best_found,case2,ray_fine_rerank,30,0.025,2,0.96491679167,0.33683805257,0.360699803517,0.33683805257,0.96491679167,7.47576636076,9.8,9.8,726.231325539,22.1733996653,-0.400142671118,53.4082078759,694.596374657,3.59534624295e-11,1.34068374891e-19,0.722268355295,0.000224726207418,1.19709726302,1.77799968295,2.97509694597,-8.3832818357,0.3916,0.00162039751199,0.654533343384,0,5.65561819599e-10,0.96491679167,0.139717706702,1.77799968295,0.722268355295,0.000222109855302,0,553.993440163,1.73963626707e-19,0.732342013844,0.000224726207418,0.944532672863,0.2401,1,2.32423363924,0,0,0,98.6666666667,True,sensor,0.2,672
60,finite_search_best_found,case2,ray_fine_rerank,60,0.025,2,0.140395436256,0.0351011858803,0,0.0351011858803,0.140395436256,58.9789125323,62,62,544.039528624,1008.98746669,-1.5508740642,310.855991792,1240.62012946,6.26982910035e-11,3.70119516632e-18,0.612548872611,0.0567575506928,7.89126198327,0.63224240631,8.52350438958,-6.03224729893,0.36713893306,0.0109199633992,0.648555040767,0,9.69411217966e-10,0.140395436256,8.69628030874,0.63224240631,0.614145647753,0.05655873452,0,517.529996336,3.70119516632e-18,0.612906207158,0.0567575506928,7.44332828893,9.6,1,3.02108746767,0,0,0,98.6666666667,True,sensor,0.2,775
90,finite_search_best_found,case2,fine_baseline,96.6666666667,0.025,2,0,0,0,0,0,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2,0
96.6666666667,finite_search_best_found,case2,fine_baseline,96.6666666667,0.025,2,0,0,0,0,0,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2,0
30,finite_search_best_found,case3,ray_fine_rerank,30,0.025,2,1,1,0,1,1,19.2289521456,21.6,21.6,2160,113.359405364,-0.853231824291,95.0672727432,2177.4389008,1.62970081874e-10,2.63257840007e-19,0.677872934599,0.00374007665499,14.4881743651,1.73632541541,16.2244997805,-18.1980892441,0.3916,0.00360727173457,0.510362262906,0,1.57811541612e-11,1,0.924381501542,1.73632541541,0.677872934599,0.00371209724582,0,1922.89521456,2.72405795837e-19,0.679998665389,0.00374007665499,13.2090264367,1.1664,1,2.37104785442,0,0,0,98.6666666667,True,sensor,0.2,1348
60,finite_search_best_found,case3,ray_fine_rerank,30,0.025,2,1,1,0,1,1,19.2289521456,21.6,21.6,2160,113.359405364,-0.853231824291,95.0672727432,2177.4389008,1.62970081874e-10,2.63257840007e-19,0.677872934599,0.00374007665499,14.4881743651,1.73632541541,16.2244997805,-18.1980892441,0.3916,0.00360727173457,0.510362262906,0,1.57811541612e-11,1,0.924381501542,1.73632541541,0.677872934599,0.00371209724582,0,1922.89521456,2.72405795837e-19,0.679998665389,0.00374007665499,13.2090264367,1.1664,1,2.37104785442,0,0,0,98.6666666667,True,sensor,0.2,1348
