case,strategy,cell,state,duration_s
case1,dynamic,1,0,0
case1,dynamic,1,1,0
case1,dynamic,1,2,0.4
case1,dynamic,1,3,95.4
case1,dynamic,1,4,2.6
case1,dynamic,1,5,0
case1,dynamic,2,0,0
case1,dynamic,2,1,0
case1,dynamic,2,2,2.4
case1,dynamic,2,3,77.8
case1,dynamic,2,4,18.2
case1,dynamic,2,5,0
case1,dynamic,3,0,0
case1,dynamic,3,1,0
case1,dynamic,3,2,2.4
case1,dynamic,3,3,72.2
case1,dynamic,3,4,23.8
case1,dynamic,3,5,0
case1,dynamic,4,0,0
case1,dynamic,4,1,0
case1,dynamic,4,2,2.4
case1,dynamic,4,3,77.8
case1,dynamic,4,4,18.2
case1,dynamic,4,5,0
case1,dynamic,5,0,0
case1,dynamic,5,1,0
case1,dynamic,5,2,0.4
case1,dynamic,5,3,95.4
case1,dynamic,5,4,2.6
case1,dynamic,5,5,0
case1,constant_hold,1,0,28.2
case1,constant_hold,1,1,0
case1,constant_hold,1,2,0
case1,constant_hold,1,3,0
case1,constant_hold,1,4,0
case1,constant_hold,1,5,0
case1,constant_hold,2,0,28.2
case1,constant_hold,2,1,0
case1,constant_hold,2,2,0
case1,constant_hold,2,3,0
case1,constant_hold,2,4,0
case1,constant_hold,2,5,0
case1,constant_hold,3,0,28.2
case1,constant_hold,3,1,0
case1,constant_hold,3,2,0
case1,constant_hold,3,3,0
case1,constant_hold,3,4,0
case1,constant_hold,3,5,0
case1,constant_hold,4,0,28.2
case1,constant_hold,4,1,0
case1,constant_hold,4,2,0
case1,constant_hold,4,3,0
case1,constant_hold,4,4,0
case1,constant_hold,4,5,0
case1,constant_hold,5,0,28.2
case1,constant_hold,5,1,0
case1,constant_hold,5,2,0
case1,constant_hold,5,3,0
case1,constant_hold,5,4,0
case1,constant_hold,5,5,0
case1,constant_first,1,0,25.7412287951
case1,constant_first,1,1,0
case1,constant_first,1,2,0
case1,constant_first,1,3,0
case1,constant_first,1,4,0
case1,constant_first,1,5,0
case1,constant_first,2,0,25.7412287951
case1,constant_first,2,1,0
case1,constant_first,2,2,0
case1,constant_first,2,3,0
case1,constant_first,2,4,0
case1,constant_first,2,5,0
case1,constant_first,3,0,25.7412287951
case1,constant_first,3,1,0
case1,constant_first,3,2,0
case1,constant_first,3,3,0
case1,constant_first,3,4,0
case1,constant_first,3,5,0
case1,constant_first,4,0,25.7412287951
case1,constant_first,4,1,0
case1,constant_first,4,2,0
case1,constant_first,4,3,0
case1,constant_first,4,4,0
case1,constant_first,4,5,0
case1,constant_first,5,0,25.7412287951
case1,constant_first,5,1,0
case1,constant_first,5,2,0
case1,constant_first,5,3,0
case1,constant_first,5,4,0
case1,constant_first,5,5,0
case2,dynamic,1,0,0
case2,dynamic,1,1,0
case2,dynamic,1,2,84.8
case2,dynamic,1,3,0
case2,dynamic,1,4,4
case2,dynamic,1,5,0
case2,dynamic,2,0,0
case2,dynamic,2,1,0
case2,dynamic,2,2,27.4
case2,dynamic,2,3,25.2
case2,dynamic,2,4,36.2
case2,dynamic,2,5,0
case2,dynamic,3,0,0
case2,dynamic,3,1,0
case2,dynamic,3,2,22
case2,dynamic,3,3,26
case2,dynamic,3,4,40.8
case2,dynamic,3,5,0
case2,dynamic,4,0,0
case2,dynamic,4,1,0
case2,dynamic,4,2,27.4
case2,dynamic,4,3,25.2
case2,dynamic,4,4,36.2
case2,dynamic,4,5,0
case2,dynamic,5,0,0
case2,dynamic,5,1,0
case2,dynamic,5,2,84.8
case2,dynamic,5,3,0
case2,dynamic,5,4,4
case2,dynamic,5,5,0
case2,constant_hold,1,0,8
case2,constant_hold,1,1,0
case2,constant_hold,1,2,0
case2,constant_hold,1,3,0
case2,constant_hold,1,4,0
case2,constant_hold,1,5,0
case2,constant_hold,2,0,8
case2,constant_hold,2,1,0
case2,constant_hold,2,2,0
case2,constant_hold,2,3,0
case2,constant_hold,2,4,0
case2,constant_hold,2,5,0
case2,constant_hold,3,0,8
case2,constant_hold,3,1,0
case2,constant_hold,3,2,0
case2,constant_hold,3,3,0
case2,constant_hold,3,4,0
case2,constant_hold,3,5,0
case2,constant_hold,4,0,8
case2,constant_hold,4,1,0
case2,constant_hold,4,2,0
case2,constant_hold,4,3,0
case2,constant_hold,4,4,0
case2,constant_hold,4,5,0
case2,constant_hold,5,0,8
case2,constant_hold,5,1,0
case2,constant_hold,5,2,0
case2,constant_hold,5,3,0
case2,constant_hold,5,4,0
case2,constant_hold,5,5,0
case2,constant_first,1,0,5.60608956814
case2,constant_first,1,1,0
case2,constant_first,1,2,0
case2,constant_first,1,3,0
case2,constant_first,1,4,0
case2,constant_first,1,5,0
case2,constant_first,2,0,5.60608956814
case2,constant_first,2,1,0
case2,constant_first,2,2,0
case2,constant_first,2,3,0
