cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,4.6875,88.2,-6.31789761227,9.1680704493e-08,0,0,0
1,14.0625,88.2,-6.31789761227,2.7504211412e-07,0,0,0
1,23.4375,88.2,-6.31789761227,4.58403525672e-07,0,0,0
1,32.8125,88.2,-6.31789761227,6.41764940429e-07,0,0,0
1,42.1875,88.2,-6.31789761227,8.25126359676e-07,0,0,0
1,51.5625,88.2,-6.31789761227,1.00848778469e-06,0,0,0
1,60.9375,88.2,-6.31789761227,1.19184921677e-06,0,0,0
1,70.3125,88.2,-6.31789761227,1.37521065718e-06,0,0,0
1,79.6875,88.2,-6.31789761227,1.55857210721e-06,0,0,0
1,89.0625,88.2,-6.31789761227,1.74193356814e-06,0,0,0
1,98.4375,88.2,-6.31789761227,1.92529504125e-06,0,0,0
1,107.8125,88.2,-6.31789761227,2.10865652784e-06,0,0,0
1,117.1875,88.2,-6.31789761227,2.29201802917e-06,0,0,0
1,126.5625,88.2,-6.31789761227,2.47537954654e-06,0,0,0
1,135.9375,88.2,-6.31789761227,2.65874108122e-06,0,0,0
1,145.3125,88.2,-6.31789761227,2.8421026345e-06,0,0,0
1,150.283333333,88.2,-6.31789761227,1.44400758993e-06,0,0,0
1,150.85,88.2,-6.31789761227,1.45984880062e-06,0,0,0
1,151.416666667,88.2,-6.31789761227,1.47569001135e-06,0,0,0
1,151.983333333,88.2,-6.31789761227,1.49153122214e-06,0,0,0
1,152.55,88.2,-6.31789761227,1.50737243299e-06,0,0,0
1,153.116666667,88.2,-6.31789761227,1.52321364389e-06,0,0,0
1,153.9,88.2,-6.31789761227,0,216.948753278,112.564531688,0.122352751835
1,154.9,88.2,-6.31789761227,0,224.534607029,121.622652848,0.132198535704
1,155.9,88.2,-6.31789761227,0,232.530283712,131.159130326,0.142564272094
1,156.9,88.2,-6.31789761227,0,240.998693784,141.262683772,0.153546395405
1,157.9,88.2,-6.31789761227,0,249.97245089,151.977826812,0.165193290013
1,158.9,88.2,-6.31789761227,0,259.485661897,163.353299127,0.177557933834
1,159.9,88.2,-6.31789761227,0,269.573673572,175.447468527,0.190703770138
1,160.9,88.2,-6.31789761227,0,280.272714029,188.332633326,0.20470938405
1,161.9,88.2,-6.31789761227,0,291.619416976,202.000618547,0.219565889725
1,162.9,88.2,-6.31789761227,0,303.650224148,216.492533102,0.235317970763
1,163.9,88.2,-6.31789761227,0,316.40067351,231.865345016,0.252027548931
1,164.9,88.2,-6.31789761227,0,331.432330488,250.57048388,0.272359221609
1,166.10625,88.2,-6.31789761227,3.3080764942e-05,39.9055309409,48.355940272,0.0525608046435
1,167.51875,88.2,-6.31789761227,3.25043780698e-05,41.0199630718,50.8320132629,0.0552521883293
1,168.93125,88.2,-6.31789761227,3.22860041132e-05,41.0191010582,51.0653293619,0.0555057927846
1,170.34375,88.2,-6.31789761227,3.20833775328e-05,41.010337172,51.1597264626,0.0556083983289
1,171.75625,88.2,-6.31789761227,3.18917167382e-05,40.9936524239,51.1583450041,0.0556068967436
1,173.16875,88.2,-6.31789761227,3.17097725911e-05,40.9690346713,51.0719375016,0.0555129755452
1,174.58125,88.2,-6.31789761227,3.15378571514e-05,40.9364777827,50.896725062,0.0553225272413
1,175.99375,88.2,-6.31789761227,3.13781908911e-05,40.8959864931,50.6107936334,0.0550117322102
1,181.3875,88.2,-6.31789761227,6.77305938006e-05,40.7015832939,47.8533829009,0.0520145466314
1,190.7625,88.2,-6.31789761227,6.72054386624e-05,40.3659388743,44.7269061838,0.0486162023737
1,200.1375,88.2,-6.31789761227,6.65687250309e-05,40.0489428952,42.5484067451,0.0462482682012
1,209.5125,88.2,-6.31789761227,6.58597856685e-05,39.7504174602,40.9480912217,0.0445087948062
1,218.8875,88.2,-6.31789761227,6.51047637015e-05,39.4707165837,39.6754348973,0.0431254727145
1,228.2625,88.2,-6.31789761227,6.43224179293e-05,39.2105224483,38.5460601528,0.0418978914704
1,237.6375,88.2,-6.31789761227,6.35288547833e-05,38.9707239563,37.3962497366,0.0406480975398
1,247.0125,88.2,-6.31789761227,6.27329338276e-05,38.7523036102,36.1320985899,0.0392740202064
1,256.3875,88.2,-6.31789761227,6.19371301678e-05,38.5562179041,34.7240456273,0.0377435278557
1,265.7625,88.2,-6.31789761227,6.11364294505e-05,38.3833012152,33.2222908559,0.036111185713
1,275.1375,88.2,-6.31789761227,6.03258597161e-05,38.2342250701,31.6786927665,0.0344333617027
1,284.5125,88.2,-6.31789761227,5.95010353708e-05,38.1095037311,30.1408226002,0.0327617636959
1,293.8875,88.2,-6.31789761227,5.86577704151e-05,38.0095031111,28.6561068934,0.0311479422754
1,303.2625,88.2,-6.31789761227,5.77916699477e-05,37.934450467,27.2765303943,0.0296484026026
1,312.6375,88.2,-6.31789761227,5.68972710984e-05,37.8844467369,26.0689778865,0.0283358455288
1,322.0125,88.2,-6.31789761227,5.59645670766e-05,37.8594839603,25.1575768058,0.0273451921803
2,4.6875,88.2,0.902664241405,1.38505761096e-07,0,0,0
2,14.0625,88.2,0.902664241405,4.15517284438e-07,0,0,0
2,23.4375,88.2,0.902664241405,6.9252881123e-07,0,0,0
2,32.8125,88.2,0.902664241405,9.69540343774e-07,0,0,0
2,42.1875,88.2,0.902664241405,1.24655188437e-06,0,0,0
2,51.5625,88.2,0.902664241405,1.52356343532e-06,0,0,0
2,60.9375,88.2,0.902664241405,1.80057499892e-06,0,0,0
2,70.3125,88.2,0.902664241405,2.07758657747e-06,0,0,0
2,79.6875,88.2,0.902664241405,2.35459817328e-06,0,0,0
2,89.0625,88.2,0.902664241405,2.63160978864e-06,0,0,0
2,98.4375,88.2,0.902664241405,2.90862142586e-06,0,0,0
2,107.8125,88.2,0.902664241405,3.18563308723e-06,0,0,0
2,117.1875,88.2,0.902664241405,3.46264477506e-06,0,0,0
2,126.5625,88.2,0.902664241405,3.73965649164e-06,0,0,0
2,135.9375,88.2,0.902664241405,4.01666823928e-06,0,0,0
2,145.3125,88.2,0.902664241405,4.29368002028e-06,0,0,0
2,150.283333333,88.2,0.902664241405,2.18152099396e-06,0,0,0
2,150.85,88.2,0.902664241405,2.20545295788e-06,0,0,0
2,151.416666667,88.2,0.902664241405,2.22938492189e-06,0,0,0
2,151.983333333,88.2,0.902664241405,2.25331688599e-06,0,0,0
2,152.55,88.2,0.902664241405,2.2772488502e-06,0,0,0
2,153.116666667,88.2,0.902664241405,2.3011808145e-06,0,0,0
2,153.9,88.2,0.902664241405,0,339.714688229,0.00902668745374,9.81161679754e-06
2,154.9,88.2,0.902664241405,0,350.305842329,0.0128338420261,1.39498282892e-05
2,155.9,88.2,0.902664241405,0,361.255192446,0.0177474352362,1.92906904741e-05
2,156.9,88.2,0.902664241405,0,372.620243592,0.0242097670695,2.6314964206e-05
2,157.9,88.2,0.902664241405,0,384.406764005,0.0326669203588,3.55075221292e-05
2,158.9,88.2,0.902664241405,0,396.619263028,0.0437727335847,4.75790582442e-05
2,159.9,88.2,0.902664241405,0,409.261053981,0.0588865153992,6.40070819556e-05
2,160.9,88.2,0.902664241405,0,422.334394316,0.0815109904391,8.85989026512e-05
2,161.9,88.2,0.902664241405,0,435.84070979,0.106829569111,0.00011611909686
2,162.9,88.2,0.902664241405,0,449.780911367,0.133220694895,0.000144805103147
2,163.9,88.2,0.902664241405,0,464.155804112,0.160874037395,0.000174863084125
2,164.9,88.2,0.902664241405,0,479.790240577,0.199839694183,0.000217217058895
2,166.10625,88.2,0.902664241405,5.43294579467e-05,77.276792548,0.136558588637,0.000148433248518
2,167.51875,88.2,0.902664241405,5.39763991732e-05,77.9009148941,0.206243969094,0.000224178227276
2,168.93125,88.2,0.902664241405,5.37321210037e-05,77.8999424905,0.222342153623,0.000241676253939
2,170.34375,88.2,0.902664241405,5.34892288159e-05,77.8979178973,0.229808299432,0.000249791629817
2,171.75625,88.2,0.902664241405,5.32470377973e-05,77.8948412235,0.232606893398,0.000252833579781
2,173.16875,88.2,0.902664241405,5.30053752878e-05,77.8907123203,0.231720008442,0.000251869574394
2,174.58125,88.2,0.902664241405,5.27642744391e-05,77.8855309312,0.226918725489,0.000246650788575
2,175.99375,88.2,0.902664241405,5.2524025558e-05,77.8792967192,0.216437280031,0.000235257913077
2,181.3875,88.2,0.902664241405,0.000110029316946,77.849702273,0.0597365794564,6.49310646265e-05
2,190.7625,88.2,0.902664241405,0.000108918695927,77.7983441414,0.00261010129676,2.83706662691e-06
2,200.1375,88.2,0.902664241405,0.000107781881835,77.7503125252,8.22646345168e-08,8.94180809966e-11
2,209.5125,88.2,0.902664241405,0.000106627421599,77.7056188877,0,0
2,218.8875,88.2,0.902664241405,0.000105455738905,77.6642831148,0,0
2,228.2625,88.2,0.902664241405,0.000104266832864,77.6263241391,0,0
2,237.6375,88.2,0.902664241405,0.000103060702986,77.5917594355,0,0
2,247.0125,88.2,0.902664241405,0.000101837349188,77.560604991,0,0
2,256.3875,88.2,0.902664241405,0.000100596771792,77.5328752767,0,0
2,265.7625,88.2,0.902664241405,9.93389715212e-05,77.5085832222,0,0
2,275.1375,88.2,0.902664241405,9.80639494962e-05,77.4877401924,0,0
2,284.5125,88.2,0.902664241405,9.67717072282e-05,77.4703559676,0,0
2,293.8875,88.2,0.902664241405,9.54622466137e-05,77.4564387256,0,0
2,303.2625,88.2,0.902664241405,9.41355699272e-05,77.4459950273,0,0
2,312.6375,88.2,0.902664241405,9.27916798131e-05,77.4390298043,0,0
2,322.0125,88.2,0.902664241405,9.14305792769e-05,77.4355463505,0,0
3,4.6875,88.2,3.64090126079,1.39864140078e-07,0,0,0
3,14.0625,88.2,3.64090126079,4.19592421397e-07,0,0,0
3,23.4375,88.2,3.64090126079,6.99320706211e-07,0,0,0
3,32.8125,88.2,3.64090126079,9.79048996849e-07,0,0,0
3,42.1875,88.2,3.64090126079,1.25877729564e-06,0,0,0
3,51.5625,88.2,3.64090126079,1.53850560491e-06,0,0,0
3,60.9375,88.2,3.64090126079,1.81823392699e-06,0,0,0
3,70.3125,88.2,3.64090126079,2.09796226422e-06,0,0,0
3,79.6875,88.2,3.64090126079,2.37769061891e-06,0,0,0
