cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,4.6875,158.4,2.4057625128,1.59472939512e-07,0,0,0
1,14.0625,158.4,2.4057625128,4.78418819088e-07,0,0,0
1,23.4375,158.4,2.4057625128,7.97364700319e-07,0,0,0
1,32.8125,158.4,2.4057625128,1.11631058431e-06,0,0,0
1,42.1875,158.4,2.4057625128,1.43525647216e-06,0,0,0
1,51.5625,158.4,2.4057625128,1.75420236498e-06,0,0,0
1,60.9375,158.4,2.4057625128,2.07314826388e-06,0,0,0
1,70.3125,158.4,2.4057625128,2.39209416994e-06,0,0,0
1,79.6875,158.4,2.4057625128,2.71104008429e-06,0,0,0
1,89.0625,158.4,2.4057625128,3.02998600801e-06,0,0,0
1,98.4375,158.4,2.4057625128,3.34893194222e-06,0,0,0
1,107.8125,158.4,2.4057625128,3.66787788802e-06,0,0,0
1,117.1875,158.4,2.4057625128,3.98682384652e-06,0,0,0
1,126.5625,158.4,2.4057625128,4.30576981881e-06,0,0,0
1,135.9375,158.4,2.4057625128,4.624715806e-06,0,0,0
1,145.3125,158.4,2.4057625128,4.9436618092e-06,0,0,0
1,150.283333333,158.4,2.4057625128,2.51176189301e-06,0,0,0
1,150.85,158.4,2.4057625128,2.53931669094e-06,0,0,0
1,151.416666667,158.4,2.4057625128,2.56687148891e-06,0,0,0
1,151.983333333,158.4,2.4057625128,2.59442628693e-06,0,0,0
1,152.55,158.4,2.4057625128,2.62198108499e-06,0,0,0
1,153.116666667,158.4,2.4057625128,2.6495358831e-06,0,0,0
1,153.9,158.4,2.4057625128,0,394.019078223,105.320758449,0.114479085271
1,154.9,158.4,2.4057625128,0,405.808168827,115.950374701,0.126033015979
1,155.9,158.4,2.4057625128,0,417.883755732,127.13822384,0.138193721565
1,156.9,158.4,2.4057625128,0,430.302524601,138.981834468,0.151067211378
1,157.9,158.4,2.4057625128,0,443.06188088,151.521216318,0.164696974258
1,158.9,158.4,2.4057625128,0,456.158957113,164.801785756,0.179132375822
1,159.9,158.4,2.4057625128,0,469.590926093,178.877765808,0.194432354139
1,160.9,158.4,2.4057625128,0,483.355356785,193.809089098,0.210662053367
1,161.9,158.4,2.4057625128,0,497.450603483,209.617087509,0.227844660336
1,162.9,158.4,2.4057625128,0,511.876269111,226.357212349,0.246040448206
1,163.9,158.4,2.4057625128,0,526.633688177,244.101030122,0.265327206655
1,164.9,158.4,2.4057625128,0,541.679606128,266.360361748,0.289522132335
1,166.10625,158.4,2.4057625128,3.7519119648e-05,143.431395292,63.3811780781,0.0688925848675
1,167.51875,158.4,2.4057625128,3.65893283753e-05,143.433973716,66.6754851014,0.0724733533711
1,168.93125,158.4,2.4057625128,3.62472946567e-05,143.432923532,66.9740265724,0.07279785497
1,170.34375,158.4,2.4057625128,3.59414828702e-05,143.431269313,67.0861517083,0.0729197301178
1,171.75625,158.4,2.4057625128,3.56635935631e-05,143.429021342,67.0528171376,0.0728834968887
1,173.16875,158.4,2.4057625128,3.5411438092e-05,143.426185003,66.8837456343,0.0726997235155
1,174.58125,158.4,2.4057625128,3.51857620928e-05,143.422764463,66.5733414983,0.0723623277156
1,175.99375,158.4,2.4057625128,3.49908303349e-05,143.418762438,66.0971405768,0.0718447180183
1,181.3875,158.4,2.4057625128,9.98149411447e-05,143.405142761,62.2050611741,0.0676141969283
1,190.7625,158.4,2.4057625128,9.97740719643e-05,143.387352652,56.3047097025,0.0612007714157
1,200.1375,158.4,2.4057625128,9.95761099259e-05,143.371066281,51.1408804702,0.0555879135545
1,209.5125,158.4,2.4057625128,9.92427538403e-05,143.356188754,46.6053665981,0.0506580071719
1,218.8875,158.4,2.4057625128,9.87968079891e-05,143.342638576,42.5806052825,0.0462832666115
1,228.2625,158.4,2.4057625128,9.82535425416e-05,143.330354926,38.9884328647,0.0423787313747
1,237.6375,158.4,2.4057625128,9.76236061629e-05,143.319290739,35.7749815859,0.0388858495499
1,247.0125,158.4,2.4057625128,9.69149878213e-05,143.309408252,32.9002875808,0.0357611821531
1,256.3875,158.4,2.4057625128,9.61339884463e-05,143.300676526,30.3331610254,0.0329708272015
1,265.7625,158.4,2.4057625128,9.52857105624e-05,143.293069961,28.0486458766,0.0304876585615
1,275.1375,158.4,2.4057625128,9.43743030704e-05,143.286567366,26.0268158771,0.0282900172577
1,284.5125,158.4,2.4057625128,9.34030513519e-05,143.281151376,24.252449853,0.0263613585358
1,293.8875,158.4,2.4057625128,9.23743209798e-05,143.276808177,22.7155999488,0.0246908695096
1,303.2625,158.4,2.4057625128,9.12892564485e-05,143.273527672,21.4137427401,0.0232758073262
1,312.6375,158.4,2.4057625128,9.01467780484e-05,143.271304744,20.3585590355,0.0221288685169
1,322.0125,158.4,2.4057625128,8.89388780599e-05,143.270145989,19.6071644367,0.0213121352573
2,4.6875,158.4,7.66238018146,1.63127547715e-07,0,0,0
2,14.0625,158.4,7.66238018146,4.89382643168e-07,0,0,0
2,23.4375,158.4,7.66238018146,8.15637738692e-07,0,0,0
2,32.8125,158.4,7.66238018146,1.14189283433e-06,0,0,0
2,42.1875,158.4,7.66238018146,1.46814793013e-06,0,0,0
2,51.5625,158.4,7.66238018146,1.79440302614e-06,0,0,0
2,60.9375,158.4,7.66238018146,2.12065812241e-06,0,0,0
2,70.3125,158.4,7.66238018146,2.44691321898e-06,0,0,0
2,79.6875,158.4,7.66238018146,2.77316831589e-06,0,0,0
2,89.0625,158.4,7.66238018146,3.09942341321e-06,0,0,0
2,98.4375,158.4,7.66238018146,3.42567851096e-06,0,0,0
2,107.8125,158.4,7.66238018146,3.7519336092e-06,0,0,0
2,117.1875,158.4,7.66238018146,4.07818870797e-06,0,0,0
2,126.5625,158.4,7.66238018146,4.40444380733e-06,0,0,0
2,135.9375,158.4,7.66238018146,4.73069890731e-06,0,0,0
2,145.3125,158.4,7.66238018146,5.05695400797e-06,0,0,0
2,150.283333333,158.4,7.66238018146,2.5693230497e-06,0,0,0
2,150.85,158.4,7.66238018146,2.59750930319e-06,0,0,0
