case,strategy,dt_s,scale,period_s,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,guarded,0.05,1,0.2,85.2454317689,88,88,2932.43777537,1940.62452722,13.6788021873,273.03684424,4613.70426053,8.4128259914e-12,-2.91650384399e-19,0.561010314897,0.265634915391,6.04821657219,0.881135786812,6.75322208822,-14.4621079094,0.296808756527,0.0120605498807,0.433085516812,0,3.67731178841e-10,1,16.5736295307,0.881135786812,0.587506932896,0.264463602266,0,2794.70936381,2.30149016164e-18,0.561010314897,0.265634915391,6.04821657219,17.4,1,2.75456823111,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.025,1,0.2,85.2444482267,88,88,2931.56195217,1940.99175213,13.4437557412,272.96100313,4613.0364569,2.34194885707e-10,-3.09268669701e-18,0.560808573372,0.263461219481,6.05253103021,0.881942595957,6.75687435395,-14.4659275492,0.296682783591,0.0120602148868,0.433085516812,0,6.73200162282e-10,1,16.573334468,0.881942595957,0.587260055773,0.262287276816,0,2793.7843635,3.48516788345e-18,0.560808573372,0.263461219481,6.05253103021,17.4,1,2.75555177331,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.025,2,0.2,85.2443816423,88,88,2929.996488,1941.57238708,13.4538500763,272.960994728,4612.06173043,2.07478478842e-10,1.22536529534e-17,0.560443360118,0.277253495352,6.06034318389,0.881909075063,6.7624963545,-14.4714086111,0.295884961556,0.0120708584924,0.433085516812,0,6.73200162282e-10,1,16.5733144927,0.881909075063,0.586857406435,0.276018085267,0,2792.21557012,1.32459689918e-17,0.560443360118,0.277253495352,6.06034318389,17.4,1,2.75561835766,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.0125,2,0.2,85.2440157294,88,88,2929.6390509,1941.73633043,13.3294553175,272.923008858,4611.78182778,-1.60071067512e-10,4.59159620048e-19,0.560354291825,0.274942417664,6.06209916513,0.882204971464,6.76392402594,-14.47299075,0.29585072123,0.0120706212863,0.433085516812,0,9.95079574295e-10,1,16.5732047188,0.882204971464,0.586749562551,0.273711146662,0,2791.83983737,7.67859083609e-18,0.560354291825,0.274942417664,6.06209916513,17.4,1,2.75598427057,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.025,4,0.2,85.2442981005,88,88,2929.27499492,1941.98246312,13.4453240336,272.96100184,4611.74178024,2.50679477176e-10,5.07580089071e-17,0.560196235683,0.288015169577,6.06424470178,0.881950360793,6.76537995678,-14.4733128731,0.295423763896,0.0120766961957,0.432941077614,0,6.73203714996e-10,1,16.5732894301,0.881950360793,0.586590122773,0.286731692658,0,2791.48989995,6.39999121407e-17,0.560196235683,0.288015169577,6.06424470178,17.4,1,2.75570189953,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.025,2,0.1,85.2100153029,88,88,2932.68610244,1941.43923301,13.4207301329,273.173827101,4614.37223849,1.67290181707e-10,1.07888958184e-17,0.560504832658,0.276927733839,6.05974519634,0.892817131354,6.77433014217,-14.4623566136,0.295940950804,0.0120701635753,0.433085516812,0,6.73200162282e-10,1,16.5630045909,0.892817131354,0.586940631463,0.27566267029,0,2793.18686759,1.22395583252e-17,0.560504832658,0.276927733839,6.05974519634,17.4,1,2.7899846971,0,0,0,98.6666666667,True,sensor,0.2
case1,guarded,0.025,2,0.4,85.2879178286,88,88,2926.31794216,1941.75629232,13.5041080591,272.699299679,4608.87904286,2.35161223827e-10,1.09672470758e-17,0.560345932851,0.277746764889,6.05915188181,0.867611220435,6.74648557015,-14.4840140692,0.295793256217,0.0120718959247,0.433085516812,0,8.43108693971e-10,1,16.5863753486,0.867611220435,0.586737314275,0.276548847787,0,2790.71383359,1.24100491168e-17,0.560345932851,0.277746764889,6.05915188181,17.4,1,2.71208217144,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.05,1,0.2,74.3179011703,78.2,78.2,293.80199512,1533.61089897,-1.85437154245,394.072470086,1431.48605246,-7.38964445191e-12,6.14959472234e-18,0.605194614722,0.0850570664428,9.05338866754,0.43133169669,9.48472036423,-5.11425224263,0.344394571578,0.0114956987203,0.643353336969,0,3.72757824607e-10,0.124336371153,13.2953703511,0.43133169669,0.614035155456,0.0847984993103,0,293.80199512,6.14959472234e-18,0.605194614722,0.0850570664428,8.95536128527,14.46,1,3.88209882975,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.025,1,0.2,74.3160185933,78.2,78.2,293.756330732,1533.68364305,-2.05953291229,394.050000052,1431.33044081,3.52997631126e-11,-2.31043482957e-18,0.605140243255,0.0843157178175,9.05563108165,0.431571436093,9.48720251775,-5.11530064792,0.344391195272,0.0114951127939,0.643180362323,0,9.91715154441e-10,0.124313046193,13.294805578,0.431571436093,0.613980351741,0.0840574714661,0,293.756330732,2.33103467084e-18,0.605140243255,0.0843157178175,8.95779500819,14.46,1,3.88398140669,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.025,2,0.2,74.3083841026,78.2,78.2,293.608834529,1533.86210157,-2.02026702251,394.05556874,1431.39510034,2.6147972676e-11,1.0534650409e-17,0.604971210122,0.0872925449365,9.05430897361,0.432521120844,9.48683009445,-5.11507385932,0.343959134969,0.0115014823149,0.640814256234,0,9.91715154441e-10,0.124293047235,13.2925152308,0.432521120844,0.613762011268,0.0870240518232,0,293.608834529,1.68661200457e-17,0.604971210122,0.0872925449365,8.95687975728,14.46,1,3.89161589742,0,0,0,98.6666666667,True,sensor,0.2
