case,candidate,training_passed,training_count,all_training_passed,training_max_stop_s,training_first_deadline_s,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,0,0,6,False,-1,94.6666666667,0.4522685747,97.1571108025,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,95.6689798474,98.4,98.4,2856.15451148,2305.21057879,17.5069937959,303.955374264,4874.9167098,9.05515662453e-11,2.77024497092e-17,0.55070717664,0.354252990227,6.64800704012,0.21689877761,6.7458221648,-13.0580365155,0.275274784646,0.0125939398375,0.432445350324,0,3.53834295197e-10,0.914480807578,19.7006939542,0.21689877761,0.577604894347,0.35356176805,0,2750.02439602,2.78813430676e-17,0.55070717664,0.354252990227,6.64800704012,20.52,1,2.73102015257,0,0,0,98.6666666667,True,sensor,0.2
case1,1,6,6,True,97.4,94.6666666667,1,95.2139685864,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,92.0960656047,94.8,94.8,2894.94149785,2178.84819935,16.1244927102,293.20043632,4796.71375359,5.65592017665e-11,2.26495254843e-17,0.553858650283,0.328969129138,6.4588909545,0.798904881317,6.77148749219,-13.5300281347,0.282475872844,0.0123989096952,0.432953837206,0,3.58477691975e-10,0.960231530891,18.6288196814,0.798904881317,0.58182068596,0.327574836395,0,2768.02956646,2.26495254843e-17,0.553858650283,0.328969129138,6.4588909545,19.44,1,2.70393439532,0,0,0,98.6666666667,True,sensor,0.2
case1,2,6,6,True,95.6,94.6666666667,2,95.2139685864,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,89.2157056928,92,92,2916.33532912,2080.70969413,15.0481825514,285.062758361,4727.03044744,-4.66116034659e-12,1.65189043e-17,0.556571472341,0.308973004207,6.29708715,0.934521940358,6.7938212392,-13.9008175422,0.288078679417,0.0122580387593,0.433085516812,0,3.62408769661e-10,0.990776963349,17.7647117078,0.934521940358,0.584338861452,0.307531263922,0,2779.7278096,1.65189043e-17,0.556571472341,0.308973004207,6.29708715,18.6,1,2.78429430724,0,0,0,98.6666666667,True,sensor,0.2
case1,3,6,6,True,93.6,94.6666666667,3.5,95.2139685864,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,85.2451129556,88,88,2930.71838817,1941.24524358,13.6772135488,273.036918142,4612.60392716,1.11356257548e-10,1.10038388991e-17,0.560621454095,0.281846086214,6.05680418838,0.881314515865,6.75962766867,-14.4683296189,0.295951566254,0.0120712900553,0.433085516812,0,3.68162833553e-10,1,16.5735338867,0.881314515865,0.587074174886,0.280602838168,0,2792.97403595,1.10038388991e-17,0.560621454095,0.281846086214,6.05680418838,17.4,1,2.75488704443,0,0,0,98.6666666667,True,sensor,0.2
case1,4,6,6,True,95.4,94.6666666667,1,91.3276841543,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,88.333717525,91,91,2911.93765923,2046.02679791,14.7811131373,281.684310608,4691.06125967,4.66116034659e-12,1.56542530674e-17,0.5574350652,0.302925015732,6.24569647028,0.789674167694,6.75420532827,-14.060660502,0.28994795885,0.0122157120214,0.433085516812,0,3.63646002199e-10,0.995802303813,17.5001152575,0.789674167694,0.584605287838,0.301628506301,0,2782.80102704,1.56542530674e-17,0.5574350652,0.302925015732,6.24569647028,18.3,1,2.666282475,0,0,0,98.6666666667,True,sensor,0.2
case1,5,6,6,True,93.8,94.6666666667,2,91.3276841543,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,85.5819731951,88.4,88.4,2932.30910364,1955.0755463,13.7775980515,274.391274679,4626.77097331,2.39310793404e-11,1.12049584021e-17,0.560248980636,0.284211886578,6.07882285698,0.909208338188,6.77991220376,-14.4025368844,0.295209072407,0.0120887513371,0.433085516812,0,3.67639252374e-10,1,16.6745919585,0.909208338188,0.586918229888,0.282886576778,0,2791.40776339,1.12049584021e-17,0.560248980636,0.284211886578,6.07882285698,17.52,1,2.81802680493,0,0,0,98.6666666667,True,sensor,0.2
case1,6,6,6,True,91.2,94.6666666667,3.5,91.3276841543,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,82.2009877562,85,85,2956.88978838,1836.12972843,12.4192308367,265.417103319,4540.02164433,6.53699316899e-12,7.13703185093e-18,0.564449896252,0.259084334331,5.97415020908,0.845710895988,6.81986110507,-14.8359315411,0.302200001891,0.0119327543188,0.433085516812,0,6.97347068979e-10,1,15.6602963269,0.845710895988,0.589481232318,0.257977352895,0,2816.93917619,7.13703185093e-18,0.564449896252,0.259084334331,5.89822984871,16.5,1,2.79901224375,0,0,0,98.6666666667,True,sensor,0.2
case1,7,6,6,True,92.8,94.6666666667,1,87.4413997222,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,84.6457668662,87.4,87.4,2932.30108511,1920.28736477,13.4505353792,271.3648875,4594.67409775,6.31530383544e-11,9.24173931827e-18,0.561309195317,0.277546919205,6.01612593443,0.793956452542,6.76217106489,-14.5485509958,0.297163056659,0.0120461729249,0.433085516812,0,3.69125174871e-10,1,16.3937300599,0.793956452542,0.58733708274,0.2763492167,0,2796.37834804,9.24173931827e-18,0.561309195317,0.277546919205,6.01612593443,17.22,1,2.7542331338,0,0,0,98.6666666667,True,sensor,0.2
case1,8,6,6,True,92,94.6666666667,2,87.4413997222,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,82.3575825453,85.2,85.2,2957.48546117,1843.04682597,12.4727859779,266.060022506,4546.94505061,5.07611730427e-11,5.3825216853e-18,0.564232632242,0.260300387147,5.96975926739,0.860287098065,6.83004636545,-14.8039576538,0.301820536374,0.0119412834771,0.433085516812,0,3.73171715751e-10,1,15.7072747636,0.860287098065,0.589401539387,0.259150876939,0,2815.36458843,5.3825216853e-18,0.564232632242,0.260300387147,5.89542026956,16.56,1,2.84241745472,0,0,0,98.6666666667,True,sensor,0.2
case1,9,6,6,True,89.4,94.6666666667,3.5,87.4413997222,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,79.4766395569,82.4,82.4,2994.44786426,1744.52387625,11.1506879879,260.082659347,4490.03976916,2.51816345553e-11,4.25278302157e-18,0.568597077399,0.23750936655,6.07121282286,0.861857690942,6.9330705138,-15.101114112,0.307952995759,0.0118123539266,0.433085516812,0,3.7907321726e-10,1,14.8429918671,0.861857690942,0.591954155361,0.236431228349,0,2848.27984211,5.20281517521e-18,0.568597077399,0.23750936655,5.95612594949,15.72,1,2.92336044312,0,0,0,98.6666666667,True,sensor,0.2
