case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,3000,0.2,0.005,-1,1,1,1,92.5392207086,95.8,95.8,3057.54217762,2216.55090512,16.5352589566,290.27935181,5000.34898989,5.90148374613e-10,6.87492597573e-18,0.550852141837,0.334979871233,6.47245903932,0.571910977381,6.83547150548,-13.716530878,0.279145578328,0.0124624710633,0.423858397741,0,7.68885399793e-10,1,18.7617662126,0.571910977381,0.57970933024,0.333165754007,0,2907.11287392,1.45564983678e-17,0.550852141837,0.334979871233,6.47245903932,19.74,1,3.26077929139,0.667203827285,0.000665616047696,0,98.6666666667,True,sensor,0.2
case1,3001,0.2,0.005,-1,1,1,1,92.6930008054,95.6,95.6,3050.45122287,2210.03386311,16.6421370016,288.995531471,4988.13169151,4.9948312153e-10,6.63260679018e-18,0.551218573872,0.33499010611,6.505385514,0.737564979436,6.75875699763,-13.791024822,0.279306622221,0.0124509504805,0.423858397741,0,9.35916233402e-10,1,18.8079002416,0.737564979436,0.579849833483,0.333351191738,0,2911.82491894,1.4300084554e-17,0.551218573872,0.33499010611,6.505385514,19.68,1,2.90699919462,0.840253533337,0.000718235275137,0,98.6666666667,True,sensor,0.2
case1,3002,0.2,0.005,-1,1,1,1,92.6536741018,95.4,95.4,3035.26885617,2203.59379489,16.7590369134,287.335661634,4968.28602633,5.32679678145e-10,6.33661959709e-18,0.551065035713,0.335137764409,6.47265482092,0.539668086896,6.69747353649,-13.862417658,0.279445703226,0.0124478727866,0.423858397741,0,7.31414928623e-10,1,18.7961022305,0.539668086896,0.579256660324,0.333906633749,0,2907.83862079,1.38794141111e-17,0.551065035713,0.335137764409,6.47265482092,19.62,1,2.74632589817,0.641606890416,0.000900657726603,0,98.6666666667,True,sensor,0.2
case1,3003,0.2,0.005,-1,1,1,1,92.6972580791,95.8,95.8,3059.17058423,2216.79724542,16.5681273518,290.171845958,5002.36411104,5.08862285642e-10,5.63676709475e-18,0.551027390056,0.334917892058,6.49856528131,0.752062249459,6.82474981165,-13.7302817174,0.279079861938,0.0124591539743,0.423858397741,0,6.06000583048e-10,1,18.8091774237,0.752062249459,0.579959191706,0.333305404868,0,2912.43232574,1.39368768262e-17,0.551027390056,0.334917892058,6.49856528131,19.74,1,3.10274192095,0.88377877571,0.00079315759755,0,98.6666666667,True,sensor,0.2
case1,3004,0.2,0.005,-1,1,1,1,92.5775918305,95.8,95.8,3054.92001783,2216.72858514,16.5999004955,290.107085829,4998.14141763,4.59294824395e-10,7.04622991898e-18,0.551059828937,0.335233644451,6.48923156921,0.557735412535,6.81688358828,-13.7318207795,0.27909286372,0.0124634686482,0.423858397741,0,8.36518410097e-10,1,18.7732775491,0.557735412535,0.579516723219,0.333441151399,0,2905.57804151,1.45510773569e-17,0.551059828937,0.335233644451,6.48923156921,19.74,1,3.22240816951,0.634760724965,0.000644865193813,0,98.6666666667,True,sensor,0.2
case1,3005,0.2,0.005,-1,1,1,1,92.5744787157,95.6,95.6,3049.09305008,2209.98120234,16.6278866573,289.150087675,4986.5520514,4.98857843922e-10,6.55183372833e-18,0.55121521126,0.334884011542,6.46754716028,0.531453149537,6.76982489341,-13.7856223479,0.279355459178,0.0124555574839,0.423858397741,0,7.66377183936e-10,1,18.7723436147,0.531453149537,0.579448955016,0.3331223339,0,2908.31615686,1.41651013835e-17,0.55121521126,0.334884011542,6.46754716028,19.68,1,3.02552128434,0.731209419059,0.000628721740214,0,98.6666666667,True,sensor,0.2
case1,3006,0.2,0.005,-1,1,1,1,92.8496955097,95.4,95.4,3043.02991355,2203.44273862,16.7041787286,287.921809527,4975.25502137,5.62238255952e-10,6.35559313511e-18,0.550883842299,0.334706736839,6.5187723787,0.573795163239,6.70971004957,-13.8432923096,0.279575405605,0.0124480209544,0.423858397741,0,7.90254972571e-10,1,18.8549086529,0.573795163239,0.579471412669,0.33335053514,0,2920.80481898,1.33595391694e-17,0.550883842299,0.334706736839,6.5187723787,19.62,1,2.55030449033,0.679560917164,0.000513779949593,0,98.6666666667,True,sensor,0.2
case1,3007,0.2,0.005,-1,1,1,1,92.6777166605,95.8,95.8,3062.91316948,2216.65477674,16.5308761488,290.271999712,5005.82682266,5.26256371813e-10,6.18483129294e-18,0.550840733415,0.334830203243,6.53444799792,0.847316438062,6.83804084089,-13.7287405525,0.279103814029,0.0124562214034,0.423858397741,0,8.322338374e-10,1,18.8033149981,0.847316438062,0.580292620343,0.33291512231,0,2913.10300457,1.36327581168e-17,0.550840733415,0.334830203243,6.53444799792,19.74,1,3.1222833395,0.760656251563,0.000565988533849,0,98.6666666667,True,sensor,0.2
case1,3008,0.2,0.005,-1,1,1,1,92.6282868028,95.6,95.6,3044.08649709,2210.06222711,16.6600538845,288.842155352,4981.96662273,4.8152060117e-10,6.65049612603e-18,0.551164931777,0.33512739744,6.48119107917,0.493152568178,6.75075907179,-13.7936933002,0.279311672037,0.012458890571,0.423858397741,0,9.65748370163e-10,1,18.7884860408,0.493152568178,0.579304303509,0.333599916373,0,2907.79947911,1.42653900845e-17,0.551164931777,0.33512739744,6.48119107917,19.68,1,2.97171319723,0.764932780501,0.00064039070107,0,98.6666666667,True,sensor,0.2
case1,3009,0.2,0.005,-1,1,1,1,92.5775191486,95.6,95.6,3048.43274182,2210.12572336,16.6359763972,288.797898518,4986.39654306,4.78621586808e-10,7.73632460177e-18,0.551178729169,0.335073417012,6.45387122726,0.677071782167,6.77645190631,-13.8009165153,0.279232011911,0.0124538180522,0.423858397741,0,6.58811671883e-10,1,18.7732557446,0.677071782167,0.579662675864,0.333632739771,0,2907.15948721,1.44139257821e-17,0.551178729169,0.335073417012,6.45387122726,19.68,1,3.02248085141,0.785551236917,0.000721371115763,0,98.6666666667,True,sensor,0.2
