case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,6000,0.2,0.005,-1,1,1,1,86.6775418818,90.2,90.2,3130.40538272,2018.15489595,13.8005822607,276.891302159,4885.46955877,3.20767412632e-10,1.09146632704e-17,0.557778926506,0.289728567345,6.12581312003,1.04130080522,7.04732091705,-14.3629430426,0.29106016463,0.0121718155313,0.423858397741,0,8.90420182031e-10,1,17.0032625645,1.04130080522,0.585996793143,0.287792401986,0,2954.28247681,1.35723138457e-17,0.557778926506,0.289728567345,6.12581312003,18.06,1,3.5224581182,0.638932817448,0.000716699084912,0,98.6666666667,True,sensor,0.2
case1,6001,0.2,0.005,-1,1,1,1,86.6880933166,89.8,89.8,3111.0646623,2004.98798899,13.9539722931,274.471122177,4855.53550141,3.73290731659e-10,1.09314684041e-17,0.557667702251,0.289784829319,6.08367224215,0.922627220883,6.92754807554,-14.4857338756,0.29152928888,0.0121587130843,0.423858397741,0,8.53280113233e-10,1,17.006427995,0.922627220883,0.585524680239,0.288269876109,0,2955.46932813,1.32795792591e-17,0.557667702251,0.289784829319,6.08367224215,17.94,1,3.11190668344,0.694167501936,0.000497629516844,0,98.6666666667,True,sensor,0.2
case1,6002,0.2,0.005,-1,1,1,1,86.6978497505,89.6,89.6,3103.04405484,1998.33621185,13.9942527753,273.353419726,4842.02109974,2.95358404401e-10,1.0767211775e-17,0.55751972446,0.289732503174,6.08097402214,0.864840987156,6.87849949549,-14.5375722653,0.291749128275,0.0121522017377,0.423858397741,0,6.90537405035e-10,1,17.0093549252,0.864840987156,0.585302288042,0.288408325842,0,2957.93654237,1.29903683296e-17,0.55751972446,0.289732503174,6.08097402214,17.88,1,2.90215024948,0.718632159805,0.000968920967784,0,98.6666666667,True,sensor,0.2
case1,6003,0.2,0.005,-1,1,1,1,86.6822698176,90.6,90.6,3151.98934403,2031.24948114,13.6400431589,279.57956751,4917.29930082,3.2531488614e-10,9.82666639032e-18,0.557797333476,0.289494101268,6.05845541901,1.16187722201,7.17294260192,-14.2360594522,0.290697042754,0.0121841778421,0.423858397741,0,7.24387660966e-10,1,17.0046809453,1.16187722201,0.586519158577,0.287090582577,0,2956.10283491,1.31714300924e-17,0.557797333476,0.289494101268,6.05845541901,18.18,1,3.91773018241,0.726271490948,0.000943362333253,0,98.6666666667,True,sensor,0.2
case1,6004,0.2,0.005,-1,1,1,1,86.6413947523,89.6,89.6,3103.05260868,1998.38645761,14.0087969242,273.462323014,4841.9855402,2.49542608799e-10,1.10577779572e-17,0.557685232031,0.289373219716,6.06057515106,0.878196176362,6.87546199844,-14.5597278984,0.291795279435,0.0121514707174,0.423858397741,0,8.25689738804e-10,1,16.9924184257,0.878196176362,0.585398493225,0.288004483734,0,2955.1223463,1.32356690712e-17,0.557685232031,0.289373219716,6.06057515106,17.88,1,2.95860524774,0.730946406549,0.000613156713204,0,98.6666666667,True,sensor,0.2
case1,6005,0.2,0.005,-1,1,1,1,86.7400267184,89.8,89.8,3108.47165856,2005.10281806,13.998337171,274.42384911,4853.14896468,2.71199951385e-10,1.10729567876e-17,0.557750779316,0.290259287805,6.05882727268,0.909025156701,6.90972698208,-14.4949485541,0.291467401915,0.0121595717954,0.423858397741,0,7.20646653463e-10,1,17.0220080155,0.909025156701,0.58541331142,0.288789026579,0,2955.47299447,1.32402769304e-17,0.557750779316,0.290259287805,6.05882727268,17.94,1,3.05997328162,0.761464959007,0.00101439346263,0,98.6666666667,True,sensor,0.2
case1,6006,0.2,0.005,-1,1,1,1,86.6512786269,90,90,3122.16919459,2011.44692965,13.8479644677,275.757339273,4871.70674944,2.68869371212e-10,1.09255052921e-17,0.557598119988,0.289270142637,6.12617624861,0.994273654895,6.99478378712,-14.4300274108,0.291378200505,0.0121642622235,0.423858397741,0,8.49130543656e-10,1,16.9953835881,0.994273654895,0.585875608539,0.287514791905,0,2954.73312593,1.3819511941e-17,0.557598119988,0.289270142637,6.12617624861,18,1,3.34872137308,0.668496878334,0.000465606642849,0,98.6666666667,True,sensor,0.2
case1,6007,0.2,0.005,-1,1,1,1,86.6953122079,90.2,90.2,3130.49742974,2018.04468471,13.7937153737,276.92719734,4885.40863248,2.4499513529e-10,1.02045108474e-17,0.557679325764,0.289535457025,6.10531505769,1.03881683633,7.0435117909,-14.381492395,0.291099934185,0.0121715757593,0.423858397741,0,6.76049438653e-10,1,17.0085936624,1.03881683633,0.586018704262,0.287614335436,0,2955.26304013,1.32939449379e-17,0.557679325764,0.289535457025,6.10531505769,18.06,1,3.50468779206,0.756151658222,0.00109454226846,0,98.6666666667,True,sensor,0.2
case1,6008,0.2,0.005,-1,1,1,1,86.7222154438,89.8,89.8,3109.76845039,2004.92768731,13.9566416927,274.413697291,4854.2390821,3.2235902836e-10,1.08626215661e-17,0.557841697981,0.289539127317,6.07866378714,0.920056785326,6.91818459857,-14.5007506916,0.291550354131,0.0121585197689,0.423858397741,0,8.86959838908e-10,1,17.0166646332,0.920056785326,0.585572054884,0.28799908343,0,2955.87922258,1.35197300404e-17,0.557841697981,0.289539127317,6.07866378714,17.94,1,3.07778455615,0.766565951654,0.000488260856765,0,98.6666666667,True,sensor,0.2
case1,6009,0.2,0.005,-1,1,1,1,86.6486113846,89.8,89.8,3112.24822742,2004.93405719,13.91405861,274.452151182,4856.64419204,3.05590219796e-10,1.0805158851e-17,0.557587818501,0.289098885636,6.01063309105,0.93885692473,6.94271226153,-14.495570085,0.291529099417,0.0121580952804,0.423858397741,0,7.48450190713e-10,1,16.9945834154,0.93885692473,0.585665112839,0.287539933273,0,2954.67879665,1.31998903995e-17,0.557587818501,0.289098885636,6.01063309105,17.94,1,3.15138861537,0.687126226312,0.000484812073227,0,98.6666666667,True,sensor,0.2
