case,stage,evaluation_dt_s,evaluation_scale,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C,selected
case1,warm_start_recheck,0.1,1,11.0722821337,0.4,76.6405576202,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,79.6805547953,-1,98.6666666667,3495.94069082,2266.73495597,5.24060106827,365.844632673,5402.07161519,-7.04858393874e-12,1.2917184683e-17,0.572760865182,0.21287915568,9.15006220297,0.196308595945,9.34637079892,-10.6281923424,0.289455183326,0.0124717784959,0.433085516812,0,9.95573401497e-10,1,14.9041664386,,,,,2964.40037186,1.29507949503e-17,0.572760865182,0.21287915568,6.68104724225,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,warm_start_recheck,0.1,1,10.9931448239,0.4,86.2206273227,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,85.1049513102,-1,98.6666666667,3237.93085094,2288.4794206,10.4855661833,337.786733433,5199.10910429,-7.38964445191e-13,1.0308594256e-17,0.561612020911,0.268864136965,8.4318849079,0.151375514666,8.58326042256,-11.5809565786,0.283482723868,0.0125203512266,0.433085516812,0,9.99706983862e-10,1,16.531485393,,,,,2797.74071816,1.0308594256e-17,0.561612020911,0.268864136965,6.04825173922,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,warm_start_recheck,0.1,1,10.8928291226,0.4,95.8006970252,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,94.4584073067,-1,98.6666666667,2910.87351128,2309.77570899,16.9945170924,309.197226096,4928.44651126,-7.44648787077e-12,1.14220698871e-18,0.552560973658,0.3311186937,6.95206901927,0.113085223024,7.06515424229,-12.8044909627,0.277056727972,0.012584583996,0.433085516812,0,9.96109861262e-10,0.925868653041,19.337522192,,,,,2758.15399817,2.91704594507e-18,0.552560973658,0.3311186937,6.57750818414,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,warm_start_recheck,0.1,1,10.8357557726,0.4,100.590731876,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,-1,-1,98.6666666667,2707.46400822,2319.74927945,20.5661371288,294.933410155,4752.84601465,1.53477230924e-12,-4.46691295064e-19,0.548642313998,0.363513680837,6.80749939656,-0.159504959542,5.84862005424,-13.5304534041,0.273647917861,0.012627723152,0.433085516812,0,9.95612481347e-10,0.875100103917,-1,,,,,,2.60804832591e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,warm_start_recheck,0.1,1,0.94985811851,1,75.1077464678,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,76.3374708891,79.8,79.8,3096.80404301,1648.64145114,9.27801232244,260.680408888,4494.04309758,-2.62048160948e-11,2.94659045427e-18,0.576789039034,0.197319504678,6.72155307231,0.653023674031,7.37457674634,-15.0951545631,0.316097644615,0.0116828012025,0.433085516812,0,9.95115101432e-10,1,13.9012412667,0.653023674031,0.59615786602,0.196610786746,0,2940.77065651,2.94659045427e-18,0.576789039034,0.197319504678,6.28598255475,14.94,1,3.46252911091,0,0,0,98.6666666667,True,sensor,0.2,
case1,warm_start_recheck,0.1,1,0.906914026595,1,84.4962147762,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,82.2280950546,85,85,2956.79425115,1834.8617843,12.785426748,265.579409354,4538.86205284,1.58024704433e-11,2.64979010955e-18,0.565247733512,0.24817123781,6.09432871428,0.706594355481,6.80092306976,-14.8230515286,0.303254829207,0.011928349946,0.433085516812,0,9.93672699678e-10,1,15.6684285164,0.706594355481,0.590032994514,0.247164181731,0,2821.4908628,2.68394247799e-18,0.565247733512,0.24817123781,5.88941622691,16.5,1,2.77190494537,0,0,0,98.6666666667,True,sensor,0.2,
case1,warm_start_recheck,0.1,1,0.891665067381,1,93.8846830847,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,90.7828154087,93.6,93.6,2907.07836451,2135.11204346,16.0423887806,290.003247583,4768.22954917,-1.84172677109e-11,1.00288700955e-18,0.55587868699,0.306419171991,6.38345744317,0.743978902838,6.78121329211,-13.668717957,0.286094125336,0.0123291695703,0.433085516812,0,9.9348085314e-10,0.973093583114,18.2348446226,0.743978902838,0.583728201394,0.305038340058,0,2775.42022873,2.78965218981e-18,0.55587868699,0.306419171991,6.38345744317,19.08,1,2.81718459129,0,0,0,98.6666666667,True,sensor,0.2,
case1,warm_start_recheck,0.1,1,0.884235240742,1,98.5789172389,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,95.316668582,98.2,98.2,2882.8550445,2296.19518654,17.7486751683,303.98482204,4892.81408417,-2.79669620795e-11,1.74014448684e-19,0.551822084433,0.336951700849,6.6209488261,0.747995197189,6.78752857266,-13.0410757506,0.277111506063,0.0125560195812,0.433085516812,0,9.94898385898e-10,0.928328245852,19.5950005746,0.747995197189,0.580305025772,0.335434527551,0,2753.59574448,2.7839601284e-18,0.551822084433,0.336951700849,6.6209488261,20.46,1,2.88333141804,0,0,0,98.6666666667,True,sensor,0.2,
case1,default_recheck,0.1,1,1.03041639274,1,60,0.15,0.015,1,2,0.6,0.8,0.1,0.7,0.02,0.1,1,68.7563943386,76.8,76.8,3359.4466256,1530.31528182,4.95722323098,277.046673815,4617.67245683,9.89075488178e-12,3.65457447291e-18,0.589873491932,0.145924127493,8.16490293876,0.231997088199,8.39690002696,-14.5101464391,0.328206101257,0.0115311904825,0.433085516812,0,9.98294780175e-10,1,11.6269183016,0.231997088199,0.602399998006,0.1452140605,0,3052.34316877,3.78630503686e-18,0.589873491932,0.145924127493,5.9722894227,14.04,1,8.04360566139,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,1.08436183709,3.52631586588,19.4957965398,0.0835977352494,0.00887599258996,0.131567851574,2,0.6,0.8,0.1,0.7,0.02,0.331787625411,1,47.7347802877,50.8,50.8,3535.32391392,666.896209683,-1.72980876791,217.152591731,3983.3377231,-1.05160324892e-11,2.81892564846e-20,0.624644371297,0.0366825503442,12.3074950147,0.769972845726,7.33413485269,-17.6627953169,0.376712286335,0.00895224676496,0.433085516812,0,9.97942617431e-10,1,5.6965231228,0.769972845726,0.624644371297,0.036531114434,0,3382.06292831,7.16928686556e-20,0.625961936375,0.0366825503442,12.3074950147,6.4516,1,3.06521971226,0,0,0,98.6666666667,True,sensor,0.2,
