case,strategy,cell,energy_J,average_power_W_cm2,peak_power_W_cm2,heating_duration_s
case1,dynamic,1,1386.40219745,0.563578129046,0.914325588895,98.4
case1,dynamic,2,27.5619508934,0.0112040450786,0.451752902318,22
case1,dynamic,3,27.4800523103,0.0111707529717,0.451752902318,22
case1,dynamic,4,27.5619508934,0.0112040450786,0.451752902318,22
case1,dynamic,5,1386.40219745,0.563578129046,0.914325588895,98.4
case1,constant_hold,1,705,1,1,28.2
case1,constant_hold,2,705,1,1,28.2
case1,constant_hold,3,440.280648934,0.624511558772,0.624511558772,28.2
case1,constant_hold,4,705,1,1,28.2
case1,constant_hold,5,705,1,1,28.2
case1,constant_first,1,643.530719878,1,1,25.7412287951
case1,constant_first,2,643.530719878,1,1,25.7412287951
case1,constant_first,3,401.892372988,0.624511558772,0.624511558772,25.7412287951
case1,constant_first,4,643.530719878,1,1,25.7412287951
case1,constant_first,5,643.530719878,1,1,25.7412287951
case2,dynamic,1,0,0,0,0
case2,dynamic,2,0,0,0,0
case2,dynamic,3,0,0,0,0
case2,dynamic,4,0,0,0,0
case2,dynamic,5,0,0,0,0
case2,constant_hold,1,200,1,1,8
case2,constant_hold,2,200,1,1,8
case2,constant_hold,3,124.902311754,0.624511558772,0.624511558772,8
case2,constant_hold,4,200,1,1,8
case2,constant_hold,5,200,1,1,8
case2,constant_first,1,140.152239203,1,1,5.60608956814
case2,constant_first,2,140.152239203,1,1,5.60608956814
case2,constant_first,3,87.5266933704,0.624511558772,0.624511558772,5.60608956814
case2,constant_first,4,140.152239203,1,1,5.60608956814
case2,constant_first,5,140.152239203,1,1,5.60608956814
case3,dynamic,1,859.510703742,0.349394595017,0.536673112096,98.4
case3,dynamic,2,16.0940161225,0.00654228297662,0.213405839961,17.2
case3,dynamic,3,15.9358196641,0.00647797547323,0.213032852427,17.2
case3,dynamic,4,16.094067425,0.00654230383132,0.213405969741,17.2
case3,dynamic,5,859.511403325,0.349394879401,0.53667338345,98.4
case3,constant_hold,1,485,1,1,19.4
case3,constant_hold,2,485,1,1,19.4
case3,constant_hold,3,302.888106004,0.624511558772,0.624511558772,19.4
case3,constant_hold,4,485,1,1,19.4
case3,constant_hold,5,485,1,1,19.4
case3,constant_first,1,425.921959727,1,1,17.0368783891
case3,constant_first,2,425.921959727,1,1,17.0368783891
case3,constant_first,3,265.993186985,0.624511558772,0.624511558772,17.0368783891
case3,constant_first,4,425.921959727,1,1,17.0368783891
case3,constant_first,5,425.921959727,1,1,17.0368783891
case1,guarded,1,1413.24607445,0.642384579294,1,88
case1,guarded,2,34.5285981766,0.015694817353,0.464798211255,24.4
case1,guarded,3,34.4471427516,0.0156577921598,0.464798211255,24.6
case1,guarded,4,34.5285981766,0.015694817353,0.464798211255,24.4
case1,guarded,5,1413.24607445,0.642384579294,1,88
case2,guarded,1,134.347102125,0.0687197453325,0.124292375459,67.4
case2,guarded,2,9.67363981876,0.00494815335998,0.0246722228596,21.6
case2,guarded,3,5.56615154725,0.00284713634131,0.016668623167,17.4
case2,guarded,4,9.67377204567,0.00494822099523,0.0246724843962,21.6
case2,guarded,5,134.348168992,0.0687202910448,0.124293047235,67.4
case3,guarded,1,899.926695517,0.392981089745,0.597823707799,91.6
case3,guarded,2,18.5661757869,0.00810750034362,0.219323257429,18.4
case3,guarded,3,18.3985348169,0.00803429467989,0.218949671072,18.4
case3,guarded,4,18.5662302261,0.0081075241162,0.219323387204,18.4
case3,guarded,5,899.927353925,0.39298137726,0.597823985589,91.6
case1,constant_optimized,1,793.082561205,0.997588127302,0.997588127302,31.8
case1,constant_optimized,2,775.149922984,0.975031349666,0.975031349666,31.8
case1,constant_optimized,3,101.411190118,0.127561245432,0.127561245432,31.8
case1,constant_optimized,4,775.149922984,0.975031349666,0.975031349666,31.8
case1,constant_optimized,5,793.082561205,0.997588127302,0.997588127302,31.8
case2,constant_optimized,1,0,0,0,0
case2,constant_optimized,2,0,0,0,0
case2,constant_optimized,3,0,0,0,0
case2,constant_optimized,4,0,0,0,0
case2,constant_optimized,5,0,0,0,0
case3,constant_optimized,1,977.286571512,0.396465140573,0.396465140573,98.6
case3,constant_optimized,2,5.83666519298,0.00236781549411,0.00236781549411,98.6
case3,constant_optimized,3,18.2232871095,0.00739281424319,0.00739281424319,98.6
case3,constant_optimized,4,5.83666519298,0.00236781549411,0.00236781549411,98.6
case3,constant_optimized,5,977.286571512,0.396465140573,0.396465140573,98.6
