study,scale,control_volumes,dt_s,cooling_min,max_field_error_K,max_node_error_K,reference
time,1,146,2.0,20.0,0.01659604599933573,0.016595853937349858,"same mesh, matrix exponential"
time,1,146,2.0,40.0,0.012549392415785121,0.012549247194304058,"same mesh, matrix exponential"
time,1,146,2.0,100.0,0.001695614060604811,0.0016955944397558653,"same mesh, matrix exponential"
time,1,146,1.0,20.0,0.00830085662964919,0.008300760553238362,"same mesh, matrix exponential"
time,1,146,1.0,40.0,0.006275602913490275,0.006275530287489062,"same mesh, matrix exponential"
time,1,146,1.0,100.0,0.0008474284237642848,0.0008474186174609599,"same mesh, matrix exponential"
time,1,146,0.5,20.0,0.004151127293656742,0.004151079234596011,"same mesh, matrix exponential"
time,1,146,0.5,40.0,0.003138020938912689,0.003137984618536649,"same mesh, matrix exponential"
time,1,146,0.5,100.0,0.00042361857944683834,0.0004236136771424981,"same mesh, matrix exponential"
time,1,146,0.25,20.0,0.0020757285575285778,0.0020757045130412877,"same mesh, matrix exponential"
time,1,146,0.25,40.0,0.0015690581212695065,0.0015690399556049783,"same mesh, matrix exponential"
time,1,146,0.25,100.0,0.00021178442422353783,0.0002117819730997894,"same mesh, matrix exponential"
time,1,146,0.125,20.0,0.0010378955296239667,0.0010378834944280158,"same mesh, matrix exponential"
time,1,146,0.125,40.0,0.0007845336801821645,0.0007845245925430788,"same mesh, matrix exponential"
time,1,146,0.125,100.0,0.00010588503144859374,0.00010588380571263656,"same mesh, matrix exponential"
space,1,146,0.0,20.0,,0.0001785984991808931,"scale=8 seven-node energy projection, matrix exponential"
space,1,146,0.0,40.0,,0.00012149289232965543,"scale=8 seven-node energy projection, matrix exponential"
space,1,146,0.0,100.0,,1.5302528925786874e-05,"scale=8 seven-node energy projection, matrix exponential"
space,2,292,0.0,20.0,,4.272723551856927e-05,"scale=8 seven-node energy projection, matrix exponential"
space,2,292,0.0,40.0,,2.9080462486064107e-05,"scale=8 seven-node energy projection, matrix exponential"
space,2,292,0.0,100.0,,3.664127607549972e-06,"scale=8 seven-node energy projection, matrix exponential"
space,4,584,0.0,20.0,,8.960788164813493e-06,"scale=8 seven-node energy projection, matrix exponential"
space,4,584,0.0,40.0,,6.129659414710886e-06,"scale=8 seven-node energy projection, matrix exponential"
space,4,584,0.0,100.0,,7.751108199727241e-07,"scale=8 seven-node energy projection, matrix exponential"
