cooling_min,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,mean_capacity_C,mean_length_C,mean_seven_nodes_C,field_min_C,field_max_C,field_range_K,cell_range_K,center_minus_left_EP_K,surface_left_C,surface_right_C,relative_field_range,Bi_stack,h_W_m2K,conductance_factor,G_eff_W_m2K,note
20.0,4.0461839410517095,4.95415751251996,5.2030665018876325,4.954199154831631,4.046190611656664,3.600349359482222,3.6002041596218985,3.779238707679786,3.9895482142343353,4.343478748721674,3.436902302537881,5.205106552611497,1.768204250073616,1.156882560835923,1.6027171424054107,3.4370464967941103,3.436902302537881,0.05234588811711765,0.578187134502924,20.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-9.085996496560142,-8.528250689673794,-8.375356540396481,-8.528238132227079,-9.086019866431569,-9.359863074133834,-9.359983994511172,-9.24999020070592,-9.120800585868492,-8.90338697056201,-9.460297523335722,-8.374103359292391,1.0861941640433308,0.7106633260350872,0.9845065337373526,-9.4601772566675,-9.460297523335722,0.05234668197989397,0.578187134502924,20.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,3.8923694525717987,4.248861980845381,4.346282394985307,4.248866619069886,3.892347242990743,3.6546927117802426,3.654606941005729,3.736792009916997,3.832857954595843,3.991146763321298,3.491211801995668,4.347080839801514,0.8558690378058458,0.453935151994564,0.6915896832050645,3.4912970839085276,3.491211801995668,0.025369010709561875,0.2392748538011696,20.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-9.20972823439404,-8.991049482132956,-8.931290730662608,-8.991048467069662,-9.209745741354203,-9.3555236600712,-9.35558081427674,-9.305164548515513,-9.246235741162886,-9.149138161423057,-9.455810730260932,-8.930800946693381,0.5250097835675511,0.2784550106915944,0.4242329294085909,-9.455753857357426,-9.455810730260932,0.025369120947994345,0.2392748538011696,20.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,3.841364312142678,4.018512424077709,4.066871689170433,4.018512929218903,3.8413494291105814,3.671506641574559,3.671459508661173,3.7221209166240836,3.7810130188804725,3.8756538477080054,3.5080383570419826,4.0672680329164095,0.5592296758744268,0.2255222600598512,0.39536504759587343,3.5080852540643406,3.5080383570419826,0.016583466895723688,0.12630409356725147,20.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-9.250522580933936,-9.141906130620507,-9.112255203743324,-9.141905918729792,-9.250531914343066,-9.354669008907244,-9.354698155677331,-9.3236355212877,-9.28752644694594,-9.229498416136456,-9.454898121025,-9.112012189647317,0.3428859313776833,0.138276710599742,0.24241380516392041,-9.454869115752455,-9.454898121025,0.016583472966473736,0.12630409356725147,20.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,3.8159160851371117,3.90421744501023,3.9283100626138134,3.904217531600035,3.8159083080181433,3.679679166009606,3.6796552440610792,3.714694484205394,3.7551667683961867,3.8182719774928597,3.5162220053531215,3.928507519297831,0.4122855139447097,0.11240175459567014,0.24863089660420723,3.5162458111345174,3.5162220053531215,0.01222865935023841,0.0698187134502924,20.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-9.270833589454378,-9.216704830462545,-9.201936049146438,-9.216704777967909,-9.27083835807627,-9.354346860416669,-9.35436152611441,-9.33288246093172,-9.3080729389342,-9.269389427376947,-9.454546149068921,-9.201815008141093,0.25273114092782833,0.0689023089298324,0.15241081127023115,-9.454531554536661,-9.454546149068921,0.012228659388522646,0.0698187134502924,20.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,3.8032062593355254,3.847288986926869,3.859313624269665,3.8472890087930876,3.803202329260296,3.6837080578203762,3.683696058223105,3.710959208604307,3.74226306500277,3.7896720463755607,3.520257001687021,3.85941217437302,0.3391551726859987,0.056111295009368956,0.17560556644928882,3.5202689430610974,3.520257001687021,0.010060679987991369,0.04157602339181287,20.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-9.280967391772602,-9.253947721998808,-9.246577449152658,-9.253947708596415,-9.280969800637692,-9.354211542484851,-9.354218897410117,-9.33750846771236,-9.318321364083575,-9.289262930293306,-9.454395759801507,-9.246517044740447,0.20787871506106015,0.0343923514850335,0.10763409333219265,-9.45438844056303,-9.454395759801507,0.010060679987997796,0.04157602339181287,20.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-8.715126936055205,-7.5593320701295905,-7.240864033307976,-7.55927478982757,-8.71510959951458,-9.27793326932601,-9.278106683630883,-9.051055984788379,-8.784308849984976,-8.335106768827401,-9.479107954670418,-7.238253533449484,2.2408544212209343,1.4742629027472285,2.0370692360180334,-9.478936563642698,-9.479107954670418,0.10696741657210913,1.156374269005848,40.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-21.886443341955008,-21.44587228582735,-21.324480396062675,-21.44585959735121,-21.88645583799892,-22.100977329392773,-22.101065380902426,-22.014505236929853,-21.9128242323598,-21.741593452784336,-22.177684676979283,-21.32348529431061,0.8541993826686713,0.5619754419362444,0.7764969333300975,-22.177597523166625,-22.177684676979283,0.10696887394116344,1.156374269005848,40.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-8.966923792451453,-8.52276133915381,-8.401133365086656,-8.522754302164833,-8.966948702230617,-9.261399027323614,-9.261502256049585,-9.159413488816721,-9.040070838637334,-8.843346112065797,-9.462231642725328,-8.400136468191644,1.0620951745336846,0.5658153371439614,0.8602656622369587,-9.462129495641285,-9.462231642725328,0.05096282554062253,0.4785497076023392,40.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-22.028882547542125,-21.860554554443972,-21.814460619196186,-21.860553166471078,-22.02889469086441,-22.14048256147758,-22.140524831985342,-22.101833652258993,-22.056605169713908,-21.982050424568673,-22.216597262482487,-21.814082814011194,0.4025144484712939,0.21443407166822226,0.32602194228139325,-22.216555403618393,-22.216597262482487,0.05096302492874425,0.4785497076023392,40.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-9.04915897808351,-8.829996523764269,-8.770106261972547,-8.829995501999017,-9.049176514652292,-9.258478821995041,-9.25853591113394,-9.196014022980263,-9.12332994688763,-9.006492644800087,-9.459156017321565,-8.76961540031705,0.6895406170045142,0.2790702526797446,0.4883725600224942,-9.459099488427348,-9.459156017321565,0.03314463957850129,0.25260818713450295,40.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-22.07473638946189,-21.991831869862107,-21.969176674473417,-21.991831551240203,-22.074743167257648,-22.153917680705277,-22.153939447341035,-22.130288643468187,-22.102793782642763,-22.058596682905943,-22.229829824502236,-21.96899099174773,0.26083883275450503,0.1055664927842308,0.18474100623186018,-22.22980826842642,-22.229829824502236,0.03314465053893119,0.25260818713450295,40.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-9.089944009202204,-8.981082359999789,-8.951364664552043,-8.981082149172932,-9.08995336694265,-9.25745970868034,-9.257488836797162,-9.214374755527544,-9.16457382517863,-9.086910727906732,-9.458051200608619,-8.951121103262132,0.506930097346487,0.1385887023906065,0.3060950441282966,-9.458022354230515,-9.458051200608619,0.024388494037786784,0.1396374269005848,40.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
