mode,eigenvalue_per_s,time_constant_s,max_initial_modal_amplitude_K
1,-0.0008108613388135937,1233.2564794162504,55.69447256677883
2,-0.008568156845472907,116.71121549652332,4.135967720853919e-05
3,-0.10671721723105301,9.370559183856004,0.8637192496897595
4,-0.28645135946284006,3.490994079676292,2.1853003014752302e-05
5,-0.3570229004883474,2.800940776157966,0.24905530655943867
6,-0.4693197949068349,2.1307432817712515,1.035417675035823e-05
7,-0.7695792390493168,1.2994113526702313,0.08273596809517271
8,-1.0574476636847183,0.9456732794845472,1.7592251291453924e-06
9,-1.3487054259926854,0.7414517512332033,0.0731075182232056
10,-1.3519004284012934,0.739699447527036,0.0004073798689324213
