case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,1000,0.2,0.005,-1,95.9092223525,-1,96.6666666667,2955.67665141,2249.95849158,18.1251658303,286.736133041,4937.02417578,3.17925241688e-10,6.38432449268e-18,0.547479969774,0.353483642517,6.51418191033,0.0320276849675,6.31936074385,-13.90915527,0.275588623139,0.012537347251,0.423845076697,0,4.99554175803e-10,1,19.7727667058,-31,1.2684587417,0,0,2925.93279889,1.38219513959e-17,False
case1,1001,0.2,0.005,-1,94.7536019087,-1,96.6666666667,2948.38747031,2250.02567428,18.1699964786,286.686897811,4929.89624326,2.83591816697e-10,5.67308786753e-18,0.54762706648,0.353725510228,6.69478611573,-0.223501225682,6.31270034086,-13.9144434311,0.27560061795,0.012543003023,0.423848731372,0,4.53530444536e-11,1,19.4260805726,-31,1.2684587417,0,0,2879.18830156,1.42317798171e-17,False
case1,1002,0.2,0.005,-1,94.8728815138,-1,96.6666666667,2950.41582186,2250.42725796,18.1847422176,286.688466961,4932.33935508,3.08716607833e-10,6.76000054545e-18,0.547528107032,0.354123621708,6.70632458512,-0.299748914184,6.34695764877,-13.9259780455,0.27552634221,0.0125457799244,0.423847014056,0,5.81225345631e-11,1,19.4618644542,-31,1.2684587417,0,0,2885.4339446,1.53241135059e-17,False
case1,1003,0.2,0.005,-1,95.2519037187,-1,96.6666666667,2954.4843888,2249.66067637,18.1410314459,286.820294304,4935.46580232,3.12240899802e-10,6.96925156474e-18,0.548118833816,0.353785278539,6.61077648853,-0.0248081240339,6.29890858677,-13.9156659519,0.275641722202,0.0125379247809,0.423845477235,0,4.34647873249e-11,1,19.5755711156,-31,1.2684587417,0,0,2900.48490139,1.46795553144e-17,False
case1,1004,0.2,0.005,-1,94.9620606899,-1,96.6666666667,2948.4994995,2250.06800378,18.1643915085,286.607299116,4930.12459567,2.67561972578e-10,5.53051528185e-18,0.547503272436,0.354353928169,6.63473411236,-0.331480983182,6.30263316419,-13.9042922339,0.275582311034,0.0125450766016,0.423846910016,0,5.72647707031e-10,1,19.488618207,-31,1.2684587417,0,0,2886.89587691,1.42778584095e-17,False
case1,1005,0.2,0.005,-1,94.5655109107,-1,96.6666666667,2954.12590381,2250.15241032,18.1465038873,286.694020691,4935.73079733,2.52214249485e-10,6.4309451861e-18,0.548170961109,0.353629636625,6.80557146339,-0.101264845694,6.35103107174,-13.9129336366,0.275621549024,0.0125398442472,0.423848754397,0,9.3472607432e-10,1,19.3696532732,-31,1.2684587417,0,0,2873.76837383,1.46345609242e-17,False
case1,1006,0.2,0.005,-1,95.1961140156,-1,96.6666666667,2955.24417625,2250.3326628,18.1529353001,286.796601098,4936.93317325,3.46744855051e-10,6.99310401253e-18,0.548408447367,0.353404298335,6.59749221147,-0.176248642607,6.3805088439,-13.8926969655,0.275624448429,0.0125413324382,0.423847100383,0,8.51290593573e-10,0.986276452914,19.5588342047,-31,1.2684587417,0,0,2900.50233864,1.37189521895e-17,False
case1,1007,0.2,0.005,-1,95.6637043893,-1,96.6666666667,2952.24334532,2250.21841734,18.188998567,286.586904185,4934.06385705,2.58239651885e-10,6.43636619696e-18,0.547195338136,0.354382378473,6.79906772661,-0.0499341252764,6.29056438576,-13.9286588357,0.275529316084,0.0125407300082,0.423858397741,0,4.35749214489e-11,1,19.6991113168,-31,1.2684587417,0,0,2912.43240588,1.43185159909e-17,False
case1,1008,0.2,0.005,-1,95.4467111468,-1,96.6666666667,2945.34212855,2250.24079727,18.2100693136,286.551394304,4927.24160084,2.57102783507e-10,5.98262758778e-18,0.547704047976,0.354496997118,6.61299797285,-0.335454883404,6.27754308945,-13.9131501401,0.27554082532,0.0125454430896,0.423843667504,0,5.60022861418e-11,0.999894607533,19.634013344,-31,1.2684587417,0,0,2905.59809513,1.42735216008e-17,False
case1,1009,0.2,0.005,-1,95.2830064416,-1,96.6666666667,2952.23644827,2250.36842475,18.1804540925,286.602366355,4934.18296076,2.59831267613e-10,6.02979038228e-18,0.547600611443,0.353906334429,6.56847583273,-0.0644564289691,6.30071846162,-13.9170686668,0.275513102596,0.0125394451264,0.423847678696,0,3.97566424226e-10,0.995268921519,19.5849019325,-31,1.2684587417,0,0,2899.50841352,1.42041326617e-17,False
