case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,G,0.8,95.7090943873,98.6,98.6,2891.27467121,2307.97399675,15.5714004415,304.571367442,4910.24870096,6.18513240624e-10,8.73379060046e-18,0.550280861552,0.350015904542,8.05244211448,0.214523974241,8.26696608872,-13.0282903584,0.274802037161,0.0126032504972,0.432386049109,0,9.0928864438e-10,0.919611547792,19.7127283162,0.214523974241,0.57721072403,0.349290105677,0,2778.67711235,1.339477574e-17,0.550280861552,0.350015904542,7.97004752678,20.58,1,2.89090561271,0.0285837698033,0.000324930345901,0,98.6666666667,True,sensor,0.2
case1,G,1.2,95.6576018929,98.4,98.4,2834.85442179,2308.93266669,18.6119094957,304.244029382,4858.1549686,-3.62604168913e-10,8.68120679509e-18,0.550689086115,0.348107483933,5.71461890965,0.218713806734,5.74214046861,-13.0446450248,0.27528438323,0.0125921234962,0.432389507349,0,9.17857789773e-10,0.911120374651,19.6972805679,0.218713806734,0.577452627426,0.34741963539,0,2728.9034829,1.57865257325e-17,0.550689086115,0.348107483933,5.71461890965,20.52,1,2.74239810705,0.0199803783291,0.000234357519935,0,98.6666666667,True,sensor,0.2
case1,G_EP,0.8,95.7557327211,98.6,98.6,2453.25055378,2311.67640585,17.096211273,305.99586541,4476.0273055,4.32237357018e-10,4.69784801338e-18,0.550822124395,0.347966741961,6.66844110138,0.213103474741,6.79629231451,-15.0821496743,0.2751792668,0.0125998058068,0.432415285193,0,9.35759914e-10,0.814490290922,19.7267198163,0.213103474741,0.577547205155,0.347258177325,0,2356.69110831,1.42258167052e-17,0.550822124395,0.347966741961,6.66844110138,20.58,1,2.84426727891,2.08426402515,0.000655372132944,0,98.6666666667,True,sensor,0.2
case1,G_EP,1.2,95.5475861967,98.4,98.4,3190.95670622,2306.07444512,17.2958860713,303.213220703,5211.11381671,7.77049535827e-11,5.91107024439e-18,0.55027351455,0.34926902825,6.63189102694,0.221388472812,6.76587446597,-11.3586305684,0.275003095684,0.0125945124307,0.432232162092,0,9.86393189351e-10,0.984605920535,19.664275859,0.221388472812,0.577264406108,0.348543354326,0,3071.38412545,1.4463256981e-17,0.55027351455,0.34926902825,6.63189102694,20.52,1,2.85241380334,1.70167517833,0.000501539037278,0,98.6666666667,True,sensor,0.2
case1,h,0.8,95.6307218254,98.4,98.4,2796.76995089,2305.53433153,17.2218805885,243.2484076,4876.27775542,3.2684965845e-10,6.3008409254e-18,0.550564395348,0.348508902027,6.65071732812,0.218661823048,6.76000899724,-13.052803147,0.275230979859,0.0125926509241,0.432399373208,0,9.15161280091e-10,0.890507898008,19.6892165476,0.218661823048,0.577391389684,0.347810138441,0,2692.55058183,1.44513307571e-17,0.550564395348,0.348508902027,6.65071732812,20.52,1,2.76927817464,0.0101540122304,0.000116546908005,0,98.6666666667,True,sensor,0.2
case1,h,1.2,95.7082624435,98.6,98.6,2921.15086797,2312.38184589,17.2225284177,365.89177468,4884.8634676,3.85682596971e-10,6.87058916704e-18,0.55045759925,0.349208753366,6.65315458403,0.215677131277,6.78811171872,-13.011878688,0.27489261241,0.0126022764756,0.432376261319,0,9.12038444767e-10,0.938096763667,19.7124787331,0.215677131277,0.577339788742,0.348484797839,0,2806.01667786,1.41802802139e-17,0.55045759925,0.349208753366,6.65315458403,20.58,1,2.89173755646,0.0101545533574,0.000117418906852,0,98.6666666667,True,sensor,0.2
case1,T_target,0.8,95.9545704901,-1,98.6666666667,2849.43834173,2315.08808005,17.3875926154,304.585063187,4877.32895121,3.432774065e-10,6.30571983518e-18,0.550268062019,0.350877082692,6.66651727796,0.127060125803,6.73434619156,-13.032616491,0.274625676859,0.0126092244626,0.432347345608,0,9.09334829657e-10,0.909860120583,19.786371147,,,,,2747.6582772,1.48373067305e-17,0.550268062019,0.350877082692,6.66651727796,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2
case1,T_target,1.2,95.3858859181,98.2,98.2,2863.52518594,2298.43020578,17.108588361,303.570516831,4875.49346324,3.21676907333e-10,5.08273978461e-18,0.550753090766,0.346855587059,6.63736341813,0.307800470359,6.77876411611,-13.0705724735,0.275677658882,0.0125798001848,0.432428037316,0,9.178648952e-10,0.918780477741,19.6157657754,0.307800470359,0.577828747352,0.345927666736,0,2750.84341863,1.42718952975e-17,0.550753090766,0.346855587059,6.63736341813,20.46,1,2.81411408186,0,0,0,98.6666666667,True,sensor,0.2
case1,K_P,0.8,95.6721436143,98.4,98.4,2855.21100809,2305.66218602,17.2604513757,303.877118797,4874.25652669,3.44527961715e-10,5.77554497283e-18,0.550511126436,0.348872985021,6.65237300166,0.212928960614,6.74817915151,-13.0610862032,0.275182172618,0.0125932812215,0.432453652649,0,6.54296172797e-10,0.914229990438,19.7016430843,0.212928960614,0.577315117407,0.348197010993,0,2749.29858695,1.46676290905e-17,0.550511126436,0.348872985021,6.65237300166,20.52,1,2.72785638571,0,0,0,98.6666666667,True,sensor,0.2
case1,K_P,1.2,95.6667761326,98.4,98.4,2855.58484669,2305.64946436,17.2574653366,303.883367758,4874.60840863,3.67549546354e-10,3.51064663451e-18,0.550510209983,0.348847514047,6.65162410872,0.220339638027,6.74960416051,-13.0604267932,0.275186972877,0.0125930572864,0.43233992232,0,9.97854243678e-10,0.914411932761,19.7000328398,0.220339638027,0.577338195824,0.348156813415,0,2749.22784528,1.43255633051e-17,0.550510209983,0.348847514047,6.65162410872,20.52,1,2.73322386742,0,0,0,98.6666666667,True,sensor,0.2
