case,dt_s,scale,period_s,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,0.1,1,0.2,95.6683851957,98.4,98.4,2859.74211663,2303.39806367,17.9399962183,304.104859895,4876.97531662,-1.68824954017e-11,2.26598254049e-19,0.551573383707,0.339023578759,6.62811871907,0.21723041488,6.73269095038,-13.0463671001,0.276525679074,0.0125800536525,0.433085516812,0,9.95871829446e-10,0.914788538696,19.7005155587,0.21723041488,0.578713660194,0.338367465644,0,2753.64115842,2.64138754272e-18,0.551573383707,0.339023578759,6.62811871907,20.52,1,2.73161480427,0,0,0,98.6666666667,True,sensor,0.2
case1,0.05,1,0.2,95.6690225363,98.4,98.4,2857.88802242,2304.38301089,17.5108932963,303.955387769,4875.82653884,8.51514414535e-11,4.8940886066e-18,0.551133979437,0.334079938806,6.63770805967,0.21690008084,6.7404457561,-13.0529096077,0.276220459201,0.012579083024,0.433085516812,0,3.53328033498e-10,0.91441029634,19.7007067609,0.21690008084,0.578089384457,0.333428086011,0,2751.76925247,4.8940886066e-18,0.551133979437,0.334079938806,6.63770805967,20.52,1,2.73097746373,0,0,0,98.6666666667,True,sensor,0.2
case1,0.025,1,0.2,95.6693342566,98.4,98.4,2856.96942012,2304.88213896,17.2491216392,303.880557716,4875.220123,2.98939539789e-10,-2.71646854316e-18,0.550911258613,0.331545964957,6.64251383619,0.216733956815,6.74436237701,-13.0563435725,0.27606180959,0.0125785297398,0.433085516812,0,9.13594533358e-10,0.914221379835,19.700800277,0.216733956815,0.577775208088,0.330896345244,0,2750.84104801,3.39599225477e-18,0.550911258613,0.331545964957,6.64251383619,20.52,1,2.73066574335,0,0,0,98.6666666667,True,sensor,0.2
case1,0.025,2,0.2,95.6692941904,98.4,98.4,2855.408349,2305.65427423,17.258784163,303.880556632,4874.44085076,2.84273937723e-10,5.00250882385e-18,0.550510620303,0.348858819881,6.65193783244,0.216731721228,6.74893703871,-13.0607313049,0.275184783326,0.0125931649745,0.432387824316,0,9.13594533358e-10,0.914325588895,19.7007882571,0.216731721228,0.577327138754,0.348175273701,0,2749.26452906,1.54141022862e-17,0.550510620303,0.348858819881,6.65193783244,20.52,1,2.73070580959,0,0,0,98.6666666667,True,sensor,0.2
case1,0.0125,2,0.2,95.6694478393,98.4,98.4,2855.04039112,2305.87601048,17.1205530449,303.843116802,4874.19383785,4.2462033889e-11,2.86787737655e-17,0.550412437382,0.346144464547,6.65389248736,0.216647919536,6.750494191,-13.0621236391,0.275138551732,0.0125927530763,0.432352110894,0,9.67148139353e-10,0.914248895589,19.7008343518,0.216647919536,0.577189459156,0.345464784624,0,2748.88934369,2.86787737655e-17,0.550412437382,0.346144464547,6.65389248736,20.52,1,2.73055216074,0,0,0,98.6666666667,True,sensor,0.2
case1,0.025,4,0.2,95.6692753077,98.4,98.4,2854.6911726,2306.19310253,17.2481812632,303.880544583,4874.25191181,2.94562596537e-10,1.58602514802e-17,0.550242216897,0.362106121833,6.65638350883,0.216732036903,6.75119923188,-13.0619029423,0.274679075916,0.0126012239618,0.431205928813,0,9.13605191499e-10,0.914347443754,19.7007825923,0.216732036903,0.577030839903,0.361396613676,0,2748.54416898,7.20099977911e-17,0.550242216897,0.362106121833,6.65638350883,20.52,1,2.73072469234,0,0,0,98.6666666667,True,sensor,0.2
case1,0.025,2,0.1,95.6364025533,98.4,98.4,2857.60757089,2305.50076844,17.2222453427,304.088327854,4876.24225681,3.22984305967e-10,1.49132008825e-18,0.550566578533,0.348508833193,6.65118554798,0.216687675901,6.75872886003,-13.052579965,0.275237779133,0.0125926515236,0.432413759676,0,6.54296172797e-10,0.914752090352,19.690920766,0.216687675901,0.577387247858,0.347815290909,0,2750.32735275,1.19918181288e-17,0.550566578533,0.348508833193,6.65118554798,20.52,1,2.76359744668,0,0,0,98.6666666667,True,sensor,0.2
case2,0.1,1,0.2,84.7655841351,88.8,88.8,0,1884.24229765,-0.0856723941671,435.304664826,1448.85196043,1.81898940355e-12,1.31112568719e-17,0.596872727805,0.133672389568,8.82881365352,0.418490477512,9.24329166881,-5.00288925284,0.325734730402,0.0119220737057,0.639912562983,0,9.97475768649e-10,0,16.4296752405,0.418490477512,0.610202116691,0.133268032468,0,0,1.31112568719e-17,0.596872727805,0.133672389568,8.82328977719,17.64,1,4.03441586495,0,0,0,98.6666666667,True,sensor,0.2
case2,0.05,1,0.2,84.7510245681,88.8,88.8,0,1884.44583228,-0.465901932374,435.268938436,1448.71099192,-3.63797880709e-12,5.66061954255e-18,0.596739046935,0.131646283306,8.83339929285,0.41993409465,9.24912583477,-5.00434833396,0.325708040983,0.0119208202676,0.639607627902,0,4.41962910713e-10,0,16.4253073704,0.41993409465,0.610055691455,0.131240190962,0,0,7.99436471882e-18,0.596739046935,0.131646283306,8.82801187917,17.64,1,4.04897543192,0,0,0,98.6666666667,True,sensor,0.2
case2,0.025,1,0.2,84.7452291071,88.8,88.8,0,1884.55357134,-0.699811561554,435.248846103,1448.60491367,8.31619217934e-11,1.12052294526e-17,0.596669169021,0.13060302262,8.83569761457,0.420493557651,9.25188760824,-5.00521847162,0.325695942463,0.011920092418,0.639405987528,0,9.73757963152e-10,0,16.4235687321,0.420493557651,0.609980212333,0.130196510861,0,0,1.12052294526e-17,0.596669169021,0.13060302262,8.83038160688,17.64,1,4.05477089286,0,0,0,98.6666666667,True,sensor,0.2
