time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,-9.25541418784,-9.2554433184,0,0,0,0,0,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,-9.25541418784,-9.2554433184,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,0,0,0,0,0,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.025,0.000125,1.5625e-06,0,-9.09197800166,-8.97816803439,-8.9483813558,-8.97816785142,-9.09198739963,-9.25535542322,-9.25538454668,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.976481951495,0.976863056672,0.976962665087,0.976863057282,0.976481920066,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,9.31892669143e-11,9.18853287254e-11,9.15299273834e-11,9.1885326202e-11,9.31893791333e-11,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,2.21510023566e-10,2.18410574579e-10,2.17565788884e-10,2.18410568581e-10,2.2151029031e-10,2.99992609555,2.99992609555,2.99992609556,2.99992609555,2.99992609555,4.19792108462e-06,4.19693824297e-06,4.19670060199e-06,4.19693824196e-06,4.19792115996e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428934526388,9.21301170281e-05,-0.00108199912878,0.104540086497,-0.0626365028696,9.82131043159e-14,-1.15507500737e-21,1.74145961517e-05,1.82185054672e-11,4.22066793784e-10,-9.09197800166,-8.97816803439,-8.9483813558,-8.97816785142,-9.09198739963,-9.25535542322,-9.25538454668,0.976481951495,0.976863056672,0.976962665087,0.976863057282,0.976481920066,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.05,0.00025,6.25e-06,0,-9.09604578054,-8.97733251719,-8.94746643001,-8.97733236216,-9.09605521799,-9.25529814233,-9.25532725871,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.944901460343,0.945285053226,0.945381374382,0.945285053724,0.944901429905,5.10142347802e-10,5.03182228911e-10,5.01345446892e-10,5.03182217237e-10,5.10142927995e-10,5.10142347802e-10,5.03182228911e-10,5.01345446892e-10,5.03182217237e-10,5.10142927995e-10,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,1.21260363157e-09,1.19605949349e-09,1.19169347966e-09,1.19605946574e-09,1.21260501069e-09,2.99985820389,2.99985819484,2.99985819292,2.99985819484,2.99985820389,8.39594456642e-06,8.39389745429e-06,8.3934204243e-06,8.39389745274e-06,8.39594471776e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857869052776,0.000397838227611,-0.00207767179827,0.209059834,-0.124952762293,5.37930811007e-13,7.26860147863e-22,1.74142518824e-05,7.28740218687e-11,8.20991573911e-10,-9.09604578054,-8.97733251719,-8.94746643001,-8.97733236216,-9.09605521799,-9.25529814233,-9.25532725871,0.944901460343,0.945285053226,0.945381374382,0.945285053724,0.944901429905,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,5.10142347802e-10,5.03182228911e-10,5.01345446892e-10,5.03182217237e-10,5.10142927995e-10,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.075,0.000375,1.40625e-05,0,-9.10008676065,-8.97650482602,-8.94654618581,-8.97650469888,-9.10009623741,-9.25524233499,-9.25527144431,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.926413035659,0.926803959471,0.92689849928,0.926803959871,0.926413005752,1.48668593323e-09,1.46634698282e-09,1.46114001348e-09,1.46634695351e-09,1.48668757925e-09,1.48668593323e-09,1.46634698282e-09,1.46114001348e-09,1.46634695351e-09,1.48668757925e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,3.53383868131e-09,3.48549318475e-09,3.47311626688e-09,3.48549311506e-09,3.53384259388e-09,2.99979033735,2.99979031982,2.99979031618,2.99979031982,2.99979033735,1.2594065845e-05,1.25908805886e-05,1.25901621885e-05,1.2590880587e-05,1.2594066073e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128680357916,0.000930086470022,-0.0030743689585,0.313559376505,-0.187023301077,5.41733324866e-13,2.34336958814e-21,1.74139442764e-05,1.63966549205e-10,1.21969018242e-09,-9.10008676065,-8.97650482602,-8.94654618581,-8.97650469888,-9.10009623741,-9.25524233499,-9.25527144431,0.926413035659,0.926803959471,0.92689849928,0.926803959871,0.926413005752,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,1.48668593323e-09,1.46634698282e-09,1.46114001348e-09,1.46634695351e-09,1.48668757925e-09,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.1,0.0005,2.5e-05,0,-9.10410095373,-8.9756846069,-8.9456204785,-8.9756845076,-9.10411046962,-9.25518799104,-9.25521709332,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.913284951206,0.913685029775,0.913778425353,0.913685030082,0.913284921644,3.25619684325e-09,3.21099764133e-09,3.19975504132e-09,3.21099758611e-09,3.25620039966e-09,3.25619684325e-09,3.21099764133e-09,3.19975504132e-09,3.21099758611e-09,3.25620039966e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,7.7399497106e-09,7.63251162665e-09,7.60578807064e-09,7.63251149539e-09,7.73995816416e-09,2.9997226093,2.99972258298,2.9997225776,2.99972258298,2.99972260931,1.67922868492e-05,1.6787888334e-05,1.67869262651e-05,1.67878883327e-05,1.67922871544e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171573810555,0.00169621178307,-0.00407098365668,0.418038847947,-0.248839809264,7.61835039498e-13,-2.26819541407e-21,1.74136731295e-05,2.91496087475e-10,1.61836663039e-09,-9.10410095373,-8.9756846069,-8.9456204785,-8.9756845076,-9.10411046962,-9.25518799104,-9.25521709332,0.913284951206,0.913685029775,0.913778425353,0.913685030082,0.913284921644,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,3.25619684325e-09,3.21099764133e-09,3.19975504132e-09,3.21099758611e-09,3.25620039966e-09,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.125,0.000625,3.90625e-05,0,-9.10808842762,-8.97487159211,-8.94468924683,-8.97487152061,-9.10809798248,-9.25513510036,-9.25516419561,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.90309411858,0.903504254377,0.903596869901,0.903504254594,0.90309408926,6.05216055627e-09,5.96650225132e-09,5.94577271739e-09,5.96650216429e-09,6.05216711693e-09,6.05216055627e-09,5.96650225132e-09,5.94577271739e-09,5.96650216429e-09,6.05216711693e-09,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,1.43859295371e-08,1.41823205403e-08,1.41330466304e-08,1.41823203335e-08,1.43859451317e-08,2.9996550543,2.99965501888,2.99965501174,2.99965501888,2.9996550543,2.09906080807e-05,2.09849218733e-05,2.0983713546e-05,2.09849218727e-05,2.09906084637e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214467263194,0.00270138739037,-0.00506751486414,0.522498381922,-0.3103972462,1.0731415756e-12,5.78047046942e-21,1.74134384358e-05,4.55462636679e-10,2.01702687158e-09,-9.10808842762,-8.97487159211,-8.94468924683,-8.97487152061,-9.10809798248,-9.25513510036,-9.25516419561,0.90309411858,0.903504254377,0.903596869901,0.903504254594,0.90309408926,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,6.05216055627e-09,5.96650225132e-09,5.94577271739e-09,5.96650216429e-09,6.05216711693e-09,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.15,0.00075,5.625e-05,0,-9.11204926944,-8.97406554562,-8.94375245854,-8.97406550186,-9.11205886308,-9.25508365283,-9.25511274107,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.894761216492,0.895181913174,0.895273990828,0.895181913305,0.894761187351,1.01081666948e-08,9.96198016901e-09,9.92751542944e-09,9.96198004874e-09,1.01081776054e-08,1.01081666948e-08,9.96198016901e-09,9.92751542944e-09,9.96198004874e-09,1.01081776054e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,2.40270185282e-08,2.36795345116e-08,2.35976121451e-08,2.36795342257e-08,2.40270444625e-08,2.99958770527,2.99958766047,2.99958765154,2.99958766047,2.99958770527,2.5189029971e-05,2.51819824084e-05,2.51805249492e-05,2.5181982409e-05,2.51890304325e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257360715833,0.00394961917869,-0.00606395681742,0.62693811159,-0.371691733395,1.22601928609e-12,1.19696343359e-21,1.74132401936e-05,6.55866196818e-10,2.41567255918e-09,-9.11204926944,-8.97406554562,-8.94375245854,-8.97406550186,-9.11205886308,-9.25508365283,-9.25511274107,0.894761216492,0.895181913174,0.895273990828,0.895181913305,0.894761187351,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,1.01081666948e-08,9.96198016901e-09,9.92751542944e-09,9.96198004874e-09,1.01081776054e-08,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.175,0.000875,7.65625e-05,0,-9.11598357808,-8.97326625186,-8.94281009923,-8.9732662358,-9.11599321034,-9.25503363841,-9.25506271965,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.88771049615,0.888142050938,0.888233767503,0.888142050984,0.887710467144,1.56579045503e-08,1.54263033206e-08,1.53730451966e-08,1.54263031722e-08,1.56579214108e-08,1.56579045503e-08,1.54263033206e-08,1.53730451966e-08,1.54263031722e-08,1.56579214108e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,3.72186939633e-08,3.66681799872e-08,3.65415859202e-08,3.66681796345e-08,3.72187340404e-08,2.99952059341,2.99952053894,2.99952052822,2.99952053894,2.99952059341,2.93875529529e-05,2.93790711367e-05,2.93773613943e-05,2.93790711389e-05,2.93875534934e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300254168472,0.00544417941271,-0.00706030261503,0.731358169619,-0.432720124348,1.61615165695e-12,-3.71106310016e-22,1.7413078402e-05,8.92706767891e-10,2.81430479221e-09,-9.11598357808,-8.97326625186,-8.94281009923,-8.9732662358,-9.11599321034,-9.25503363841,-9.25506271965,0.88771049615,0.888142050938,0.888233767503,0.888142050984,0.887710467144,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837,1.56579045503e-08,1.54263033206e-08,1.53730451966e-08,1.54263031722e-08,1.56579214108e-08,-9.08788196927,-8.97900958566,-8.94928896004,-8.97900937471,-9.08789132759,1.2490967401,1.24900053821,1.24897427645,1.24900053802,1.24909674837
0.2,0.001,0.0001,0,-9.1198914602,-8.97247350979,-8.94186216645,-8.97247352139,-9.11990113091,-9.25498504707,-9.25501412133,0.0138428551347,0.0136641876562,0.0136154236264,0.0136641873101,0.0138428704947,0.881598283465,0.882040874219,0.882132367167,0.882040874183,0.881598254561,2.29351586465e-08,2.25880974128e-08,2.25101631045e-08,2.25880972502e-08,2.29351833136e-08,2.29351586465e-08,2.25880974128e-08,2.25101631045e-08,2.25880972502e-08,2.29351833136e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,5.45166594878e-08,5.36916981526e-08,5.35064490243e-08,5.3691697766e-08,5.45167181212e-08,2.99945374825,2.99945368383,2.99945367129,2.99945368383,2.99945374826,3.35861774629e-05,3.35761892502e-05,3.3574223802e-05,3.35761892546e-05,3.35861780831e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0.200000009267,0.200000009127,0.200000009095,0.200000009127,0.200000009267,-0.0745013520961,0.0152125658792,0.0172856908403,0.0152120478941,-0.074502079179,-0.85534418437,-0.854090156902,-0.853816085533,-0.854090156553,-0.855344270889,2.29351586465e-08,2.25880974128e-08,2.25101631045e-08,2.25880972502e-08,2.29351833136e-08,0.343147621111,0.00718783577003,-0.00805654460834,0.835758688141,-0.493479775868,1.66200386786e-12,7.7821152029e-23,1.741295306e-05,1.1659843499e-09,3.21292434621e-09,-9.1198914602,-8.97247350979,-8.94186216645,-8.97247352139,-9.11990113091,-9.25498504707,-9.25501412133,0.881598283465,0.882040874219,0.882132367167,0.882040874183,0.881598254561,-9.1198914602,-8.97247350979,-8.94186216645,-8.97247352139,-9.11990113091,0.881598283465,0.882040874219,0.882132367167,0.882040874183,0.881598254561,2.29351586465e-08,2.25880974128e-08,2.25101631045e-08,2.25880972502e-08,2.29351833136e-08,-9.11145385,-8.97419640069,-8.94381984798,-8.97419635362,-9.11146343837,0.978469824896,0.97877039145,0.978830844594,0.978770391374,0.978469805791
0.225,0.001125,0.0001265625,0,-9.12315691061,-8.9717971165,-8.94104448722,-8.97179714976,-9.12316661384,-9.25493764731,-9.25496671461,0.0252431828833,0.0122828365162,0.0119383341559,0.0122829097299,0.0252433046102,0.876204768312,0.876656296,0.876747598858,0.8766562959,0.876204739504,3.21738043425e-08,3.16757430963e-08,3.15664087461e-08,3.1675742944e-08,3.21738389321e-08,3.21738043425e-08,3.16757430963e-08,3.15664087461e-08,3.1675742944e-08,3.21738389321e-08,2.20701249499e-10,2.18129467643e-10,2.17426959952e-10,2.18129462688e-10,2.20701470443e-10,7.64768346624e-08,7.52929476974e-08,7.50330609605e-08,7.52929473354e-08,7.64769168815e-08,2.99938719771,2.99938712306,2.99938710868,2.99938712306,2.99938719772,3.77847716832e-05,3.77733615259e-05,3.77711422189e-05,3.77733615315e-05,3.77847723823e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0.200000009267,0.200000009127,0.200000009095,0.200000009127,0.200000009267,-0.0745013520961,0.0152125658792,0.0172856908403,0.0152120478941,-0.074502079179,-0.85534418437,-0.854090156902,-0.853816085533,-0.854090156553,-0.855344270889,2.29351586465e-08,2.25880974128e-08,2.25101631045e-08,2.25880972502e-08,2.29351833136e-08,0.397516726045,0.00918298554632,-0.00905267466862,0.94014287933,-0.542495842406,1.78435044518e-12,3.27801750587e-21,1.74128641672e-05,1.47569894284e-09,3.61153178301e-09,-9.12315691061,-8.9717971165,-8.94104448722,-8.97179714976,-9.12316661384,-9.25493764731,-9.25496671461,0.876204768312,0.876656296,0.876747598858,0.8766562959,0.876204739504,-9.1198914602,-8.97247350979,-8.94186216645,-8.97247352139,-9.11990113091,0.881598283465,0.882040874219,0.882132367167,0.882040874183,0.881598254561,3.21738043425e-08,3.16757430963e-08,3.15664087461e-08,3.1675742944e-08,3.21738389321e-08,-9.11145385,-8.97419640069,-8.94381984798,-8.97419635362,-9.11146343837,0.978469824896,0.97877039145,0.978830844594,0.978770391374,0.978469805791
