time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-22.0814597757,-22.0361102384,-22.0248739826,-22.0361101591,-22.0814633115,-22.1590982033,-22.1591092122,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.933045724782,0.933197861678,0.933235437651,0.933197861943,0.933045712958,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30483270291e-06,4.3043720389e-06,4.30427570908e-06,4.30437203823e-06,4.30483273318e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804866622775,0.000100946318281,-0.00107607057998,0.0395926922819,0.764298806231,-7.1560812831e-14,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10
0.05,0.00025,6.25e-06,0,-22.0671491119,-22.0175708367,-22.0063199102,-22.0175707575,-22.0671526455,-22.1590651424,-22.1590761486,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.903069521367,0.903230122212,0.903266410696,0.903230122468,0.90306950997,1.35227961971e-09,1.34933692161e-09,1.34859200337e-09,1.34933691635e-09,1.35227985418e-09,1.35227961971e-09,1.34933692161e-09,1.34859200337e-09,1.34933691635e-09,1.35227985418e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.21435612006e-09,3.20736135395e-09,3.20559069022e-09,3.20736134145e-09,3.21435667739e-09,2.99985978937,2.99985977825,2.99985977589,2.99985977825,2.99985978938,8.60944246816e-06,8.60844322752e-06,8.60824992525e-06,8.60844322617e-06,8.60944252865e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60973324555,0.000431626955649,-0.00204283945629,0.0792569378885,1.52886509516,7.53355711147e-13,-1.80881238908e-21,1.74142636637e-05,7.28740218687e-11,8.09210367236e-10
0.075,0.000375,1.40625e-05,0,-22.0528732182,-21.9990373835,-21.9877598248,-21.9990373043,-22.0528767495,-22.1590269603,-22.1590379639,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.885538793492,0.885709607646,0.885745201418,0.885709607896,0.885538782348,3.83156556659e-09,3.82283266872e-09,3.82076910052e-09,3.82283265418e-09,3.83156621524e-09,3.83156556659e-09,3.82283266872e-09,3.82076910052e-09,3.82283265418e-09,3.83156621524e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.10759583216e-09,9.08683781489e-09,9.08193273241e-09,9.08683778032e-09,9.107597374e-09,2.99979327946,2.99979325811,2.99979325378,2.99979325811,2.99979327946,1.29138544484e-05,1.29122445679e-05,1.29119533254e-05,1.29122445659e-05,1.2913854539e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41459986832,0.00100432761299,-0.00301396807082,0.118992562969,2.2935976649,8.37052649416e-13,-3.99746611545e-21,1.74139662901e-05,1.63966549205e-10,1.19767647136e-09
0.1,0.0005,2.5e-05,0,-22.0386317091,-21.980509628,-21.9691934959,-21.9805095488,-22.0386352383,-22.1589836714,-22.1589946722,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.873103150097,0.873284855795,0.873320017711,0.873284856041,0.873103139132,8.26086526124e-09,8.24102962582e-09,8.23663186235e-09,8.24102959489e-09,8.2608666409e-09,8.26086526124e-09,8.24102962582e-09,8.23663186235e-09,8.24102959489e-09,8.2608666409e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.96360001456e-08,1.95888510241e-08,1.9578397581e-08,1.95888509505e-08,1.9636003425e-08,2.99972691801,2.99972688555,2.99972687922,2.99972688555,2.99972691802,1.72180636882e-05,1.72157684353e-05,1.72153779851e-05,1.72157684326e-05,1.7218063809e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2194664911,0.00182598801828,-0.00398486317146,0.158799395601,3.05850822035,1.2388701176e-12,5.16981265401e-21,1.74137053863e-05,2.91496087475e-10,1.58610983743e-09
0.125,0.000625,3.90625e-05,0,-22.024424319,-21.9619874945,-21.9506208689,-21.9619874154,-22.0244278459,-22.1589352896,-22.1589462878,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.863459127891,0.863652086731,0.863686975881,0.863652086974,0.863459117067,1.51981534071e-08,1.51596703143e-08,1.51516294059e-08,1.51596702579e-08,1.51981559231e-08,1.51981534071e-08,1.51596703143e-08,1.51516294059e-08,1.51596702579e-08,1.51981559231e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.61258697578e-08,3.60343958029e-08,3.60152826382e-08,3.60343956688e-08,3.61258757383e-08,2.999660729,2.99966068468,2.99966067634,2.99966068468,2.999660729,2.15220717774e-05,2.15190156149e-05,2.15185243853e-05,2.15190156115e-05,2.15220719283e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02433311387,0.00290149192457,-0.00495565838493,0.198677265189,3.82360168223,1.23254184636e-12,4.81749988751e-23,1.74134809178e-05,4.55462636679e-10,1.97454480695e-09
0.15,0.00075,5.625e-05,0,-22.0102507996,-21.9434709316,-21.9320419134,-21.9434708526,-22.0102543243,-22.1588818291,-22.1588928245,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.855580734391,0.855785175159,0.855819904185,0.855785175399,0.855580723682,2.51992094729e-08,2.5131973513e-08,2.51186812406e-08,2.513197342e-08,2.51992136187e-08,2.51992094729e-08,2.5131973513e-08,2.51186812406e-08,2.513197342e-08,2.51992136187e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,5.98982873138e-08,5.97384680603e-08,5.97068724521e-08,5.97384678393e-08,5.98982971682e-08,2.99959474536,2.99959468842,2.99959467806,2.99959468842,2.99959474537,2.58258806577e-05,2.58219873526e-05,2.58213934685e-05,2.58219873485e-05,2.58258808386e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82919973665,0.00423461406139,-0.00592633001806,0.238626002379,4.58888201831,8.23452417364e-13,2.73697521082e-22,1.74132928839e-05,6.55866196818e-10,2.36298226347e-09
0.175,0.000875,7.65625e-05,0,-21.9961109163,-21.9249599057,-21.9134566173,-21.9249598267,-21.9961144388,-22.1588233036,-22.1588342964,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.848920690637,0.849136775424,0.84917143204,0.849136775662,0.848920680026,3.88176300592e-08,3.8708643895e-08,3.86881851202e-08,3.87086437524e-08,3.88176364155e-08,3.88176300592e-08,3.8708643895e-08,3.86881851202e-08,3.87086437524e-08,3.88176364155e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.2269146801e-08,9.20100876991e-08,9.19614573811e-08,9.20100873602e-08,9.22691619099e-08,2.99952899792,2.9995289276,2.9995289152,2.9995289276,2.99952899792,3.01294922778e-05,3.01246849125e-05,3.01239861961e-05,3.01246849078e-05,3.01294924888e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63406635942,0.00582843230363,-0.00689685868472,0.278645438991,5.35435249405,1.81321624382e-12,-1.17790519228e-21,1.74131412831e-05,8.92706767891e-10,2.75142363268e-09
0.2,0.001,0.0001,0,-21.9820044439,-21.9064543949,-21.8948649808,-21.9064543158,-21.9820079642,-22.1587597271,-22.1587707172,0.298739097468,0.23022862769,0.229850692468,0.230228757435,0.298739421379,0.843152329803,0.843380183239,0.843414840166,0.843380183476,0.843152319278,5.66048411507e-08,5.64378816164e-08,5.64080248616e-08,5.64378814092e-08,5.66048503854e-08,5.66048411507e-08,5.64378816164e-08,5.64080248616e-08,5.64378814092e-08,5.66048503854e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.34549182673e-07,1.34152321408e-07,1.34081352179e-07,1.34152320916e-07,1.34549204624e-07,2.99946351581,2.99946343134,2.9994634169,2.99946343134,2.99946351582,3.44329085799e-05,3.44271095594e-05,3.4426303531e-05,3.4427109554e-05,3.44329088209e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4389329822,0.00768554531238,-0.00786722416091,0.318735407971,6.12001589538,2.49494869209e-12,-1.89153045034e-21,1.74130261144e-05,1.1659843499e-09,3.13986995358e-09
0.225,0.001125,0.0001265625,0,-21.9764136771,-21.9011751078,-21.8895914016,-21.9011750288,-21.9764171966,-22.1586941633,-22.1587051507,0.142303300866,0.0669959310368,0.0654956873945,0.0669960607343,0.142303598263,0.838039208439,0.838264552902,0.838298958515,0.838264553137,0.838039197986,7.91101102606e-08,7.88653918606e-08,7.88235781348e-08,7.88653915718e-08,7.91101231281e-08,7.91101102606e-08,7.88653918606e-08,7.88235781348e-08,7.88653915718e-08,7.91101231281e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.88043998718e-07,1.8746230535e-07,1.87362914511e-07,1.87462304663e-07,1.88044029304e-07,2.99939832657,2.99939822718,2.99939821068,2.99939822718,2.99939832657,3.87380937825e-05,3.87323195015e-05,3.87314271364e-05,3.87323194955e-05,3.87380940538e-05,0.3916,0.3916,0.3916,0.3916,0.3916,3,3,3,3,3,0.200000024432,0.200000024361,0.200000024348,0.200000024361,0.200000024432,0.264864983697,0.344928631021,0.345756859384,0.344928630351,0.264865025001,-0.971578436002,-0.970963481533,-0.970859715307,-0.97096348082,-0.971578467776,6.04702531856e-08,6.02930925224e-08,6.02613739237e-08,6.02930923153e-08,6.04702629755e-08,6.74149209363,0.00980831642767,-0.00883740584391,0.358853330787,6.38360967343,2.36172192913e-12,4.46915758795e-21,1.74129473769e-05,1.47569894284e-09,3.52832202822e-09
