time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.025,0.000125,1.5625e-06,0,-22.0434290111,-21.9737708047,-21.9624351593,-21.973770736,-22.0434325644,-22.1590845291,-22.159095538,1,1,1,1,1,0.933175363779,0.933410364067,0.933448278827,0.933410364296,0.933175351895,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30385477223e-06,4.30276968505e-06,4.30267090904e-06,4.30276968465e-06,4.30385480293e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0.000100910049455,-0.00107607057998,0.0397828460612,3.08424199341,9.8408781124e-13,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10,-22.0434290111,-21.9737708047,-21.9624351593,-21.973770736,-22.0434325644,-22.1590845291,-22.159095538,0.933175363779,0.933410364067,0.933448278827,0.933410364296,0.933175351895,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.05,0.00025,6.25e-06,0,-21.9911662942,-21.8929611364,-21.8814432403,-21.8929610782,-21.9911698628,-22.1590241529,-22.1590351592,1,1,1,1,1,0.903317076792,0.903636108052,0.903673268466,0.903636108239,0.903317065282,1.35033809973e-09,1.34615464827e-09,1.3454047181e-09,1.34615464355e-09,1.35033833508e-09,1.35033809973e-09,1.34615464827e-09,1.3454047181e-09,1.34615464355e-09,1.35033833508e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.20974114506e-09,3.19979711974e-09,3.19801454268e-09,3.19979710852e-09,3.20974170449e-09,2.99985976713,2.99985974189,2.99985973948,2.99985974189,2.99985976713,8.60679863651e-06,8.60410878656e-06,8.60390536588e-06,8.60410878593e-06,8.60679869816e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0.000431386796263,-0.00204329999969,0.0798270056686,6.16856108113,9.93191640042e-13,-1.57892235324e-22,1.74142634879e-05,7.28740218687e-11,8.09386104885e-10,-21.9911662942,-21.8929611364,-21.8814432403,-21.8929610782,-21.9911698628,-22.1590241529,-22.1590351592,0.903317076792,0.903636108052,0.903673268466,0.903636108239,0.903317065282,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.35033809973e-09,1.34615464827e-09,1.3454047181e-09,1.34615464355e-09,1.35033833508e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.075,0.000375,1.40625e-05,0,-21.9390167371,-21.8122264103,-21.8004466658,-21.8122263627,-21.9390203209,-22.1589450477,-22.1589560513,1,1,1,1,1,0.885900609234,0.886303263187,0.886340457111,0.886303263336,0.885900597923,3.82090589142e-09,3.80535370331e-09,3.80325472024e-09,3.80535369172e-09,3.82090654494e-09,3.82090589142e-09,3.80535370331e-09,3.80325472024e-09,3.80535369172e-09,3.82090654494e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.0822578831e-09,9.04529047614e-09,9.04030121284e-09,9.04529044859e-09,9.08225943652e-09,2.9997932299,2.9997931771,2.99979317264,2.9997931771,2.9997932299,1.29089188007e-05,1.29041486819e-05,1.29038327582e-05,1.29041486813e-05,1.29089188935e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375,0.00100359316731,-0.00301500562241,0.120131913024,9.25285667452,5.71973024499e-13,3.46754112782e-22,1.74139658886e-05,1.63966549205e-10,1.19807796448e-09,-21.9390167371,-21.8122264103,-21.8004466658,-21.8122263627,-21.9390203209,-22.1589450477,-22.1589560513,0.885900609234,0.886303263187,0.886340457111,0.886303263336,0.885900597923,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.82090589142e-09,3.80535370331e-09,3.80325472024e-09,3.80535369172e-09,3.82090654494e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.1,0.0005,2.5e-05,0,-21.8869796387,-21.7315662151,-21.7194455946,-21.7315661779,-21.8869832376,-22.1588472606,-22.1588582616,1,1,1,1,1,0.873576814176,0.874062400284,0.874100081322,0.874062400399,0.873576802994,8.22700472892e-09,8.18548540841e-09,8.18095041524e-09,8.18548538684e-09,8.22700612406e-09,8.22700472892e-09,8.18548540841e-09,8.18095041524e-09,8.18548538684e-09,8.22700612406e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.95555139741e-08,1.94568229342e-08,1.94460432974e-08,1.94568228829e-08,1.95555172904e-08,2.9997268344,2.99972674895,2.99972674235,2.99972674895,2.9997268344,1.72101948328e-05,1.72028552383e-05,1.72024169688e-05,1.72028552377e-05,1.72101949571e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.00182434949082,-0.00398662782842,0.160697005833,12.3371407158,1.24117383038e-12,1.40845697261e-21,1.74137046996e-05,2.91496087475e-10,1.58679645245e-09,-21.8869796387,-21.7315662151,-21.7194455946,-21.7315661779,-21.8869832376,-22.1588472606,-22.1588582616,0.873576814176,0.874062400284,0.874100081322,0.874062400399,0.873576802994,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,8.22700472892e-09,8.18548540841e-09,8.18095041524e-09,8.18548538684e-09,8.22700612406e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.125,0.000625,3.90625e-05,0,-21.8350544183,-21.6509803142,-21.6384403567,-21.6509802876,-21.8350580322,-22.1587308386,-22.1587418369,1,1,1,1,1,0.864042805258,0.864610680634,0.864649194719,0.864610680715,0.864042794165,1.51160574728e-08,1.50249482496e-08,1.50165151465e-08,1.50249482159e-08,1.51160600264e-08,1.51160574728e-08,1.50249482496e-08,1.50165151465e-08,1.50249482159e-08,1.51160600264e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.59307284829e-08,3.57141627041e-08,3.56941172962e-08,3.5714162624e-08,3.59307345528e-08,2.99966060477,2.99966048183,2.99966047301,2.99966048183,2.99966060477,2.1510629685e-05,2.15002303073e-05,2.14996578921e-05,2.15002303071e-05,2.15106298409e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0.00289842246206,-0.00495829711643,0.201521724706,15.4214184006,1.54509738337e-12,1.26578486055e-21,1.74134798879e-05,4.55462636679e-10,1.97557473679e-09,-21.8350544183,-21.6509803142,-21.6384403567,-21.6509802876,-21.8350580322,-22.1587308386,-22.1587418369,0.864042805258,0.864610680634,0.864649194719,0.864610680715,0.864042794165,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.51160574728e-08,1.50249482496e-08,1.50165151465e-08,1.50249482159e-08,1.51160600264e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.15,0.00075,5.625e-05,0,-21.7832405146,-21.5704684968,-21.5574313036,-21.5704684806,-21.7832441434,-22.1585958284,-22.158606824,1,1,1,1,1,0.856272930379,0.856922533313,0.856962176456,0.856922533361,0.856272919352,2.50304708882e-08,2.48549588188e-08,2.48407388936e-08,2.48549587726e-08,2.50304751112e-08,2.50304708882e-08,2.48549588188e-08,2.48407388936e-08,2.48549587726e-08,2.50304751112e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,5.94971972622e-08,5.90800067003e-08,5.904620607e-08,5.90800065903e-08,5.94972073003e-08,2.99959457401,2.99959440876,2.99959439764,2.99959440876,2.99959457402,2.58102275806e-05,2.57962777186e-05,2.57955574231e-05,2.57962777189e-05,2.58102277684e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0.00422947155838,-0.00592998968197,0.242605513061,18.5056939688,2.59775534417e-12,-5.32069039774e-21,1.74132914529e-05,6.55866196818e-10,2.36441331713e-09,-21.7832405146,-21.5704684968,-21.5574313036,-21.5704684806,-21.7832441434,-22.1585958284,-22.158606824,0.856272930379,0.856922533313,0.856962176456,0.856922533361,0.856272919352,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,2.50304708882e-08,2.48549588188e-08,2.48407388936e-08,2.48549587726e-08,2.50304751112e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.175,0.000875,7.65625e-05,0,-21.7315373808,-21.4900305705,-21.4764188019,-21.4900305648,-21.7315410246,-22.1584422765,-22.1584532695,1,1,1,1,1,0.849720136152,0.850450979381,0.850492019516,0.850450979398,0.849720125175,3.85076726546e-08,3.81995928127e-08,3.81772077841e-08,3.8199592756e-08,3.85076791529e-08,3.85076726546e-08,3.81995928127e-08,3.81772077841e-08,3.8199592756e-08,3.85076791529e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.15323809237e-08,9.08000779955e-08,9.074686899e-08,9.08000778607e-08,9.15323963701e-08,2.99952877298,2.99952856067,2.99952854715,2.99952856067,2.99952877299,3.01089927718e-05,3.00910013688e-05,3.0090117546e-05,3.00910013698e-05,3.01089929917e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.875,0.00582046088004,-0.00690168601028,0.283947817048,21.5899709578,2.82257550666e-12,-1.25413815753e-21,1.74131393936e-05,8.92706767891e-10,2.75331318965e-09,-21.7315373808,-21.4900305705,-21.4764188019,-21.4900305648,-21.7315410246,-22.1584422765,-22.1584532695,0.849720136152,0.850450979381,0.850492019516,0.850450979398,0.849720125175,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.85076726546e-08,3.81995928127e-08,3.81772077841e-08,3.8199592756e-08,3.85076791529e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.2,0.001,0.0001,0,-21.6799444814,-21.4096663561,-21.3954032272,-21.4096663608,-21.67994814,-22.1582702292,-22.1582812195,1,1,1,1,1,0.844057916575,0.844869575488,0.844912262659,0.844869575474,0.844057905635,5.60801479923e-08,5.55758256081e-08,5.55423333772e-08,5.55758255463e-08,5.60801574675e-08,5.60801479923e-08,5.55758256081e-08,5.55423333772e-08,5.55758255463e-08,5.60801574675e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.333019919e-07,1.32103222268e-07,1.32023611545e-07,1.32103222121e-07,1.33302014422e-07,2.99946323087,2.9994629668,2.99946295077,2.9994629668,2.99946323088,3.44069294913e-05,3.4384405147e-05,3.43833402597e-05,3.43844051488e-05,3.44069297436e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000022659,0.200000022455,0.200000022441,0.200000022455,0.200000022659,0.967902581769,1.50119133681,1.50824257469,1.50119114115,0.967902301224,-0.969470703672,-0.967496955414,-0.96737449898,-0.967496955286,-0.96947073641,5.60801479923e-08,5.55758256081e-08,5.55423333772e-08,5.55758255463e-08,5.60801574675e-08,25,0.00767387656922,-0.00787336592471,0.325548085495,24.6742524252,2.619349182e-12,-2.54109884176e-23,1.74130237094e-05,1.1659843499e-09,3.14227496865e-09,-21.6799444814,-21.4096663561,-21.3954032272,-21.4096663608,-21.67994814,-22.1582702292,-22.1582812195,0.844057916575,0.844869575488,0.844912262659,0.844869575474,0.844057905635,-21.6799444814,-21.4096663561,-21.3954032272,-21.4096663608,-21.67994814,0.844057916575,0.844869575488,0.844912262659,0.844869575474,0.844057905635,5.60801479923e-08,5.55758256081e-08,5.55423333772e-08,5.55758255463e-08,5.60801574675e-08,-21.7895637631,-21.5796829663,-21.5662184215,-21.5796829488,-21.7895673899,0.953854795017,0.954442918143,0.954471736576,0.954442918113,0.953854787785
0.225,0.001125,0.0001265625,0,-21.6284612893,-21.3293756838,-21.3143849611,-21.329375699,-21.6284649626,-22.1580797326,-22.1580907202,1,1,1,1,1,0.839075691913,0.839967793858,0.840012365656,0.839967793812,0.839075681001,7.82754759162e-08,7.74935724222e-08,7.7445381726e-08,7.74935723648e-08,7.82754891661e-08,7.82754759162e-08,7.74935724222e-08,7.7445381726e-08,7.74935723648e-08,7.82754891661e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.86060080618e-07,1.84201503262e-07,1.84086954423e-07,1.84201503125e-07,1.86060112113e-07,2.99939797527,2.99939765478,2.99939763612,2.99939765478,2.99939797528,3.87040419511e-05,3.86764929324e-05,3.86752275753e-05,3.86764929352e-05,3.8704042236e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000022659,0.200000022455,0.200000022441,0.200000022455,0.200000022659,0.967902581769,1.50119133681,1.50824257469,1.50119114115,0.967902301224,-0.969470703672,-0.967496955414,-0.96737449898,-0.967496955286,-0.96947073641,5.60801479923e-08,5.55758256081e-08,5.55423333772e-08,5.55758255463e-08,5.60801574675e-08,28.125,0.00979185585195,-0.00884500903307,0.367405769865,27.758541077,3.42642580975e-12,-8.48091738438e-22,1.74129443999e-05,1.47569894284e-09,3.5312990337e-09,-21.6284612893,-21.3293756838,-21.3143849611,-21.329375699,-21.6284649626,-22.1580797326,-22.1580907202,0.839075691913,0.839967793858,0.840012365656,0.839967793812,0.839075681001,-21.6799444814,-21.4096663561,-21.3954032272,-21.4096663608,-21.67994814,0.844057916575,0.844869575488,0.844912262659,0.844869575474,0.844057905635,7.82754759162e-08,7.74935724222e-08,7.7445381726e-08,7.74935723648e-08,7.82754891661e-08,-21.7895637631,-21.5796829663,-21.5662184215,-21.5796829488,-21.7895673899,0.953854795017,0.954442918143,0.954471736576,0.954442918113,0.953854787785
