time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.025,0.000125,1.5625e-06,0,-22.0821903334,-22.0372711296,-22.0260357537,-22.0372710504,-22.0821938693,-22.159098466,-22.1591094749,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.933043234465,0.933193904446,0.93323147742,0.933193904711,0.933043222641,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30485149225e-06,4.30440188753e-06,4.30430557832e-06,4.30440188685e-06,4.30485152252e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761152682152,0.000100946999707,-0.00107607057998,0.0395890394933,0.720588519079,5.76351466552e-13,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10,-22.0821903334,-22.0372711296,-22.0260357537,-22.0372710504,-22.0821938693,-22.159098466,-22.1591094749,0.933043234465,0.933193904446,0.93323147742,0.933193904711,0.933043222641,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.05,0.00025,6.25e-06,0,-22.0686086455,-22.0198913916,-22.00864344,-22.0198913124,-22.0686121792,-22.1590659298,-22.159076936,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.903064766145,0.903222561708,0.903258840463,0.903222561964,0.903064754748,1.35231691579e-09,1.34939618264e-09,1.34865130818e-09,1.34939617739e-09,1.35231715026e-09,1.35231691579e-09,1.34939618264e-09,1.34865130818e-09,1.34939617739e-09,1.35231715026e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.21444477249e-09,3.20750221689e-09,3.2057316572e-09,3.20750220439e-09,3.21444532983e-09,2.9998597898,2.99985977893,2.99985977657,2.99985977893,2.9998597898,8.60949326942e-06,8.60852399331e-06,8.60833080926e-06,8.60852399196e-06,8.60949332992e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5223053643,0.000431631467791,-0.00204283078496,0.0792459874315,1.44144817756,1.57378277077e-12,-1.99780661544e-21,1.7414263667e-05,7.28740218687e-11,8.0920705801e-10,-22.0686086455,-22.0198913916,-22.00864344,-22.0198913124,-22.0686121792,-22.1590659298,-22.159076936,0.903064766145,0.903222561708,0.903258840463,0.903222561964,0.903064754748,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.35231691579e-09,1.34939618264e-09,1.34865130818e-09,1.34939617739e-09,1.35231715026e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.075,0.000375,1.40625e-05,0,-22.0550601527,-22.0025163772,-21.9912450942,-22.002516298,-22.0550636842,-22.1590285338,-22.1590395373,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.885531843803,0.885698551947,0.885734125699,0.885698552197,0.885531832658,3.83177032973e-09,3.8231581772e-09,3.82109498994e-09,3.82315816265e-09,3.83177097839e-09,3.83177032973e-09,3.8231581772e-09,3.82109498994e-09,3.82315816265e-09,3.83177097839e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.10808255224e-09,9.08761154551e-09,9.08270736853e-09,9.08761151094e-09,9.10808409411e-09,2.99979328042,2.99979325962,2.99979325529,2.99979325962,2.99979328042,1.29139492944e-05,1.29123954628e-05,1.29121045444e-05,1.29123954607e-05,1.29139493851e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28345804646,0.00100434141179,-0.0030139485245,0.118970677839,2.16247776151,2.04558592287e-12,1.38172249521e-22,1.74139662976e-05,1.63966549205e-10,1.19766890644e-09,-22.0550601527,-22.0025163772,-21.9912450942,-22.002516298,-22.0550636842,-22.1590285338,-22.1590395373,0.885531843803,0.885698551947,0.885734125699,0.885698552197,0.885531832658,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.83177032973e-09,3.8231581772e-09,3.82109498994e-09,3.82315816265e-09,3.83177097839e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.1,0.0005,2.5e-05,0,-22.0415444762,-21.9851458379,-21.9738404789,-21.9851457587,-22.0415480055,-22.1589862915,-22.1589972924,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.873094052471,0.873270375121,0.873305503275,0.873270375367,0.873094041506,8.26151566887e-09,8.24206404316e-09,8.23766793017e-09,8.24206401222e-09,8.26151704856e-09,8.26151566887e-09,8.24206404316e-09,8.23766793017e-09,8.24206401222e-09,8.26151704856e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.96375461585e-08,1.95913098245e-08,1.95808603047e-08,1.95913097509e-08,1.9637549438e-08,2.99972691962,2.99972688811,2.99972688178,2.99972688811,2.99972691963,1.72182149117e-05,1.72160091773e-05,1.72156193952e-05,1.72160091746e-05,1.72182150325e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04461072861,0.0018260188029,-0.00398482990041,0.158762946635,2.88368897088,2.29144481168e-12,-3.02920157762e-21,1.74137053992e-05,2.91496087475e-10,1.58609688922e-09,-22.0415444762,-21.9851458379,-21.9738404789,-21.9851457587,-22.0415480055,-22.1589862915,-22.1589972924,0.873094052471,0.873270375121,0.873305503275,0.873270375367,0.873094041506,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,8.26151566887e-09,8.24206404316e-09,8.23766793017e-09,8.24206401222e-09,8.26151704856e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.125,0.000625,3.90625e-05,0,-22.0280613567,-21.9677797004,-21.9564295326,-21.9677796213,-22.0280648839,-22.1589392165,-22.1589502147,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.863447917769,0.863634233778,0.863669072051,0.863634234021,0.863447906944,1.51997302778e-08,1.51621793304e-08,1.51541434827e-08,1.51621792739e-08,1.51997327939e-08,1.51997302778e-08,1.51621793304e-08,1.51541434827e-08,1.51621792739e-08,1.51997327939e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.61296179649e-08,3.60403597109e-08,3.60212585755e-08,3.60403595768e-08,3.61296239456e-08,2.99966073139,2.99966068848,2.99966068014,2.99966068848,2.99966073139,2.15222916872e-05,2.15193659147e-05,2.15188758651e-05,2.15193659113e-05,2.15222918382e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80576341076,0.00290154959339,-0.00495560858757,0.198622631033,3.60508672074,2.71138667074e-12,-3.74494441805e-21,1.74134809373e-05,4.55462636679e-10,1.97452536561e-09,-22.0280613567,-21.9677797004,-21.9564295326,-21.9677796213,-22.0280648839,-22.1589392165,-22.1589502147,0.863447917769,0.863634233778,0.863669072051,0.863634234021,0.863447906944,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.51997302778e-08,1.51621793304e-08,1.51541434827e-08,1.51621792739e-08,1.51997327939e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.15,0.00075,5.625e-05,0,-22.0146105528,-21.9504179156,-21.9390122181,-21.9504178365,-22.0146140777,-22.1588873222,-22.1588983176,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.855567440668,0.8557639923,0.855798650029,0.85576399254,0.855567429959,2.52024504088e-08,2.51371326072e-08,2.51238529011e-08,2.51371325142e-08,2.52024545547e-08,2.52024504088e-08,2.51371326072e-08,2.51238529011e-08,2.51371325142e-08,2.52024545547e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,5.99059909883e-08,5.97507311795e-08,5.97191654412e-08,5.97507309585e-08,5.99060008431e-08,2.99959474867,2.99959469367,2.99959468332,2.99959469367,2.99959474867,2.58261815215e-05,2.58224668851e-05,2.58218748903e-05,2.58224668811e-05,2.58261817025e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56691609291,0.00423471067804,-0.00592626088387,0.238549569457,4.32667497325,3.03101987953e-12,-3.77194359324e-21,1.7413292911e-05,6.55866196818e-10,2.36295522197e-09,-22.0146105528,-21.9504179156,-21.9390122181,-21.9504178365,-22.0146140777,-22.1588873222,-22.1588983176,0.855567440668,0.8557639923,0.855798650029,0.85576399254,0.855567429959,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,2.52024504088e-08,2.51371326072e-08,2.51238529011e-08,2.51371325142e-08,2.52024545547e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.175,0.000875,7.65625e-05,0,-22.0011918362,-21.9330604522,-21.9215885164,-21.9330603731,-22.001195359,-22.1588306216,-22.1588416144,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.848905337872,0.849112298202,0.849146859859,0.84911229844,0.84890532726,3.88235830999e-08,3.87181245097e-08,3.86976927763e-08,3.87181243672e-08,3.88235894565e-08,3.88235830999e-08,3.87181245097e-08,3.86976927763e-08,3.87181243672e-08,3.88235894565e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.22832971235e-08,9.20326230324e-08,9.19840569915e-08,9.20326226935e-08,9.22833122332e-08,2.99952900226,2.99952893449,2.99952892211,2.99952893449,2.99952900227,3.01298863213e-05,3.0125313316e-05,3.01246174246e-05,3.01253133113e-05,3.01298865323e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32806877507,0.00582858206924,-0.00689676739481,0.278543601469,5.04845698827,2.56200616278e-12,2.41404389967e-22,1.74131413189e-05,8.92706767891e-10,2.75138788774e-09,-22.0011918362,-21.9330604522,-21.9215885164,-21.9330603731,-22.001195359,-22.1588306216,-22.1588416144,0.848905337872,0.849112298202,0.849146859859,0.84911229844,0.84890532726,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.88235830999e-08,3.87181245097e-08,3.86976927763e-08,3.87181243672e-08,3.88235894565e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.2,0.001,0.0001,0,-21.9878049883,-21.9157072906,-21.9041584212,-21.9157072115,-21.9878085089,-22.1587691281,-22.1587801182,0.285266826906,0.215894622464,0.215520939731,0.215894752239,0.285267150104,0.843134939461,0.84335244234,0.843386977454,0.843352442576,0.843134928934,5.6614917944e-08,5.64539367466e-08,5.64241324422e-08,5.64539365394e-08,5.66149271793e-08,5.6614917944e-08,5.64539367466e-08,5.64241324422e-08,5.64539365394e-08,5.66149271793e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.34573135118e-07,1.34190484304e-07,1.34119639748e-07,1.34190483811e-07,1.3457315707e-07,2.99946352132,2.99946344008,2.99946342566,2.99946344008,2.99946352132,3.44334079871e-05,3.44279064354e-05,3.44271044231e-05,3.442790643e-05,3.44334082281e-05,0.3916,0.3916,0.3916,0.3916,0.3916,3,3,3,3,3,0.200000022875,0.20000002281,0.200000022798,0.20000002281,0.200000022875,0.251364350402,0.323392729556,0.324126591178,0.323392728921,0.251364391002,-0.971618911625,-0.971028047837,-0.970924565126,-0.971028047123,-0.9716189434,5.6614917944e-08,5.64539367466e-08,5.64241324422e-08,5.64539365394e-08,5.66149271793e-08,6.08922145722,0.00768576454196,-0.00786710788485,0.318604567726,5.77043554615,2.57049936891e-12,-1.80470957324e-21,1.74130261599e-05,1.1659843499e-09,3.13982440562e-09,-21.9878049883,-21.9157072906,-21.9041584212,-21.9157072115,-21.9878085089,-22.1587691281,-22.1587801182,0.843134939461,0.84335244234,0.843386977454,0.843352442576,0.843134928934,-21.9878049883,-21.9157072906,-21.9041584212,-21.9157072115,-21.9878085089,0.843134939461,0.84335244234,0.843386977454,0.843352442576,0.843134928934,5.6614917944e-08,5.64539367466e-08,5.64241324422e-08,5.64539365394e-08,5.66149271793e-08,-22.0162731214,-21.9523329587,-21.9408672023,-21.9523328796,-22.0162766466,0.953175112029,0.95332569695,0.953348512186,0.953325697106,0.953175105101
0.225,0.001125,0.0001265625,0,-21.9822076966,-21.9106485585,-21.8991080734,-21.9106484795,-21.9822112164,-22.1587056442,-22.1587166316,0.142201485011,0.0641470692336,0.0627391809492,0.0641471989206,0.142201783703,0.838021998742,0.838236399515,0.838270676588,0.83823639975,0.838021988288,7.91261387542e-08,7.88909410647e-08,7.88492213538e-08,7.88909407759e-08,7.91261516225e-08,7.91261387542e-08,7.88909410647e-08,7.88492213538e-08,7.88909407759e-08,7.91261516225e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.88082098299e-07,1.87523035571e-07,1.87423868205e-07,1.87523034885e-07,1.88082128886e-07,2.99939833336,2.99939823797,2.99939822149,2.99939823797,2.99939833337,3.8738543138e-05,3.8733089419e-05,3.87322007894e-05,3.87330894129e-05,3.87385434093e-05,0.3916,0.3916,0.3916,0.3916,0.3916,3,3,3,3,3,0.200000022875,0.20000002281,0.200000022798,0.20000002281,0.200000022875,0.251364350402,0.323392729556,0.324126591178,0.323392728921,0.251364391002,-0.971618911625,-0.971028047837,-0.970924565126,-0.971028047123,-0.9716189434,5.6614917944e-08,5.64539367466e-08,5.64241324422e-08,5.64539365394e-08,5.66149271793e-08,6.38636940585,0.00980861494023,-0.00883726173682,0.358693520444,6.02864723862,2.26685337168e-12,-1.97146918473e-21,1.74129474334e-05,1.47569894284e-09,3.52826558142e-09,-21.9822076966,-21.9106485585,-21.8991080734,-21.9106484795,-21.9822112164,-22.1587056442,-22.1587166316,0.838021998742,0.838236399515,0.838270676588,0.83823639975,0.838021988288,-21.9878049883,-21.9157072906,-21.9041584212,-21.9157072115,-21.9878085089,0.843134939461,0.84335244234,0.843386977454,0.843352442576,0.843134928934,7.91261387542e-08,7.88909410647e-08,7.88492213538e-08,7.88909407759e-08,7.91261516225e-08,-22.0162731214,-21.9523329587,-21.9408672023,-21.9523328796,-22.0162766466,0.953175112029,0.95332569695,0.953348512186,0.953325697106,0.953175105101
