time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-23.0958036308,-23.0546529118,-23.0434193458,-23.0546528324,-23.0958071689,-23.1591261288,-23.1591371404,0,0,0,0,0,1.26147442998,1.26143806835,1.26142814214,1.26143806828,1.26147443311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,0,0,0,0,0,0,0,1.7415e-05,0,0,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,-23.1591261288,-23.1591371404,1.26137826449,1.26158199709,1.26166103719,1.2612292798,1.26182060719,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,0,0,0,0,0,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.025,0.000125,1.5625e-06,0,-23.0820218855,-23.0338879947,-23.0221651913,-23.0369507249,-23.0796760963,-23.1590928632,-23.1591028579,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.929699642871,0.929861271467,0.929900506182,0.929850831209,0.92970763944,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,2.76410265244e-10,2.7585085056e-10,2.75698143068e-10,2.75850849481e-10,2.76410313343e-10,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,6.5702463809e-10,6.5569491457e-10,6.55331930278e-10,6.55694912007e-10,6.57024752419e-10,2.99992609474,2.99992609474,2.99992609474,2.99992609474,2.99992609474,4.31344499658e-06,4.3129095434e-06,4.31280005536e-06,4.31298876486e-06,4.31338424217e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,0.853565553385,0.000101622014161,-0.00107580518515,0.0415149060546,0.811076464159,2.49633647087e-13,-5.27086103764e-21,1.74145967438e-05,1.82185054672e-11,4.21474670422e-10,-22.9737014535,-23.1963036485,-23.2840473897,-22.8038774341,-23.468598455,-23.1590594581,-23.1592484094,0.930061852195,0.929318155344,0.929024834965,0.930630060687,0.928407197731,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,5.15876797177e-10,5.20005682862e-10,5.2159887039e-10,5.1283724821e-10,5.24800416915e-10,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.05,0.00025,6.25e-06,0,-23.0682777705,-23.0131291031,-23.0009113683,-23.0192353576,-23.0636001507,-23.1590536821,-23.1590616545,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.8998405331,0.900019283831,0.900058722464,0.899999389581,0.899855772874,1.4186370443e-09,1.41554966884e-09,1.41477932821e-09,1.41570626014e-09,1.41851715455e-09,1.4186370443e-09,1.41554966884e-09,1.41477932821e-09,1.41570626014e-09,1.41851715455e-09,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,3.37208710315e-09,3.3647484403e-09,3.36291734778e-09,3.36512065639e-09,3.37180212634e-09,2.99986001109,2.99985999732,2.99985999443,2.99985999918,2.99986000967,8.62667608189e-06,8.62547567529e-06,8.62524746985e-06,8.62568922375e-06,8.6265124256e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,1.70713110677,0.000434217243979,-0.00203911396498,0.0831192722911,1.62240693776,3.52926021741e-13,-3.60134586371e-21,1.74142650542e-05,7.28740218687e-11,8.07819867173e-10,-22.9604527638,-23.1750782419,-23.2611263447,-22.7893440424,-23.4496872491,-23.1589880476,-23.1593528387,0.900188271406,0.899496975069,0.899219552403,0.900740654686,0.898610698785,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,1.41144237576e-09,1.4263332973e-09,1.43218152386e-09,1.40019424985e-09,1.44436794419e-09,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.075,0.000375,1.40625e-05,0,-23.0545728928,-22.9923790204,-22.9796605849,-23.0015096417,-23.0475808102,-23.1590086052,-23.1590135575,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.882377359415,0.882574736344,0.882614909269,0.882545721206,0.882399578655,4.0152804584e-09,4.00576101048e-09,4.00356064749e-09,4.00661888658e-09,4.01462334409e-09,4.0152804584e-09,4.00576101048e-09,4.00356064749e-09,4.00661888658e-09,4.01462334409e-09,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,9.5442844269e-09,9.52165678744e-09,9.51642654501e-09,9.52369595098e-09,9.54272247229e-09,2.99979368466,2.99979365777,2.99979365237,2.99979366192,2.99979368148,1.29397179177e-05,1.29377333644e-05,1.29373778233e-05,1.29381309575e-05,1.29394134155e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,2.56069666015,0.00101002040168,-0.0030073385866,0.124812811182,2.43388653079,7.72007457961e-13,1.02490986618e-21,1.74139688455e-05,1.63966549205e-10,1.19512104417e-09,-22.9472280805,-23.1538647004,-23.2382277697,-22.7747684174,-23.4308426858,-23.1589119079,-23.1594504548,0.882716114054,0.882065108231,0.881798963311,0.883261121351,0.881190163634,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,3.99544205442e-09,4.03553370044e-09,4.0514783754e-09,3.96413980083e-09,4.08575330997e-09,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.1,0.0005,2.5e-05,0,-23.0409068194,-22.9716374894,-22.9584125114,-22.9837734464,-23.0316175144,-23.1589576517,-23.1589585941,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.869988991711,0.870205518058,0.87024664237,0.870167613494,0.870018005072,8.65193274329e-09,8.62960418341e-09,8.62477564353e-09,8.63232379207e-09,8.64984991185e-09,8.65193274329e-09,8.62960418341e-09,8.62477564353e-09,8.63232379207e-09,8.64984991185e-09,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,2.05655639251e-08,2.05124891453e-08,2.05010117507e-08,2.05189536298e-08,2.05606130541e-08,2.99972750942,2.99972746789,2.99972745985,2.99972747492,2.99972750402,1.7252565852e-05,1.72496739243e-05,1.72491820497e-05,1.72503062361e-05,1.72520818877e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,3.41426221354,0.00183594160184,-0.00397529313328,0.166595238181,3.24552762383,9.04137875679e-13,-4.65735772092e-21,1.7413709114e-05,2.91496087475e-10,1.58238204873e-09,-22.9340270778,-23.1326627722,-23.2153511347,-22.7601507417,-23.4120641039,-23.1588310489,-23.1595412838,0.870321045326,0.869705228503,0.869448417631,0.870862221639,0.868836104813,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,8.60986822854e-09,8.69281003154e-09,8.72623414427e-09,8.54287732282e-09,8.80034442122e-09,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.125,0.000625,3.90625e-05,0,-23.0272792483,-22.9509044437,-22.9371670101,-22.966026831,-23.0157098342,-23.1589008407,-23.1588967912,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.860381134465,0.860617058442,0.860659255398,0.860570448435,0.860416793292,1.59119190692e-08,1.58673949075e-08,1.58583160251e-08,1.58739761086e-08,1.59068803843e-08,1.59119190692e-08,1.58673949075e-08,1.58583160251e-08,1.58739761086e-08,1.59068803843e-08,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,3.78224841197e-08,3.77166506001e-08,3.76950701809e-08,3.77322940543e-08,3.78105072125e-08,2.99966150646,2.99966144894,2.99966143817,2.99966145941,2.99966149842,2.15652215989e-05,2.15612981651e-05,2.15606607921e-05,2.15622154536e-05,2.15645199375e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,4.26782776692,0.00291684323263,-0.0049431513038,0.208466270933,4.05733518792,1.27897692437e-12,-2.72824018355e-21,1.7413485815e-05,4.55462636679e-10,1.9696476752e-09,-22.920849559,-23.1114723993,-23.1924961088,-22.745491381,-23.3933509795,-23.158745481,-23.1596253517,0.860707762237,0.860124267172,0.85987569448,0.861247118395,0.859257901916,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,1.58354359902e-08,1.59824507303e-08,1.60425215726e-08,1.57124830246e-08,1.61799018713e-08,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.15,0.00075,5.625e-05,0,-23.0136898945,-22.93017984,-22.9159239676,-22.948269877,-22.999857359,-23.1588381912,-23.1588281756,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.852531877712,0.852787339145,0.852830688376,0.852732179443,0.852574055218,2.63763108914e-08,2.62966567512e-08,2.62812423663e-08,2.63101585289e-08,2.63659775516e-08,2.63763108914e-08,2.62966567512e-08,2.62812423663e-08,2.63101585289e-08,2.63659775516e-08,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,6.26962464735e-08,6.25069093207e-08,6.24702694707e-08,6.2539002921e-08,6.26716842206e-08,2.99959570887,2.99959563398,2.99959562038,2.99959564847,2.99959569774,2.58776872153e-05,2.58726074208e-05,2.58718152269e-05,2.58738594555e-05,2.58767300577e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,5.12139332031,0.00425648312392,-0.00591088617517,0.250425629173,4.86931328809,1.45339296154e-12,-4.57821307991e-21,1.74132989479e-05,6.55866196818e-10,2.35691827836e-09,-22.9076953439,-23.0902935454,-23.169662387,-22.7307907207,-23.3747028074,-23.1586552142,-23.1597026843,0.852853904558,0.852300875893,0.852059827411,0.85339276867,0.851435293928,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,2.62506480427e-08,2.64859013502e-08,2.6583438462e-08,2.60467094445e-08,2.68135154453e-08,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.175,0.000875,7.65625e-05,0,-23.0001384868,-22.9094636522,-22.8946832889,-22.9305026821,-22.9840596926,-23.1587697222,-23.1587527739,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.845896119697,0.846171207809,0.846215767314,0.846107635293,0.845944703749,4.06239392945e-08,4.04921326287e-08,4.04677948516e-08,4.05168889129e-08,4.06050001767e-08,4.06239392945e-08,4.04921326287e-08,4.04677948516e-08,4.05168889129e-08,4.06050001767e-08,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,9.65627271084e-08,9.62494238857e-08,9.6191573215e-08,9.63082693436e-08,9.6517709001e-08,2.99953014741,2.9995300538,2.99953003727,2.99953007286,2.99953013278,3.01899647634e-05,3.01836030462e-05,3.01826465498e-05,3.01852391094e-05,3.01887147442e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0.000137802291095,0.000238482975748,0.000856898040995,0,-1.122871678e-14,-1.122871678e-14,0,0,0,0,0,0,0,0,0,0.00034106067046,0.000590245364976,0.00212082265146,5.97495887369,0.00585792506723,-0.00687847745787,0.292473034634,5.68146528667,1.26776367182e-12,-4.32357380014e-21,1.74131485115e-05,8.92706767891e-10,2.74419531392e-09,-22.8945642654,-23.0691261915,-23.1468496851,-22.7160491595,-23.356119098,-23.1585602584,-23.1597733072,0.846214129483,0.845690260259,0.8454562281,0.846753465405,0.844824065108,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393,4.04318055985e-08,4.07817768005e-08,4.09291219743e-08,4.0116987211e-08,4.12876235469e-08,-22.986972443,-23.2175381112,-23.3069883672,-22.8183653919,-23.4875748952,1.26396604515,1.26601798329,1.25995573384,1.25827805298,1.25121649393
0.2,0.001,0.0001,0,-22.9866247639,-22.8887558661,-22.8734448925,-22.9127253553,-22.9683164497,-23.1586954524,-23.1586706126,0.291012907544,0.257462224707,0.263216867422,0.219445118618,0.334567767125,0.84014849289,0.840443270837,0.84048908606,0.840371408816,0.840203381925,5.9231408206e-08,5.90257962367e-08,5.8989403948e-08,5.90676278903e-08,5.91994195231e-08,5.9231408206e-08,5.90257962367e-08,5.8989403948e-08,5.90676278903e-08,5.91994195231e-08,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,1.40792508215e-07,1.4030377047e-07,1.40217266337e-07,1.40403203923e-07,1.40716471412e-07,2.99946485122,2.99946473752,2.99946471797,2.99946476169,2.99946483266,3.45020562978e-05,3.44942863971e-05,3.44931559554e-05,3.44963552885e-05,3.45004764807e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,3,3,2,3,0.2,0.200012663767,0.200715205022,0.200435633569,0.2,0.0807986770957,1.00665824828,1.19211989193,0.220539750092,1.52827219671,-0.979314088266,-0.99011787447,-0.996300819892,-0.983902470197,-0.943237488974,0,3.13428227049e-05,0.00177013242834,0.00107819308229,0,6.82852442708,0.00772375558483,-0.00784590392469,0.334608210994,6.49379406775,1.82492909673e-12,-5.49142047617e-21,1.74130345045e-05,1.1659843499e-09,3.13147982468e-09,-22.8814561656,-23.0479703296,-23.124057734,-22.7012671042,-23.3375993735,-23.1584606236,-23.1598372459,0.840462925028,0.83996724067,0.839739841449,0.841003478897,0.839099380685,-22.9522573076,-22.7850275974,-22.7947942956,-22.7236105327,-22.8309530535,0.843203944263,0.840614037828,0.831895287123,0.835544554714,0.845954696664,5.89530191874e-08,5.94458735251e-08,5.96567627918e-08,5.84924269091e-08,6.01860324036e-08,-22.961408118,-22.8990361311,-22.929807187,-22.7485876424,-23.0040366918,0.954115629885,0.952749300395,0.944730795818,0.946975895042,0.952780546612
0.225,0.001125,0.0001265625,0,-22.9761009704,-22.88358024,-22.8682131758,-22.9084287721,-22.9622393754,-23.1586166743,-23.1585858647,0.236823516739,0.0656450719706,0.0657275243651,0.0530067968908,0.157102642636,0.835070173993,0.835346537264,0.835392186893,0.83527266884,0.835111062587,8.27731074865e-08,8.24668634387e-08,8.24147010121e-08,8.25332864633e-08,8.27223357091e-08,8.27731074865e-08,8.24668634387e-08,8.24147010121e-08,8.25332864633e-08,8.27223357091e-08,5.17829698931e-10,5.17092114395e-10,5.16890587214e-10,5.17092112977e-10,5.17829762287e-10,1.96750909167e-07,1.96022969904e-07,1.958989803e-07,1.96180856818e-07,1.96630225123e-07,2.9993998478,2.99939971264,2.99939968996,2.99939974248,2.99939982488,3.88146509776e-05,3.88082694043e-05,3.88070666628e-05,3.88103471128e-05,3.88142544753e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,3,3,2,3,0.2,0.200012663767,0.200715205022,0.200435633569,0.2,0.0807986770957,1.00665824828,1.19211989193,0.220539750092,1.52827219671,-0.979314088266,-0.99011787447,-0.996300819892,-0.983902470197,-0.943237488974,0,3.13428227049e-05,0.00177013242834,0.00107819308229,0,7.18996539745,0.00985632903355,-0.00881314398609,0.376793189956,6.81421539255,8.79296635503e-13,-6.53327100129e-21,1.74129569263e-05,1.47569894284e-09,3.51877261734e-09,-22.9412627163,-22.7801624971,-22.7892106339,-22.7197823215,-22.8247877764,-23.1583825285,-23.1597167764,0.835173619679,0.835653949811,0.835627184095,0.835832958256,0.835519825092,-22.9522573076,-22.7850275974,-22.7947942956,-22.7236105327,-22.8309530535,0.843203944263,0.840614037828,0.831895287123,0.835544554714,0.845954696664,8.24587006204e-08,8.27819805789e-08,8.30035120781e-08,8.17626941609e-08,8.35711996437e-08,-22.961408118,-22.8990361311,-22.929807187,-22.7485876424,-23.0040366918,0.954115629885,0.952749300395,0.944730795818,0.946975895042,0.952780546612
