time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.025,0.000125,1.5625e-06,0,-22.0976459072,-22.0547687401,-22.0435091232,-22.0547686714,-22.0976494605,-22.1591040232,-22.1591150321,0,0,0,0,0,0.932990549718,0.933134258841,0.93317191445,0.93313425907,0.932990537834,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30524902869e-06,4.30485182475e-06,4.30475486199e-06,4.30485182434e-06,4.30524905942e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100958490275,-0.00107607057998,0.0395117615807,-0.0404868736706,-1.521838211e-13,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10,-22.0976459072,-22.0547687401,-22.0435091232,-22.0547686714,-22.0976494605,-22.1591040232,-22.1591150321,0.932990549718,0.933134258841,0.93317191445,0.93313425907,0.932990537834,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.05,0.00025,6.25e-06,0,-22.0994728841,-22.054880592,-22.0435902782,-22.0548805337,-22.0994764527,-22.1590825824,-22.1590935886,0,0,0,0,0,0.902964209602,0.903108564471,0.903144981063,0.903108564658,0.902964198091,1.35310594759e-09,1.35028940044e-09,1.34954327136e-09,1.35028939572e-09,1.35310618296e-09,1.35310594759e-09,1.35028940044e-09,1.34954327136e-09,1.35028939572e-09,1.35310618296e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.21632029377e-09,3.20962538732e-09,3.20785184539e-09,3.2096253761e-09,3.21632085324e-09,2.99985979886,2.99985978917,2.99985978679,2.99985978917,2.99985979886,8.61056747899e-06,8.60974218818e-06,8.60954754746e-06,8.60974218756e-06,8.61056754073e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431707549799,-0.00204268444705,0.0790143882389,-0.0806253651361,1.08246744901e-14,-6.20464868754e-21,1.74142637228e-05,7.28740218687e-11,8.0915120877e-10,-22.0994728841,-22.054880592,-22.0435902782,-22.0548805337,-22.0994764527,-22.1590825824,-22.1590935886,0.902964209602,0.903108564471,0.903144981063,0.903108564658,0.902964198091,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.35310594759e-09,1.35028940044e-09,1.34954327136e-09,1.35028939572e-09,1.35310618296e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.075,0.000375,1.40625e-05,0,-22.1012863973,-22.0549910502,-22.0436654664,-22.0549910025,-22.101289981,-22.1590618013,-22.1590728049,0,0,0,0,0,0.885384945858,0.885531794786,0.885567540731,0.885531794936,0.885384934547,3.83610075862e-09,3.82806587581e-09,3.82599652103e-09,3.82806586422e-09,3.8361014122e-09,3.83610075862e-09,3.82806587581e-09,3.82599652103e-09,3.82806586422e-09,3.8361014122e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.11837594157e-09,9.09927709962e-09,9.09435826248e-09,9.09927707206e-09,9.11837749514e-09,2.99979330061,2.99979328246,2.9997932781,2.99979328246,2.99979330061,1.29159538212e-05,1.29146726306e-05,1.29143795161e-05,1.29146726299e-05,1.29159539142e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100457407022,-0.00301361861398,0.118507947293,-0.120516991837,-9.93927162796e-14,-3.1501684704e-21,1.74139664253e-05,1.63966549205e-10,1.19754121473e-09,-22.1012863973,-22.0549910502,-22.0436654664,-22.0549910025,-22.101289981,-22.1590618013,-22.1590728049,0.885384945858,0.885531794786,0.885567540731,0.885531794936,0.885384934547,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.83610075862e-09,3.82806587581e-09,3.82599652103e-09,3.82806586422e-09,3.8361014122e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.1,0.0005,2.5e-05,0,-22.1030863147,-22.0550997676,-22.0437344135,-22.0550997304,-22.1030899135,-22.159041675,-22.1590526759,0,0,0,0,0,0.872901836222,0.873051880649,0.873087195642,0.873051880764,0.87290182504,8.27526598774e-09,8.25766445639e-09,8.25325100936e-09,8.25766443482e-09,8.27526738302e-09,8.27526598774e-09,8.25766445639e-09,8.25325100936e-09,8.25766443482e-09,8.27526738302e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.9670230539e-08,1.96283918621e-08,1.96179011394e-08,1.96283918109e-08,1.96702338555e-08,2.99972695371,2.99972692669,2.99972692031,2.99972692669,2.99972695371,1.72214094525e-05,1.72196440122e-05,1.72192515068e-05,1.72196440116e-05,1.7221409577e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182653783015,-0.00398426821055,0.157992506723,-0.160150237103,8.98447982678e-14,1.56939323258e-21,1.74137056178e-05,2.91496087475e-10,1.58587827769e-09,-22.1030863147,-22.0550997676,-22.0437344135,-22.0550997304,-22.1030899135,-22.159041675,-22.1590526759,0.872901836222,0.873051880649,0.873087195642,0.873051880764,0.87290182504,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,8.27526598774e-09,8.25766445639e-09,8.25325100936e-09,8.25766443482e-09,8.27526738302e-09,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.125,0.000625,3.90625e-05,0,-22.1048726225,-22.0552065739,-22.0437970206,-22.0552065472,-22.1048762364,-22.1590221981,-22.1590331963,0,0,0,0,0,0.863211170639,0.863364761514,0.863399782099,0.863364761595,0.863211159546,1.52330553747e-08,1.52000294007e-08,1.51919569807e-08,1.5200029367e-08,1.52330579285e-08,1.52330553747e-08,1.52000294007e-08,1.51919569807e-08,1.5200029367e-08,1.52330579285e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.62088314112e-08,3.61303289772e-08,3.61111409097e-08,3.61303288971e-08,3.62088374816e-08,2.99966078207,2.99966074589,2.99966073747,2.99966074589,2.99966078207,2.1526935144e-05,2.15246573492e-05,2.15241644266e-05,2.1524657349e-05,2.15269353003e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290252183997,-0.00495476767049,0.197468134576,-0.199520380406,3.84220433247e-13,-1.67580174658e-21,1.74134812656e-05,4.55462636679e-10,1.97419703492e-09,-22.1048726225,-22.0552065739,-22.0437970206,-22.0552065472,-22.1048762364,-22.1590221981,-22.1590331963,0.863211170639,0.863364761514,0.863399782099,0.863364761595,0.863211159546,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,1.52330553747e-08,1.52000294007e-08,1.51919569807e-08,1.5200029367e-08,1.52330579285e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.15,0.00075,5.625e-05,0,-22.106645323,-22.0553113239,-22.0438532131,-22.0553113078,-22.1066489519,-22.1590033656,-22.1590143612,0,0,0,0,0,0.855286810762,0.855444147041,0.855478963688,0.85544414709,0.855286799736,2.52709194269e-08,2.52149825419e-08,2.52016388909e-08,2.52149824957e-08,2.52709236502e-08,2.52709194269e-08,2.52149825419e-08,2.52016388909e-08,2.52149824957e-08,2.52709236502e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.00687412096e-08,5.99357797526e-08,5.99040620179e-08,5.99357796426e-08,6.00687512485e-08,2.99959481862,2.99959477298,2.99959476252,2.99959477298,2.99959481863,2.58325316301e-05,2.58297136592e-05,2.5829119186e-05,2.58297136594e-05,2.58325318184e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423633947345,-0.00592509308465,0.236934898888,-0.238623652499,7.90367771231e-13,-1.14561206116e-21,1.74132933678e-05,6.55866196818e-10,2.36249839747e-09,-22.106645323,-22.0553113239,-22.0438532131,-22.0553113078,-22.1066489519,-22.1590033656,-22.1590143612,0.855286810762,0.855444147041,0.855478963688,0.85544414709,0.855286799736,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,2.52709194269e-08,2.52149825419e-08,2.52016388909e-08,2.52149824957e-08,2.52709236502e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.175,0.000875,7.65625e-05,0,-22.1084044306,-22.0554138915,-22.0439029343,-22.0554138858,-22.1084080743,-22.1589851724,-22.1589961654,0,0,0,0,0,0.848581380773,0.848742582575,0.848777261069,0.848742582591,0.848581369796,3.89493050149e-08,3.88612251688e-08,3.88406966652e-08,3.8861225112e-08,3.89493115137e-08,3.89493050149e-08,3.88612251688e-08,3.88406966652e-08,3.8861225112e-08,3.89493115137e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.25821369502e-08,9.23727719723e-08,9.23239759097e-08,9.23727718375e-08,9.25821523977e-08,2.99952909418,2.99952903878,2.99952902626,2.99952903878,2.99952909419,3.01381996451e-05,3.01348139568e-05,3.01341166957e-05,3.01348139577e-05,3.01381998657e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583110674711,-0.00689522486164,0.276392867626,-0.27745698574,6.77347067324e-13,9.40735967044e-22,1.74131419229e-05,8.92706767891e-10,2.75078383567e-09,-22.1084044306,-22.0554138915,-22.0439029343,-22.0554138858,-22.1084080743,-22.1589851724,-22.1589961654,0.848581380773,0.848742582575,0.848777261069,0.848742582591,0.848581369796,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,3.89493050149e-08,3.88612251688e-08,3.88406966652e-08,3.8861225112e-08,3.89493115137e-08,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238
0.2,0.001,0.0001,0,-22.1101499674,-22.0555141634,-22.0439461395,-22.0555141681,-22.1101536259,-22.1589676134,-22.1589786037,0,0,0,0,0,0.84276814464,0.842933286399,0.842967877701,0.842933286384,0.8427681337,5.68276549814e-08,5.66963398754e-08,5.6666406945e-08,5.66963398136e-08,5.6827664457e-08,5.68276549814e-08,5.66963398754e-08,5.6666406945e-08,5.66963398136e-08,5.6827664457e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.35078809083e-07,1.34766674294e-07,1.34695523996e-07,1.34766674147e-07,1.35078831607e-07,2.99946363787,2.99946357242,2.99946355783,2.99946357242,2.99946363787,3.44439399252e-05,3.44399592543e-05,3.44391578657e-05,3.44399592561e-05,3.44439401783e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000022961,0.200000022908,0.200000022896,0.200000022908,0.200000022961,-0.0333907675145,-0.00200454326802,-0.00122610008556,-0.00200473893493,-0.0333910480598,-0.972472618113,-0.972003623625,-0.971900010137,-0.972003623496,-0.972472650852,5.68276549814e-08,5.66963398754e-08,5.6666406945e-08,5.66963398136e-08,5.6827664457e-08,0,0.0076894600357,-0.00786514251626,0.315842108643,-0.316017791122,6.70463684571e-13,-4.75873697679e-21,1.74130269299e-05,1.1659843499e-09,3.1390544327e-09,-22.1101499674,-22.0555141634,-22.0439461395,-22.0555141681,-22.1101536259,-22.1589676134,-22.1589786037,0.84276814464,0.842933286399,0.842967877701,0.842933286384,0.8427681337,-22.1101499674,-22.0555141634,-22.0439461395,-22.0555141681,-22.1101536259,0.84276814464,0.842933286399,0.842967877701,0.842933286384,0.8427681337,5.68276549814e-08,5.66963398754e-08,5.6666406945e-08,5.66963398136e-08,5.6827664457e-08,-22.1063683141,-22.0552871399,-22.0438072782,-22.0552871225,-22.1063719409,0.952905003273,0.953017029316,0.953039885929,0.953017029286,0.952904996041
0.225,0.001125,0.0001265625,0,-22.1118819613,-22.0556120359,-22.0439827926,-22.055612051,-22.1118856346,-22.1589506834,-22.1589616711,0,0,0,0,0,0.837636349956,0.837805477564,0.837840022997,0.837805477518,0.837636339044,7.94644077665e-08,7.92767923862e-08,7.92349243305e-08,7.92767923288e-08,7.94644210167e-08,7.94644077665e-08,7.92767923862e-08,7.92349243305e-08,7.92767923288e-08,7.94644210167e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.88886160605e-07,1.88440200585e-07,1.88340680605e-07,1.88440200449e-07,1.888861921e-07,2.9993984772,2.99939840141,2.99939838475,2.99939840141,2.99939847721,3.8749753208e-05,3.87451505616e-05,3.87442436059e-05,3.87451505644e-05,3.87497534939e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000022961,0.200000022908,0.200000022896,0.200000022908,0.200000022961,-0.0333907675145,-0.00200454326802,-0.00122610008556,-0.00200473893493,-0.0333910480598,-0.972472618113,-0.972003623625,-0.971900010137,-0.972003623496,-0.972472650852,5.68276549814e-08,5.66963398754e-08,5.6666406945e-08,5.66963398136e-08,5.6827664457e-08,0,0.00981368532815,-0.00883482513312,0.355282689653,-0.354303829457,7.56561480131e-13,-2.47333620598e-21,1.74129483879e-05,1.47569894284e-09,3.52731103533e-09,-22.1118819613,-22.0556120359,-22.0439827926,-22.055612051,-22.1118856346,-22.1589506834,-22.1589616711,0.837636349956,0.837805477564,0.837840022997,0.837805477518,0.837636339044,-22.1101499674,-22.0555141634,-22.0439461395,-22.0555141681,-22.1101536259,0.84276814464,0.842933286399,0.842967877701,0.842933286384,0.8427681337,7.94644077665e-08,7.92767923862e-08,7.92349243305e-08,7.92767923288e-08,7.94644210167e-08,-22.1063683141,-22.0552871399,-22.0438072782,-22.0552871225,-22.1063719409,0.952905003273,0.953017029316,0.953039885929,0.953017029286,0.952904996041
