column,unit,meaning
time_s,s,电流加载开始后的时间，含独立关热后观察段
j_A_cm2,A/cm2,题给斜坡/平台电流密度
charge_C_cm2,C/cm2,题给电流曲线精确积分；后验段独立于启动预算
stopped,0/1,该时刻是否已锁定永久关断；stop行功率仍记刚结束区间
T1_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
T2_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
T3_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
T4_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
T5_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
TEL_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
TER_C,degC,真实模型热节点平均温度，EL/ER为端板；仅供仿真评价
cell1_q_W_cm2,W/cm2,该行时刻结束的前一区间内恒定加热功率；初始行0
cell2_q_W_cm2,W/cm2,该行时刻结束的前一区间内恒定加热功率；初始行0
cell3_q_W_cm2,W/cm2,该行时刻结束的前一区间内恒定加热功率；初始行0
cell4_q_W_cm2,W/cm2,该行时刻结束的前一区间内恒定加热功率；初始行0
cell5_q_W_cm2,W/cm2,该行时刻结束的前一区间内恒定加热功率；初始行0
cell1_V_V,V,单片电压
cell2_V_V,V,单片电压
cell3_V_V,V,单片电压
cell4_V_V,V,单片电压
cell5_V_V,V,单片电压
cell1_ice_bulk,1,单片内局部冰总体积分数最大值，含孔隙及膜
cell2_ice_bulk,1,单片内局部冰总体积分数最大值，含孔隙及膜
cell3_ice_bulk,1,单片内局部冰总体积分数最大值，含孔隙及膜
cell4_ice_bulk,1,单片内局部冰总体积分数最大值，含孔隙及膜
cell5_ice_bulk,1,单片内局部冰总体积分数最大值，含孔隙及膜
cell1_pore_ice_bulk,1,多孔层局部冰总体积分数最大值
cell2_pore_ice_bulk,1,多孔层局部冰总体积分数最大值
cell3_pore_ice_bulk,1,多孔层局部冰总体积分数最大值
cell4_pore_ice_bulk,1,多孔层局部冰总体积分数最大值
cell5_pore_ice_bulk,1,多孔层局部冰总体积分数最大值
cell1_mem_ice_bulk,1,膜层局部冰体积分数最大值
cell2_mem_ice_bulk,1,膜层局部冰体积分数最大值
cell3_mem_ice_bulk,1,膜层局部冰体积分数最大值
cell4_mem_ice_bulk,1,膜层局部冰体积分数最大值
cell5_mem_ice_bulk,1,膜层局部冰体积分数最大值
cell1_pore_ice_saturation,1,冰体积/干孔体积最大值；非题给严重冰堵阈值口径
cell2_pore_ice_saturation,1,冰体积/干孔体积最大值；非题给严重冰堵阈值口径
cell3_pore_ice_saturation,1,冰体积/干孔体积最大值；非题给严重冰堵阈值口径
cell4_pore_ice_saturation,1,冰体积/干孔体积最大值；非题给严重冰堵阈值口径
cell5_pore_ice_saturation,1,冰体积/干孔体积最大值；非题给严重冰堵阈值口径
cell1_lambda,1,膜含水量厚度均值
cell2_lambda,1,膜含水量厚度均值
cell3_lambda,1,膜含水量厚度均值
cell4_lambda,1,膜含水量厚度均值
cell5_lambda,1,膜含水量厚度均值
cell1_j_over_jlim,1,电流/极限电流
cell2_j_over_jlim,1,电流/极限电流
cell3_j_over_jlim,1,电流/极限电流
cell4_j_over_jlim,1,电流/极限电流
cell5_j_over_jlim,1,电流/极限电流
cell1_gas_porosity,1,多孔域最小可用气相体积分数
cell2_gas_porosity,1,多孔域最小可用气相体积分数
cell3_gas_porosity,1,多孔域最小可用气相体积分数
cell4_gas_porosity,1,多孔域最小可用气相体积分数
cell5_gas_porosity,1,多孔域最小可用气相体积分数
cell1_state,code,该时刻更新并作用于后一区间：1安全增强 2低温升温不足 3跟踪维持 4接近成功渐缩 5关断；constant策略0
cell2_state,code,该时刻更新并作用于后一区间：1安全增强 2低温升温不足 3跟踪维持 4接近成功渐缩 5关断；constant策略0
cell3_state,code,该时刻更新并作用于后一区间：1安全增强 2低温升温不足 3跟踪维持 4接近成功渐缩 5关断；constant策略0
cell4_state,code,该时刻更新并作用于后一区间：1安全增强 2低温升温不足 3跟踪维持 4接近成功渐缩 5关断；constant策略0
cell5_state,code,该时刻更新并作用于后一区间：1安全增强 2低温升温不足 3跟踪维持 4接近成功渐缩 5关断；constant策略0
cell1_risk,1,综合冰堵风险指标
cell2_risk,1,综合冰堵风险指标
cell3_risk,1,综合冰堵风险指标
cell4_risk,1,综合冰堵风险指标
cell5_risk,1,综合冰堵风险指标
cell1_rT_K_s,K/s,二级滤波温升速率
cell2_rT_K_s,K/s,二级滤波温升速率
cell3_rT_K_s,K/s,二级滤波温升速率
cell4_rT_K_s,K/s,二级滤波温升速率
cell5_rT_K_s,K/s,二级滤波温升速率
cell1_rV_V_s,V/s,二级滤波电压变化率
cell2_rV_V_s,V/s,二级滤波电压变化率
cell3_rV_V_s,V/s,二级滤波电压变化率
cell4_rV_V_s,V/s,二级滤波电压变化率
cell5_rV_V_s,V/s,二级滤波电压变化率
cell1_ice_est,1,独立观测器冰先验加预测电压与测量电压创新；非真实冰反馈
cell2_ice_est,1,独立观测器冰先验加预测电压与测量电压创新；非真实冰反馈
cell3_ice_est,1,独立观测器冰先验加预测电压与测量电压创新；非真实冰反馈
cell4_ice_est,1,独立观测器冰先验加预测电压与测量电压创新；非真实冰反馈
cell5_ice_est,1,独立观测器冰先验加预测电压与测量电压创新；非真实冰反馈
E_aux_J,J,累计离散热量/能量；相变为净释热，散热取正
E_gen_J,J,累计离散热量/能量；相变为净释热，散热取正
E_phase_J,J,累计离散热量/能量；相变为净释热，散热取正
E_loss_J,J,累计离散热量/能量；相变为净释热，散热取正
E_sensible_J,J,累计离散热量/能量；相变为净释热，散热取正
energy_residual_J,J,累计离散热量/能量；相变为净释热，散热取正
water_residual_kg,kg,累计水量或收支残差；inventory为瞬时总库存
water_inventory_kg,kg,累计水量或收支残差；inventory为瞬时总库存
water_produced_kg,kg,累计水量或收支残差；inventory为瞬时总库存
water_out_kg,kg,累计水量或收支残差；inventory为瞬时总库存
observer_T1_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_T2_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_T3_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_T4_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_T5_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_TEL_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
observer_TER_C,degC,积分区间末、传感器校正前的独立观测器热节点预测；端板无直接测量
cell1_observer_voltage_V,V,独立观测器预测电压
cell2_observer_voltage_V,V,独立观测器预测电压
cell3_observer_voltage_V,V,独立观测器预测电压
cell4_observer_voltage_V,V,独立观测器预测电压
cell5_observer_voltage_V,V,独立观测器预测电压
cell1_sensor_temperature_C,degC,最近一次控制采样的测量温度
cell2_sensor_temperature_C,degC,最近一次控制采样的测量温度
cell3_sensor_temperature_C,degC,最近一次控制采样的测量温度
cell4_sensor_temperature_C,degC,最近一次控制采样的测量温度
