time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg,observer_T1_C,observer_T2_C,observer_T3_C,observer_T4_C,observer_T5_C,observer_TEL_C,observer_TER_C,cell1_observer_voltage_V,cell2_observer_voltage_V,cell3_observer_voltage_V,cell4_observer_voltage_V,cell5_observer_voltage_V,cell1_sensor_temperature_C,cell2_sensor_temperature_C,cell3_sensor_temperature_C,cell4_sensor_temperature_C,cell5_sensor_temperature_C,cell1_sensor_voltage_V,cell2_sensor_voltage_V,cell3_sensor_voltage_V,cell4_sensor_voltage_V,cell5_sensor_voltage_V,cell1_observer_ice_bulk,cell2_observer_ice_bulk,cell3_observer_ice_bulk,cell4_observer_ice_bulk,cell5_observer_ice_bulk,cell1_filtered_temperature_C,cell2_filtered_temperature_C,cell3_filtered_temperature_C,cell4_filtered_temperature_C,cell5_filtered_temperature_C,cell1_filtered_voltage_V,cell2_filtered_voltage_V,cell3_filtered_voltage_V,cell4_filtered_voltage_V,cell5_filtered_voltage_V
0,0,0,0,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,-28.5713727086,-28.571374715,0,0,0,0,0,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,-28.5713727086,-28.571374715,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,0,0,0,0,0,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.025,0.000125,1.5625e-06,0,-28.5059678579,-28.4714672862,-28.4995232208,-28.4714672737,-28.5059685053,-28.5713491918,-28.5713511977,1,1,0.624511558772,1,1,0.911563335766,0.91168066771,0.911584894869,0.911680667752,0.9115633336,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,3.50748022334e-10,3.50646150399e-10,3.5061834065e-10,3.50646150202e-10,3.50748031093e-10,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,8.33724797561e-10,8.33482648915e-10,8.33416545399e-10,8.33482648448e-10,8.3372481838e-10,2.99992609456,2.99992609456,2.99992609456,2.99992609456,2.99992609456,4.36027922493e-06,4.35949066774e-06,4.36027707956e-06,4.35949066766e-06,4.36027923075e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89031972423,0.000105301197821,-0.0010746598344,0.00747015909189,2.8818802065,1.16909086578e-13,2.25323998859e-22,1.74145969977e-05,1.82185054672e-11,4.21220789748e-10,-28.5059678579,-28.4714672862,-28.4995232208,-28.4714672737,-28.5059685053,-28.5713491918,-28.5713511977,0.911563335766,0.91168066771,0.911584894869,0.911680667752,0.9115633336,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.05,0.00025,6.25e-06,0,-28.4522198087,-28.3907499148,-28.4485756203,-28.3907499042,-28.4522204589,-28.571306358,-28.5713083634,1,1,0.624511558772,1,1,0.882477646386,0.882678102764,0.882489630481,0.882678102798,0.882477644289,1.7791010296e-09,1.7772170722e-09,1.77862784841e-09,1.77721707134e-09,1.77910107246e-09,1.7791010296e-09,1.7772170722e-09,1.77862784841e-09,1.77721707134e-09,1.77910107246e-09,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,4.22890665462e-09,4.22442850534e-09,4.22778190732e-09,4.2244285033e-09,4.22890675649e-09,2.99986164998,2.99986162644,2.9998616486,2.99986162644,2.99986164998,8.71958055286e-06,8.71749392583e-06,8.71961905622e-06,8.71749392571e-06,8.71958056455e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78063944846,0.000448244179731,-0.00201305608399,0.0152090584228,5.76386557814,9.59914439602e-13,-3.67638768888e-21,1.74142750006e-05,7.28740218687e-11,7.97873410544e-10,-28.4522198087,-28.3907499148,-28.4485756203,-28.3907499042,-28.4522204589,-28.571306358,-28.5713083634,0.882477646386,0.882678102764,0.882489630481,0.882678102798,0.882477644289,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,1.7791010296e-09,1.7772170722e-09,1.77862784841e-09,1.77721707134e-09,1.77910107246e-09,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.075,0.000375,1.40625e-05,0,-28.3985929834,-28.3101877482,-28.3974532123,-28.3101877395,-28.3985936363,-28.5712442577,-28.5712462626,1,1,0.624511558772,1,1,0.865513157449,0.865794584672,0.865517210899,0.8657945847,0.865513155387,5.00682865363e-09,4.99785225893e-09,5.00591790925e-09,4.99785225682e-09,5.00682877258e-09,5.00682865363e-09,4.99785225893e-09,5.00591790925e-09,4.99785225682e-09,5.00682877258e-09,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,1.19011852951e-08,1.18798484881e-08,1.18990204641e-08,1.18798484831e-08,1.19011855778e-08,2.9997966162,2.99979656393,2.99979661478,2.99979656393,2.9997966162,1.30780007075e-05,1.30741536857e-05,1.30781091264e-05,1.30741536855e-05,1.3078000725e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6709591727,0.00104069011447,-0.0029614265341,0.0232160918736,8.6458223444,7.27199550576e-13,1.94155833378e-22,1.74139867745e-05,1.63966549205e-10,1.17719202755e-09,-28.3985929834,-28.3101877482,-28.3974532123,-28.3101877395,-28.3985936363,-28.5712442577,-28.5712462626,0.865513157449,0.865794584672,0.865517210899,0.8657945847,0.865513155387,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,5.00682865363e-09,4.99785225893e-09,5.00591790925e-09,4.99785225682e-09,5.00682877258e-09,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.1,0.0005,2.5e-05,0,-28.3450866887,-28.2297793114,-28.3461574239,-28.2297793047,-28.3450873444,-28.5711629412,-28.5711649456,1,1,0.624511558772,1,1,0.853510034929,0.853870943968,0.853507389801,0.853870943989,0.853510032891,1.07493244354e-08,1.07222788061e-08,1.07481583729e-08,1.07222788022e-08,1.07493246893e-08,1.07493244354e-08,1.07222788061e-08,1.07481583729e-08,1.07222788022e-08,1.07493246893e-08,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,2.55510445339e-08,2.54867573237e-08,2.55482728141e-08,2.54867573144e-08,2.55510451373e-08,2.99973175346,2.99973166376,2.9997317526,2.99973166376,2.99973175346,1.74355170525e-05,1.74294351146e-05,1.74357186103e-05,1.74294351145e-05,1.7435517076e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5612788969,0.0018892953605,-0.00390926602157,0.031490656791,11.5277682695,9.83546577515e-13,-3.03740720929e-21,1.74137350686e-05,2.91496087475e-10,1.55642748229e-09,-28.3450866887,-28.2297793114,-28.3461574239,-28.2297793047,-28.3450873444,-28.5711629412,-28.5711649456,0.853510034929,0.853870943968,0.853507389801,0.853870943989,0.853510032891,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,1.07493244354e-08,1.07222788061e-08,1.07481583729e-08,1.07222788022e-08,1.07493246893e-08,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.125,0.000625,3.90625e-05,0,-28.2917004618,-28.1495234813,-28.2946900086,-28.1495234765,-28.2917011202,-28.5710624585,-28.5710644624,1,1,0.624511558772,1,1,0.844224728517,0.84466397114,0.844216459726,0.844663971155,0.844224726495,1.97160824438e-08,1.96523052956e-08,1.97152310566e-08,1.96523052894e-08,1.97160829082e-08,1.97160824438e-08,1.96523052956e-08,1.97152310566e-08,1.96523052894e-08,1.97160829082e-08,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,4.68649451955e-08,4.67133475055e-08,4.6862921456e-08,4.6713347491e-08,4.68649462996e-08,2.99966704689,2.99966691171,2.99966704717,2.99966691171,2.99966704689,2.17921327456e-05,2.17833419861e-05,2.17924431206e-05,2.17833419861e-05,2.17921327751e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4515986212,0.00299871553789,-0.00485726137623,0.040032152836,14.4097079225,8.07492961385e-13,6.23098611824e-22,1.74135196887e-05,4.55462636679e-10,1.93577392899e-09,-28.2917004618,-28.1495234813,-28.2946900086,-28.1495234765,-28.2917011202,-28.5710624585,-28.5710644624,0.844224728517,0.84466397114,0.844216459726,0.844663971155,0.844224726495,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,1.97160824438e-08,1.96523052956e-08,1.97152310566e-08,1.96523052894e-08,1.97160829082e-08,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.15,0.00075,5.625e-05,0,-28.2384338457,-28.0694191529,-28.2430527115,-28.0694191499,-28.2384345069,-28.5709428595,-28.5709448629,1,1,0.624511558772,1,1,0.83665801919,0.837174658382,0.836645116776,0.83717465839,0.83665801718,3.2610744041e-08,3.24818852089e-08,3.26112319087e-08,3.24818852005e-08,3.26107448088e-08,3.2610744041e-08,3.24818852089e-08,3.26112319087e-08,3.24818852005e-08,3.26107448088e-08,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,7.75154362752e-08,7.72091400259e-08,7.75165959323e-08,7.7209140006e-08,7.75154381004e-08,2.99960253246,2.9996023438,2.99960253437,2.9996023438,2.99960253246,2.61478524055e-05,2.61358802451e-05,2.61482797215e-05,2.61358802451e-05,2.61478524411e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3419183454,0.00437252753172,-0.00580533713956,0.0488399819547,17.2916455538,3.77031739163e-13,1.84414954485e-21,1.74133406468e-05,6.55866196818e-10,2.31521943303e-09,-28.2384338457,-28.0694191529,-28.2430527115,-28.0694191499,-28.2384345069,-28.5709428595,-28.5709448629,0.83665801919,0.837174658382,0.836645116776,0.83717465839,0.83665801718,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,3.2610744041e-08,3.24818852089e-08,3.26112319087e-08,3.24818852005e-08,3.26107448088e-08,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.175,0.000875,7.65625e-05,0,-28.1852863965,-27.9894652499,-28.1912472804,-27.9894652488,-28.1852870604,-28.570804194,-28.5708061969,1,1,0.624511558772,1,1,0.830276955371,0.830870198234,0.830260354703,0.830870198237,0.83027695337,5.01311446857e-08,4.98971799997e-08,5.01344740663e-08,4.98971799894e-08,5.01311458669e-08,5.01311446857e-08,4.98971799997e-08,5.01344740663e-08,4.98971799894e-08,5.01311458669e-08,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,1.19161266189e-07,1.18605134299e-07,1.19169180096e-07,1.18605134275e-07,1.19161268997e-07,2.99953824073,2.99953799069,2.99953824466,2.99953799069,2.99953824074,3.05026806918e-05,3.04870558816e-05,3.05032256011e-05,3.04870558818e-05,3.05026807335e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322380696,0.00601363071632,-0.0067534696607,0.0579135483123,20.1735846824,1.15003145895e-12,-1.69406589451e-23,1.74131979411e-05,8.92706767891e-10,2.6947656553e-09,-28.1852863965,-27.9894652499,-28.1912472804,-27.9894652488,-28.1852870604,-28.570804194,-28.5708061969,0.830276955371,0.830870198234,0.830260354703,0.830870198237,0.83027695337,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207,5.01311446857e-08,4.98971799997e-08,5.01344740663e-08,4.98971799894e-08,5.01311458669e-08,-28.5598351874,-28.552337421,-28.5502906366,-28.5523374066,-28.559835832,1.2663025615,1.26629593632,1.26629412774,1.26629593631,1.26630256207
0.2,0.001,0.0001,0,-28.1322576788,-27.9096607179,-28.1392754594,-27.9096607188,-28.1322583454,-28.5706465114,-28.5706485139,1,1,0.624511558772,1,1,0.824763449485,0.825432607926,0.824744046712,0.825432607923,0.824763447491,7.29693602569e-08,7.25766213317e-08,7.29774912851e-08,7.25766213205e-08,7.29693619787e-08,7.29693602569e-08,7.25766213317e-08,7.29774912851e-08,7.25766213205e-08,7.29693619787e-08,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,1.73447492885e-07,1.72513956101e-07,1.73466820264e-07,1.72513956074e-07,1.73447496978e-07,2.99947420081,2.99947388159,2.99947420704,2.99947388159,2.99947420082,3.48566222472e-05,3.48368748446e-05,3.48572780156e-05,3.4836874845e-05,3.4856622295e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000029483,0.200000029324,0.200000029486,0.200000029324,0.200000029483,0.995176792431,1.49581520822,0.9566283479,1.49581517257,0.995176741315,-1.0276721026,-1.0260992318,-1.02769763272,-1.02609923178,-1.02767210857,7.29693602569e-08,7.25766213317e-08,7.29774912851e-08,7.25766213205e-08,7.29693619787e-08,23.1225577939,0.00792445877293,-0.00770163123467,0.0672522582516,23.0555283631,2.32723562643e-12,5.00649411386e-21,1.74130915714e-05,1.1659843499e-09,3.07441294544e-09,-28.1322576788,-27.9096607179,-28.1392754594,-27.9096607188,-28.1322583454,-28.5706465114,-28.5706485139,0.824763449485,0.825432607926,0.824744046712,0.825432607923,0.824763447491,-28.1322576788,-27.9096607179,-28.1392754594,-27.9096607188,-28.1322583454,0.824763449485,0.825432607926,0.824744046712,0.825432607923,0.824763447491,7.29693602569e-08,7.25766213317e-08,7.29774912851e-08,7.25766213205e-08,7.29693619787e-08,-28.2449658864,-28.0790684576,-28.2476178839,-28.0790684544,-28.2449665472,0.941151895778,0.94164291959,0.941135384405,0.941642919585,0.94115189446
0.225,0.001125,0.0001265625,0,-28.0793472635,-27.8300045211,-28.0871389853,-27.8300045238,-28.0793479328,-28.5704698612,-28.5704718632,1,1,0.624511558772,1,1,0.819912352407,0.820656818116,0.819891013433,0.820656818108,0.819912350418,1.01811752939e-07,1.0119097253e-07,1.01827041768e-07,1.0119097252e-07,1.01811755346e-07,1.01811752939e-07,1.0119097253e-07,1.01827041768e-07,1.0119097252e-07,1.01811755346e-07,6.05956210921e-10,6.05849630594e-10,6.05820528373e-10,6.05849630409e-10,6.05956220093e-10,2.42005592915e-07,2.40530003637e-07,2.42041934319e-07,2.40530003613e-07,2.42005598637e-07,2.99941044018,2.99941004409,2.99941044892,2.99941004409,2.99941044018,3.92096816954e-05,3.91853430396e-05,3.92104342867e-05,3.91853430401e-05,3.92096817493e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0.200000029483,0.200000029324,0.200000029486,0.200000029324,0.200000029483,0.995176792431,1.49581520822,0.9566283479,1.49581517257,0.995176741315,-1.0276721026,-1.0260992318,-1.02769763272,-1.02609923178,-1.02767210857,7.29693602569e-08,7.25766213317e-08,7.29774912851e-08,7.25766213205e-08,7.29693619787e-08,26.0128775181,0.010107105409,-0.00864979424035,0.0768555202609,25.937479309,2.56927812359e-12,2.30551780331e-21,1.74130215375e-05,1.47569894284e-09,3.45416148882e-09,-28.0793472635,-27.8300045211,-28.0871389853,-27.8300045238,-28.0793479328,-28.5704698612,-28.5704718632,0.819912352407,0.820656818116,0.819891013433,0.820656818108,0.819912350418,-28.1322576788,-27.9096607179,-28.1392754594,-27.9096607188,-28.1322583454,0.824763449485,0.825432607926,0.824744046712,0.825432607923,0.824763447491,1.01811752939e-07,1.0119097253e-07,1.01827041768e-07,1.0119097252e-07,1.01811755346e-07,-28.2449658864,-28.0790684576,-28.2476178839,-28.0790684544,-28.2449665472,0.941151895778,0.94164291959,0.941135384405,0.941642919585,0.94115189446
