time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-29.4556579364,-29.4528239902,-29.4520503629,-29.4528239848,-29.4556581801,-29.4600187971,-29.4600195555,0,0,0,0,0,1.26709412905,1.26709162491,1.26709094132,1.26709162491,1.26709412926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-29.4015837167,-29.371943573,-29.4012756198,-29.3719435682,-29.4015839614,-29.4599977864,-29.4599985445,1,1,0.624511558772,1,1,0.908568151135,0.908669215932,0.908569174659,0.908669215948,0.908568150317,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,3.62912985795e-10,3.62874523614e-10,3.62864023956e-10,3.6287452354e-10,3.62912989102e-10,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,8.62640802936e-10,8.62549378688e-10,8.62524421097e-10,8.62549378512e-10,8.62640810796e-10,2.99992609454,2.99992609454,2.99992609454,2.99992609454,2.99992609454,4.3682752385e-06,4.36752936695e-06,4.36833162266e-06,4.36752936692e-06,4.36827524071e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89031972423,0.000105909174087,-0.00107451461938,0.00299208080469,2.88635903798,-2.29980097466e-13,-2.70210127619e-21,1.74145970406e-05,1.82185054672e-11,4.21177859734e-10
0.05,0.00025,6.25e-06,0,-29.3476297277,-29.2912152033,-29.3503205038,-29.2912151993,-29.3476299735,-29.4599573837,-29.4599581416,1,1,0.624511558772,1,1,0.879589469637,0.879773608499,0.879581006198,0.879773608512,0.879589468844,1.83842373629e-09,1.8368586687e-09,1.83835443856e-09,1.83685866838e-09,1.83842375248e-09,1.83842373629e-09,1.8368586687e-09,1.83835443856e-09,1.83685866838e-09,1.83842375248e-09,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,4.36991617849e-09,4.36619602734e-09,4.36975145843e-09,4.36619602657e-09,4.36991621697e-09,2.99986201701,2.99986199444,2.9998620181,2.99986199444,2.99986201701,8.73556288609e-06,8.73356226737e-06,8.73572240924e-06,8.73356226733e-06,8.73556289053e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78063944846,0.000450576585416,-0.0020074249924,0.00625393155167,5.77282866851,8.00589629313e-13,-4.0271122686e-21,1.74142771779e-05,7.28740218687e-11,7.95696164344e-10
0.075,0.000375,1.40625e-05,0,-29.2937980214,-29.210641501,-29.2991905621,-29.2106414978,-29.2937982682,-29.4598976399,-29.4598983977,1,1,0.624511558772,1,1,0.862687555283,0.862952406723,0.862670975977,0.862952406733,0.862687554504,5.17092547066e-09,5.16285849927e-09,5.1711596653e-09,5.16285849848e-09,5.17092551559e-09,5.17092547066e-09,5.16285849927e-09,5.1711596653e-09,5.16285849848e-09,5.17092551559e-09,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,1.22912419079e-08,1.22720667917e-08,1.22917985864e-08,1.22720667898e-08,1.22912420147e-08,2.99979726392,2.99979721284,2.99979726702,2.99979721284,2.99979726392,1.31019610717e-05,1.30982441471e-05,1.31022564905e-05,1.3098244147e-05,1.31019610784e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6709591727,0.0010458196605,-0.00295156610039,0.00978494082763,8.65926848543,8.46767100882e-13,-5.33895454566e-22,1.74139906545e-05,1.63966549205e-10,1.1733120308e-09
0.1,0.0005,2.5e-05,0,-29.2400878741,-29.1302209619,-29.2478871832,-29.1302209594,-29.2400881219,-29.4598186058,-29.4598193634,1,1,0.624511558772,1,1,0.850728810685,0.851072807921,0.85070524159,0.851072807928,0.850728809915,1.10983375911e-08,1.1073285052e-08,1.1099665075e-08,1.10732850505e-08,1.1098337687e-08,1.10983375911e-08,1.1073285052e-08,1.1099665075e-08,1.10732850505e-08,1.1098337687e-08,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,2.63806455695e-08,2.63210959163e-08,2.63838009865e-08,2.63210959128e-08,2.63806457974e-08,2.99973269145,2.99973260253,2.99973269736,2.99973260253,2.99973269145,1.74674468284e-05,1.74615397668e-05,1.74679048964e-05,1.74615397668e-05,1.74674468373e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5612788969,0.00189827016128,-0.00389503681389,0.0135845008375,11.5456976294,5.5354332229e-13,-6.46392017873e-22,1.74137406913e-05,2.91496087475e-10,1.55080478354e-09
0.125,0.000625,3.90625e-05,0,-29.1864988196,-29.0499524735,-29.1964121225,-29.0499524717,-29.1864990685,-29.4597203317,-29.4597210891,1,1,0.624511558772,1,1,0.841477908774,0.841899865527,0.841448370236,0.841899865533,0.841477908009,2.03525479022e-08,2.0292513668e-08,2.03563495632e-08,2.02925136657e-08,2.03525480777e-08,2.03525479022e-08,2.0292513668e-08,2.03563495632e-08,2.02925136657e-08,2.03525480777e-08,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,4.837781769e-08,4.82351168719e-08,4.83868542031e-08,4.82351168664e-08,4.83778181071e-08,2.99966827265,2.99966813723,2.99966828205,2.99966813723,2.99966827265,2.18320233383e-05,2.1823452884e-05,2.18326631975e-05,2.1823452884e-05,2.18320233495e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4515986212,0.00301256647588,-0.0048386982156,0.0176520061172,14.4321204833,1.20392931735e-12,-2.82750185705e-21,1.74135270401e-05,4.55462636679e-10,1.92842250899e-09
0.15,0.00075,5.625e-05,0,-29.1330303943,-28.9698349366,-29.1447671223,-28.9698349355,-29.1330306442,-29.459602868,-29.4596036253,1,1,0.624511558772,1,1,0.833939293843,0.834438252268,0.833904743797,0.834438252271,0.833939293084,3.36594607246e-08,3.35369488173e-08,3.36677888091e-08,3.35369488141e-08,3.36594610147e-08,3.36594607246e-08,3.35369488173e-08,3.36677888091e-08,3.35369488141e-08,3.36594610147e-08,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,8.00082261103e-08,7.97170164423e-08,8.002802189e-08,7.97170164348e-08,8.00082267998e-08,2.99960404475,2.99960385423,2.99960405823,2.99960385423,2.99960404475,2.6195695272e-05,2.61839894604e-05,2.61965284365e-05,2.61839894604e-05,2.61956952855e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3419183454,0.00439227223029,-0.00578245553962,0.0219868535211,17.3185413086,1.32557159693e-12,-5.55177157366e-21,1.74133497184e-05,6.55866196818e-10,2.30614780039e-09
0.175,0.000875,7.65625e-05,0,-29.0796821478,-28.8898672811,-29.0929539279,-28.8898672807,-29.0796823988,-29.4594662648,-29.4594670219,1,1,0.624511558772,1,1,0.827581968686,0.828157123976,0.827543322145,0.828157123977,0.82758196793,5.1739045164e-08,5.15150886995e-08,5.17546595588e-08,5.15150886956e-08,5.17390456102e-08,5.1739045164e-08,5.15150886995e-08,5.17546595588e-08,5.15150886956e-08,5.17390456102e-08,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,1.2298323072e-07,1.2245088828e-07,1.23020345992e-07,1.22450888271e-07,1.22983231781e-07,2.99954003817,2.99953978406,2.99954005621,2.99953978406,2.99954003817,3.05584673422e-05,3.05431555054e-05,3.0559497782e-05,3.05431555054e-05,3.05584673581e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322380696,0.00604027603623,-0.00672628577801,0.0265884421546,20.2049636177,2.22708657072e-12,-4.60097709037e-21,1.7413208724e-05,8.92706767891e-10,2.68398275921e-09
0.2,0.001,0.0001,0,-29.0264536385,-28.8100484585,-29.0409742808,-28.8100484588,-29.0264538904,-29.459310572,-29.4593113289,1,1,0.624511558772,1,1,0.822089012455,0.82273966978,0.822047152089,0.822739669779,0.822089011702,7.53053828719e-08,7.49275889833e-08,7.53317442646e-08,7.49275889791e-08,7.53053835223e-08,7.53053828719e-08,7.49275889833e-08,7.53317442646e-08,7.49275889791e-08,7.53053835223e-08,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,1.79000196986e-07,1.78102184415e-07,1.79062857772e-07,1.78102184405e-07,1.79000198532e-07,2.99947628202,2.99947595594,2.99947630501,2.99947595594,2.99947628202,3.49203442445e-05,3.49009569871e-05,3.49215684708e-05,3.49009569873e-05,3.49203442626e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1225577939,0.00795900252901,-0.00767016001133,0.0314561733324,23.091390463,2.72738776008e-12,-7.74293992909e-21,1.74131040567e-05,1.1659843499e-09,3.0619276341e-09
0.225,0.001125,0.0001265625,0,-28.9733444307,-28.7303774389,-28.9888299154,-28.73037744,-28.9733446836,-29.4591358394,-29.4591365961,1,1,0.624511558772,1,1,0.817256028684,0.817981576221,0.81721181126,0.817981576218,0.817256027932,1.05066715353e-07,1.04467325745e-07,1.0510793612e-07,1.04467325742e-07,1.05066716262e-07,1.05066715353e-07,1.04467325745e-07,1.0510793612e-07,1.04467325742e-07,1.05066716262e-07,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,2.49742608398e-07,2.48317864857e-07,2.49840589778e-07,2.48317864848e-07,2.49742610559e-07,2.99941280378,2.99941239745,2.99941283198,2.99941239745,2.99941280378,3.92813306547e-05,3.92573998303e-05,3.92827378056e-05,3.92573998305e-05,3.92813306753e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0128775181,0.0101505376239,-0.00861404958352,0.0365894505466,25.9778245556,2.61952959324e-12,-4.6586812099e-23,1.74130357164e-05,1.47569894284e-09,3.43998255877e-09
0.25,0.00125,0.00015625,0,-28.920354094,-28.6508532084,-28.936522557,-28.6508532102,-28.920354348,-29.4589421164,-29.458942873,1,1,0.624511558772,1,1,0.812943473312,0.813743364229,0.81289773396,0.813743364224,0.812943472561,1.41725490821e-07,1.40819457618e-07,1.41786244476e-07,1.40819457615e-07,1.41725492051e-07,1.41725490821e-07,1.40819457618e-07,1.41786244476e-07,1.40819457615e-07,1.41725492051e-07,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,3.3688017785e-07,3.34726545324e-07,3.37024588723e-07,3.34726545318e-07,3.36880180772e-07,2.99934962936,2.99934913463,2.99934966298,2.99934913463,2.99934962936,4.36414312299e-05,4.36124899164e-05,4.36430031542e-05,4.36124899167e-05,4.36414312527e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9031972423,0.0126167090235,-0.0095579258052,0.0419876794418,28.8642683461,1.80568060504e-12,-3.41354277743e-21,1.74130037031e-05,1.82185054672e-09,3.81814749453e-09
0.275,0.001375,0.0001890625,0,-28.8674822018,-28.5714747679,-28.8840539209,-28.5714747704,-28.8674824568,-29.4587294527,-29.458730209,1,1,0.624511558772,1,1,0.809051826993,0.809925566802,0.809005382189,0.809925566795,0.809051826244,1.85978410606e-07,1.84661487154e-07,1.86063800633e-07,1.84661487154e-07,1.85978412224e-07,1.85978410606e-07,1.84661487154e-07,1.86063800633e-07,1.84661487154e-07,1.85978412224e-07,6.18384443583e-10,6.18346092414e-10,6.18335622047e-10,6.18346092383e-10,6.18384446899e-10,4.42068957943e-07,4.38938643104e-07,4.42271929244e-07,4.38938643104e-07,4.42068961787e-07,2.99928678326,2.99928619207,2.99928682238,2.99928619207,2.99928678326,4.80006506075e-05,4.79662330847e-05,4.80023619491e-05,4.7966233085e-05,4.80006506328e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7935169666,0.0153591410562,-0.010501760081,0.0476502677951,31.7507240797,1.51995083186e-12,-2.697799937e-21,1.74130080169e-05,2.20443916153e-09,4.19642228178e-09
