启动温度为-20℃,,,,,
时间 / s,电流 / A,电压 / V,单电池平均温度/℃,电流密度 / A·cm-2,电流密度 / A·m-2
0,2,0.799,-19.9953547791121,0.006,60
0.2,2.1,0.799,-19.9953547791121,0.006,60
0.4,2,0.8,-19.9939052077991,0.007,70
0.6,2,0.8,-19.992502715072,0.007,70
0.8,2.1,0.8,-19.991066017965,0.006,60
1,2,0.8,-19.9896333486865,0.006,60
1.2,2,0.8,-19.9882428989544,0.007,70
1.4,2.1,0.8,-19.9868180776747,0.007,70
1.6,1.8,0.8,-19.985473550325,0.007,70
1.8,2.2,0.8,-19.9840946143707,0.006,60
2,2,0.8,-19.9826430118958,0.007,70
2.2,2.1,0.8,-19.9812337391118,0.006,60
2.4,2,0.8,-19.9798283691447,0.006,60
2.6,2,0.8,-19.9784650696349,0.006,60
2.8,2,0.8,-19.9771055344316,0.006,60
3,2.2,0.8,-19.9756733431688,0.006,60
3.2,2.1,0.8,-19.9742068055476,0.006,60
3.4,2,0.8,-19.9728209222263,0.006,60
3.6,2.1,0.8,-19.9714388687345,0.006,60
3.8,2.1,0.8,-19.9700224187202,0.007,70
4,2,0.8,-19.9686481269663,0.006,60
4.2,1.9,0.8,-19.9673537812431,0.006,60
4.4,2,0.801,-19.9660629951806,0.006,60
4.6,2,0.801,-19.964737756968,0.007,70
4.8,2,0.801,-19.9634161918419,0.006,60
5,2,0.801,-19.9620982843207,0.007,70
5.2,2.2,0.801,-19.9607077658005,0.007,70
5.4,2,0.801,-19.9593211229018,0.007,70
5.6,1.9,0.801,-19.9580525390336,0.007,70
5.8,2,0.801,-19.9567874395764,0.006,60
6,2,0.802,-19.9554878688332,0.006,60
6.2,2.2,0.797,-19.9541157140788,0.005,50
6.4,3.7,0.765,-19.9520861857361,0.01,100
6.6,5.3,0.739,-19.9488011654811,0.015,150
6.8,6.8,0.718,-19.9442018461222,0.02,200
7,9.3,0.699,-19.93782503582,0.025,250
7.2,11,0.682,-19.9294963225799,0.032,320
7.4,11.7,0.667,-19.9200346948561,0.038,380
7.6,13.3,0.653,-19.9094720256139,0.04,400
7.8,14.9,0.64,-19.897330862705,0.046,460
8,16.4,0.628,-19.8836350928311,0.05,500
8.2,18.2,0.616,-19.8682541508126,0.056,560
8.4,19.6,0.606,-19.8512215782306,0.061,610
8.6,21.4,0.595,-19.8325221554474,0.066,660
8.8,23.8,0.586,-19.8115715300036,0.074,740
9,25.1,0.576,-19.7886399100623,0.078,780
9.2,26.7,0.568,-19.7641935453112,0.083,830
9.4,27.8,0.559,-19.7383556279195,0.09,900
9.6,29.4,0.551,-19.7111325575219,0.092,920
9.8,30.9,0.544,-19.6822898265502,0.097,970
10,32.7,0.538,-19.6517115275147,0.102,1020
10.2,34.1,0.531,-19.6194645915181,0.106,1060
10.4,35.9,0.525,-19.5855556675234,0.113,1130
10.6,37.4,0.52,-19.5499304519921,0.117,1170
10.8,39.6,0.513,-19.5123469549534,0.126,1260
11,40.5,0.511,-19.4731881161943,0.131,1310
11.2,41.9,0.507,-19.4329621612014,0.134,1340
11.4,43.8,0.504,-19.3910488519049,0.143,1430
11.6,45.4,0.501,-19.3473300657778,0.144,1440
11.8,47.1,0.498,-19.3019396153692,0.15,1500
12,48.3,0.495,-19.2551373840846,0.154,1540
12.2,50.9,0.493,-19.2063637815846,0.162,1620
12.4,52.2,0.49,-19.1555645282742,0.167,1670
12.6,53.9,0.489,-19.1033182463678,0.172,1720
12.8,55.7,0.487,-19.0493135425956,0.176,1760
13,56.5,0.486,-18.9941262143831,0.18,1800
13.2,58.3,0.485,-18.9377574074209,0.185,1850
13.4,59.7,0.485,-18.879828857805,0.189,1890
13.6,61.4,0.484,-18.8204059050561,0.195,1950
13.8,61.8,0.489,-18.7601828747876,0.199,1990
14,62.2,0.496,-18.7003224217948,0.2,2000
14.2,61.8,0.502,-18.6411501570276,0.201,2010
14.4,62.1,0.507,-18.5825330917902,0.2,2000
14.6,61.8,0.512,-18.5244667780002,0.199,1990
14.8,61.9,0.517,-18.4669961897243,0.199,1990
15,62.1,0.521,-18.4097608264111,0.2,2000
15.2,61.7,0.526,-18.3530378325231,0.2,2000
15.4,61.8,0.53,-18.2968607981815,0.199,1990
15.6,62,0.534,-18.2408500768948,0.199,1990
15.8,61.9,0.538,-18.185156048898,0.2,2000
16,62,0.54,-18.1297802088295,0.2,2000
16.2,62.1,0.545,-18.07458404113,0.201,2010
16.4,62,0.549,-18.0196740285984,0.2,2000
16.6,61.9,0.552,-17.9651575039938,0.199,1990
16.8,62.2,0.555,-17.9107954783297,0.2,2000
17,61.9,0.558,-17.8567000534508,0.2,2000
17.2,61.9,0.561,-17.8030414302596,0.2,2000
17.4,61.9,0.564,-17.7496455656364,0.2,2000
17.6,62,0.567,-17.6964564674006,0.2,2000
17.8,62,0.57,-17.6434773320284,0.2,2000
18,61.8,0.573,-17.5908835498837,0.199,1990
18.2,61.8,0.576,-17.538679352748,0.199,1990
18.4,61.8,0.579,-17.4867562797198,0.199,1990
18.6,62,0.581,-17.435007153861,0.2,2000
18.8,62,0.584,-17.3834382620672,0.199,1990
19,61.9,0.587,-17.3322242155644,0.2,2000
19.2,62,0.589,-17.2813135531451,0.2,2000
19.4,62,0.591,-17.2306589946743,0.2,2000
19.6,62.1,0.594,-17.1802653092875,0.2,2000
19.8,62,0.596,-17.1301908810118,0.2,2000
20,61.9,0.599,-17.0805443528141,0.199,1990
20.2,62,0.601,-17.0312068954266,0.2,2000
20.4,61.9,0.603,-16.9821706775262,0.2,2000
20.6,62,0.605,-16.9334243695405,0.2,2000
20.8,62.1,0.607,-16.8848441698689,0.2,2000
21,61.8,0.609,-16.836635370647,0.199,1990
21.2,62,0.611,-16.788728988147,0.2,2000
21.4,61.9,0.614,-16.741004635948,0.2,2000
21.6,61.9,0.616,-16.6935638366185,0.2,2000
21.8,62,0.618,-16.6462931275465,0.199,1990
22,61.9,0.619,-16.5992452104321,0.2,2000
22.2,62.1,0.621,-16.5523661575757,0.2,2000
22.4,61.8,0.623,-16.5057657032842,0.2,2000
22.6,61.9,0.625,-16.459499538498,0.199,1990
22.8,61.8,0.627,-16.4134621978536,0.199,1990
23,61.9,0.629,-16.3676541343872,0.201,2010
23.2,61.8,0.63,-16.3220759105454,0.199,1990
23.4,62.1,0.632,-16.2766226768509,0.2,2000
23.6,61.9,0.634,-16.2313497340608,0.2,2000
23.8,61.7,0.635,-16.1865241631253,0.199,1990
24,62.1,0.637,-16.1418277666211,0.2,2000
24.2,62.8,0.636,-16.0967852311446,0.199,1990
24.4,64.2,0.633,-16.0508682326829,0.205,2050
24.6,65.7,0.63,-16.003652599772,0.21,2100
24.8,67.5,0.628,-15.954924907593,0.215,2150
25,70,0.626,-15.9041485054811,0.223,2230
25.2,71.4,0.624,-15.85153635345,0.228,2280
25.4,72.1,0.622,-15.7980596470316,0.233,2330
25.6,73.8,0.621,-15.7435587577437,0.235,2350
25.8,75.4,0.619,-15.6875525748034,0.241,2410
26,77,0.618,-15.6300999784535,0.245,2450
26.2,78.7,0.617,-15.571151876878,0.251,2510
26.4,80,0.616,-15.510876700356,0.256,2560
26.6,82,0.614,-15.4491178623264,0.262,2620
26.8,84.2,0.614,-15.385393061507,0.267,2670
27,86,0.613,-15.319818389165,0.275,2750
27.2,87.4,0.612,-15.2528373209109,0.279,2790
27.4,88,0.611,-15.185111268293,0.284,2840
27.6,89.8,0.611,-15.1164297314632,0.287,2870
27.8,91.5,0.61,-15.0462048026215,0.292,2920
28,92.9,0.611,-14.9746642060939,0.297,2970
28.2,92.9,0.613,-14.9027369568893,0.3,3000
28.4,92.9,0.616,-14.831182629642,0.3,3000
28.6,92.7,0.618,-14.7601095009262,0.299,2990
28.8,92.8,0.621,-14.6894646887449,0.3,3000
29,92.8,0.623,-14.6191413134848,0.299,2990
29.2,92.8,0.625,-14.5491931186382,0.299,2990
29.4,93,0.627,-14.4795119052527,0.3,3000
29.6,92.3,0.629,-14.4104686112941,0.299,2990
29.8,93,0.631,-14.3417932806758,0.299,2990
30,92.7,0.633,-14.2732706016666,0.299,2990
30.2,92.9,0.634,-14.2051619299249,0.299,2990
30.4,92.9,0.636,-14.137304368696,0.299,2990
30.6,92.7,0.638,-14.0699049965948,0.299,2990
30.8,92.7,0.64,-14.0029588016267,0.299,2990
31,92.7,0.641,-13.9363558826567,0.299,2990
31.2,92.9,0.643,-13.8699869366413,0.299,2990
31.4,92.9,0.644,-13.8038476928033,0.3,3000
31.6,93,0.646,-13.7379858828126,0.299,2990
31.8,92.8,0.647,-13.6725009946981,0.3,3000
32,92.8,0.648,-13.6074399128289,0.299,2990
32.2,92.7,0.65,-13.5427454678577,0.3,3000
32.4,92.9,0.651,-13.4783090102148,0.299,2990
32.6,92.9,0.652,-13.4140741989528,0.3,3000
32.8,92.8,0.654,-13.3501915977414,0.3,3000
33,92.9,0.655,-13.2866042833791,0.3,3000
33.2,92.7,0.656,-13.2233588964154,0.3,3000
33.4,92.9,0.657,-13.1603988969644,0.3,3000
33.6,92.9,0.658,-13.0976166336497,0.299,2990
33.8,93.1,0.66,-13.035007611381,0.3,3000
