启动温度为-25℃,,,,,
时间/s,电流/A,电压 /V,单电池平均温度/℃,电流密度/A cm-2,电流密度/A m-2
0,2,0.799,-24.9954164846888,0.0066006600660066,66.006600660066
0.2,2.1,0.799,-24.9954164846888,0.00693069306930693,69.3069306930693
0.4,2,0.799,-24.9939652961073,0.0066006600660066,66.006600660066
0.6,2,0.799,-24.9925613010652,0.0066006600660066,66.006600660066
0.8,2.1,0.799,-24.9911229816268,0.00693069306930693,69.3069306930693
1,2,0.8,-24.9896887304606,0.0066006600660066,66.006600660066
1.2,2,0.799,-24.9882968823982,0.0066006600660066,66.006600660066
1.4,2.1,0.8,-24.9868705327381,0.00693069306930693,69.3069306930693
1.6,1.8,0.8,-24.985524800531,0.00594059405940594,59.4059405940594
1.8,2.2,0.8,-24.9841445358099,0.00726072607260726,72.6072607260726
2,2,0.8,-24.9826913133056,0.0066006600660066,66.006600660066
2.2,2.1,0.8,-24.9812806025465,0.00693069306930693,69.3069306930693
2.4,2,0.8,-24.9798738175426,0.0066006600660066,66.006600660066
2.6,2,0.8,-24.9785092749632,0.0066006600660066,66.006600660066
2.8,2,0.8,-24.9771485174843,0.0066006600660066,66.006600660066
3,2.2,0.8,-24.9757148215872,0.00726072607260726,72.6072607260726
3.2,2.1,0.8,-24.9742466427357,0.00693069306930693,69.3069306930693
3.4,2,0.8,-24.9728594600344,0.0066006600660066,66.006600660066
3.6,2.1,0.8,-24.9714761302039,0.00693069306930693,69.3069306930693
3.8,2.1,0.8,-24.9700582752618,0.00693069306930693,69.3069306930693
4,2,0.8,-24.9686827526186,0.0066006600660066,66.006600660066
4.2,1.9,0.8,-24.9673874768015,0.00627062706270627,62.7062706270627
4.4,2,0.8,-24.9660957798237,0.0066006600660066,66.006600660066
4.6,2,0.801,-24.9647695179154,0.0066006600660066,66.006600660066
4.8,2,0.8,-24.9634469494401,0.0066006600660066,66.006600660066
5,2,0.8,-24.9621280589219,0.0066006600660066,66.006600660066
5.2,2.2,0.801,-24.9607362991643,0.00726072607260726,72.6072607260726
5.4,2,0.801,-24.9593484385975,0.0066006600660066,66.006600660066
5.6,1.9,0.801,-24.9580790687409,0.00627062706270627,62.7062706270627
5.8,2,0.801,-24.9568132021896,0.0066006600660066,66.006600660066
6,2,0.802,-24.9555127513403,0.0066006600660066,66.006600660066
6.2,2.2,0.797,-24.9541394625192,0.00726072607260726,72.6072607260726
6.4,3.7,0.765,-24.9521054808169,0.0122112211221122,122.112211221122
6.6,5.3,0.739,-24.9488051436863,0.0174917491749175,174.917491749175
6.8,6.8,0.717,-24.9441735627157,0.0224422442244224,224.422442244224
7,9.3,0.698,-24.9377337624151,0.0306930693069307,306.930693069307
7.2,11,0.682,-24.9292996921439,0.0363036303630363,363.036303630363
7.4,11.7,0.666,-24.9197055043265,0.0386138613861386,386.138613861386
7.6,13.3,0.652,-24.9089823155497,0.0438943894389439,438.943894389439
7.8,14.9,0.64,-24.8966369295883,0.0491749174917492,491.749174917492
