case,seed,initial_shift_K,first_success_s,stop_s,remaining_s_after_first,final_min_T_C,reason
case1,1000,-1.0,95.9092223525,-1,0.7574443141666762,0.0320276849675,first_success_leaves_less_than_2s_hold
case1,1001,-1.0,94.7536019087,-1,1.9130647579666658,-0.223501225682,first_success_leaves_less_than_2s_hold
case1,1002,-1.0,94.8728815138,-1,1.7937851528666755,-0.299748914184,first_success_leaves_less_than_2s_hold
case1,1003,-1.0,95.2519037187,-1,1.4147629479666648,-0.0248081240339,first_success_leaves_less_than_2s_hold
case1,1004,-1.0,94.9620606899,-1,1.704605976766672,-0.331480983182,first_success_leaves_less_than_2s_hold
case1,1005,-1.0,94.5655109107,-1,2.1011557559666727,-0.101264845694,success_hold_interrupted_before_budget_deadline
case1,1006,-1.0,95.1961140156,-1,1.4705526510666687,-0.176248642607,first_success_leaves_less_than_2s_hold
case1,1007,-1.0,95.6637043893,-1,1.0029622773666773,-0.0499341252764,first_success_leaves_less_than_2s_hold
case1,1008,-1.0,95.4467111468,-1,1.219955519866673,-0.335454883404,first_success_leaves_less_than_2s_hold
case1,1009,-1.0,95.2830064416,-1,1.3836602250666772,-0.0644564289691,first_success_leaves_less_than_2s_hold
case1,1000,0.0,95.8199105501,-1,0.8467561165666666,0.0374433713945,first_success_leaves_less_than_2s_hold
case1,1001,0.0,94.735993439,-1,1.9306732276666736,-0.214933389653,first_success_leaves_less_than_2s_hold
case1,1002,0.0,94.8219852984,-1,1.8446813682666772,-0.274823191319,first_success_leaves_less_than_2s_hold
case1,1003,0.0,95.2685848594,-1,1.3980818072666779,-0.0247857313481,first_success_leaves_less_than_2s_hold
case1,1004,0.0,94.9291033328,-1,1.7375633338666745,-0.318477965894,first_success_leaves_less_than_2s_hold
case1,1005,0.0,94.4583488226,-1,2.20831784406667,-0.0933300640314,success_hold_interrupted_before_budget_deadline
case1,1006,0.0,95.2277616858,-1,1.438904980866667,-0.168029315144,first_success_leaves_less_than_2s_hold
case1,1007,0.0,94.8209746242,-1,1.8456920424666663,-0.0396412478862,first_success_leaves_less_than_2s_hold
case1,1008,0.0,95.4672745347,-1,1.1993921319666754,-0.323555819889,first_success_leaves_less_than_2s_hold
case1,1009,0.0,95.2954740524,-1,1.3711926142666755,-0.0617086917515,first_success_leaves_less_than_2s_hold
case1,1000,1.0,95.7445426583,-1,0.9221240083666657,0.0425424067329,first_success_leaves_less_than_2s_hold
case1,1001,1.0,94.7723823011,-1,1.8942843655666763,-0.205720064507,first_success_leaves_less_than_2s_hold
case1,1002,1.0,94.7669039905,-1,1.8997626761666737,-0.243735343313,first_success_leaves_less_than_2s_hold
case1,1003,1.0,95.2790683568,-1,1.387598309866675,-0.0238431554147,first_success_leaves_less_than_2s_hold
case1,1004,1.0,94.8879600704,-1,1.778706596266673,-0.298382946779,first_success_leaves_less_than_2s_hold
case1,1005,1.0,94.3924406588,-1,2.274226007866673,-0.0848615984131,success_hold_interrupted_before_budget_deadline
case1,1006,1.0,95.2584814489,-1,1.4081852177666718,-0.159026508734,first_success_leaves_less_than_2s_hold
case1,1007,1.0,94.7693825543,-1,1.8972841123666768,-0.029333739688,first_success_leaves_less_than_2s_hold
case1,1008,1.0,95.481971395,-1,1.1846952716666692,-0.311479318675,first_success_leaves_less_than_2s_hold
case1,1009,1.0,95.3026609361,-1,1.3640057305666744,-0.0572525169016,first_success_leaves_less_than_2s_hold
case3,1000,-1.0,95.3239994466,-1,1.342667220066673,0.272399182152,first_success_leaves_less_than_2s_hold
case3,1001,-1.0,95.4844505966,-1,1.1822160700666728,0.302827213671,first_success_leaves_less_than_2s_hold
case3,1002,-1.0,95.741575104,-1,0.9250915626666654,0.237709274126,first_success_leaves_less_than_2s_hold
case3,1003,-1.0,95.4227572143,-1,1.2439094523666654,0.338467310702,first_success_leaves_less_than_2s_hold
case3,1004,-1.0,95.2888631105,-1,1.3778035561666684,0.359140580976,first_success_leaves_less_than_2s_hold
case3,1005,-1.0,95.2801405609,-1,1.3865261057666771,0.298982088678,first_success_leaves_less_than_2s_hold
case3,1006,-1.0,95.6009951174,-1,1.0656715492666677,0.288681463045,first_success_leaves_less_than_2s_hold
case3,1007,-1.0,95.2527309358,-1,1.413935730866669,0.327346071986,first_success_leaves_less_than_2s_hold
case3,1008,-1.0,95.4327919245,-1,1.2338747421666767,0.337606628739,first_success_leaves_less_than_2s_hold
case3,1009,-1.0,95.4501604974,-1,1.2165061692666654,0.330053605773,first_success_leaves_less_than_2s_hold
case3,1001,0.0,95.0554391325,-1,1.611227534166673,0.415507469621,first_success_leaves_less_than_2s_hold
case3,1002,0.0,95.2179197252,-1,1.4487469414666663,0.349682566118,first_success_leaves_less_than_2s_hold
case3,1003,0.0,94.9652524412,-1,1.701414225466678,0.450432371825,first_success_leaves_less_than_2s_hold
case3,1004,0.0,94.7502502441,-1,1.9164164225666696,0.473885678818,first_success_leaves_less_than_2s_hold
case3,1005,0.0,94.7096725523,-1,1.9569941143666654,0.411756123326,first_success_leaves_less_than_2s_hold
case3,1006,0.0,95.1328533173,-1,1.5338133493666675,0.40065544235,first_success_leaves_less_than_2s_hold
case3,1008,0.0,95.0169540942,-1,1.6497125724666688,0.45006557361,first_success_leaves_less_than_2s_hold
case3,1009,0.0,95.0022069752,-1,1.664459691466675,0.443763983486,first_success_leaves_less_than_2s_hold
