file,rows,columns,bytes
data\constant_scan.csv,19,32,8290
data\controller_state_duration.csv,225,5,5984
data\coupled_convergence.csv,9,35,4395
data\csv_inventory.csv,80,4,3697
data\delivery_validation.csv,24,3,1305
data\final_fields_case1_constant_first.csv,290,8,24450
data\final_fields_case1_constant_hold.csv,290,8,23787
data\final_fields_case1_dynamic.csv,290,8,24536
data\final_fields_case2_constant_first.csv,290,8,23172
data\final_fields_case2_constant_hold.csv,290,8,22851
data\final_fields_case2_dynamic.csv,290,8,24572
data\final_fields_case3_constant_first.csv,290,8,23575
data\final_fields_case3_constant_hold.csv,290,8,23601
data\final_fields_case3_dynamic.csv,290,8,24387
data\guarded_design_search.csv,27,49,15344
data\guarded_parameters.csv,3,14,393
data\guarded_results.csv,3,32,1697
data\guarded_robustness.csv,90,35,38428
data\independent_export_validation.csv,1851,5,241971
data\initial_temperature_cases.csv,3,21,1243
data\main_results.csv,9,32,4219
data\model_validation.csv,13,4,671
data\optimization_search.csv,3679,46,1989102
data\optimization_search_case1.csv,2231,46,1208367
data\optimization_search_case2.csv,1,46,1022
data\optimization_search_case3.csv,1447,46,780837
data\optimized_parameters.csv,3,14,406
data\per_cell_heater_energy.csv,45,7,2730
data\precooling_convergence.csv,24,8,2494
data\precooling_energy_balance.csv,19,8,2959
data\precooling_fields.csv,2774,10,239287
data\precooling_layers.csv,33,11,3052
data\precooling_node_capacities.csv,7,3,273
data\precooling_nodes.csv,19,20,7474
data\precooling_sensitivity.csv,40,24,19643
data\precooling_slow_modes.csv,10,4,704
data\precooling_validation.csv,11,6,1120
data\robustness.csv,90,35,37174
data\run_environment.csv,1,8,219
data\sensitivity.csv,48,33,20333
data\source_manifest.csv,50,3,4860
data\startup_convergence.csv,27,34,11799
data\trajectory_case1_constant_first.csv,3432,91,3361877
data\trajectory_case1_constant_hold.csv,3513,91,3445272
data\trajectory_case1_dynamic.csv,6268,91,7870825
data\trajectory_case1_guarded.csv,6114,91,7674959
data\trajectory_case2_constant_first.csv,2627,91,2602571
data\trajectory_case2_constant_hold.csv,2708,91,2682440
data\trajectory_case2_dynamic.csv,5871,91,7272114
data\trajectory_case2_guarded.csv,5871,91,7272114
data\trajectory_case3_constant_first.csv,3084,91,3038768
data\trajectory_case3_constant_hold.csv,3165,91,3119000
data\trajectory_case3_dynamic.csv,6269,91,7897709
data\trajectory_case3_guarded.csv,6193,91,7791841
data\trajectory_data_dictionary.csv,91,3,5872
data\trajectory_scan_010min.csv,1,91,1655
data\trajectory_scan_015min.csv,76,91,76339
data\trajectory_scan_020min.csv,226,91,224955
data\trajectory_scan_025min.csv,366,91,362757
data\trajectory_scan_030min.csv,490,91,484469
data\trajectory_scan_035min.csv,596,91,586723
data\trajectory_scan_040min.csv,683,91,671039
data\trajectory_scan_045min.csv,754,91,739513
data\trajectory_scan_050min.csv,812,91,794725
data\trajectory_scan_055min.csv,858,91,837966
data\trajectory_scan_060min.csv,894,91,872016
data\trajectory_scan_065min.csv,923,91,899059
data\trajectory_scan_070min.csv,946,91,920966
data\trajectory_scan_075min.csv,964,91,938131
data\trajectory_scan_080min.csv,979,91,951964
data\trajectory_scan_085min.csv,990,91,962432
data\trajectory_scan_090min.csv,999,91,970994
data\trajectory_scan_095min.csv,1006,91,977672
data\trajectory_scan_100min.csv,1011,91,982337
data\表4_问题四完整结果.csv,6,11,1435
inputs\parameter_inventory.csv,35,4,1728
inputs\q3_constant_power.csv,5,2,67
inputs\source_files.csv,2,3,458
inputs\附件1_参数清单.csv,61,5,5150
inputs\附件2_-20℃.csv,186,6,8069
inputs\附件2_-25℃.csv,186,6,12975
