cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,4.6875,156.639688659,-0.373036041293,1.40602725743e-07,0,0,0
1,14.0625,156.639688659,-0.373036041293,4.21808178246e-07,0,0,0
1,23.4375,156.639688659,-0.373036041293,7.03013633798e-07,0,0,0
1,32.8125,156.639688659,-0.373036041293,9.84219094434e-07,0,0,0
1,42.1875,156.639688659,-0.373036041293,1.26542456218e-06,0,0,0
1,51.5625,156.639688659,-0.373036041293,1.54663003909e-06,0,0,0
1,60.9375,156.639688659,-0.373036041293,1.82783552717e-06,0,0,0
1,70.3125,156.639688659,-0.373036041293,2.10904102846e-06,0,0,0
1,79.6875,156.639688659,-0.373036041293,2.39024654501e-06,0,0,0
1,89.0625,156.639688659,-0.373036041293,2.67145207884e-06,0,0,0
1,98.4375,156.639688659,-0.373036041293,2.95265763198e-06,0,0,0
1,107.8125,156.639688659,-0.373036041293,3.23386320647e-06,0,0,0
1,117.1875,156.639688659,-0.373036041293,3.51506880434e-06,0,0,0
1,126.5625,156.639688659,-0.373036041293,3.79627442762e-06,0,0,0
1,135.9375,156.639688659,-0.373036041293,4.07748007835e-06,0,0,0
1,145.3125,156.639688659,-0.373036041293,4.35868575857e-06,0,0,0
1,150.283333333,156.639688659,-0.373036041293,2.21454892088e-06,0,0,0
1,150.85,156.639688659,-0.373036041293,2.2388432092e-06,0,0,0
1,151.416666667,156.639688659,-0.373036041293,2.26313749761e-06,0,0,0
1,151.983333333,156.639688659,-0.373036041293,2.2874317861e-06,0,0,0
1,152.55,156.639688659,-0.373036041293,2.31172607467e-06,0,0,0
1,153.116666667,156.639688659,-0.373036041293,2.33602036334e-06,0,0,0
1,153.9,156.639688659,-0.373036041293,0,342.505807167,184.293494205,0.20031901544
1,154.9,156.639688659,-0.373036041293,0,353.64847311,204.189459676,0.221945064865
1,155.9,156.639688659,-0.373036041293,0,365.186833003,225.365891622,0.244962925676
1,156.9,156.639688659,-0.373036041293,0,377.178774002,247.954313456,0.269515558105
1,157.9,156.639688659,-0.373036041293,0,389.629754134,272.010138452,0.295663193969
1,158.9,156.639688659,-0.373036041293,0,402.543716456,297.606062556,0.323484850605
1,159.9,156.639688659,-0.373036041293,0,415.923207633,324.841176757,0.353088235605
