cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,4.6875,79.0368783891,-4.08638712597,9.54413090406e-08,0,0,0
1,14.0625,79.0368783891,-4.08638712597,2.86323926498e-07,0,0,0
1,23.4375,79.0368783891,-4.08638712597,4.77206542085e-07,0,0,0
1,32.8125,79.0368783891,-4.08638712597,6.68089154552e-07,0,0,0
1,42.1875,79.0368783891,-4.08638712597,8.58971762652e-07,0,0,0
1,51.5625,79.0368783891,-4.08638712597,1.04985436513e-06,0,0,0
1,60.9375,79.0368783891,-4.08638712597,1.24073696074e-06,0,0,0
1,70.3125,79.0368783891,-4.08638712597,1.43161954823e-06,0,0,0
1,79.6875,79.0368783891,-4.08638712597,1.62250212634e-06,0,0,0
1,89.0625,79.0368783891,-4.08638712597,1.81338469381e-06,0,0,0
1,98.4375,79.0368783891,-4.08638712597,2.00426724937e-06,0,0,0
1,107.8125,79.0368783891,-4.08638712597,2.19514979177e-06,0,0,0
1,117.1875,79.0368783891,-4.08638712597,2.38603231973e-06,0,0,0
1,126.5625,79.0368783891,-4.08638712597,2.57691483198e-06,0,0,0
1,135.9375,79.0368783891,-4.08638712597,2.76779732724e-06,0,0,0
1,145.3125,79.0368783891,-4.08638712597,2.95867980422e-06,0,0,0
1,150.283333333,79.0368783891,-4.08638712597,1.50323772792e-06,0,0,0
1,150.85,79.0368783891,-4.08638712597,1.51972869248e-06,0,0,0
1,151.416666667,79.0368783891,-4.08638712597,1.53621965699e-06,0,0,0
1,151.983333333,79.0368783891,-4.08638712597,1.55271062144e-06,0,0,0
1,152.55,79.0368783891,-4.08638712597,1.56920158584e-06,0,0,0
1,153.116666667,79.0368783891,-4.08638712597,1.58569255018e-06,0,0,0
1,153.9,79.0368783891,-4.08638712597,0,228.512116466,81.3564401192,0.0884309131731
1,154.9,79.0368783891,-4.08638712597,0,236.059921053,87.1914487997,0.0947733139127
1,155.9,79.0368783891,-4.08638712597,0,244.000924632,93.2997830013,0.10141280761
1,156.9,79.0368783891,-4.08638712597,0,252.38130075,99.7377147119,0.10841055947
1,157.9,79.0368783891,-4.08638712597,0,261.229407477,106.529421462,0.115792849415
1,158.9,79.0368783891,-4.08638712597,0,270.573596327,113.701283601,0.12358835174
1,159.9,79.0368783891,-4.08638712597,0,280.442765874,121.283764124,0.131830178396
1,160.9,79.0368783891,-4.08638712597,0,290.86687885,129.315293485,0.140560101614
1,161.9,79.0368783891,-4.08638712597,0,301.87897282,137.805547174,0.149788638233
1,162.9,79.0368783891,-4.08638712597,0,313.523206674,146.772661367,0.159535501486
1,163.9,79.0368783891,-4.08638712597,0,325.885083464,156.247304601,0.16983402674
1,164.9,79.0368783891,-4.08638712597,0,339.911388687,167.923640982,0.18252569672
