case,candidate,training_passed,training_count,all_training_passed,training_max_stop_s,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,0,0,6,False,96.6388940334,0.342680400302,95.8006970252,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,94.6388940334,96.6388940334,96.6388940334,2829.19245283,2245.02193273,17.4181104069,296.276857878,4795.35563809,4.09272615798e-11,2.52532370015e-17,0.551545693018,0.347248218713,6.60583624735,0.0427615015571,6.54109164425,-13.416221531,0.278162713072,0.0125148191704,0.433049138717,0,3.55502294269e-10,0.922739072686,19.39166821,0.0427615015571,0.577662955886,0.347059117298,0,2753.6492468,2.52532370015e-17,True
case1,1,6,6,True,93.5971782327,1,93.8846830847,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,90.7849565268,92.7849565268,92.7849565268,2868.42603689,2109.84377032,15.930770449,284.838540941,4709.36203672,4.50199877378e-11,1.7870362308e-17,0.555046456193,0.320117419066,6.40180062435,0.662021839662,6.5521088434,-13.929483882,0.285865950652,0.0123087283796,0.433085516812,0,3.60663499066e-10,0.971417411373,18.235486958,0.662021839662,0.582125970236,0.319361080552,0,2771.90661561,1.7870362308e-17,True
case1,2,6,6,True,91.252636075,2,93.8846830847,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,87.9617056251,89.9617056251,89.9617056251,2882.20976036,2011.15558417,14.903147732,276.417269566,4631.8512227,7.11111169949e-11,1.36837156189e-17,0.557802259885,0.300576562043,6.24165359557,0.686288137116,6.53736030397,-14.322366767,0.291420557665,0.012172908004,0.433085516812,0,3.64637209316e-10,1,17.3885116875,0.686288137116,0.584288377542,0.299840519233,0,2782.89671971,1.36837156189e-17,True
case1,3,6,6,True,89.0677882194,3,93.8846830847,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,85.3492289424,87.3492289424,87.3492289424,2892.76026698,1920.01283386,13.966342858,268.734615624,4558.00482808,3.23439053318e-11,9.49490052554e-18,0.56054657234,0.282554397107,6.08233132615,0.648099415425,6.51770514681,-14.6884873217,0.296590767698,0.0120522371136,0.433085516812,0,4.13445278014e-10,1,16.6047686827,0.648099415425,0.586113151507,0.281894502927,0,2792.76026698,9.49490052554e-18,True
case1,4,6,6,True,91.2109747648,1,91.0106621739,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,88.0201589942,90.0201589942,90.0201589942,2881.99035634,2013.19426739,14.9232466201,276.594543713,4633.51332664,2.4897417461e-11,1.40431286391e-17,0.557744141944,0.300969779391,6.24475958635,0.685683414191,6.53818433888,-14.3139792216,0.291315235832,0.0121756923008,0.433085516812,0,3.64548391474e-10,1,17.4060476983,0.685683414191,0.584245604392,0.300233425307,0,2782.74209829,1.40805336141e-17,True
case1,5,6,6,True,88.9718611717,2,91.0106621739,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,85.3234083533,87.3234083533,87.3234083533,2892.89758116,1919.11165759,13.9564695388,268.661560065,4557.30414822,1.15960574476e-11,8.43265344705e-18,0.560575129308,0.282370366512,6.08036957515,0.647640855138,6.51779355371,-14.6919765365,0.29666694027,0.0120507466036,0.433085516812,0,3.68553632057e-10,1,16.597022506,0.647640855138,0.586131508325,0.281711215208,0,2792.89758116,8.44295336769e-18,True
case1,6,6,6,True,86.7637077093,3,91.0106621739,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,83.030037868,85.030037868,85.030037868,2910.06776216,1838.85960689,13.0194442594,262.62616882,4499.32064449,5.63318280911e-11,5.8438497097e-18,0.563394313654,0.265333345072,5.92975892971,0.616380280691,6.5461392104,-14.9835193977,0.301396133291,0.0119454795206,0.433085516812,0,3.72467834353e-10,1,15.9090113604,0.616380280691,0.587910940704,0.264746485442,0,2810.06776216,5.88125468465e-18,True
case1,7,6,6,True,87.2362205386,1,86.2206273227,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,83.6312785149,85.6312785149,85.6312785149,2904.7880877,1859.92322636,13.2753029765,264.139911952,4513.84670508,2.06910044653e-11,5.67661152459e-18,0.562611788255,0.269905745635,5.96151179796,0.622920540303,6.5350217835,-14.9099433751,0.300142172061,0.0119730740827,0.433085516812,0,3.71376263075e-10,1,16.0893835545,0.622920540303,0.587425335507,0.269301884431,0,2804.7880877,5.67661152459e-18,True
case1,8,6,6,True,85.0905175447,2,86.2206273227,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,81.4537133932,83.4537133932,83.4537133932,2925.66393771,1783.59577259,12.3294389548,258.829641208,4462.75950805,5.15569809068e-11,5.47386571834e-18,0.565578480789,0.253135959938,5.97875204506,0.602894388284,6.58164643334,-15.1697566015,0.304702661252,0.0118735991577,0.433085516812,0,3.75442343881e-10,1,15.436114018,0.602894388284,0.589220514265,0.25258947715,0,2825.66393771,5.47386571834e-18,True
case1,9,6,6,True,83.537351954,3,86.2206273227,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,79.5377108455,81.5377108455,81.5377108455,2947.74984716,1716.34469423,11.4593890361,254.551798439,4421.00213198,3.45039552485e-11,4.11427619404e-18,0.568532862047,0.237984383536,6.03840897838,0.592194749393,6.63060372777,-15.3837386956,0.30888004828,0.0117868065219,0.433085516812,0,3.79419606844e-10,1,14.8613132536,0.592194749393,0.590870164392,0.237480379219,0,2847.74984716,5.26081999144e-18,True
