case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,3000,0.2,0.005,-1,91.5282474041,93.5282474041,93.5282474041,3013.66366781,2138.32265868,16.4418017422,279.68997169,4888.73815655,4.90729235025e-10,7.19368141444e-18,0.551190615633,0.32712730285,6.55014869223,0.661425543369,6.45037178458,-14.2482802446,0.282479759959,0.0123590599409,0.423858397741,0,4.36903846435e-11,1,18.4584742212,0.661425543369,0.58008264444,0.326336011456,0,2913.81961513,1.33519497542e-17,True
case1,3001,0.2,0.005,-1,91.4467236102,93.4467236102,93.4467236102,3015.62095689,2135.65269507,16.4239775721,279.248382916,4888.44924662,4.5457682063e-10,8.59609692455e-18,0.551274724626,0.326706401859,6.33407407582,0.665298675292,6.49676678358,-14.2608724854,0.2826202687,0.0123552208275,0.423858397741,0,4.34488001133e-11,1,18.434017083,0.665298675292,0.580141928534,0.325910836712,0,2915.62660772,1.40095183718e-17,True
case1,3002,0.2,0.005,-1,91.4561872602,93.4561872602,93.4561872602,3011.31232818,2136.20529502,16.4459877643,279.114600329,4884.84901063,4.88398654852e-10,7.82739758426e-18,0.551275105144,0.326895532356,6.42093970593,0.544694115738,6.49886192184,-14.2634532434,0.282551509831,0.0123594001346,0.423846912237,0,8.95880702956e-10,1,18.436856178,0.544694115738,0.579936646196,0.326042547686,0,2914.22065748,1.3527048405e-17,True
case1,3003,0.2,0.005,-1,91.4041722715,93.4041722715,93.4041722715,3013.27374904,2134.46079421,16.4310609279,278.983080546,4885.18252364,4.6054537961e-10,8.68771200813e-18,0.551027308626,0.326781694203,6.44416864987,0.659264886041,6.49217178406,-14.2574401381,0.282622546219,0.0123538582479,0.423849483258,0,5.03025177068e-10,1,18.4212516814,0.659264886041,0.580091082538,0.325994007798,0,2913.51555256,1.35942689397e-17,True
case1,3004,0.2,0.005,-1,91.6578165591,93.6578165591,93.6578165591,3020.44438448,2142.62277349,16.3925503207,280.402529054,4899.05717924,5.21595211467e-10,8.31420435971e-18,0.550767044513,0.326977032513,6.60695424098,0.64537414892,6.53149469782,-14.2016415545,0.282312624586,0.012364114578,0.423858397741,0,4.49320580742e-11,1,18.4973449677,0.64537414892,0.580184790618,0.326158233252,0,2922.67572185,1.38647773817e-17,True
case1,3005,0.2,0.005,-1,91.46760993,93.46760993,93.46760993,3014.79549374,2136.31765314,16.4212108133,279.472291682,4888.06206601,4.90160800837e-10,8.88883151112e-18,0.5510881055,0.327553439963,6.56466459475,0.472988047135,6.49380186073,-14.2294125977,0.282553872021,0.0123610538548,0.423858397741,0,4.4453329906e-11,1,18.440282979,0.472988047135,0.579585265683,0.326803578209,0,2917.04395968,1.37140732798e-17,True
case1,3006,0.2,0.005,-1,91.4386765599,93.4386765599,93.4386765599,3012.23822131,2135.4120679,16.4133785147,279.32227793,4884.74138979,4.32919478044e-10,9.12301918038e-18,0.551317235364,0.326539271027,6.54100751144,0.471507220907,6.49143221119,-14.2632463733,0.282576581797,0.012358660715,0.423850363438,0,4.45998793452e-11,1,18.431602968,0.471507220907,0.579779941843,0.325745646889,0,2916.41155398,1.40149393826e-17,True
case1,3007,0.2,0.005,-1,91.5690263748,93.5690263748,93.5690263748,3017.29443104,2139.57950513,16.3684372993,280.042158097,4893.20021538,4.88967089041e-10,8.32450428034e-18,0.551109935971,0.32687599118,6.59591859865,0.552291034699,6.50232487886,-14.2281399799,0.282474560479,0.0123628542,0.423849609356,0,4.35855795899e-11,1,18.4707079124,0.552291034699,0.579929581562,0.325915658395,0,2920.0448899,1.38533932589e-17,True
case1,3008,0.2,0.005,-1,91.5113448739,93.5113448739,93.5113448739,3014.61423934,2137.65583068,16.397397889,279.589388827,4889.07807908,4.92775598104e-10,7.30210163169e-18,0.551859139265,0.326676256135,6.3352962804,0.50250449278,6.5053804839,-14.2443803631,0.282509410483,0.0123616724824,0.423849785386,0,4.46513936936e-11,1,18.4534034622,0.50250449278,0.579799623093,0.325893929825,0,2917.59801803,1.34842224192e-17,True
case1,3009,0.2,0.005,-1,91.462269026,93.462269026,93.462269026,3012.0846762,2136.19483536,16.4242345136,279.146557491,4885.55718858,3.92788024328e-10,8.95008893387e-18,0.551212540917,0.326885649167,6.50253065278,0.61904032451,6.47194201577,-14.257760149,0.282543606369,0.0123571466249,0.423849045471,0,6.39420960624e-10,1,18.4386807078,0.61904032451,0.580064634099,0.326077511487,0,2912.79956395,1.42393692323e-17,True
case1,3000,0.2,0.005,0,91.2129026234,93.2129026234,93.2129026234,2872.44142326,2122.53988694,15.68969707,287.205837188,4723.46517008,4.2564352043e-10,6.39733491875e-18,0.553441058466,0.318411818551,6.65714102166,0.718481709285,6.49705156321,-13.8604163914,0.284948149613,0.0123276367652,0.433085516812,0,4.24078550054e-11,1,18.363870787,0.718481709285,0.581669393231,0.317475789066,0,2774.36394874,1.31546249588e-17,True
